Iteration	Posterior	Likelihood	Prior	m_w[1][1][1]	m_w[1][1][2]	m_w[1][1][3]	m_w[1][1][4]	m_w[1][1][5]	m_w[1][1][6]	m_w[1][1][7]	m_w[2][1][1]	m_w[2][1][2]	m_w[2][1][3]	m_w[2][1][4]	m_w[2][1][5]	m_w[2][1][6]	m_w[2][1][7]	m_w[3][1][1]	m_w[3][1][2]	m_w[3][1][3]	m_w[3][1][4]	m_w[3][1][5]	m_w[3][1][6]	m_w[3][1][7]	m_w[4][1][1]	m_w[4][1][2]	m_w[4][1][3]	m_w[4][1][4]	m_w[4][1][5]	m_w[4][1][6]	m_w[4][1][7]	m_w[5][1][1]	m_w[5][1][2]	m_w[5][1][3]	m_w[5][1][4]	m_w[5][1][5]	m_w[5][1][6]	m_w[5][1][7]	m_w[6][1][1]	m_w[6][1][2]	m_w[6][1][3]	m_w[6][1][4]	m_w[6][1][5]	m_w[6][1][6]	m_w[6][1][7]	m_w[7][1][1]	m_w[7][1][2]	m_w[7][1][3]	m_w[7][1][4]	m_w[7][1][5]	m_w[7][1][6]	m_w[7][1][7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	rho_b	rho_d	rho_e	rho_w	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	use_phi_b[1]	use_phi_b[2]	use_phi_d[1]	use_phi_d[2]	use_phi_e[1]	use_phi_e[2]	use_phi_w[1]	use_phi_w[2]	use_sigma_b[1]	use_sigma_b[2]	use_sigma_d[1]	use_sigma_d[2]	use_sigma_e[1]	use_sigma_e[2]	use_sigma_w[1]	use_sigma_w[2]
600	-174.7851	-161.057	-13.7281	2.28925	2.28356	2.61883	2.61866	2.61712	2.15291	2.27843	2.28925	2.28356	2.6184	2.15457	2.15245	0	2.27843	2.28925	2.28356	2.1561	2.1561	0	0	2.27843	2.28487	2.62112	2.15472	0	0	0	2.27843	2.28279	2.15638	0	0	0	0	2.27843	2.61873	2.1571	0	0	0	0	2.27843	2.1571	0	0	0	0	0	2.27843	0.421825	0	0	0	0	0	0	-1.88375	0.02144911	0.02413501	0.07631527	0.08765938	0.441926	1.93549	-1.46242	1.69451	-0.123218	0	0.139204	-0.194261	0.0876594	0.0214491	0.1091085	1	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1
620	-174.6588	-159.6599	-14.99892	2.11066	2.10593	4.81951	4.81922	4.81665	4.81234	2.10167	2.11066	2.10593	4.81878	4.81569	4.81141	0	2.10167	2.11066	2.10593	4.81878	4.81878	0	0	2.10167	2.10703	4.8233	4.81599	0	0	0	2.10167	2.10529	4.81934	0	0	0	0	2.10167	4.81934	4.8208	0	0	0	0	2.10167	4.8208	0	0	0	0	0	2.10167	0.608572	0	-0.798994	0	-0.872461	1.31251	0	-1.69902	0.1081665	0.01815717	0.003880667	0.0418102	0.820329	0.799062	-1.07859	1.91727	0	0.048042	0.829906	0	0.0418102	0.108166	0.1499767	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	0
640	-173.1375	-157.4435	-15.69398	1.48631	1.48454	1.48297	1.48293	1.48251	3.24504	1.48295	1.48631	1.48454	1.48285	3.24624	3.24471	0	1.48295	1.48631	1.48454	3.24734	3.24734	0	0	1.48295	1.48495	1.48359	3.24635	0	0	0	1.48295	1.4843	3.24754	0	0	0	0	1.48295	1.48295	3.24807	0	0	0	0	1.48295	3.24807	0	0	0	0	0	1.48295	1.20569	0	-0.760687	0	0	0	0	-0.901355	0.08728193	0.02960514	0.04860389	0.1278721	0.476865	0	-0.888582	1.14884	-0.936161	0	0	0.783868	0.127872	0.0872819	0.2151541	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	1
660	-168.7213	-159.5238	-9.197517	1.38671	1.38534	3.58521	3.58512	3.58428	3.58288	1.38412	1.38671	1.38534	3.58497	3.58397	3.58257	0	1.38412	1.38671	1.38534	3.58497	3.58497	0	0	1.38412	1.38566	3.58645	3.58407	0	0	0	1.38412	1.38516	3.58515	0	0	0	0	1.38412	3.58515	3.58563	0	0	0	0	1.38412	3.58563	0	0	0	0	0	1.38412	0	0	-1.3179	-0.256659	0	-1.96356	0	-0.743586	0.02581189	0.01054778	0.03251338	0.07940716	0.415048	0	0	1.87352	0	0	0.95174	0	0.0794072	0.0258119	0.105219	0	0	1	1	0	1	0	1	1	0	0	1	0	0	1	0
680	-176.4689	-160.4292	-16.03967	2.0919	2.08726	2.08316	2.08304	2.08194	2.17007	2.08308	2.0919	2.08726	2.08285	2.17156	2.16966	0	2.08308	2.0919	2.08726	2.17294	2.17294	0	0	2.08308	2.08833	2.08478	2.1717	0	0	0	2.08308	2.08664	2.17319	0	0	0	0	2.08308	2.08308	2.17384	0	0	0	0	2.08308	2.17384	0	0	0	0	0	2.08308	0	0	-1.85315	0	-0.420729	0.301252	0	-1.6787	0.04649213	0.02218481	0.0334804	0.09587601	0	0.236205	-1.7434	1.51193	-0.674307	-1.28761	0	0.0423447	0.095876	0.0464921	0.1423681	0	0	1	0	1	1	0	1	0	1	1	1	1	1	0	1
700	-172.0734	-157.6045	-14.46883	1.99231	1.98819	1.98454	1.98443	1.98345	10.9019	1.98447	1.99231	1.98819	1.98426	10.9089	10.8999	0	1.98447	1.99231	1.98819	10.9153	10.9153	0	0	1.98447	1.98914	1.98598	10.9095	0	0	0	1.98447	1.98763	10.9165	0	0	0	0	1.98447	1.98447	10.9196	0	0	0	0	1.98447	10.9196	0	0	0	0	0	1.98447	1.11508	1.8985	-0.865592	0	0	0	0	-1.56776	0.05516562	0.01790951	0.04128453	0.07906001	1.52845	-1.85293	-0.75496	1.5937	0	1.55265	0	1.70492	0.07906	0.0551656	0.1342256	1	1	1	0	0	0	0	1	1	1	1	1	0	1	0	1
720	-177.3745	-160.2071	-17.16744	1.83306	1.82972	1.82677	1.82668	1.82589	3.28903	1.82672	1.83306	1.82972	1.82655	3.29088	3.28851	0	1.82672	1.83306	1.82972	3.2926	3.2926	0	0	1.82672	1.8305	1.82794	3.29105	0	0	0	1.82672	1.82927	3.29291	0	0	0	0	1.82672	1.82672	3.29372	0	0	0	0	1.82672	3.29372	0	0	0	0	0	1.82672	1.63918	0	-0.807934	0	0	0.129501	0	-1.37828	0.05652054	0.03223194	0.05775926	0.1490306	0	0	0	1.74296	-0.619725	-0.428771	0	0.58925	0.149031	0.0565205	0.2055511	1	0	1	0	0	1	0	1	0	0	0	1	1	1	0	1
740	-174.9261	-160.9922	-13.9338	2.35459	2.34854	3.68334	3.68309	3.68084	9.19183	2.34309	2.35459	2.34854	3.6827	9.19916	9.18979	0	2.34309	2.35459	2.34854	9.20593	9.20593	0	0	2.34309	2.34994	3.68667	9.19983	0	0	0	2.34309	2.34772	9.20715	0	0	0	0	2.34309	3.68319	9.21035	0	0	0	0	2.34309	9.21035	0	0	0	0	0	2.34309	0.682297	0.690016	-1.6042	-1.55532	0	-0.930492	0	-1.94776	0.0972142	0.01222155	0.01149241	0.04178708	1.61892	0	0	0.821457	0	-1.31847	0.452311	0.9162	0.0417871	0.0972142	0.1390013	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1
760	-172.89	-160.2557	-12.63434	2.12204	2.11725	3.0506	3.05041	3.04878	6.6662	2.11293	2.12204	2.11725	3.05013	6.67087	6.6649	0	2.11293	2.12204	2.11725	6.67518	6.67518	0	0	2.11293	2.11836	3.05302	6.6713	0	0	0	2.11293	2.1166	6.67596	0	0	0	0	2.11293	3.05049	6.678	0	0	0	0	2.11293	6.678	0	0	0	0	0	2.11293	0	0.846038	-0.305388	0	0	-1.87512	0	-1.71124	0.04510894	0.03189534	0.001776822	0.08610496	0	0	-1.68913	1.37005	0	1.80306	0.367226	0.783211	0.086105	0.0451089	0.1312139	0	1	1	0	0	1	0	1	0	0	1	1	0	1	1	1
780	-177.0548	-160.8214	-16.2334	1.90964	1.90593	1.90264	1.90255	1.90167	6.93517	1.90259	1.90964	1.90593	1.9024	6.93935	6.93401	0	1.90259	1.90964	1.90593	6.94321	6.94321	0	0	1.90259	1.90679	1.90394	6.93973	0	0	0	1.90259	1.90543	6.9439	0	0	0	0	1.90259	1.90259	6.94573	0	0	0	0	1.90259	6.94573	0	0	0	0	0	1.90259	1.77378	0	-1.95844	0	0.454219	0	0	-1.47137	0.07474935	0.05083372	0.01334495	0.1159345	0	0.0424202	0	0.414909	0	-1.87137	0	1.29465	0.115935	0.0747493	0.1906838	1	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1
800	-173.6586	-159.5265	-14.13206	1	1	5.04853	5.04853	5.04853	4.46428	1	1	1	5.04853	4.46428	4.46428	0	1	1	1	4.46428	4.46428	0	0	1	1	5.04853	4.46428	0	0	0	1	1	4.46428	0	0	0	0	1	5.04853	4.46428	0	0	0	0	1	4.46428	0	0	0	0	0	1	0	0	-0.817665	0	0	-1.88382	0	0	0.1392849	0.01815586	0.001140716	0.07840487	1.41905	0	-1.78232	1.9825	0	-1.86528	1.6191	-0.122988	0.0784049	0.139285	0.2176898	0	0	1	0	0	1	0	0	1	0	1	1	0	1	1	1
820	-173.1614	-160.6797	-12.48174	1	1	2.44522	2.44522	2.44522	2.44522	1	1	1	2.44522	2.44522	2.44522	0	1	1	1	2.44522	2.44522	0	0	1	1	2.44522	2.44522	0	0	0	1	1	2.44522	0	0	0	0	1	2.44522	2.44522	0	0	0	0	1	2.44522	0	0	0	0	0	1	1.52861	0	-1.25733	0	-1.10097	0	0	0	0.005328095	0.04263133	0.03065664	0.134441	0.926935	0	-1.91991	0.986338	0	1.43389	0.894135	0	0.134441	0.0053281	0.1397691	1	0	1	0	1	0	0	0	1	0	1	1	0	1	1	0
840	-177.4934	-165.8636	-11.62982	2.29877	2.29303	9.3624	9.36178	9.35622	52.144	2.28786	2.29877	2.29303	9.36082	52.1845	52.1328	0	2.28786	2.29877	2.29303	52.2218	52.2218	0	0	2.28786	2.29436	9.37062	52.1882	0	0	0	2.28786	2.29226	52.2285	0	0	0	0	2.28786	9.36203	52.2462	0	0	0	0	2.28786	52.2462	0	0	0	0	0	2.28786	1.80798	0	-1.70498	-1.43351	0	0	0	-1.89319	0.03652613	0.02614797	0.03955296	0.0202174	0	-1.94868	0	-0.03515	-0.489259	0.952178	1.40905	1.71897	0.0202174	0.0365261	0.05674353	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1
860	-173.2563	-164.6266	-8.629651	1.94789	1.9584	14.5002	14.6361	16.6422	68.1566	2.18687	1.94789	1.9584	14.874	41.0911	87.1567	0	2.18687	1.94789	1.9584	33.992	33.992	0	0	2.18687	1.95157	13.4667	40.0067	0	0	0	2.18687	1.96568	33.3206	0	0	0	0	2.18687	14.5802	32.0195	0	0	0	0	2.18687	32.0195	0	0	0	0	0	2.18687	0	1.46984	-1.51043	-0.976936	0	0	0.182066	-1.69792	0.002433772	0.01507028	0.03133763	0.01592716	0	0	-0.990851	1.29609	-0.445713	0	1.89719	0.826512	0.0159272	0.00243377	0.01836093	0	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1
880	-175.8728	-159.101	-16.77182	1	1	1	1	1	2.28239	1	1	1	1	2.28239	2.28239	0	1	1	1	2.28239	2.28239	0	0	1	1	1	2.28239	0	0	0	1	1	2.28239	0	0	0	0	1	1	2.28239	0	0	0	0	1	2.28239	0	0	0	0	0	1	0.978938	0	0	0	0	0	0	0	0.03895466	0.02445019	0.07675614	0.1974768	0.391412	1.69676	-1.1604	1.53396	-0.66834	0	0	0.825222	0.197477	0.0389547	0.2364315	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1
900	-174.6268	-157.9215	-16.70529	1	1	1.23791	1.23791	1.23791	3.08057	1	1	1	1.23791	3.08057	3.08057	0	1	1	1	3.08057	3.08057	0	0	1	1	1.23791	3.08057	0	0	0	1	1	3.08057	0	0	0	0	1	1.23791	3.08057	0	0	0	0	1	3.08057	0	0	0	0	0	1	0.786396	0	-0.313457	-0.802915	0	1.48388	0	0	0.02554197	0.02216997	0.08761249	0.1486642	0	0	-1.47115	1.5033	0	0.0658462	0.213424	0.91169	0.148664	0.025542	0.1742061	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	1
920	-174.3046	-163.1565	-11.14809	1	1	2.47894	2.47894	2.47894	2.47894	1	1	1	2.47894	2.47894	2.47894	0	1	1	1	2.47894	2.47894	0	0	1	1	2.47894	2.47894	0	0	0	1	1	2.47894	0	0	0	0	1	2.47894	2.47894	0	0	0	0	1	2.47894	0	0	0	0	0	1	0.370073	0	0	0	0	0	0	0	0.03703034	0.03025725	0.03610097	0.1283132	0	0	-0.849703	1.76691	-1.3501	-1.16367	0.907832	0	0.128313	0.0370303	0.1653436	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
940	-168.8516	-157.0247	-11.82694	1.09313	1.09284	3.02788	3.02786	3.02767	4.9384	1.09258	1.09313	1.09284	3.02783	4.93881	4.93829	0	1.09258	1.09313	1.09284	4.93919	4.93919	0	0	1.09258	1.09291	3.02817	4.93885	0	0	0	1.09258	1.0928	4.93926	0	0	0	0	1.09258	3.02787	4.93943	0	0	0	0	1.09258	4.93943	0	0	0	0	0	1.09258	1.15752	0.542877	-1.3652	-1.66369	0	-0.748752	0	-0.202538	0.009710234	0.005059199	0.02165551	0.09094735	1.78118	0	-1.31531	1.87709	0	0	1.01932	0.489355	0.0909473	0.00971023	0.1006576	1	1	1	1	0	1	0	1	1	0	1	1	0	0	1	1
960	-168.0408	-157.5373	-10.50352	2.08855	2.08394	2.07985	2.07973	2.07863	6.64592	2.07977	2.08855	2.08394	2.07954	6.65048	6.64465	0	2.07977	2.08855	2.08394	6.65469	6.65469	0	0	2.07977	2.08501	2.08146	6.65089	0	0	0	2.07977	2.08331	6.65544	0	0	0	0	2.07977	2.07977	6.65744	0	0	0	0	2.07977	6.65744	0	0	0	0	0	2.07977	0	0.507157	-1.87728	0	0	0	0	-1.67506	0.0136071	0.0158266	0.03124733	0.08559198	0.727496	0.0160798	-1.19066	1.68699	0	0	0	1.16318	0.085592	0.0136071	0.09919908	0	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1
980	-169.576	-158.8037	-10.77227	1	1	1.67085	1.67085	1.67085	8.89965	1	1	1	1.67085	8.89965	8.89965	0	1	1	1	8.89965	8.89965	0	0	1	1	1.67085	8.89965	0	0	0	1	1	8.89965	0	0	0	0	1	1.67085	8.89965	0	0	0	0	1	8.89965	0	0	0	0	0	1	1.64107	0	-0.913914	-0.332068	0	0	0	0	0.009566816	0.01618728	0.02469506	0.1025424	0.467019	0	-1.10813	1.79957	0	-0.28773	0.513335	1.67268	0.102542	0.00956682	0.1121092	1	0	1	1	0	0	0	0	1	0	1	1	0	1	1	1
1000	-172.9069	-162.4269	-10.48005	1	1	3.18247	3.18247	3.18247	13.5819	1	1	1	3.18247	13.5819	13.5819	0	1	1	1	13.5819	13.5819	0	0	1	1	3.18247	13.5819	0	0	0	1	1	13.5819	0	0	0	0	1	3.18247	13.5819	0	0	0	0	1	13.5819	0	0	0	0	0	1	0	0	-1.44414	-0.160692	-1.83637	0	0	0	0.02231682	0.02356683	0.04261594	0.05718659	0.960198	-0.215669	0	1.04833	0	0	1.15766	1.45108	0.0571866	0.0223168	0.07950341	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	1
1020	-172.6412	-157.2739	-15.36737	2.40657	2.40023	3.53666	3.53641	3.5342	10.7946	2.39451	2.40657	2.40023	3.53603	10.8035	10.7922	0	2.39451	2.40657	2.40023	10.8116	10.8116	0	0	2.39451	2.40169	3.53993	10.8043	0	0	0	2.39451	2.39937	10.8131	0	0	0	0	2.39451	3.53651	10.817	0	0	0	0	2.39451	10.817	0	0	0	0	0	2.39451	0	0.458665	-0.752189	-0.691064	-0.6665	0	0	-1.99742	0.03310072	0.01534927	0.1019923	0.06544092	1.23479	0	-1.21862	1.33136	-1.08062	0	0.389962	1.11762	0.0654409	0.0331007	0.09854164	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1
1040	-172.7206	-156.371	-16.34959	2.40743	2.397	3.67497	3.66676	3.55697	10.2286	2.33015	2.40743	2.397	3.65267	11.5074	9.6614	0	2.33015	2.40743	2.397	12.0333	12.0333	0	0	2.33015	2.40065	3.74233	11.5797	0	0	0	2.33015	2.39394	12.0908	0	0	0	0	2.33015	3.67012	12.2076	0	0	0	0	2.33015	12.2076	0	0	0	0	0	2.33015	0	0	-1.20864	0	0.537562	0.912385	-0.0420413	-1.95634	0.0236793	0.01380578	0.09544762	0.05551998	0.436561	0	-1.54682	1.84475	0	-1.90146	0.454293	1.19222	0.05552	0.0236793	0.07919928	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1
1060	-177.5795	-160.1203	-17.4592	1	1	2.03386	2.03386	2.03386	2.03386	1	1	1	2.03386	2.03386	2.03386	0	1	1	1	2.03386	2.03386	0	0	1	1	2.03386	2.03386	0	0	0	1	1	2.03386	0	0	0	0	1	2.03386	2.03386	0	0	0	0	1	2.03386	0	0	0	0	0	1	1.97281	1.76424	0	0	-0.565868	0	0	0	0.01646114	0.03011939	0.0979896	0.1582661	0	-1.91338	-1.50562	1.66286	-1.97879	0.82555	0.709935	0	0.158266	0.0164611	0.1747272	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0
1080	-168.9288	-159.8512	-9.07764	1	1	3.94045	3.94045	3.94045	3.94045	1	1	1	3.94045	3.94045	3.94045	0	1	1	1	3.94045	3.94045	0	0	1	1	3.94045	3.94045	0	0	0	1	1	3.94045	0	0	0	0	1	3.94045	3.94045	0	0	0	0	1	3.94045	0	0	0	0	0	1	0	0	-1.08826	-0.167221	0	0	0	0	0.01650888	0.01165822	0.04585173	0.1059218	0	-1.59109	-1.54525	1.8401	0	0	1.3713	0	0.105922	0.0165089	0.1224307	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0
1100	-179.1816	-165.0295	-14.15215	1	1	3.29737	3.29737	3.29737	16.5307	1	1	1	3.29737	16.5307	16.5307	0	1	1	1	16.5307	16.5307	0	0	1	1	3.29737	16.5307	0	0	0	1	1	16.5307	0	0	0	0	1	3.29737	16.5307	0	0	0	0	1	16.5307	0	0	0	0	0	1	1.97315	1.65875	-1.248	0	0.38652	1.78521	0	0	0.01491529	0.01509147	0.04373756	0.05977224	1.70752	1.97514	0	1.5582	-1.54956	-0.425105	1.19313	1.6121	0.0597722	0.0149153	0.07468753	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1
1120	-169.5846	-160.0284	-9.556188	2.03316	2.02883	2.02499	2.02488	2.02385	8.56391	2.02492	2.03316	2.02883	2.0247	8.56957	8.56234	0	2.02492	2.03316	2.02883	8.57479	8.57479	0	0	2.02492	2.02983	2.02651	8.57008	0	0	0	2.02492	2.02824	8.57573	0	0	0	0	2.02492	2.02492	8.57821	0	0	0	0	2.02492	8.57821	0	0	0	0	0	2.02492	0.920498	0.986831	-0.918829	0	0	0	0	-1.61392	0.02021942	0.03845062	0.01958327	0.07899367	0	0	-1.92897	1.43099	0	0	0	1.4434	0.0789937	0.0202194	0.09921309	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1
1140	-170.8875	-157.1237	-13.76386	2.20457	2.19934	2.68769	2.68752	2.686	7.79726	2.19463	2.20457	2.19934	2.68726	7.803	7.79567	0	2.19463	2.20457	2.19934	7.8083	7.8083	0	0	2.19463	2.20055	2.68993	7.80353	0	0	0	2.19463	2.19864	7.80926	0	0	0	0	2.19463	2.68759	7.81177	0	0	0	0	2.19463	7.81177	0	0	0	0	0	2.19463	0.832252	0	-1.84063	0	0	0	0	-1.79802	0.0005009749	0.01859125	0.09291742	0.1157718	1.05214	-1.17092	0	1.32475	0	0	0.202632	1.06667	0.115772	0.000500975	0.1162728	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1
1160	-172.2596	-158.582	-13.67764	1	1	3.2045	3.2045	3.2045	4.72119	1	1	1	3.2045	4.72119	4.72119	0	1	1	1	4.72119	4.72119	0	0	1	1	3.2045	4.72119	0	0	0	1	1	4.72119	0	0	0	0	1	3.2045	4.72119	0	0	0	0	1	4.72119	0	0	0	0	0	1	1.63346	0	0	-0.995729	0	-1.32433	0	0	0.04998122	0.01612215	0.05826736	0.08392651	0	-1.44412	-1.59919	1.98906	-0.244618	0	1.16456	0.387505	0.0839265	0.0499812	0.1339077	1	0	0	1	0	1	0	0	0	1	1	1	1	0	1	1
1180	-172.5562	-157.7335	-14.82267	1.86489	1.8614	1.85831	1.85822	1.85739	2.78141	1.85825	1.86489	1.8614	1.85807	2.78303	2.78096	0	1.85825	1.86489	1.8614	2.78452	2.78452	0	0	1.85825	1.86221	1.85953	2.78317	0	0	0	1.85825	1.86093	2.78478	0	0	0	0	1.85825	1.85825	2.78549	0	0	0	0	1.85825	2.78549	0	0	0	0	0	1.85825	1.47937	0.698747	0	0	0.223788	0	0	-1.41743	0.01868044	0.02336207	0.0958096	0.1337281	0	0	-1.7766	1.61651	0	0	0	0.404534	0.133728	0.0186804	0.1524086	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1
1200	-168.7526	-156.6344	-12.11814	1.7359	1.73303	1.73048	1.7304	1.72972	1.72858	1.73043	1.7359	1.73303	1.73029	1.72947	1.72833	0	1.73043	1.7359	1.73303	1.73029	1.73029	0	0	1.73043	1.73369	1.73149	1.72955	0	0	0	1.73043	1.73264	1.73043	0	0	0	0	1.73043	1.73043	1.73082	0	0	0	0	1.73043	1.73082	0	0	0	0	0	1.73043	0	0	-0.630256	0	0	-0.104243	0	-1.25442	0.01723331	0.02800967	0.03747843	0.1732316	0	0	-1.71907	1.65636	0	0	0	0	0.173232	0.0172333	0.190465	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0
1220	-172.124	-160.2189	-11.90505	1.73741	1.73452	1.73197	1.73189	1.73121	4.20916	1.73192	1.73741	1.73452	1.73178	4.21132	4.20856	0	1.73192	1.73741	1.73452	4.21332	4.21332	0	0	1.73192	1.73519	1.73298	4.21152	0	0	0	1.73192	1.73414	4.21368	0	0	0	0	1.73192	1.73192	4.21463	0	0	0	0	1.73192	4.21463	0	0	0	0	0	1.73192	1.27506	0	-1.91228	-1.90567	0	0	0	-1.25639	0.01804981	0.007032581	0.01172007	0.1098514	0	-1.10254	-0.368118	1.36393	0	-1.91587	0	0.889103	0.109851	0.0180498	0.1279012	1	0	1	1	0	0	0	1	0	1	1	1	0	1	0	1
1240	-173.9326	-156.2524	-17.6802	2.02303	2.01875	2.01496	2.01485	2.01384	3.87014	2.01489	2.02303	2.01875	2.01467	3.87268	3.86943	0	2.01489	2.02303	2.01875	3.87502	3.87502	0	0	2.01489	2.01974	2.01646	3.87291	0	0	0	2.01489	2.01817	3.87544	0	0	0	0	2.01489	2.01489	3.87655	0	0	0	0	2.01489	3.87655	0	0	0	0	0	2.01489	0	1.99081	-1.88533	-0.193065	0	0	0	-1.60257	0.02609664	0.01698534	0.1069419	0.1410087	1.10414	-1.97243	0	1.41055	0	0.256079	0	0.654093	0.141009	0.0260966	0.1671053	0	1	1	1	0	0	0	1	1	1	0	1	0	1	0	1
1260	-175.9216	-158.5493	-17.37229	1	1	1	1	1	3.90591	1	1	1	1	3.90591	3.90591	0	1	1	1	3.90591	3.90591	0	0	1	1	1	3.90591	0	0	0	1	1	3.90591	0	0	0	0	1	1	3.90591	0	0	0	0	1	3.90591	0	0	0	0	0	1	0.256853	0	-0.593174	-1.20711	0	-1.98693	0	0	0.04335118	0.02073264	0.0332022	0.16872	0.316727	0.490264	-0.766195	1.09419	0	0.0642183	0	1.36249	0.16872	0.0433512	0.2120712	1	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1
1280	-175.1333	-160.1456	-14.98769	2.10359	2.0989	2.09474	2.09461	2.0935	2.09164	2.09466	2.10359	2.0989	2.09442	2.09309	2.09123	0	2.09466	2.10359	2.0989	2.09442	2.09442	0	0	2.09466	2.09998	2.09638	2.09322	0	0	0	2.09466	2.09826	2.09466	0	0	0	0	2.09466	2.09466	2.0953	0	0	0	0	2.09466	2.0953	0	0	0	0	0	2.09466	0	0	-0.592822	-1.31287	0	1.76796	0	-1.69138	0.02585947	0.01005732	0.08013952	0.1249921	0.315588	1.01613	0	1.46908	0	-1.33824	0	0	0.124992	0.0258595	0.1508516	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0
1300	-176.7859	-167.6933	-9.09257	2.26855	2.26297	9.26654	9.26594	9.26052	9.25143	2.25795	2.26855	2.26297	9.265	9.25849	9.24947	0	2.25795	2.26855	2.26297	9.265	9.265	0	0	2.25795	2.26426	9.27454	9.25913	0	0	0	2.25795	2.26222	9.26618	0	0	0	0	2.25795	9.26618	9.26926	0	0	0	0	2.25795	9.26926	0	0	0	0	0	2.25795	0.358773	0	-0.0855602	0	0	0	0	-1.86309	0.05703967	0.01544478	0.05145505	0.02171702	0	0	-1.10224	1.64668	0	0.528776	1.41192	0	0.021717	0.0570397	0.07875669	1	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0
1320	-177.9114	-159.76	-18.15134	1.38654	1.39762	2.19551	2.22055	2.59521	5.26326	1.59954	1.38654	1.39762	2.26446	2.8504	7.09001	0	1.59954	1.38654	1.39762	2.26446	2.26446	0	0	1.59954	1.39126	2.00643	2.75944	0	0	0	1.59954	1.40419	2.21024	0	0	0	0	1.59954	2.21024	2.10574	0	0	0	0	1.59954	2.10574	0	0	0	0	0	1.59954	0.102052	1.71352	-1.95721	0	-1.65842	0.623868	0.220503	-0.963064	0.01399316	0.01376264	0.07379282	0.1146191	1.0766	0	-0.321737	1.74259	-0.222654	-1.82907	0.323384	0	0.114619	0.0139932	0.1286122	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0
1340	-175.5252	-162.4802	-13.04504	1	1	2.4361	2.4361	2.4361	11.5763	1	1	1	2.4361	11.5763	11.5763	0	1	1	1	11.5763	11.5763	0	0	1	1	2.4361	11.5763	0	0	0	1	1	11.5763	0	0	0	0	1	2.4361	11.5763	0	0	0	0	1	11.5763	0	0	0	0	0	1	0	0.744806	-1.07579	-1.74228	0	0.86207	0	0	0.008383284	0.007461429	0.09475666	0.08188084	0	0	0	1.81597	-0.814143	-0.679371	0.890397	1.55857	0.0818808	0.00838328	0.09026413	0	1	1	1	0	1	0	0	0	0	0	1	1	1	1	1
1360	-173.3737	-155.8048	-17.56889	2.30581	2.30003	2.29491	2.29476	2.29339	2.29109	2.29482	2.30581	2.30003	2.29452	2.29287	2.2906	0	2.29482	2.30581	2.30003	2.29452	2.29452	0	0	2.29482	2.30136	2.29693	2.29304	0	0	0	2.29482	2.29925	2.29482	0	0	0	0	2.29482	2.29482	2.2956	0	0	0	0	2.29482	2.2956	0	0	0	0	0	2.29482	0	0	-0.93557	0	-0.0434724	-0.605496	0	-1.90014	0.02845266	0.02446416	0.08106211	0.1196135	1.14696	0.409698	-1.70236	1.76294	-0.379166	-0.744442	0	0	0.119614	0.0284527	0.1480662	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	0
1380	-174.0514	-157.5877	-16.46368	1	1	1	1	1	3.182	1	1	1	1	3.182	3.182	0	1	1	1	3.182	3.182	0	0	1	1	1	3.182	0	0	0	1	1	3.182	0	0	0	0	1	1	3.182	0	0	0	0	1	3.182	0	0	0	0	0	1	0	0	-1.05436	0	0	1.64057	0	0	0.01691128	0.02731274	0.1250921	0.1606182	0	0.489024	-0.642894	1.36998	0	0	0	1.15751	0.160618	0.0169113	0.1775295	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1
