Iteration	Posterior	Likelihood	Prior	m_w[1][1][1]	m_w[1][1][2]	m_w[1][1][3]	m_w[1][1][4]	m_w[1][1][5]	m_w[1][1][6]	m_w[1][1][7]	m_w[2][1][1]	m_w[2][1][2]	m_w[2][1][3]	m_w[2][1][4]	m_w[2][1][5]	m_w[2][1][6]	m_w[2][1][7]	m_w[3][1][1]	m_w[3][1][2]	m_w[3][1][3]	m_w[3][1][4]	m_w[3][1][5]	m_w[3][1][6]	m_w[3][1][7]	m_w[4][1][1]	m_w[4][1][2]	m_w[4][1][3]	m_w[4][1][4]	m_w[4][1][5]	m_w[4][1][6]	m_w[4][1][7]	m_w[5][1][1]	m_w[5][1][2]	m_w[5][1][3]	m_w[5][1][4]	m_w[5][1][5]	m_w[5][1][6]	m_w[5][1][7]	m_w[6][1][1]	m_w[6][1][2]	m_w[6][1][3]	m_w[6][1][4]	m_w[6][1][5]	m_w[6][1][6]	m_w[6][1][7]	m_w[7][1][1]	m_w[7][1][2]	m_w[7][1][3]	m_w[7][1][4]	m_w[7][1][5]	m_w[7][1][6]	m_w[7][1][7]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	rho_b	rho_d	rho_e	rho_w	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	use_phi_b[1]	use_phi_b[2]	use_phi_d[1]	use_phi_d[2]	use_phi_e[1]	use_phi_e[2]	use_phi_w[1]	use_phi_w[2]	use_sigma_b[1]	use_sigma_b[2]	use_sigma_d[1]	use_sigma_d[2]	use_sigma_e[1]	use_sigma_e[2]	use_sigma_w[1]	use_sigma_w[2]
200	-171.0169	-163.2819	-7.735055	1.71343	1.71066	5.63845	5.63821	5.63604	5.6324	1.70816	1.71343	1.71066	5.63784	5.63523	5.63162	0	1.70816	1.71343	1.71066	5.63784	5.63784	0	0	1.70816	1.7113	5.64165	5.63549	0	0	0	1.70816	1.71029	5.6383	0	0	0	0	1.70816	5.6383	5.63954	0	0	0	0	1.70816	5.63954	0	0	0	0	0	1.70816	0	0	-1.77308	0	0	0	0	-1.22478	0.005435167	0.01480368	0.05476887	0.03671093	0.641824	0.0796667	-0.0770771	1.77967	0	0	1.19417	0	0.0367109	0.00543517	0.0421461	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0
220	-172.3311	-164.4622	-7.86888	1	1	2.87753	2.87753	2.87753	2.87753	1	1	1	2.87753	2.87753	2.87753	0	1	1	1	2.87753	2.87753	0	0	1	1	2.87753	2.87753	0	0	0	1	1	2.87753	0	0	0	0	1	2.87753	2.87753	0	0	0	0	1	2.87753	0	0	0	0	0	1	0.29793	0	-1.97751	0	0	0	0	0	0.003821255	0.03058986	0.04405708	0.07125343	0	0	-0.52293	0.87148	0	-1.24592	1.05693	0	0.0712534	0.00382125	0.07507469	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0
240	-175.2137	-161.5199	-13.69382	2.12812	2.1233	6.38778	6.3874	6.38395	16.7967	2.11895	2.12812	2.1233	6.3868	16.8085	16.7934	0	2.11895	2.12812	2.1233	16.8194	16.8194	0	0	2.11895	2.12442	6.39287	16.8096	0	0	0	2.11895	2.12265	16.8214	0	0	0	0	2.11895	6.38755	16.8266	0	0	0	0	2.11895	16.8266	0	0	0	0	0	2.11895	0	0	-1.43276	-1.96932	0	0	0	-1.71775	0.04091651	0.008257862	0.05766655	0.06720338	1.4483	0.96593	-1.15704	0.880017	0	1.3985	1.10343	0.9683	0.0672034	0.0409165	0.1081199	0	0	1	1	0	0	0	1	1	1	1	1	0	1	1	1
260	-178.9322	-159.3212	-19.61096	1	1	2.61535	2.61535	2.61535	9.50075	1	1	1	2.61535	9.50075	9.50075	0	1	1	1	9.50075	9.50075	0	0	1	1	2.61535	9.50075	0	0	0	1	1	9.50075	0	0	0	0	1	2.61535	9.50075	0	0	0	0	1	9.50075	0	0	0	0	0	1	1.73283	1.67307	-1.60924	-0.999844	0	1.3555	0	0	0.06958997	0.007710768	0.175251	0.0694212	1.32488	0	0	1.67079	-0.596167	1.57955	0.961399	1.28997	0.0694212	0.06959	0.1390112	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1
280	-170.5722	-162.2191	-8.353116	1.93419	1.93036	7.49446	7.49408	7.49055	7.48462	1.9269	1.93419	1.93036	7.49347	7.48922	7.48335	0	1.9269	1.93419	1.93036	7.49347	7.49347	0	0	1.9269	1.93124	7.49968	7.48964	0	0	0	1.9269	1.92984	7.49423	0	0	0	0	1.9269	7.49423	7.49624	0	0	0	0	1.9269	7.49624	0	0	0	0	0	1.9269	0	0	-1.25699	0	0	0	0	-1.50042	0.009462674	0.020299	0.06261453	0.03479397	0	1.53178	-0.445146	1.37618	-1.28912	0	1.35822	0	0.034794	0.00946267	0.04425664	0	0	1	0	0	0	0	1	0	1	1	1	1	0	1	0
300	-171.0043	-156.9282	-14.07603	1	1	1	1	1	3.37694	1	1	1	1	3.37694	3.37694	0	1	1	1	3.37694	3.37694	0	0	1	1	1	3.37694	0	0	0	1	1	3.37694	0	0	0	0	1	1	3.37694	0	0	0	0	1	3.37694	0	0	0	0	0	1	1.00597	0.394268	-0.378094	0	0	0	0	0	0.02037531	0.01586165	0.05213603	0.1645414	0	0	-1.41398	1.98052	-0.416632	-1.45484	0	1.21697	0.164541	0.0203753	0.1849168	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	1
320	-178.0979	-161.7861	-16.31181	1.77082	1.77146	1.82262	1.82736	1.89409	4.01926	1.82541	1.77082	1.77146	1.83558	3.48713	4.30676	0	1.82541	1.77082	1.77146	3.30701	3.30701	0	0	1.82541	1.77019	1.78582	3.4611	0	0	0	1.82541	1.77303	3.28869	0	0	0	0	1.82541	1.82541	3.25255	0	0	0	0	1.82541	3.25255	0	0	0	0	0	1.82541	1.36361	1.16574	-1.29001	-0.974033	0	0.372668	0.0512269	-1.35076	0.02619343	0.0413585	0.04540705	0.1265352	1.94107	0	0	0	0	0.926427	0	0.588683	0.126535	0.0261934	0.1527286	1	1	1	1	0	1	1	1	1	0	0	0	0	1	0	1
340	-170.3181	-158.516	-11.8021	1.86037	1.85691	1.97278	1.97269	1.97181	5.60271	1.85378	1.86037	1.85691	1.97253	5.60595	5.60181	0	1.85378	1.86037	1.85691	5.60894	5.60894	0	0	1.85378	1.85771	1.97407	5.60624	0	0	0	1.85378	1.85644	5.60948	0	0	0	0	1.85378	1.97272	5.61089	0	0	0	0	1.85378	5.61089	0	0	0	0	0	1.85378	0	0.108905	0	-1.82541	0	-1.65313	0	-1.41192	0.01683009	0.007648861	0.02522515	0.1117046	1.95139	0	-1.60619	1.3686	0	0	0.0621892	1.04504	0.111705	0.0168301	0.1285347	0	1	0	1	0	1	0	1	1	0	1	1	0	0	1	1
360	-175.366	-159.3414	-16.02455	1.21276	1.21206	1.88496	1.88493	1.88467	10.2685	1.21142	1.21276	1.21206	1.88489	10.2704	10.268	0	1.21142	1.21276	1.21206	10.2721	10.2721	0	0	1.21142	1.21222	1.88535	10.2705	0	0	0	1.21142	1.21196	10.2724	0	0	0	0	1.21142	1.88495	10.2732	0	0	0	0	1.21142	10.2732	0	0	0	0	0	1.21142	1.79201	0	-0.408932	-1.04334	-1.58488	0	0	-0.438737	0.01222589	0.009284506	0.05441418	0.08707324	1.91345	-0.714877	-1.83324	1.97852	-1.20644	0.285271	0.442103	1.69556	0.0870732	0.0122259	0.09929913	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1
380	-177.4781	-162.1555	-15.3226	2.60294	2.53599	2.99966	2.91235	1.94166	1.03442	1.77874	2.60294	2.53599	2.76759	5.07936	0.477646	0	1.77874	2.60294	2.53599	9.23696	9.23696	0	0	1.77874	2.5694	3.79554	5.52566	0	0	0	1.77874	2.50352	9.83861	0	0	0	0	1.77874	2.94786	11.1628	0	0	0	0	1.77874	11.1628	0	0	0	0	0	1.77874	0.173051	0	-1.91588	-1.20724	0	0	-0.571548	-1.60623	0.05201828	0.01773384	0.05009732	0.07758568	0.431051	-1.77318	-0.399554	0.323044	0	0	0.505171	1.20524	0.0775857	0.0520183	0.129604	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1
