Iteration	Posterior	Likelihood	Prior	alpha_morpho	alpha_ofbeta	beta_ofbeta	br_len_lambda	cats[1]	cats[2]	cats[3]	cats[4]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-797.331	-741.914	-55.417	117799.1	22.05302	2.656714	2.812395	0.773686	0.849801	0.891876	0.937014	0.567455	0.0202552	0.0552788	0.357011	0.996299	0.999052	1.00094	1.00371	11.345
10	-558.822	-510.031	-48.7907	65811.17	8.586176	5.81675	4.422586	0.430302	0.547485	0.62732	0.732567	0.700455	0.0103747	0.0734227	0.215747	0.995049	0.99873	1.00126	1.00496	9.254254
20	-501.584	-461.87	-39.714	85779.7	7.679657	8.485365	3.897619	0.332528	0.438661	0.51557	0.624531	0.483756	0.0190177	0.230149	0.267078	0.995663	0.998888	1.00111	1.00434	7.083795
30	-470.045	-441.028	-29.0169	42204.76	1.901489	3.704461	8.192511	0.178078	0.314093	0.430575	0.603159	0.102866	0.112433	0.273332	0.511369	0.993819	0.998413	1.00157	1.00619	5.080727
40	-447.803	-428.153	-19.6501	6637.765	1.19724	5.286529	7.335182	0.0955432	0.194104	0.290972	0.455354	0.081425	0.17929	0.117142	0.622143	0.984442	0.995972	1.00394	1.01564	3.911705
50	-435.753	-420.196	-15.5565	26343.43	2.336245	4.025933	11.36799	0.200534	0.335881	0.447893	0.611565	0.0435097	0.236911	0.413286	0.306293	0.992179	0.997989	1.00199	1.00784	3.365854
60	-433.662	-419.47	-14.1922	61284.19	2.004519	3.383346	9.235297	0.196017	0.339307	0.459212	0.632196	0.0386235	0.225568	0.235317	0.500492	0.99487	0.998684	1.00131	1.00514	3.309728
70	-422.514	-408.686	-13.8279	21649.61	1.314068	1.376788	12.85411	0.222778	0.41448	0.570451	0.765549	0.132577	0.444951	0.0893929	0.333079	0.991374	0.99778	1.00219	1.00865	3.163093
80	-428.265	-414.095	-14.1701	76671.88	1.686891	1.484334	8.604922	0.257191	0.447888	0.595782	0.777479	0.135301	0.472745	0.286474	0.10548	0.995413	0.998824	1.00117	1.00459	3.318903
90	-433.063	-415.579	-17.4842	320593.8	2.952474	2.0773	9.297299	0.331503	0.50517	0.629756	0.782561	0.576212	0.294572	0.081934	0.047282	0.997756	0.999426	1.00057	1.00225	3.66801
100	-439.747	-418.309	-21.4387	895039.6	9.593089	10.10255	11.03359	0.354437	0.452793	0.5231	0.622705	0.4037	0.481483	0.0794138	0.0354029	0.998657	0.999657	1.00034	1.00134	3.796901
110	-424.545	-410.774	-13.771	218957.6	14.05668	11.84796	10.27314	0.420393	0.509552	0.571236	0.657125	0.825248	0.0849218	0.0450527	0.0447774	0.997285	0.999305	1.00069	1.00272	3.056549
120	-424.668	-415.376	-9.29231	508720.7	13.84703	15.08191	13.60275	0.36756	0.450317	0.509012	0.593258	0.286195	0.255279	0.0992484	0.359278	0.998218	0.999544	1.00045	1.00178	2.589015
130	-423.252	-412.529	-10.7235	221045.8	11.63946	16.90296	12.24659	0.303578	0.383112	0.441304	0.527338	0.110493	0.0965087	0.391557	0.401441	0.997298	0.999308	1.00069	1.0027	2.734884
140	-430.198	-415.848	-14.3496	68460.87	10.47319	13.73191	11.23887	0.31774	0.404771	0.468136	0.560643	0.346487	0.162437	0.0607633	0.430313	0.995146	0.998755	1.00124	1.00486	3.107135
150	-425.555	-412.255	-13.3002	431208.6	14.75479	15.8152	11.70418	0.373945	0.454834	0.512033	0.594072	0.248184	0.127058	0.252912	0.371846	0.998065	0.999505	1.00049	1.00194	2.945997
160	-430.17	-418.139	-12.0311	233575	8.39689	5.140189	9.428593	0.447125	0.568042	0.649392	0.754657	0.174087	0.201666	0.486734	0.137513	0.997371	0.999327	1.00067	1.00263	2.994641
170	-421.463	-405.527	-15.9356	628091.4	6.639455	6.79582	7.590199	0.337146	0.452909	0.53658	0.653105	0.0812582	0.66981	0.0572364	0.191696	0.998397	0.99959	1.00041	1.0016	3.341178
180	-431.773	-411.15	-20.6231	703760.2	6.140265	6.540227	8.342919	0.32518	0.442928	0.528749	0.648654	0.177874	0.492219	0.148865	0.181042	0.998485	0.999613	1.00039	1.00152	3.966597
190	-429.682	-415.34	-14.3425	583556.7	7.076183	10.77955	7.358515	0.27201	0.367937	0.440117	0.546909	0.0495473	0.50283	0.132774	0.314849	0.998337	0.999575	1.00042	1.00166	3.037084
