Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_rate_12	prob_rate_13	prob_rate_21	prob_rate_23	prob_rate_31	prob_rate_32	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
40	0	-49.1062	-58.9838	9.87761	0	0	1	1	0	0	0.007621065	0.007866593	0	0	0.000509373	0.001092644	0.182713	0.674003	0.143284
41	1	-41.6362	-55.9873	14.3511	0	1	1	1	0	0	0.0003606397	0	0	0	0.0006175731	0.001788171	0.62982	0.000242732	0.369937
42	0	-41.3256	-57.7	16.3744	0	0	0	0	1	0	0.007621065	0.007451038	4.404862e-05	0.0007450651	0	0.001432588	0.254905	0.418868	0.326227
43	1	-28.8958	-56.4364	27.5405	0	0	0	1	0	0	0.0003163238	0.0004651761	9.086557e-06	0	0.0003438469	0.001788171	0.511026	0.000447097	0.488527
44	0	-44.4312	-56.5667	12.1354	0	0	1	0	1	0	0.007621065	0.004571233	0	0.0004900607	0	0.001501422	0.623286	0.222279	0.154435
45	1	-42.7578	-57.4489	14.6912	1	0	1	1	0	0	0	0.0006189021	0	0	0.0005503566	0.001159418	0.49607	0.000460772	0.503469
46	0	-51.8404	-57.7012	5.86078	0	0	1	1	1	0	0.007621065	0.004571233	0	0	0	0.001501422	0.154062	0.469472	0.376466
47	1	-48.755	-56.9999	8.24497	1	1	1	1	0	0	0	0	0	0	0.0008999997	0.001159418	0.348803	0.000595427	0.650601
48	0	-48.9664	-56.0105	7.04414	0	0	1	1	1	0	0.006540719	0.004571233	0	0	0	0.001058741	0.441385	0.22997	0.328645
49	1	-41.4674	-56.5186	15.0512	1	1	1	0	0	0	0	0	0	2.685085e-06	0.0006480043	0.001214611	0.348456	0.000456117	0.651088
50	0	-41.9934	-57.5114	15.5181	0	0	1	0	1	0	0.006161718	0.002381131	0	7.60037e-05	0	0.001211352	0.556242	0.0295944	0.414164
51	1	-48.0652	-56.5127	8.44753	1	1	1	1	0	0	0	0	0	0	0.0005841033	0.001214611	0.348456	0.000456117	0.651088
52	0	-43.1479	-56.9477	13.7999	0	0	1	0	1	0	0.006513613	0.004318523	0	0.0004175178	0	0.000791909	0.266563	0.0272268	0.70621
53	1	-41.8791	-56.2629	14.3837	1	0	1	1	0	0	0	0.0001327757	0	0	0.0009438333	0.001647756	0.590761	0.000913271	0.408325
54	0	-40.5724	-57.5608	16.9884	0	0	1	1	0	0	0.004007905	0.002878792	0	0	3.283256e-08	0.001051109	0.299626	0.0306039	0.66977
55	1	-49.654	-56.8869	7.23291	1	1	1	1	0	0	0	0	0	0	0.001376676	0.00198529	0.61582	0.0014596	0.38272
56	0	-46.2047	-56.4725	10.2678	0	0	1	1	1	0	0.004007905	0.002878792	0	0	0	0.001135049	0.886703	0.0275589	0.0857383
57	1	-50.2017	-56.9638	6.76218	1	1	1	1	0	0	0	0	0	0	0.001376676	0.002591139	0.615621	0.00178273	0.382596
58	0	-46.3473	-55.8183	9.47095	0	0	1	1	1	0	0.004007905	0.003904339	0	0	0	0.001135049	0.725587	0.0667494	0.207664
59	1	-38.3922	-58.1021	19.7099	0	1	1	0	0	0	0.0005228984	0	0	0.0002600072	0.00160609	0.002046175	0.615394	0.00215023	0.382455
60	0	-46.621	-56.515	9.89401	0	0	1	1	1	0	0.004007905	0.003359848	0	0	0	0.001135049	0.530527	0.0460679	0.423405
61	1	-39.6036	-58.4188	18.8152	1	0	0	1	0	0	0	0.0003811834	0.0007601572	0	0.001491671	0.002953678	0.281546	0.00167099	0.716783
