Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
580	-424.825	-415.171	-9.65381	361746.4	11.04681	0.997887	0.999459	1.00054	1.00211	3.161856
590	-438.167	-420.858	-17.3089	625569.3	5.694013	0.998393	0.999589	1.00041	1.00161	3.825786
600	-440.408	-427.795	-12.6126	890679.2	7.546862	0.998653	0.999656	1.00034	1.00135	3.446982
610	-426.825	-415.522	-11.3027	281105.2	7.642094	0.997604	0.999387	1.00061	1.0024	3.284275
620	-441.934	-417.054	-24.8795	690848.5	9.464574	0.998471	0.999609	1.00039	1.00153	4.793586
630	-429.823	-414.06	-15.7637	157048.8	6.840642	0.996794	0.999179	1.00082	1.00321	3.810165
640	-437.412	-422.727	-14.6849	59103.75	11.61975	0.994776	0.99866	1.00133	1.00523	3.572671
650	-436.778	-424.101	-12.6765	228332.4	8.085816	0.997341	0.999319	1.00068	1.00266	3.49331
660	-441.553	-423.892	-17.6609	869588.1	7.315552	0.998637	0.999652	1.00035	1.00136	4.111952
670	-433.663	-415.374	-18.2896	912380.8	7.170536	0.99867	0.99966	1.00034	1.00133	4.194683
680	-430.814	-418.056	-12.7585	448567.1	7.856891	0.998103	0.999515	1.00048	1.0019	3.49073
690	-428.011	-412.921	-15.09	343610.5	8.166143	0.997832	0.999445	1.00055	1.00217	3.792479
700	-432.007	-416.163	-15.8437	950961.6	8.301452	0.998697	0.999667	1.00033	1.0013	3.88353
710	-427.185	-416.116	-11.0686	267001.9	9.27414	0.997541	0.999371	1.00063	1.00246	3.334613
720	-422.992	-415.676	-7.31651	407494.6	10.8914	0.998009	0.999491	1.00051	1.00199	2.952297
730	-436.906	-415.101	-21.805	661522.1	6.3717	0.998438	0.9996	1.0004	1.00156	4.68565
740	-433.771	-415.235	-18.5355	440462.3	8.817497	0.998085	0.99951	1.00049	1.00192	4.175521
750	-433.019	-410.384	-22.6352	374997.7	5.744748	0.997925	0.999469	1.00053	1.00208	4.768357
760	-433.376	-414.72	-18.6555	641660.5	7.247686	0.998414	0.999594	1.0004	1.00159	4.247121
770	-424.897	-413.415	-11.4828	139591.5	8.856765	0.9966	0.999129	1.00087	1.0034	3.376376
780	-434.193	-422.119	-12.0743	362669.5	10.1278	0.99789	0.99946	1.00054	1.00211	3.422894
790	-443.44	-424.896	-18.5442	861989.9	5.937874	0.998631	0.99965	1.00035	1.00137	4.101546
800	-434.577	-421.989	-12.5878	812381.4	7.435542	0.99859	0.999639	1.00036	1.00141	3.432295
810	-429.469	-415.713	-13.7559	791236.8	11.14536	0.998571	0.999635	1.00036	1.00143	3.526476
820	-433.921	-417.769	-16.152	227124.8	7.282456	0.997334	0.999318	1.00068	1.00267	3.903804
830	-447.609	-425.417	-22.1916	991806.4	7.184588	0.998724	0.999674	1.00033	1.00128	4.738194
840	-436.196	-422.588	-13.608	805376.9	7.224983	0.998584	0.999638	1.00036	1.00142	3.548142
850	-436.224	-424.066	-12.158	352290	7.618549	0.997859	0.999452	1.00055	1.00214	3.393945
860	-436.399	-422.426	-13.9729	979349.2	10.28852	0.998716	0.999672	1.00033	1.00128	3.601339
870	-425.419	-419.251	-6.16753	967172.9	10.7672	0.998708	0.99967	1.00033	1.00129	2.846797
880	-442.702	-423.24	-19.4617	566593.3	7.335145	0.998312	0.999568	1.00043	1.00169	4.357968
890	-431.547	-414.992	-16.555	751760.8	8.789065	0.998534	0.999625	1.00037	1.00147	3.952209
900	-440.015	-424.677	-15.3377	792453.1	7.813568	0.998572	0.999635	1.00036	1.00143	3.817935
910	-434.85	-429.497	-5.35296	157621	10.96273	0.9968	0.99918	1.00082	1.0032	2.772325
920	-441.638	-426.427	-15.2108	259662.1	8.420465	0.997507	0.999362	1.00064	1.0025	3.80644
930	-443.897	-420.588	-23.3094	518449	7.012353	0.998235	0.999549	1.00045	1.00177	4.90469
940	-435.528	-418.427	-17.1015	16499	7.210935	0.990122	0.997455	1.00251	1.00991	4.031016
950	-441.927	-420.874	-21.0536	351382.3	7.194734	0.997856	0.999451	1.00055	1.00215	4.579524
