Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
40	0	-18.9915	-54.8165	35.825	6.240836e-05	1.4665e-06	0.002422554	0.003228581	5.053031e-05	0.0004130508	0.189708	0.519474	0.290819
41	1	-20.124	-54.9622	34.8382	0.000259053	0.0005565853	0.002036849	0.004050464	0.0001954831	0.0003502466	0.0461664	0.439939	0.513894
42	0	-17.8412	-54.4273	36.5861	4.428208e-05	2.139391e-06	0.00163576	0.003228581	3.537183e-05	0.0002529337	0.345988	0.381929	0.272083
43	1	-19.4294	-54.6275	35.1981	0.000259053	0.0004991046	0.001340946	0.004050464	0.0003351262	0.0005007205	0.0124226	0.802991	0.184586
44	0	-17.5895	-54.6258	37.0363	4.428208e-05	1.850193e-06	0.001095119	0.003241242	2.349991e-05	0.0002136059	0.0547916	0.296881	0.648327
45	1	-20.535	-55.6656	35.1305	0.000259053	0.0002679331	0.001340946	0.004192219	0.0005114962	0.0005007205	0.103661	0.456631	0.439707
46	0	-17.3101	-53.1724	35.8623	5.297614e-05	1.899215e-06	0.0009723371	0.00481896	3.866314e-05	0.0002457642	0.0296851	0.619063	0.351252
47	1	-22.3079	-56.9279	34.6201	0.0002408829	0.0002679331	0.001586005	0.004192219	0.0009416061	0.0005007205	0.165677	0.741338	0.0929846
48	0	-18.0772	-53.4418	35.3646	9.208306e-05	1.578204e-06	0.001531779	0.00481896	4.606601e-05	0.0002807245	0.0919273	0.461357	0.446716
49	1	-20.5376	-55.6305	35.0929	0.0004702397	0.0004404713	0.001049055	0.004192219	0.0006323023	0.0003365397	0.0987742	0.845157	0.0560689
50	0	-17.7195	-53.0228	35.3033	6.355874e-05	1.229183e-06	0.001531779	0.00481896	3.786174e-05	0.0003966453	0.114186	0.695398	0.190416
51	1	-18.7367	-54.399	35.6623	0.0002915529	0.0004404713	0.001049055	0.004192219	0.0002066079	0.0002080218	0.0715734	0.57575	0.352677
52	0	-18.5356	-53.2604	34.7248	4.032861e-05	7.614702e-07	0.00220214	0.00481896	3.374761e-05	0.000498585	0.0573519	0.930959	0.0116888
53	1	-19.5066	-55.8968	36.3902	0.0003855634	0.0004404725	0.001562291	0.002763139	0.0002066079	9.306673e-05	0.0373679	0.778503	0.18413
54	0	-19.4153	-53.3565	33.9412	3.630784e-05	5.004427e-07	0.00220214	0.006006658	2.636112e-05	0.0003310851	0.111244	0.866084	0.0226725
55	1	-22.1954	-57.0555	34.8602	0.0004741394	0.0006583891	0.001133201	0.004274508	0.0007758812	0.0001042515	0.0696899	0.586915	0.343395
56	0	-18.3656	-54.0165	35.6509	4.177024e-05	4.871996e-07	0.00220214	0.003690835	1.725623e-05	0.0004501337	0.371412	0.564681	0.0639064
57	1	-22.7176	-57.608	34.8904	0.0005435305	0.0008126398	0.0008622416	0.00431117	0.0007758812	7.596765e-05	0.0405971	0.52381	0.435593
58	0	-17.004	-53.0073	36.0033	6.583594e-05	7.587889e-07	0.001462394	0.003934888	1.220048e-05	0.000473051	0.079429	0.868327	0.0522439
59	1	-23.8154	-57.5021	33.6867	0.0009216996	0.0008126398	0.0009031692	0.005634865	0.0006117071	4.653363e-05	0.0717275	0.506814	0.421459
60	0	-19.0301	-53.2265	34.1965	4.207318e-05	7.587889e-07	0.001251827	0.006460172	2.600022e-05	0.000493735	0.136815	0.834038	0.0291469
61	1	-22.461	-56.7171	34.2561	0.0008262388	0.0004337278	0.0007434967	0.005634865	0.0005129041	4.653363e-05	0.0965171	0.681973	0.22151
62	0	-17.4912	-53.6682	36.177	2.348853e-05	5.773268e-07	0.001802898	0.003380064	2.472643e-05	0.000493735	0.174652	0.797479	0.0278692
63	1	-23.6865	-57.1026	33.4161	0.001303256	0.0009273615	0.000933038	0.005634865	0.0004068878	7.3574e-05	0.19745	0.369016	0.433534
64	0	-17.6847	-53.3554	35.6707	1.532652e-05	5.918906e-07	0.002149114	0.003875844	2.063553e-05	0.0003156427	0.140639	0.856512	0.00284884
65	1	-24.2104	-57.4802	33.2697	0.001167897	0.001402071	0.0008491787	0.00539782	0.0005767433	7.3574e-05	0.236235	0.57428	0.189485
66	0	-17.5103	-53.7655	36.2552	4.574219e-05	4.272404e-07	0.001119615	0.003875844	3.082771e-05	0.0005525002	0.497889	0.498849	0.00326214
67	1	-23.3183	-58.3505	35.0322	0.0003389784	0.001510672	0.0009271358	0.003419555	0.000901155	0.0001014389	0.161575	0.708826	0.129599
68	0	-17.6207	-54.0801	36.4594	4.574219e-05	3.515282e-07	0.0008351845	0.003844916	2.398761e-05	0.0006118661	0.495282	0.496238	0.00848037
69	1	-21.8064	-57.1287	35.3223	0.0005447398	0.001509309	0.0009271358	0.003162588	0.0005548151	0.000126978	0.0597523	0.846805	0.093443
70	0	-18.1489	-54.2128	36.0639	4.311358e-05	2.305422e-07	0.001972746	0.00336203	2.187079e-05	0.0004710523	0.47535	0.516511	0.00813908
71	1	-23.5129	-57.1149	33.602	0.0005447398	0.00170354	0.001830038	0.004254573	0.0005548151	0.0001519471	0.216513	0.444897	0.338591
72	0	-19.314	-54.7233	35.4093	2.710808e-05	2.71259e-07	0.002353332	0.003653386	2.269487e-05	0.0006568593	0.554317	0.437235	0.00844762
73	1	-24.8987	-57.3405	32.4418	0.0005568122	0.001443892	0.001791755	0.006084896	0.0005548151	0.0001007652	0.145149	0.434531	0.420319
74	0	-19.9812	-55.8172	35.836	9.254838e-06	2.71259e-07	0.001697236	0.003423417	2.269487e-05	0.00101149	0.790589	0.193629	0.0157818
75	1	-25.9187	-59.0249	33.1063	0.0005492858	0.001029489	0.002633482	0.004339781	0.0009384933	0.0001871725	0.153104	0.403541	0.443355
76	0	-20.3805	-55.7982	35.4177	9.254838e-06	3.019674e-07	0.002413294	0.002979573	5.153936e-05	0.001248857	0.15602	0.804712	0.0392679
