Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_morpho
116	0	-61.7266	-61.7242	-0.00239018	0.002390175
117	1	-62.812	-62.8109	-0.00112081	0.001120809
118	0	-61.9712	-61.9687	-0.00254652	0.002546518
119	1	-62.3885	-62.3873	-0.00122302	0.001223019
120	0	-61.3471	-61.3451	-0.00191743	0.00191743
121	1	-62.2146	-62.2133	-0.00127319	0.001273189
122	0	-61.3579	-61.3561	-0.001805	0.001805004
123	1	-61.3818	-61.38	-0.00174802	0.001748021
124	0	-61.5235	-61.5212	-0.00222221	0.002222213
125	1	-61.5653	-61.563	-0.00226183	0.002261833
126	0	-61.3568	-61.3549	-0.00196846	0.001968457
127	1	-62.9078	-62.9067	-0.0011006	0.001100603
128	0	-61.3568	-61.3549	-0.00196846	0.001968457
129	1	-63.2033	-63.2022	-0.00104336	0.001043365
130	0	-61.9683	-61.9657	-0.00254481	0.002544814
131	1	-62.1056	-62.1043	-0.00130802	0.001308017
132	0	-61.9683	-61.9657	-0.00254481	0.002544814
133	1	-61.4309	-61.4288	-0.00211539	0.002115388
134	0	-61.7609	-61.7585	-0.00241422	0.002414219
135	1	-62.1506	-62.1493	-0.00129326	0.001293262
136	0	-61.6467	-61.6443	-0.00233035	0.002330346
137	1	-61.5401	-61.5386	-0.00157586	0.001575862
138	0	-61.39	-61.3883	-0.00173353	0.001733535
139	1	-61.3659	-61.3641	-0.00178212	0.001782118
140	0	-62.3933	-62.3906	-0.00276649	0.002766488
141	1	-62.6429	-62.6401	-0.00288023	0.002880226
142	0	-61.8054	-61.8029	-0.00244416	0.002444158
143	1	-62.1438	-62.1412	-0.0026419	0.002641904
144	0	-61.4478	-61.4462	-0.00165764	0.001657642
145	1	-61.4073	-61.4052	-0.00208018	0.00208018
146	0	-61.6997	-61.6973	-0.00237072	0.00237072
147	1	-61.4073	-61.4052	-0.00208018	0.00208018
148	0	-61.3598	-61.3578	-0.0019786	0.001978601
149	1	-61.555	-61.5527	-0.00225239	0.002252394
150	0	-61.9787	-61.9762	-0.00255087	0.002550873
151	1	-61.9001	-61.8976	-0.0025042	0.002504202
152	0	-62.1781	-62.1755	-0.00265984	0.002659836
153	1	-61.4889	-61.4873	-0.00161765	0.001617648
154	0	-61.4417	-61.4396	-0.00212993	0.002129932
155	1	-61.3458	-61.344	-0.0018727	0.001872704
156	0	-61.8417	-61.8403	-0.00140807	0.001408066
157	1	-61.4972	-61.495	-0.00219522	0.002195225
158	0	-61.8417	-61.8403	-0.00140807	0.001408066
159	1	-61.673	-61.6707	-0.00235077	0.002350767
160	0	-61.8417	-61.8403	-0.00140807	0.001408066
161	1	-61.7562	-61.7548	-0.00144736	0.001447357
162	0	-61.6057	-61.6042	-0.00153067	0.001530665
163	1	-61.3946	-61.3926	-0.00205868	0.002058684
164	0	-61.4873	-61.4852	-0.00218452	0.002184517
165	1	-63.7954	-63.7921	-0.00332741	0.003327414
166	0	-61.3457	-61.3438	-0.00189765	0.001897651
167	1	-64.4667	-64.4632	-0.00355416	0.003554161
168	0	-61.3731	-61.371	-0.00201475	0.00201475
169	1	-66.1945	-66.1904	-0.004079	0.004078996
170	0	-62.9473	-62.9443	-0.00300852	0.003008524
171	1	-66.1945	-66.1904	-0.004079	0.004078996
172	0	-61.6737	-61.6722	-0.00149028	0.00149028
173	1	-61.5243	-61.5221	-0.00222305	0.00222305
174	0	-61.7649	-61.7625	-0.00241696	0.00241696
175	1	-61.3546	-61.3527	-0.00181673	0.001816729
176	0	-61.6379	-61.6364	-0.00151084	0.001510839
177	1	-61.9345	-61.932	-0.00252491	0.002524911
178	0	-61.3648	-61.3628	-0.00199358	0.001993578
179	1	-61.5467	-61.5452	-0.00157096	0.001570956
