Iteration	Posterior	Likelihood	Prior	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
0	-23.8665	-62.3375	38.471	4.611625e-05	1.369354e-06	0.0005985884	0.00108309	0.0006449937	0.0003989328	0.476136	0.421915	0.101949
1	-21.4231	-59.1858	37.7628	3.780704e-05	1.369354e-06	0.0009849133	0.001725414	0.0005091393	0.0004259597	0.128496	0.294168	0.577336
2	-20.123	-57.4581	37.3351	7.672723e-05	1.249969e-06	0.001289933	0.001987663	0.0005091393	0.0003702963	0.0193091	0.915101	0.0655894
3	-21.0275	-55.9942	34.9667	0.0001431226	1.249969e-06	0.002250038	0.003830383	0.0005797193	0.0004787346	0.016011	0.758796	0.225193
4	-19.879	-55.2547	35.3757	0.0001105314	2.225917e-06	0.001837332	0.003830383	0.000455984	0.0005203792	0.0291645	0.689032	0.281804
5	-20.3841	-55.8981	35.5141	0.0001492698	1.14748e-06	0.002479227	0.003036755	0.000253766	0.0006585979	0.0291645	0.689032	0.281804
6	-20.2605	-55.6255	35.365	0.0001412384	2.379258e-06	0.001775812	0.003725396	0.0005122492	0.00061359	0.0291645	0.689032	0.281804
7	-20.1114	-55.4045	35.2931	0.0001412384	3.294703e-06	0.001775812	0.003725396	0.0003770467	0.0008403922	0.0198951	0.734284	0.245821
8	-21.5301	-56.014	34.4839	0.0002460298	1.855286e-06	0.002808009	0.003725396	0.0002355467	0.0008877728	0.0198951	0.734284	0.245821
9	-20.323	-55.4614	35.1383	0.0002460298	3.5043e-06	0.002768702	0.00326177	0.000203892	0.0005784442	0.00870276	0.939983	0.0513139
10	-20.1448	-54.0332	33.8884	0.0002460298	3.349458e-06	0.002768702	0.005257123	7.531672e-05	0.0003205366	0.00870276	0.939983	0.0513139
11	-20.2534	-55.1056	34.8522	0.0002575415	2.809528e-06	0.002768702	0.00353002	9.176892e-05	0.0007797838	0.0117923	0.937054	0.0511539
12	-19.321	-55.6702	36.3492	0.0002575415	3.560715e-06	0.002388128	0.002439527	0.0001055575	0.0003095753	0.00399801	0.944445	0.0515574
13	-17.3697	-53.6493	36.2796	0.0002575415	2.707741e-06	0.001453685	0.003520087	7.010874e-05	0.0002893807	0.00567877	0.768577	0.225745
14	-16.8987	-53.5774	36.6787	0.0001584668	3.0332e-06	0.001003896	0.003520087	4.838233e-05	0.0003459154	0.00567877	0.768577	0.225745
15	-17.2066	-54.4868	37.2802	0.0002442613	2.293236e-06	0.0008509828	0.002791983	7.022682e-05	0.0003459154	0.00700696	0.948336	0.0446573
16	-17.3057	-54.319	37.0134	0.0001558963	3.569747e-06	0.001285203	0.002904019	7.456747e-05	0.0002258595	0.0322442	0.762255	0.205501
