Iteration	Posterior	Likelihood	Prior	prob_rate_12	prob_rate_13	prob_rate_21	prob_rate_23	prob_rate_31	prob_rate_32	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
0	-43.5348	-62.3761	18.8413	0	1	0	0	1	0	0.000373053	0	0.003797865	0.0009470463	0	0.0004350438	0.0654273	0.587373	0.3472
1	-32.7388	-56.626	23.8871	0	0	0	0	1	0	0.0001508997	0.001976598	0.002321527	0.002260228	0	0.0009153851	0.0416337	0.899902	0.0584646
2	-45.5476	-57.7386	12.191	1	1	0	0	1	0	0	0	0.002807248	0.001823864	0	0.0009153851	0.125194	0.417355	0.457451
3	-34.5623	-58.5316	23.9692	0	0	0	0	1	0	0.0005486167	0.001380968	0.002807248	0.002120636	0	0.0006615289	0.308534	0.199529	0.491937
4	-26.0992	-55.7607	29.6615	0	0	0	0	0	0	0.0001203355	0.002011924	0.002807248	0.003373033	2.519496e-05	0.0004208405	0.253456	0.608684	0.13786
5	-34.5963	-56.8324	22.236	0	1	0	0	0	0	0.003341788	0	0.002527333	0.003373033	2.522058e-05	0.0004823101	0.411357	0.538445	0.0501983
6	-40.1752	-55.5978	15.4226	0	1	0	0	1	0	0.002962569	0	0.002494631	0.004019552	0	0.0004762658	0.155274	0.825778	0.0189482
7	-29.7191	-53.8414	24.1223	0	0	0	0	1	0	0.0002343445	0.0001618866	0.002494631	0.004019552	0	0.0004116057	0.154859	0.823571	0.0215697
8	-43.758	-54.4699	10.7118	1	1	0	0	1	0	0	0	0.002778998	0.004019552	0	0.0006516759	0.302274	0.658076	0.0396496
9	-31.5525	-55.5407	23.9882	0	0	0	0	1	0	0.001485619	0.0002943023	0.001289836	0.003576285	0	0.0008484893	0.4679	0.470725	0.0613749
10	-38.7593	-56.5835	17.8243	1	0	0	0	1	0	0	0.0004607901	0.001701967	0.003261996	0	0.001437293	0.677541	0.265834	0.0566244
11	-42.6289	-58.0739	15.445	0	1	0	0	1	0	0.00270536	0	0.002149312	0.00349853	0	0.001571088	0.44686	0.456007	0.0971325
12	-36.0838	-57.1041	21.0204	0	0	0	0	1	0	0.003489536	0.0001943535	0.001459374	0.005214734	0	0.0009562999	0.319732	0.326277	0.353992
13	-39.0336	-57.1956	18.162	1	0	0	0	1	0	0	0.0001190804	0.0009316927	0.003312532	0	0.002064046	0.0366823	0.50616	0.457157
14	-47.5441	-55.6682	8.12417	1	1	1	1	0	0	0	0	0	0	0.0004700351	0.001744855	0.0366823	0.50616	0.457157
15	-47.607	-55.4438	7.83682	1	1	1	1	0	0	0	0	0	0	0.0004700351	0.002114677	0.077788	0.484562	0.43765
16	-43.6089	-58.8427	15.2338	1	1	0	1	0	0	0	0	0.0002798808	0	0.0004700351	0.0008804283	0.307886	0.0869149	0.605199
17	-40.4528	-60.8675	20.4147	0	1	0	0	1	0	0.000399189	0	0.0002798808	0.0016901	0	0.001158871	0.296261	0.121391	0.582348
18	-43.9851	-58.1646	14.1795	1	1	0	1	0	0	0	0	0.0003051494	0	0.001331407	0.001350657	0.23908	0.33242	0.4285
19	-25.4456	-58.1228	32.6772	0	0	0	0	0	0	0.0004983578	3.18014e-06	7.541141e-05	0.0008975585	0.001421836	0.001980895	0.282005	0.212562	0.505434
20	-41.0991	-59.7772	18.6781	1	1	0	0	0	0	0	0	0.0008298095	0.001089413	0.001644511	0.002199355	0.280957	0.215488	0.503556
21	-41.8301	-59.985	18.155	1	0	0	0	1	0	0	0.001689867	0.0005836912	0.001963468	0	0.002199355	0.159946	0.31924	0.520814
22	-36.4248	-56.1831	19.7583	0	1	0	1	0	0	0.0004586146	0	0.001668128	0	4.672378e-05	0.002199355	0.0716097	0.577686	0.350705
23	-37.0382	-56.622	19.5838	0	1	0	1	0	0	0.0006447909	0	0.001719798	0	3.350975e-05	0.002199355	0.0311648	0.409249	0.559586
24	-33.6971	-53.092	19.395	0	1	0	1	0	0	0.0003957917	0	0.001719798	0	3.181781e-05	0.002693058	0.0297243	0.564594	0.405681
25	-31.5855	-50.4453	18.8598	0	1	0	1	0	0	0.0003957917	0	0.001899517	0	3.181781e-05	0.003202094	0.0136028	0.430535	0.555862
26	-32.8934	-52.028	19.1346	0	1	0	1	0	0	0.0004865393	0	0.001455335	0	3.15863e-05	0.003202094	0.0136028	0.430535	0.555862
27	-31.5523	-50.0927	18.5404	0	1	0	1	0	0	0.0004865393	0	0.001655844	0	3.264977e-05	0.0037653	0.0354528	0.631357	0.333191
28	-27.8838	-45.3914	17.5075	0	1	0	1	0	0	0.0004514814	0	0.001555104	0	1.922826e-05	0.00524386	0.0435444	0.291639	0.664817
29	-23.4456	-39.3653	15.9197	0	1	0	1	0	0	0.0002298924	0	0.001555104	0	2.147444e-05	0.007506756	0.0779142	0.283159	0.638927
30	-23.7805	-38.9236	15.1431	0	1	0	1	0	0	0.0002298924	0	0.001555104	0	4.134132e-05	0.008486424	0.631407	0.130882	0.237711
31	-21.2983	-34.7755	13.4772	0	1	0	1	0	0	0.0002003458	0	0.00226311	0	2.999107e-05	0.009963391	0.308123	0.146771	0.545106
32	-21.7378	-33.2256	11.4879	0	1	0	1	0	0	0.0002112653	0	0.003678932	0	2.762576e-05	0.0110994	0.308123	0.146771	0.545106
33	-19.2714	-27.0035	7.73204	0	1	0	1	0	0	0.0001422128	0	0.003565162	0	2.762576e-05	0.0161161	0.11187	0.0456533	0.842476
34	-19.1165	-26.8541	7.73765	0	1	0	1	0	0	0.0001290145	0	0.003565162	0	3.360365e-05	0.0161161	0.0301902	0.0310737	0.938736
35	-19.5789	-27.2535	7.67459	0	1	0	1	0	0	0.0002101724	0	0.003565162	0	3.360365e-05	0.0161161	0.0301902	0.0310737	0.938736
36	-19.7816	-27.7649	7.98334	0	1	0	1	0	0	0.000296509	0	0.003081464	0	3.360365e-05	0.0161161	0.0703063	0.0723637	0.85733
37	-19.4719	-20.9761	1.5042	0	1	0	1	0	0	0.0002097489	0	0.002862411	0	3.360365e-05	0.0247608	0.357643	0.0452059	0.597151
38	-19.8641	-26.1924	6.32831	0	1	0	1	0	0	0.0002215422	0	0.003063758	0	6.860786e-05	0.01830385	0.490762	0.0358376	0.4734
39	-20.4833	-20.6235	0.140157	0	1	0	1	0	0	0.0001504375	0	0.003675646	0	7.292612e-05	0.02572313	0.579189	0.042295	0.378516
40	-20.1669	-30.8957	10.7288	0	1	0	1	0	0	0.0001504375	0	0.003292549	0	7.308444e-05	0.01247809	0.0284756	0.0976464	0.873878
41	-19.7585	-28.4683	8.70979	0	1	0	1	0	0	0.000186243	0	0.003111786	0	0.0001265368	0.01516813	0.0284756	0.0976464	0.873878
42	-20.3276	-28.6541	8.3265	0	1	0	1	0	0	0.0001307406	0	0.003672722	0	0.0001144115	0.01516813	0.101123	0.346762	0.552116
43	-19.5021	-24.6635	5.1614	0	1	0	1	0	0	0.0001781265	0	0.00330179	0	0.0001144115	0.01956528	0.0161428	0.239954	0.743903
44	-19.062	-24.5136	5.45153	0	1	0	1	0	0	0.0001781265	0	0.002935083	0	0.0001077115	0.01956528	0.0312831	0.0911642	0.877553
45	-22.0986	-15.6884	-6.41013	0	1	0	1	0	0	0.0001523047	0	0.002917486	0	0.0001706908	0.03481212	0.123762	0.453882	0.422356
46	-24.6629	-12.2818	-12.3811	0	1	0	1	0	0	0.0002317615	0	0.00203438	0	0.000103352	0.04336795	0.102743	0.46477	0.432488
