Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
56	0	-421.544	-410.327	-11.2171	612113.3	8.24832	0.998376	0.999585	1.00041	1.00163	3.323229
57	1	-421.553	-409.829	-11.7238	870471.2	7.955114	0.998638	0.999652	1.00035	1.00136	3.366634
58	0	-425.256	-417.97	-7.28577	877951	11.6246	0.998644	0.999653	1.00035	1.00136	2.935776
59	1	-427.591	-422.838	-4.75356	186991.5	11.64426	0.997062	0.999248	1.00075	1.00294	2.717806
60	0	-425.839	-411.27	-14.5685	435134.1	13.12596	0.998074	0.999507	1.00049	1.00193	3.437322
61	1	-433.397	-414.28	-19.1168	340236.1	9.646354	0.997822	0.999443	1.00056	1.00218	4.16717
62	0	-429.361	-416.784	-12.5778	997823.3	6.61908	0.998728	0.999675	1.00032	1.00127	3.298929
63	1	-424.927	-414.035	-10.8924	125525.6	10.24841	0.996415	0.999081	1.00091	1.00359	3.303058
64	0	-426.502	-418.725	-7.7773	451359.3	10.3553	0.998109	0.999516	1.00048	1.00189	2.999139
65	1	-420.7	-412.053	-8.64662	467809	10.48521	0.998142	0.999525	1.00047	1.00186	3.081649
66	0	-428.988	-414.3	-14.688	942891.8	9.103722	0.998691	0.999665	1.00033	1.00131	3.73112
67	1	-422.798	-411.735	-11.0628	499648.6	9.283428	0.998202	0.99954	1.00046	1.0018	3.334012
68	0	-423.091	-413.168	-9.92309	506066.8	11.15389	0.998214	0.999543	1.00046	1.00179	3.182264
69	1	-417.006	-407.994	-9.01158	804714.1	11.549	0.998583	0.999638	1.00036	1.00142	3.087093
70	0	-430.957	-414.113	-16.8445	468387.6	7.339404	0.998143	0.999525	1.00047	1.00186	4.001337
71	1	-421.208	-411.156	-10.0522	668417.4	12.44547	0.998446	0.999602	1.0004	1.00156	3.132161
72	0	-429.212	-419.836	-9.37601	196141.2	9.234475	0.997131	0.999265	1.00073	1.00287	3.151187
73	1	-408.54	-405.323	-3.21657	521393.5	14.77815	0.99824	0.99955	1.00045	1.00176	2.527256
74	0	-442.989	-425.757	-17.2315	480251.3	7.739787	0.998166	0.999531	1.00047	1.00183	4.060469
75	1	-411.425	-408.59	-2.83458	489912.7	13.05102	0.998185	0.999536	1.00046	1.00182	2.544648
76	0	-419.82	-412.27	-7.55054	663306.3	9.412259	0.99844	0.999601	1.0004	1.00156	2.960799
77	1	-414.002	-406.352	-7.64941	220518	8.496344	0.997294	0.999307	1.00069	1.00271	2.915539
78	0	-425.617	-414.409	-11.208	980253.4	7.499263	0.998716	0.999672	1.00033	1.00128	3.254992
79	1	-415.264	-409.892	-5.37234	969252.8	10.86835	0.998709	0.99967	1.00033	1.00129	2.773667
80	0	-428.005	-414.956	-13.0492	508597	9.756956	0.998218	0.999544	1.00045	1.00178	3.534349
81	1	-417.98	-420.854	2.87421	837065	14.6052	0.998611	0.999645	1.00035	1.00139	2.115925
82	0	-421.744	-412.793	-8.95145	140909.9	9.453733	0.996616	0.999133	1.00086	1.00339	3.110466
83	1	-423.941	-414.517	-9.42361	935794	8.970594	0.998686	0.999664	1.00034	1.00131	3.14842
84	0	-420.925	-416.728	-4.19665	398377.7	13.59264	0.997987	0.999485	1.00051	1.00201	2.634209
