Iteration	Posterior	Likelihood	Prior	prob_rate_12	prob_rate_13	prob_rate_21	prob_rate_23	prob_rate_31	prob_rate_32	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
41	-38.2814	-54.019	15.7376	1	0	0	0	1	0	0	9.51015e-05	0.002315643	0.006879636	0	0.0002572239	0.0336063	0.706857	0.259536
42	-36.2452	-53.5798	17.3346	1	1	0	0	0	0	0	0	0.001396279	0.005766479	0.0001749812	0.000154515	0.0368966	0.776063	0.187041
43	-31.9064	-55.5793	23.673	0	1	0	0	0	0	0.001997508	0	0.0005310443	0.00499076	0.000168509	0.0002124799	0.0622984	0.755594	0.182108
44	-47.3131	-57.7806	10.4675	1	0	0	0	1	1	0	0.002052324	0.001147695	0.004564699	0	0	0.189274	0.653278	0.157448
45	-39.479	-55.1524	15.6734	1	0	0	0	1	0	0	0.002360195	0.001760337	0.004564699	0	0.0009450783	0.0887573	0.746078	0.165165
46	-41.6011	-54.8038	13.2027	1	1	0	0	1	0	0	0	0.0009249709	0.002799207	0	0.0005202022	0.153954	0.469882	0.376164
47	-38.3372	-55.1832	16.846	0	1	0	0	1	0	0.001906062	0	0.001334447	0.004160702	0	0.0007199045	0.147369	0.449785	0.402847
48	-44.5065	-57.0861	12.5796	1	0	0	0	1	1	0	6.11597e-05	0.0008244261	0.004160702	0	0	0.0676701	0.846392	0.0859381
49	-34.3354	-53.4458	19.1104	1	1	0	0	0	0	0	0	0.0007555307	0.004160702	4.538333e-05	0.000245142	0.235861	0.693704	0.070435
50	-34.9468	-54.7606	19.8137	0	1	0	0	1	0	0.000235361	0	0.0007555307	0.003147406	0	0.0001632471	0.0925021	0.473792	0.433706
51	-34.6314	-54.3755	19.744	0	1	0	0	1	0	0.0003505826	0	0.0007555307	0.003147406	0	0.000137695	0.031703	0.825991	0.142306
52	-35.8579	-55.2785	19.4206	1	0	0	0	1	0	0	0.001076352	0.000627095	0.002911885	0	0.0001921836	0.0374177	0.683349	0.279233
53	-37.9733	-55.5158	17.5425	0	1	0	0	1	0	0.001503197	0	0.0005320976	0.005039609	0	0.000149779	0.0418565	0.392696	0.565448
54	-36.7743	-55.772	18.9977	1	1	0	0	0	0	0	0	0.0008140059	0.003954472	0.0004572958	0.000125963	0.0418565	0.392696	0.565448
55	-29.8054	-56.0579	26.2524	0	0	0	0	1	0	0.0006478253	0.0001517151	0.0009196396	0.002739688	0	0.0001215395	0.0336534	0.315735	0.650612
56	-31.9921	-57.0946	25.1025	1	0	0	0	0	0	0	0.0005209872	0.0009196396	0.003559261	0.0009028262	0.0001577267	0.0217059	0.786232	0.192062
57	-27.709	-53.7597	26.0507	0	0	0	0	1	0	6.107008e-05	0.0003137122	0.0007314386	0.003559261	0	0.0001745424	0.0247068	0.894932	0.080361
58	-35.371	-55.4983	20.1272	1	0	0	0	1	0	0	0.0002833008	0.0007314386	0.002741375	0	0.0001418931	0.133268	0.433269	0.433464
59	-42.5725	-54.3083	11.7358	1	1	0	0	1	0	0	0	0.002099125	0.003924734	0	0.000108498	0.138319	0.411785	0.449895
60	-36.8512	-54.8887	18.0375	1	0	0	0	1	0	0	0.0004774745	0.00202414	0.003750038	0	0.0003358758	0.0243088	0.204092	0.771599
