Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-688.029	-634.244	-53.7845	1	2.761869	0.136954	0.476752	1	2.38629	12.66184
10	-526.089	-484.188	-41.9007	1.194953	4.187921	0.174137	0.528417	1.02605	2.2714	8.724898
20	-483.051	-442.641	-40.4102	0.4126096	3.745757	0.0185748	0.191111	0.744573	3.04574	8.397477
30	-464.942	-433.689	-31.2526	2.208684	4.754789	0.316974	0.675516	1.07443	1.93308	6.302483
40	-453.572	-423.946	-29.6263	1.838509	5.809661	0.273204	0.636664	1.06537	2.02476	5.980029
50	-448.466	-415.958	-32.5078	1.951415	8.225952	0.287405	0.649746	1.06872	1.99412	5.910149
60	-439.875	-416.615	-23.2606	5.205411	7.127596	0.510392	0.808721	1.08293	1.59796	4.89078
70	-447.459	-420.544	-26.9149	1.109131	6.213602	0.1582	0.507264	1.01597	2.31857	5.498883
80	-427.94	-413.515	-14.4253	1.520942	10.13962	0.22854	0.592006	1.05163	2.12783	3.654329
90	-433.966	-415.607	-18.3586	0.9734629	9.640887	0.131629	0.468627	0.99546	2.40428	4.089063
100	-412.707	-406.227	-6.48002	2.137402	8.297498	0.309143	0.668872	1.07308	1.94891	2.755084
110	-418.798	-408.231	-10.5666	1.616562	6.780408	0.24278	0.606874	1.05659	2.09375	3.036258
120	-423.341	-411.161	-12.1805	1.337191	11.72689	0.199041	0.559005	1.03924	2.20272	3.35047
130	-418.38	-416.449	-1.93152	2.44478	10.09396	0.341158	0.695271	1.07797	1.8856	2.419264
140	-415.524	-409.721	-5.8028	3.041707	11.00675	0.392463	0.733811	1.08271	1.79101	2.813322
150	-425.496	-414.766	-10.73	3.721196	11.08913	0.438358	0.76498	1.08433	1.71233	3.25745
160	-424.138	-411.442	-12.6961	25.87882	9.554719	0.762364	0.92563	1.05234	1.25967	3.504093
170	-411.385	-404.813	-6.572	143.5926	11.68601	0.896007	0.970953	1.02507	1.10797	2.873097
180	-424.45	-419.672	-4.77764	541.3186	11.18007	0.945908	0.985523	1.01342	1.05515	2.72103
190	-429.789	-416.566	-13.2231	885.7199	8.059589	0.957618	0.988771	1.01058	1.04303	3.559854
200	-435.007	-420.26	-14.7473	6398.084	13.21994	0.984154	0.995897	1.00401	1.01594	3.442795
