Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
590	-424.936	-415.168	-9.76779	628215.1	12.17616	0.998397	0.99959	1.00041	1.0016	3.123209
600	-424.085	-416.219	-7.86545	273950.9	10.84201	0.997573	0.999379	1.00062	1.00243	3.003454
610	-424.901	-413.255	-11.6463	406965	9.142298	0.998008	0.99949	1.00051	1.00199	3.397093
620	-433.102	-418.353	-14.7492	137709.5	8.998842	0.996577	0.999123	1.00087	1.00343	3.741247
630	-420.281	-409.867	-10.4134	56856.54	17.17758	0.994674	0.998633	1.00136	1.00534	2.854313
640	-426.701	-417.876	-8.82528	10225.3	14.22098	0.987458	0.996761	1.00318	1.0126	2.939325
650	-424.925	-411.796	-13.1287	534696	7.147311	0.998262	0.999555	1.00044	1.00174	3.471907
660	-426.554	-416.902	-9.65184	776197.7	10.05431	0.998558	0.999631	1.00037	1.00144	3.184536
670	-417.322	-408.969	-8.35302	143329.5	11.19101	0.996645	0.99914	1.00086	1.00336	3.040545
680	-415.73	-416.813	1.08384	661859.9	12.03754	0.998438	0.999601	1.0004	1.00156	2.228607
690	-419.472	-411.972	-7.49989	30877.91	10.18974	0.992776	0.998143	1.00184	1.00724	2.971697
700	-418.094	-410.874	-7.22022	896063.7	14.02188	0.998658	0.999657	1.00034	1.00134	2.836251
710	-421.305	-415.605	-5.70031	299028.4	10.86463	0.997676	0.999405	1.00059	1.00233	2.803832
720	-420.509	-417.793	-2.71675	7101.211	12.4902	0.984957	0.996107	1.00381	1.01512	2.542407
730	-422.08	-408.998	-13.0824	454052.4	9.153007	0.998114	0.999518	1.00048	1.00189	3.554003
740	-415.093	-406.965	-8.1277	373249.2	11.06007	0.99792	0.999468	1.00053	1.00208	3.02342
750	-416.718	-410.634	-6.08353	486869.8	10.60447	0.998179	0.999534	1.00046	1.00182	2.838239
760	-428.72	-416.464	-12.2558	843658.2	7.585773	0.998616	0.999646	1.00035	1.00138	3.403602
770	-431.298	-419.601	-11.6964	661933.5	10.7113	0.998438	0.999601	1.0004	1.00156	3.36283
780	-428.008	-418.687	-9.32071	283968.6	8.673322	0.997616	0.99939	1.00061	1.00239	3.1231
790	-422.778	-416.323	-6.45553	631833.9	12.76006	0.998401	0.999591	1.00041	1.0016	2.832696
800	-416.689	-404.267	-12.4226	745285.1	7.286284	0.998528	0.999624	1.00038	1.00147	3.392185
810	-420.865	-408.239	-12.6253	449563.8	7.96282	0.998105	0.999515	1.00048	1.0019	3.48041
820	-433.212	-421.879	-11.3331	600482.6	8.71124	0.99836	0.999581	1.00042	1.00164	3.356168
830	-425.378	-417.346	-8.03127	230529	16.53983	0.997354	0.999323	1.00067	1.00265	2.752571
840	-424.088	-412.371	-11.7173	706908.4	9.035165	0.998489	0.999613	1.00039	1.00151	3.404554
850	-411.802	-408.506	-3.29605	943429.9	14.81296	0.998692	0.999665	1.00033	1.00131	2.531454
860	-418.929	-410.335	-8.59371	370194.3	10.34821	0.997912	0.999466	1.00053	1.00209	3.078041
870	-420.469	-410.309	-10.1598	63617.19	9.297174	0.994965	0.998708	1.00128	1.00504	3.236912
880	-425.701	-414.819	-10.882	955510.4	9.296955	0.9987	0.999668	1.00033	1.0013	3.314592
890	-428.557	-417.134	-11.4231	526090.1	10.02166	0.998248	0.999552	1.00045	1.00175	3.3616
900	-421.676	-413.74	-7.93624	251295.6	9.688102	0.997465	0.999351	1.00065	1.00254	3.009006
910	-414.56	-407.335	-7.2245	982158.8	15.59412	0.998718	0.999672	1.00033	1.00128	2.7553
920	-422.359	-413.36	-8.99836	952288.3	9.618053	0.998698	0.999667	1.00033	1.0013	3.11791
930	-425.953	-414.253	-11.7006	124421.9	9.351381	0.996399	0.999077	1.00092	1.00361	3.402272
940	-414.351	-404.543	-9.80785	236527.8	9.472705	0.997388	0.999331	1.00067	1.00261	3.201227
950	-416.555	-410.357	-6.19828	268959.8	8.676303	0.99755	0.999373	1.00062	1.00245	2.763386
960	-413.828	-404.513	-9.31434	263906.5	14.09192	0.997527	0.999367	1.00063	1.00248	2.981433
970	-430.391	-413.28	-17.1113	591827.2	5.22878	0.998348	0.999577	1.00042	1.00165	3.608237
980	-415.372	-408.611	-6.76131	120951	12.12003	0.996347	0.999064	1.00093	1.00366	2.87796
990	-427.409	-416.495	-10.9139	100293.1	7.703647	0.995989	0.998972	1.00102	1.00402	3.240324
1000	-427.004	-414.684	-12.3203	427387.5	9.434491	0.998056	0.999503	1.0005	1.00195	3.467169
1010	-412.478	-405.373	-7.10497	172691.5	12.33099	0.996943	0.999217	1.00078	1.00306	2.899352
1020	-418.922	-408.538	-10.3833	745830	10.50129	0.998529	0.999624	1.00038	1.00147	3.24682
1030	-420.429	-413.459	-6.96997	863161.8	10.84394	0.998632	0.99965	1.00035	1.00137	2.920847
1040	-427.101	-420.516	-6.5848	213946.4	11.49665	0.997253	0.999297	1.0007	1.00275	2.877934
1050	-419.75	-410.7	-9.05017	240839.9	12.26047	0.997411	0.999337	1.00066	1.00259	3.060398
1060	-418.498	-420.621	2.12244	939676.7	14.03487	0.998689	0.999665	1.00033	1.00131	2.169942
1070	-428.91	-421.843	-7.06655	400355.6	9.524648	0.997992	0.999486	1.00051	1.00201	2.913814
1080	-427.833	-423.484	-4.34861	530450.2	9.537696	0.998255	0.999554	1.00045	1.00175	2.629323
1090	-424.059	-414.462	-9.59762	603191.6	8.908171	0.998364	0.999581	1.00042	1.00164	3.16555
1100	-424.816	-414.294	-10.5221	337665	9.898703	0.997813	0.99944	1.00056	1.00219	3.273663
1110	-422.284	-409.347	-12.9375	131903.1	11.09081	0.996502	0.999104	1.00089	1.0035	3.456415
1120	-424.255	-413.66	-10.5952	947680.2	12.72067	0.998695	0.999666	1.00033	1.00131	3.159497
1130	-426.035	-412.944	-13.0902	325175	7.478391	0.997772	0.99943	1.00057	1.00223	3.504018
1140	-424.773	-417.89	-6.88289	691729.7	9.130757	0.998472	0.999609	1.00039	1.00153	2.875385
1150	-424.334	-415.286	-9.04809	110941.9	8.329013	0.996186	0.999023	1.00097	1.00382	3.067251
1160	-433.162	-418.566	-14.5967	104391.6	7.306435	0.996069	0.998992	1.001	1.00394	3.692313
1170	-425.332	-413.704	-11.6273	305320.4	12.34445	0.997701	0.999412	1.00059	1.0023	3.265237
1180	-416.471	-413.154	-3.31709	295915	12.26314	0.997664	0.999402	1.0006	1.00234	2.592769
1190	-412.987	-410.203	-2.78408	547984.1	18.18128	0.998283	0.999561	1.00044	1.00172	2.369144
1200	-407.628	-406.672	-0.956741	771095.6	12.30661	0.998553	0.99963	1.00037	1.00145	2.400598
1210	-424.296	-411.32	-12.9764	60877.88	8.731091	0.994853	0.998679	1.00131	1.00516	3.544897
1220	-426.312	-417.233	-9.07868	246979.5	13.4483	0.997443	0.999346	1.00065	1.00256	3.001454
1230	-426.497	-414.471	-12.0257	66508.01	9.854692	0.995075	0.998737	1.00125	1.00493	3.426832
1240	-428.94	-414.362	-14.5776	429731.3	9.025748	0.998062	0.999504	1.00049	1.00194	3.721404
1250	-424.103	-414.766	-9.33696	748116.6	14.06307	0.998531	0.999624	1.00037	1.00147	2.984758
1260	-426.45	-417.878	-8.57188	478653.1	11.16091	0.998163	0.99953	1.00047	1.00184	3.06093
1270	-422.669	-421.17	-1.49897	50841.49	10.43111	0.994368	0.998555	1.00143	1.00564	2.39708
1280	-436.781	-420.017	-16.7633	436020.4	9.974312	0.998076	0.999508	1.00049	1.00193	3.898233
1290	-429.437	-422.142	-7.29498	344836.4	9.143085	0.997836	0.999446	1.00055	1.00217	2.921178
1300	-429.763	-423.508	-6.2557	919525.3	9.415223	0.998675	0.999661	1.00034	1.00133	2.823381
1310	-431.464	-415.314	-16.1496	672344.6	12.89603	0.99845	0.999604	1.0004	1.00155	3.579557
1320	-436.798	-421.247	-15.5515	655344.3	6.545651	0.99843	0.999599	1.0004	1.00157	3.736241
1330	-436.098	-422.169	-13.9288	922773.1	8.732525	0.998677	0.999662	1.00034	1.00132	3.653976
1340	-439.117	-425.33	-13.7871	360826.7	11.55739	0.997885	0.999459	1.00054	1.00212	3.49998
1350	-431.087	-417.805	-13.2819	319777.5	11.67664	0.997753	0.999425	1.00057	1.00225	3.447941
1360	-425.689	-412.676	-13.0125	865868.2	9.000785	0.998634	0.999651	1.00035	1.00137	3.548242
1370	-440.17	-423.009	-17.1608	664141.4	7.825033	0.998441	0.999601	1.0004	1.00156	4.051222
1380	-421.912	-414.737	-7.175	847715.6	9.759252	0.99862	0.999647	1.00035	1.00138	2.932353
1390	-422.22	-414.926	-7.29321	739577.5	11.91036	0.998522	0.999622	1.00038	1.00148	2.928452
1400	-418.001	-410.441	-7.55993	90715.52	7.606871	0.995783	0.998919	1.00107	1.00422	2.788343
1410	-425.928	-415.322	-10.6057	151997.7	14.18149	0.996742	0.999165	1.00083	1.00326	3.067139
1420	-435.706	-416.7	-19.0059	166361.1	5.812071	0.996885	0.999202	1.00079	1.00312	4.152509
1430	-425.384	-411.929	-13.4553	520109.8	9.614061	0.998238	0.999549	1.00045	1.00176	3.581453
1440	-424.718	-415.446	-9.27196	592897.7	12.14255	0.99835	0.999578	1.00042	1.00165	3.084061
1450	-424.101	-418.055	-6.04611	624919.2	10.67251	0.998393	0.999589	1.00041	1.00161	2.835139
