time_index,feature_index,feature_relationship,feature_type,feature_path
1,1,within,categorical,./data/hawaii/cw_feature1.csv
1,2,within,categorical,./data/hawaii/cw_feature2.csv
1,1,within,quantitative,./data/hawaii/qw_feature1.csv
1,2,within,quantitative,./data/hawaii/qw_feature2.csv
1,1,between,categorical,./data/hawaii/cb_feature1.csv
1,2,between,categorical,./data/hawaii/cb_feature2.csv
1,1,between,quantitative,./data/hawaii/qb_feature1.csv
1,2,between,quantitative,./data/hawaii/qb_feature2.csv
