Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	extinction[1]	extinction[2]	rate_12	rate_21	root_state_freq[1]	root_state_freq[2]	speciation[1]	speciation[2]
870	-1578.18	-1590.8	12.6119	0.141063	0.0549384	0.130213	0.0584072	0.002009222	0.001743015	0.728001	0.271999	0.271276	0.113346
875	-1580.67	-1592.23	11.5572	0.103603	0.0580186	0.167673	0.0584072	0.004152004	0.002737328	0.302513	0.697487	0.271276	0.116426
880	-1578.89	-1590.81	11.9253	0.180348	0.0442261	0.090928	0.0816166	0.004156083	0.003779585	0.306324	0.693676	0.271276	0.125843
885	-1577.44	-1588.4	10.9535	0.134119	0.0398474	0.14353	0.107471	0.002744128	0.003155984	0.43511	0.56489	0.277649	0.147318
890	-1579.14	-1589.07	9.92808	0.157144	0.0651245	0.120506	0.107167	0.004192159	0.007456231	0.367942	0.632058	0.277649	0.172291
895	-1578.34	-1588.44	10.1016	0.141007	0.067625	0.131687	0.104666	0.003657801	0.006731914	0.413962	0.586038	0.272694	0.172291
900	-1580.5	-1589.62	9.11809	0.0981365	0.0463574	0.174557	0.125934	0.00196033	0.009473515	0.317562	0.682438	0.272694	0.172291
905	-1580.74	-1589.76	9.01576	0.14053	0.0443069	0.132164	0.125934	0.002596486	0.01259745	0.270088	0.729912	0.272694	0.170241
910	-1577.45	-1587.53	10.0803	0.113921	0.0439412	0.158773	0.123215	0.001183173	0.006435029	0.175075	0.824925	0.272694	0.167156
915	-1577.94	-1589.59	11.6559	0.162238	0.040307	0.110456	0.116415	0.001868034	0.001420317	0.487819	0.512181	0.272694	0.156722
920	-1576.06	-1588.81	12.7431	0.147407	0.0553093	0.0756922	0.101413	0.0008535641	0.003313692	0.171235	0.828765	0.223099	0.156722
925	-1578.39	-1591.1	12.7039	0.160213	0.0247788	0.0705658	0.101413	0.001593159	0.004797115	0.129203	0.870797	0.230779	0.126192
930	-1576.51	-1588.54	12.036	0.160213	0.0678327	0.0705658	0.111714	0.001776851	0.003886666	0.099736	0.900264	0.230779	0.179547
935	-1579.08	-1591.87	12.7975	0.151479	0.0974297	0.0705658	0.0554268	0.003440402	0.004418173	0.181604	0.818396	0.222045	0.152856
940	-1584.65	-1592.87	8.21428	0.117122	0.0799046	0.177652	0.11761	0.007485355	0.006112792	0.38606	0.61394	0.294774	0.197515
945	-1581.41	-1590.4	8.99114	0.153428	0.0626292	0.141346	0.12178	0.005851227	0.00653494	0.564322	0.435678	0.294774	0.184409
950	-1577.3	-1587.95	10.6468	0.115846	0.0439626	0.178928	0.0940124	0.00131906	0.004212287	0.517046	0.482954	0.294774	0.137975
955	-1578.93	-1589.54	10.6145	0.112931	0.0502246	0.181844	0.0669968	0.002254698	0.006665794	0.707191	0.292809	0.294774	0.117221
960	-1580.45	-1593.05	12.5939	0.16482	0.12163	0.129954	0.00436756	0.001129265	0.004022626	0.653955	0.346045	0.294774	0.125998
965	-1578.99	-1590.44	11.4556	0.14986	0.032466	0.133994	0.0935318	0.001713536	0.004071366	0.835036	0.164964	0.283854	0.125998
970	-1579.54	-1590.99	11.4502	0.150407	0.0202842	0.12049	0.105714	0.002492478	0.004343282	0.37164	0.62836	0.270897	0.125998
975	-1576.44	-1587.85	11.4098	0.145154	0.0387628	0.125744	0.105714	0.001663925	0.003708051	0.37164	0.62836	0.270897	0.144476
980	-1579.41	-1588.95	9.54091	0.135768	0.0507084	0.132552	0.111685	0.003290692	0.01076253	0.184172	0.815828	0.26832	0.162393
985	-1582.1	-1592.13	10.0271	0.15733	0.0492171	0.110991	0.113176	0.008577863	0.004128225	0.626013	0.373987	0.26832	0.162393
990	-1588.11	-1595.68	7.56968	0.161196	0.0665062	0.107124	0.147632	0.008726226	0.01215475	0.626013	0.373987	0.26832	0.214138
995	-1582.06	-1591.36	9.30174	0.16236	0.0703443	0.0964229	0.129516	0.00458338	0.01014989	0.24445	0.75555	0.258782	0.19986
1000	-1577.88	-1588.78	10.9006	0.150098	0.0540505	0.0900491	0.129516	0.002589411	0.005948871	0.454295	0.545705	0.240147	0.183567
