Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	extinction[1]	extinction[2]	rate_12	rate_21	root_state_freq[1]	root_state_freq[2]	speciation[1]	speciation[2]
210	-1578.34	-1590.27	11.9347	0.153874	0.0465312	0.111014	0.0541916	0.002561355	0.008095179	0.152737	0.847263	0.264888	0.100723
215	-1575.69	-1588.86	13.1667	0.152502	0.0672387	0.0989471	0.0541916	0.0008683868	0.00308373	0.553551	0.446449	0.251449	0.12143
220	-1578.06	-1591.24	13.1761	0.192855	0.0669057	0.0671073	0.0447624	0.003111163	0.003824667	0.0682647	0.931735	0.259963	0.111668
225	-1579.25	-1591.94	12.6839	0.104878	0.0787702	0.128165	0.0555792	0.001192084	0.003727236	0.594247	0.405753	0.233044	0.134349
230	-1579.89	-1593.08	13.1925	0.192448	0.0905086	0.0522658	0.0438407	0.003840137	0.003596968	0.594247	0.405753	0.244714	0.134349
235	-1577.86	-1590.7	12.8442	0.128768	0.105684	0.115946	0.0235712	0.001640099	0.005052072	0.35835	0.64165	0.244714	0.129256
240	-1576.93	-1589.1	12.1728	0.139931	0.0787944	0.115946	0.061023	0.003172051	0.003133081	0.119405	0.880595	0.255877	0.139817
245	-1582.1	-1594.97	12.8705	0.113125	0.0567275	0.162937	0.0276132	0.002721312	0.001143854	0.119405	0.880595	0.276062	0.0843407
250	-1579.84	-1592.05	12.2017	0.130978	0.0754161	0.180715	0.00892461	0.001803866	0.00340702	0.742703	0.257297	0.311693	0.0843407
255	-1577	-1588.29	11.2894	0.164976	0.0797048	0.125927	0.0437739	0.001076734	0.009465766	0.13359	0.86641	0.290904	0.123479
260	-1578.54	-1591.3	12.7604	0.164976	0.048283	0.125927	0.0437739	0.001413199	0.002959712	0.0241142	0.975886	0.290904	0.0920569
265	-1576.04	-1588.24	12.1993	0.144648	0.0976677	0.146256	0.0241493	0.0008615337	0.004544819	0.010923	0.989077	0.290904	0.121817
270	-1578.01	-1587.68	9.66399	0.131957	0.0649774	0.180121	0.0555803	0.001876357	0.01194523	0.010923	0.989077	0.312078	0.120558
275	-1577.01	-1588.28	11.2748	0.123424	0.0530275	0.188654	0.0675301	0.0009417137	0.002202892	0.0351843	0.964816	0.312078	0.120558
280	-1576.39	-1586.76	10.3743	0.144184	0.0728234	0.167894	0.0713924	0.00132188	0.00649064	0.114026	0.885974	0.312078	0.144216
285	-1578.23	-1589.02	10.791	0.149013	0.0922069	0.167894	0.0504477	0.0007998004	0.005891713	0.683381	0.316619	0.316907	0.142655
290	-1576.2	-1586.48	10.2869	0.129195	0.0758012	0.187712	0.0668534	0.001212864	0.005774491	0.0300629	0.969937	0.316907	0.142655
295	-1577.37	-1588.24	10.8648	0.13174	0.0468083	0.160547	0.0813575	0.002262898	0.005117012	0.53986	0.46014	0.292287	0.128166
300	-1578.12	-1590.04	11.9115	0.13174	0.0943756	0.160547	0.00143302	0.002582032	0.006831827	0.13044	0.86956	0.292287	0.0958086
305	-1584.21	-1593.8	9.58208	0.141276	0.0889417	0.214009	0.00143302	0.003620368	0.01118665	0.654625	0.345375	0.355284	0.0903747
310	-1581.36	-1591.94	10.5776	0.141276	0.0615343	0.214009	0.0288404	0.002534539	0.004620374	0.15839	0.84161	0.355284	0.0903747
315	-1579.85	-1590.32	10.4668	0.0860512	0.0564272	0.233264	0.0504083	0.001467152	0.004798847	0.135292	0.864708	0.319315	0.106835
320	-1583.12	-1591.55	8.43508	0.144454	0.0484673	0.233264	0.0582249	0.00162333	0.01154418	0.269718	0.730282	0.377718	0.106692
325	-1580.27	-1590.04	9.76368	0.116474	0.0693144	0.261244	0.0382824	0.001248179	0.003680864	0.369213	0.630787	0.377718	0.107597
330	-1581.95	-1589.96	8.01181	0.11585	0.057334	0.252304	0.0548358	0.002452854	0.01230967	0.231929	0.768071	0.368154	0.11217
335	-1580.36	-1589.45	9.09385	0.128783	0.0789267	0.239371	0.0365299	0.001953082	0.008616793	0.454523	0.545477	0.368154	0.115457
340	-1581.4	-1589.81	8.40747	0.128783	0.0567991	0.239371	0.0775501	0.003289076	0.006927132	0.482493	0.517507	0.368154	0.134349
345	-1580.4	-1588.58	8.1771	0.10253	0.0880344	0.253621	0.0463148	0.001692279	0.01191239	0.290581	0.709419	0.356151	0.134349
350	-1576.48	-1587.03	10.5408	0.134181	0.0675872	0.184429	0.066762	0.001580323	0.004667898	0.20981	0.79019	0.31861	0.134349
355	-1577.44	-1588.75	11.3059	0.145467	0.0729943	0.173143	0.0627758	0.0007344545	0.002126539	0.398615	0.601385	0.31861	0.13577
360	-1575.74	-1586.94	11.2054	0.134751	0.0678343	0.172424	0.0617065	0.0008278899	0.00399712	0.215141	0.784859	0.307176	0.129541
365	-1577.7	-1588.78	11.0789	0.134751	0.0556478	0.172424	0.065538	0.001457654	0.004414504	0.803243	0.196757	0.307176	0.121186
370	-1578.8	-1590.44	11.6373	0.14103	0.0904891	0.166146	0.0312985	0.002835477	0.002694105	0.282634	0.717366	0.307176	0.121788
375	-1579.09	-1590.75	11.6531	0.14103	0.0547672	0.166146	0.0471599	0.002968044	0.002756374	0.308562	0.691438	0.307176	0.101927
380	-1578.09	-1589.52	11.4267	0.129666	0.0711561	0.17751	0.0471599	0.002795016	0.002242315	0.0809442	0.919056	0.307176	0.118316
385	-1581.49	-1591.86	10.3657	0.16483	0.0870059	0.142346	0.053504	0.005067028	0.006512548	0.398251	0.601749	0.307176	0.14051
390	-1575.88	-1587.83	11.9514	0.126828	0.0740067	0.14204	0.0665032	0.001296368	0.003042688	0.281996	0.718004	0.268868	0.14051
395	-1578.53	-1592.34	13.8023	0.177248	0.10092	0.0342653	0.0188395	0.00109114	0.009343375	0.144654	0.855346	0.211513	0.11976
400	-1577.04	-1590.94	13.8955	0.170006	0.0621226	0.0415071	0.0639425	0.0001982562	0.005513619	0.228511	0.771489	0.211513	0.126065
405	-1577.74	-1590.8	13.0587	0.190471	0.0712012	0.0772513	0.0548639	0.000199946	0.00437827	0.382036	0.617964	0.267722	0.126065
410	-1576.13	-1588.83	12.7048	0.14786	0.0790544	0.0820983	0.0531377	0.001109529	0.007530079	0.0923302	0.90767	0.229958	0.132192
415	-1578.24	-1591.3	13.0563	0.167583	0.0895209	0.0623753	0.0426712	0.003960507	0.004824953	0.245292	0.754708	0.229958	0.132192
