Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	mu[1]	mu[2]	mu[3]	mu[4]	pi[1]	pi[2]	pi[3]	pi[4]	psi[1]	psi[2]	psi[3]	psi[4]	q_hidden[1]	q_hidden[2]	q_obs[1]	q_obs[2]
19000	-539.8962	-547.0105	7.114304	-3.54947	-0.0881351	0.07976	0.0598925	0.000451562	0.000699045	1.00045	0.704846	3.54992	0.0888342	0.920687	0.644954	0.357927	0.121605	0.0588494	0.461619	0.782526	0.031316	0.0107395	0.0143585	0.00666275	0.0624351	0.0123616	0.0267041
20000	-526.7776	-546.1216	19.34403	-0.555812	-0.108006	0.092998	0.0959023	1.35461e-06	0.000408384	0.622852	0.839252	0.555814	0.108415	0.529854	0.74335	0.413881	0.226371	0.020125	0.339624	0.102575	0.0654176	0.0346214	0.0131976	0.0124912	0.0609927	0.0150938	0.0138819
21000	-533.8354	-539.6355	5.800123	-0.374842	-0.249751	0.250569	0.154308	0.00288581	6.4099e-05	2.20838	0.917677	0.377728	0.249815	1.95781	0.763369	0.123199	0.0737191	0.207877	0.595206	0.0945649	0.055939	0.00673628	0.00468119	0.0303614	0.124712	0.0092373	0.00708826
22000	-537.6071	-534.4376	-3.169466	-0.13503	-0.338507	0.070242	0.162758	0.219974	0.00562524	1.67677	1.0269	0.355004	0.344132	1.60653	0.864144	0.117575	0.0833581	0.118524	0.680543	0.0616903	0.0589028	0.0139364	0.00217218	0.00608413	0.141156	0.00829957	0.0196268
23000	-528.5114	-536.0983	7.586901	-1.20541	-0.2416	0.130427	0.0791732	0.0229225	9.5144e-06	0.914083	1.27542	1.22833	0.241609	0.783655	1.19624	0.166039	0.0117441	0.388666	0.433551	0.152509	0.0461645	0.0148043	0.00663369	0.00492954	0.109805	0.0140369	0.00905206
24000	-542.4794	-541.0918	-1.387621	-23.6605	-0.127794	0.0327451	0.0802319	0.00205315	0.205972	0.422662	2.31089	23.6626	0.333767	0.389917	2.23066	0.00910015	0.106666	0.106612	0.777621	0.1789	0.0388823	0.0413252	0.00199152	0.00840555	0.0713326	0.0210355	0.0111149
25000	-527.8843	-541.0589	13.17468	-19.8453	-0.163463	0.0685465	0.0554035	3.92919e-05	4.90091e-06	1.46851	2.49535	19.8453	0.163468	1.39997	2.43994	0.00888045	0.365597	0.346627	0.278895	0.375676	0.034074	0.0158392	0.00277518	0.00487853	0.0473693	0.0113239	0.0115106
26000	-536.5153	-534.1781	-2.337249	-0.732324	-0.424589	0.304972	0.231167	4.60257e-05	0.033962	1.89818	0.487221	0.732371	0.458551	1.59321	0.256054	0.0272048	0.547868	0.209766	0.215161	0.0788046	0.0704279	0.00258333	0.00713243	0.000509628	0.220022	0.00997644	0.0377158
27000	-551.8909	-538.084	-13.80685	-2.46606	-0.143508	0.229458	0.207741	0.120927	0.219442	0.573641	1.29496	2.58698	0.36295	0.344183	1.08722	0.274074	0.483526	0.172265	0.0701346	0.471031	0.025425	0.00852259	0.00458737	0.00425728	0.19068	0.0436118	0.0191045
28000	-532.6743	-536.1518	3.477526	-0.447547	-0.497855	0.0504159	0.156013	0.00015352	0.0242183	2.30396	1.24916	0.447701	0.522074	2.25355	1.09315	0.112963	0.142894	0.247906	0.496237	0.090092	0.0516088	0.00715669	0.00699922	0.00643332	0.107775	0.00716756	0.0159317
29000	-529.4367	-538.4948	9.058125	-0.31346	-0.224647	0.21617	0.1397	7.00378e-05	0.00559555	0.998004	0.898182	0.31353	0.230242	0.781834	0.758481	0.306616	0.223299	0.206404	0.263681	0.0875097	0.0435616	0.00934816	0.00391685	0.00249887	0.119243	0.0142148	0.00832971
30000	-531.7807	-538.311	6.530228	-0.939596	-0.255088	0.131042	0.128354	0.0822786	4.0804e-06	0.68126	2.59117	1.02187	0.255092	0.550218	2.46281	0.0969435	0.0671675	0.129086	0.706803	0.0556389	0.0208042	0.0346718	0.00439157	0.00451574	0.0936374	0.0374326	0.00924912
31000	-531.7218	-531.9808	0.258983	-0.503503	-0.112592	0.195071	0.146186	4.49243e-05	0.235103	1.23829	1.3841	0.503548	0.347695	1.04322	1.23791	0.244651	0.0606336	0.575729	0.118986	0.0614335	0.0292601	0.010368	0.00196014	0.00582966	0.16346	0.00587948	0.017297
32000	-534.4455	-540.3362	5.890698	-0.379834	-0.238751	0.212903	0.220543	0.000352451	0.00347109	1.19257	0.622329	0.380186	0.242222	0.979668	0.401785	0.565955	0.270278	0.00843597	0.155331	0.0442988	0.0260479	0.0122514	0.0222305	0.00418518	0.150137	0.00982535	0.016731
33000	-528.9458	-540.5751	11.6293	-1.71241	-0.240532	0.0160866	0.0826792	1.63153e-05	0.00750873	0.839385	1.49953	1.71243	0.248041	0.823299	1.41685	0.0789039	0.208394	0.36802	0.344682	0.082947	0.0327095	0.026943	0.00720287	0.00191373	0.0700666	0.00477314	0.00766676
34000	-531.0567	-534.3319	3.275249	-2.6259	-0.257086	0.138734	0.163415	1.21998e-06	0.0750039	0.863119	2.28475	2.6259	0.33209	0.724384	2.12134	0.0163102	0.0521489	0.0979016	0.833639	0.378897	0.0219337	0.0027564	0.00324291	0.00819481	0.140512	0.00858746	0.0109867
35000	-535.3945	-537.4384	2.043895	-0.464904	-0.20121	0.0321198	0.171594	0.0121285	0.0177567	0.733308	1.84574	0.477032	0.218967	0.701188	1.67414	0.0487342	0.103802	0.0148507	0.832613	0.128865	0.0301555	0.00839776	0.00570181	0.00216933	0.113716	0.00442707	0.0111738
