Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35	start_36	end_36	start_37	end_37	start_38	end_38	start_39	end_39	start_40	end_40	start_41	end_41	start_42	end_42	start_43	end_43	start_44	end_44	start_45	end_45	start_46	end_46	start_47	end_47	start_48	end_48	start_49	end_49	start_50	end_50	start_51	end_51
360	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	19	77	2	12	2	77	2	2	4	4	2	2	4	16	21	21	12	77	2	2	21	21	77	77	43	77	15	15	2	2	2	15	2	19	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	3	37	37	37	37	15	37	2	15	2	2	2	2	43	43	6	6	6	6	93	93
380	6	6	6	6	6	6	3	4	3	3	3	3	4	4	3	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	3	12	2	77	19	2	4	4	2	2	16	16	4	21	77	77	2	2	3	16	12	77	12	12	2	15	2	19	2	2	2	77	2	2	2	2	2	2	2	2	2	2	16	16	3	3	3	3	16	16	16	16	2	37	2	2	2	2	2	2	12	12	6	6	6	6	53	53
400	6	6	6	6	6	6	4	4	3	3	3	3	4	4	15	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	3	12	2	77	2	2	4	4	2	2	16	16	4	21	77	77	2	2	3	16	77	77	2	77	15	15	2	2	15	15	15	37	2	2	2	2	2	2	2	2	2	2	2	15	3	3	16	16	37	37	37	37	2	37	2	2	2	15	15	15	15	15	6	6	6	6	56	56
420	6	6	6	6	6	6	4	4	20	3	3	3	4	4	15	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	5	2	12	77	2	12	2	77	2	2	4	4	2	2	16	16	4	21	37	77	2	2	3	16	2	37	2	2	2	15	2	2	2	2	3	12	2	2	2	2	2	2	2	2	2	2	4	15	20	20	47	47	47	47	47	47	77	77	37	77	37	37	15	37	46	15	6	6	6	6	96	96
440	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	2	77	2	2	4	4	2	2	4	16	4	21	77	77	2	2	4	4	77	77	2	77	2	15	2	2	2	2	19	77	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	3	37	37	37	37	2	37	2	2	19	19	19	19	46	19	6	6	6	6	96	96
460	6	6	6	6	6	6	3	4	3	3	3	3	4	4	12	37	4	4	15	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	3	12	19	77	2	2	4	4	2	2	4	16	4	21	15	77	2	2	4	4	2	15	2	2	15	15	2	19	2	15	12	37	2	2	2	2	2	15	2	2	2	2	37	37	3	3	3	3	37	37	37	37	15	37	2	15	12	12	12	12	12	12	6	6	6	6	53	53
480	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	2	77	2	2	4	4	2	2	4	16	21	21	77	77	2	2	4	21	43	77	3	43	2	15	2	2	2	2	77	77	2	2	2	2	2	12	2	2	2	2	37	37	3	3	3	3	15	37	15	15	2	15	2	2	43	77	43	43	19	43	6	6	6	6	60	60
500	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	12	77	2	12	12	77	2	2	2	4	2	2	16	16	4	21	12	77	2	2	3	16	12	12	2	12	2	2	12	12	2	12	2	12	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	3	37	37	37	37	2	37	2	2	2	2	2	2	2	2	6	6	6	6	24	24
520	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	12	77	2	2	4	4	2	2	4	16	4	21	77	77	2	2	4	4	46	77	46	46	2	15	12	12	2	12	2	77	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	3	37	37	37	37	2	37	2	2	2	2	2	2	46	46	6	6	6	6	96	96
540	6	6	6	6	6	6	4	4	3	3	3	3	4	4	16	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	19	77	2	12	20	77	2	2	4	4	2	2	4	16	4	21	46	77	2	2	4	4	2	46	2	2	2	15	2	43	2	2	2	19	2	2	2	2	2	2	2	2	2	2	16	16	3	3	3	16	16	16	16	16	16	37	37	37	37	37	37	37	37	37	6	6	6	6	87	87
560	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	3	12	2	77	2	2	4	4	2	2	4	16	21	21	77	77	2	2	4	21	77	77	37	77	2	15	2	2	2	2	2	77	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	37	37	12	37	2	12	2	2	2	2	3	37	6	6	6	6	25	25
580	6	6	6	6	6	6	5	4	5	3	20	3	4	4	15	37	4	4	2	37	2	2	2	2	2	2	19	19	2	2	2	2	37	77	2	12	2	77	2	2	21	4	2	2	4	16	4	21	37	77	2	2	4	4	2	37	2	2	2	46	2	2	2	2	2	37	2	2	2	19	2	2	2	2	2	2	15	15	20	20	20	20	37	77	37	37	2	37	2	2	2	2	2	2	39	2	6	6	6	6	89	89
600	6	6	6	6	6	6	4	4	3	3	3	3	4	4	4	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	15	77	2	12	43	77	2	2	4	4	2	2	4	16	4	21	46	77	2	2	4	4	2	46	2	2	2	15	43	43	43	43	2	15	2	2	2	2	2	12	2	2	2	2	4	4	3	3	16	16	4	16	4	4	2	15	2	2	2	2	43	43	12	43	6	6	6	6	53	53
620	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	2	12	15	77	2	2	4	4	2	2	4	16	21	21	12	77	2	2	21	21	77	77	2	77	2	15	2	15	2	2	2	2	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	37	37	2	37	2	2	2	2	2	2	2	2	6	6	6	6	24	24
640	6	6	6	6	6	6	4	4	3	3	16	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	15	77	2	12	37	77	2	2	15	4	2	2	4	16	4	21	77	77	2	2	4	4	77	77	43	77	2	15	2	37	2	2	2	15	2	2	2	2	2	2	2	2	2	2	37	37	4	16	4	4	37	37	37	37	2	37	2	2	2	2	2	2	43	43	6	6	6	6	93	93
660	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	15	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	3	12	77	77	2	2	4	4	2	2	4	16	4	21	77	77	2	2	4	4	77	77	5	77	4	15	77	77	77	77	4	77	2	2	2	2	2	15	2	2	2	2	15	37	3	3	3	3	37	37	37	37	15	37	4	15	4	4	77	77	19	77	6	6	6	6	60	60
680	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	15	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	3	12	15	77	2	2	4	4	2	2	4	16	4	21	77	77	2	2	4	4	2	77	2	2	2	15	2	15	2	2	2	77	2	2	2	2	2	15	2	2	2	2	37	37	3	3	4	16	37	37	37	37	12	37	12	12	12	12	12	12	12	12	6	6	6	6	53	53
700	6	6	6	6	6	6	4	4	3	3	3	3	4	4	4	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	3	12	2	77	2	2	4	4	2	2	4	16	4	21	37	77	2	2	4	4	37	37	2	37	33	15	2	2	2	33	3	77	2	2	2	2	2	2	2	2	2	2	4	4	3	3	16	16	16	16	16	16	37	37	37	37	37	37	37	37	15	37	6	6	6	6	56	56
720	6	6	6	6	6	6	4	4	3	3	3	3	4	4	16	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	96	77	2	12	2	77	2	2	4	4	2	2	4	16	4	21	77	77	2	2	4	4	77	77	4	77	2	15	2	2	2	2	56	96	2	2	2	2	37	37	37	37	15	37	16	16	3	3	3	16	4	16	4	4	2	15	2	2	56	56	56	56	56	56	6	6	6	6	56	56
740	6	6	6	6	6	6	3	4	3	3	3	3	4	4	67	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	46	77	2	2	15	4	2	2	16	16	4	21	37	77	2	2	3	16	12	37	2	12	2	15	46	46	46	46	2	77	2	2	2	2	2	2	2	2	2	2	67	67	3	3	3	3	67	67	67	67	15	67	2	15	2	2	46	46	19	46	6	6	6	6	60	60
