Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda[13]	lambda[14]	lambda[15]	lambda[16]	lambda[17]	lambda[18]	lambda[19]	lambda[20]	lambda[21]	lambda[22]	lambda[23]	lambda[24]	lambda[25]	lambda[26]	lambda[27]	lambda[28]	lambda[29]	lambda[30]	lambda[31]	lambda[32]	lambda[33]	lambda[34]	lambda[35]	lambda[36]	lambda[37]	lambda[38]	lambda[39]	lambda[40]	lambda[41]	lambda[42]	lambda[43]	lambda[44]	lambda[45]	lambda[46]	lambda[47]	lambda[48]	lambda[49]	lambda[50]	lambda[51]	lambda[52]	lambda[53]	lambda[54]	lambda[55]	lambda[56]	lambda[57]	lambda[58]	lambda[59]	lambda[60]	lambda[61]	lambda[62]	lambda[63]	lambda[64]	lambda[65]	lambda[66]	lambda[67]	lambda[68]	lambda[69]	lambda[70]	lambda[71]	lambda[72]	lambda[73]	lambda[74]	lambda[75]	lambda[76]	lambda[77]	lambda[78]	lambda[79]	lambda[80]	lambda[81]	lambda[82]	lambda[83]	lambda[84]	lambda[85]	lambda[86]	lambda[87]	lambda[88]	lambda[89]	lambda[90]	lambda[91]	lambda[92]	lambda[93]	lambda[94]	lambda[95]	lambda[96]	lambda[97]	lambda[98]	m_w[1][1]	m_w[1][2]	m_w[1][3]	m_w[1][4]	m_w[1][5]	m_w[1][6]	m_w[1][7]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu[11]	mu[12]	mu[13]	mu[14]	mu[15]	mu[16]	mu[17]	mu[18]	mu[19]	mu[20]	mu[21]	mu[22]	mu[23]	mu[24]	mu[25]	mu[26]	mu[27]	mu[28]	mu[29]	mu[30]	mu[31]	mu[32]	mu[33]	mu[34]	mu[35]	mu[36]	mu[37]	mu[38]	mu[39]	mu[40]	mu[41]	mu[42]	mu[43]	mu[44]	mu[45]	mu[46]	mu[47]	mu[48]	mu[49]	mu[50]	mu[51]	mu[52]	mu[53]	mu[54]	mu[55]	mu[56]	mu[57]	mu[58]	mu[59]	mu[60]	mu[61]	mu[62]	mu[63]	mu[64]	mu[65]	mu[66]	mu[67]	mu[68]	mu[69]	mu[70]	mu[71]	mu[72]	mu[73]	mu[74]	mu[75]	mu[76]	mu[77]	mu[78]	mu[79]	mu[80]	mu[81]	mu[82]	mu[83]	mu[84]	mu[85]	mu[86]	mu[87]	mu[88]	mu[89]	mu[90]	mu[91]	mu[92]	mu[93]	mu[94]	mu[95]	mu[96]	mu[97]	mu[98]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_e[1]	r_e[2]	r_e[3]	r_e[4]	r_e[5]	r_e[6]	r_e[7]	r_w[1]	r_w[2]	r_w[3]	r_w[4]	r_w[5]	r_w[6]	r_w[7]	rho_b	rho_d	rho_e	rho_w	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	use_phi_b[1]	use_phi_b[2]	use_phi_d[1]	use_phi_d[2]	use_phi_e[1]	use_phi_e[2]	use_phi_w[1]	use_phi_w[2]	use_sigma_b[1]	use_sigma_b[2]	use_sigma_d[1]	use_sigma_d[2]	use_sigma_e[1]	use_sigma_e[2]	use_sigma_w[1]	use_sigma_w[2]
760	-162.3574	-153.0969	-9.260524	0.0829269	0.0829185	0.198418	0.198417	0.198412	0.198404	0.0829108	0.176598	0.307572	0.292761	0.320869	0.295487	0.402545	0.345309	0.297945	0.403582	0.401727	0.357788	0.301538	0.406129	0.403573	0.40192	2.89307	2.89306	3.00856	3.00856	3.00856	3.00855	0.385387	0.389246	0.505205	0.49395	0.39318	0.509834	0.495563	0.513094	0.494811	0.603816	0.396684	0.514443	0.498542	0.517774	0.497696	0.605784	0.524082	0.496833	0.605349	0.603478	1.63379	1.77983	1.75062	1.80579	1.75602	1.85476	1.85287	1.76089	1.85683	1.85314	1.8766	1.76798	1.8619	1.85682	1.85353	0.589857	0.592576	0.592554	0.706239	0.695884	0.596229	0.596367	0.709867	0.698564	0.596172	0.711314	0.69848	0.712031	0.696968	0.806516	1.39833	1.40598	1.52232	1.50006	1.41376	1.53145	1.50327	1.53773	1.50177	1.60435	1.42068	1.54058	1.5092	1.54697	1.50751	1.60828	1.55905	1.50579	1.60742	1.60369	1.04537	1.04527	2.50124	2.50124	2.50118	2.50108	1.04517	0.0270603	0.0270603	0.0270603	0.0270603	0.0270603	0.00645186	0.0270603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85209	0	-1.82032	0	0	0	0	-0.092072	0.0270603	0.0270603	0.0270603	0.0270603	0.0270603	0.00645186	0.0270603	0.0829269	0.0829185	0.198418	0.198417	0.198412	0.198404	0.0829108	0.01443653	0.01170228	0.02706026	0.07932763	1.07778	0	-0.0179511	1.78094	0	-1.4337	0.872608	0	0.0793276	0.0144365	0.09376416	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0
780	-162.9382	-152.7964	-10.14183	0.140693	0.139757	0.211051	0.209758	0.192821	0.304008	0.129718	0.300493	0.403239	0.372178	0.429935	0.376317	0.431064	0.465822	0.364343	0.416119	0.411298	0.60449	0.482858	0.53226	0.526012	0.505935	16.1428	16.1419	16.2132	16.2119	16.195	16.3061	0.531373	0.537725	0.610387	0.586803	0.528581	0.602736	0.573029	0.608964	0.570293	0.629017	0.646925	0.72312	0.690108	0.729526	0.687155	0.743976	0.727035	0.668574	0.72621	0.721357	8.38641	8.52033	8.45942	8.57455	8.46895	8.50723	8.66187	8.46191	8.49427	8.48593	8.82702	8.58768	8.61535	8.60417	8.58096	0.752173	0.740542	0.739127	0.807569	0.785903	0.859018	0.857883	0.925856	0.902315	0.840461	0.911952	0.885209	0.912909	0.881002	0.940831	5.99167	6.00562	6.07958	6.03352	6.0042	6.08113	6.02289	6.09469	6.01872	6.06491	6.12964	6.21065	6.14584	6.22454	6.14123	6.18364	6.23606	6.12101	6.16504	6.15664	2.25737	2.24236	3.38624	3.3655	3.09375	4.87771	2.08128	0.0191653	0.0191653	0.0086859	0.0086859	0.0086859	0.0086859	0.0191653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96014	0	-1.84631	-0.701076	0	0	-0.140597	-1.54918	0.0191653	0.0191653	0.0086859	0.0086859	0.0086859	0.0086859	0.0191653	0.140693	0.139757	0.211051	0.209758	0.192821	0.304008	0.129718	0.02737523	0.0283641	0.01916534	0.06232593	1.9563	0	0	0	-0.791402	0	0.483111	0.835466	0.0623259	0.0273752	0.08970116	1	0	1	1	0	0	1	1	1	0	0	0	1	0	1	1
800	-166.0432	-152.2533	-13.78989	0.254178	0.243576	0.392932	0.373661	0.187333	0.00822048	0.133305	0.547321	0.736682	0.688109	0.745434	0.676712	0.799156	0.603378	0.497069	0.616659	0.590406	0.444602	0.327155	0.446188	0.418276	0.225777	1.34273	1.33213	1.48148	1.46221	1.27588	1.09677	0.980617	0.972818	1.121	1.07881	0.798335	0.9477	0.897652	0.931701	0.87593	1.00283	0.628151	0.78146	0.727593	0.765657	0.705819	0.831026	0.586841	0.516678	0.643211	0.616899	1.20292	1.42182	1.34535	1.44818	1.34014	1.4405	1.32926	1.16559	1.26131	1.22899	1.17936	1.00242	1.0981	1.06293	0.865074	1.38464	1.20718	1.18884	1.32789	1.28662	1.03848	1.02076	1.1602	1.11636	0.835244	0.977355	0.929952	0.955346	0.905629	1.03384	1.51413	1.51556	1.66181	1.59432	1.35025	1.49853	1.41763	1.48338	1.39366	1.50102	1.18674	1.34252	1.25526	1.32764	1.23126	1.33574	1.1516	1.03956	1.1466	1.11398	3.83706	3.67701	5.93167	5.64077	2.82797	0.124096	2.01236	0.058835	0.0554542	0.00610973	0.00567017	0.00203303	1.94987e-05	0.0227148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22915	0	-1.8187	-1.64325	-1.72187	1.32881	-1.15798	-1.63521	0.058835	0.0554542	0.00610973	0.00567017	0.00203303	1.94987e-05	0.0227148	0.254178	0.243576	0.392932	0.373661	0.187333	0.00822048	0.133305	0.06026953	0.01847489	0.04878737	0.06624295	0	0	-0.316794	0	-1.35716	0	1.05134	0	0.066243	0.0602695	0.1265125	1	0	1	1	1	1	1	1	0	0	1	0	1	0	1	0
820	-162.3424	-149.6944	-12.64795	0.150257	0.145406	0.413102	0.397304	0.232596	0.0205935	0.0911287	0.395671	0.800535	0.664564	0.90041	0.673191	0.864575	0.945335	0.530425	0.709415	0.676593	0.839373	0.350314	0.520646	0.481616	0.301774	7.74417	7.73932	8.00701	7.99121	7.82651	7.6145	0.884235	0.901389	1.18156	1.07569	0.771061	1.05559	0.92379	1.07296	0.904598	1.11477	0.589213	0.87882	0.735157	0.898172	0.714774	0.919298	0.792085	0.545839	0.751396	0.719731	4.3325	4.84999	4.60675	5.03181	4.63662	4.75956	5.19965	4.51243	4.6133	4.56453	5.145	4.35848	4.44579	4.3855	4.1915	1.31646	1.1721	1.16059	1.4242	1.32709	0.986171	0.974702	1.23859	1.13452	0.813751	1.08857	0.969831	1.08438	0.945173	1.16262	3.64231	3.68799	3.97785	3.78337	3.58626	3.88433	3.64332	3.92399	3.62081	3.77707	3.42835	3.73808	3.47602	3.78054	3.45145	3.59726	3.70986	3.27834	3.42641	3.37958	2.57066	2.48767	7.0675	6.79724	3.97934	0.352321	1.55907	0.0295137	0.0294656	0.029423	0.0294217	0.0294104	0.011713	0.0294223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7938	0	-1.88206	-1.2254	0	-1.46737	-0.898018	-1.06339	0.0295137	0.0294656	0.029423	0.0294217	0.0294104	0.011713	0.0294223	0.150257	0.145406	0.413102	0.397304	0.232596	0.0205935	0.0911287	0.05084922	0.02404656	0.01455105	0.05845085	0	1.44275	-0.889962	0	0	-0.919999	1.48842	0	0.0584509	0.0508492	0.1093001	1	0	1	1	0	1	1	1	0	1	1	0	0	1	1	0
840	-165.4703	-149.2323	-16.23805	0.106706	0.105376	0.342583	0.337333	0.272855	0.0463069	0.0875958	0.247024	0.540145	0.485248	0.585032	0.489612	0.697628	0.615721	0.433937	0.636646	0.625201	0.438883	0.220421	0.418818	0.404848	0.334855	4.33892	4.33759	4.5748	4.56955	4.50507	4.27852	0.621107	0.629065	0.870831	0.828982	0.578193	0.822352	0.76973	0.831891	0.762632	0.977872	0.364272	0.61095	0.552909	0.621259	0.545373	0.757673	0.58406	0.478712	0.691864	0.680585	2.44103	2.78538	2.68149	2.87291	2.69492	2.87503	2.97665	2.64744	2.81745	2.79996	2.83418	2.44587	2.60804	2.58565	2.51028	0.974201	0.918233	0.913661	1.14864	1.11042	0.703271	0.698933	0.933509	0.892178	0.634647	0.87485	0.827552	0.875028	0.818069	1.03568	2.15512	2.1755	2.42096	2.34113	2.1372	2.38716	2.28694	2.40867	2.27799	2.47189	1.93469	2.18999	2.07949	2.21265	2.06972	2.25791	2.19627	2.00086	2.19081	2.17361	1.18663	1.17184	3.80972	3.75133	3.0343	0.514959	0.974114	0.145426	0.136442	0.0558378	0.0516202	0.0175525	0.000132535	0.0533105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98318	1.30074	-1.56091	-1.0867	-1.81026	0	-0.35599	0	0.145426	0.136442	0.0558378	0.0516202	0.0175525	0.000132535	0.0533105	0.106706	0.105376	0.342583	0.337333	0.272855	0.0463069	0.0875958	0.06275239	0.006729091	0.06091636	0.08992352	0	0.910156	-1.9556	1.9643	0	0	1.35467	-0.81279	0.0899235	0.0627524	0.1526759	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1
860	-161.4649	-150.1182	-11.34666	0.178056	0.169454	0.24721	0.233154	0.104369	0.00193822	0.0840096	0.381137	0.50752	0.4524	0.535334	0.446901	0.498183	0.483625	0.325853	0.37266	0.3528	0.420609	0.234738	0.278239	0.256174	0.122226	3.62694	3.61834	3.6961	3.68204	3.55325	3.45082	0.653217	0.650571	0.733512	0.689313	0.533717	0.618221	0.564877	0.61696	0.549821	0.60787	0.44194	0.527844	0.470416	0.527387	0.454907	0.511006	0.42103	0.324851	0.381157	0.36176	2.17955	2.34683	2.25272	2.40544	2.2548	2.28197	2.40141	2.14045	2.15953	2.13418	2.35887	2.05885	2.07253	2.04304	1.90421	0.896761	0.774788	0.76237	0.840016	0.799012	0.68114	0.668658	0.7464	0.703037	0.54134	0.622973	0.574288	0.614039	0.557437	0.61815	1.91458	1.92198	2.00922	1.93324	1.81524	1.90547	1.81287	1.9134	1.79683	1.83623	1.73211	1.82571	1.72577	1.83484	1.70893	1.74468	1.74306	1.57761	1.61384	1.5893	4.61219	4.38937	6.40348	6.0394	2.70346	0.0502056	2.1761	0.0304193	0.0304193	0.0252205	0.0252205	0.0252205	0.0252205	0.0304193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85806	0	-1.94452	0	0	0	-1.34805	-1.82742	0.0304193	0.0304193	0.0252205	0.0252205	0.0252205	0.0252205	0.0304193	0.178056	0.169454	0.24721	0.233154	0.104369	0.00193822	0.0840096	0.01523305	0.01377877	0.03041926	0.03860558	0.133368	1.59596	-1.36034	1.32726	-0.187417	0	1.04478	-0.346806	0.0386056	0.0152331	0.05383863	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1
880	-166.8635	-155.4202	-11.44328	0.0910343	0.0909308	0.417783	0.41777	0.417657	0.0884169	0.0908374	0.206626	0.533495	0.533376	0.533488	0.533369	0.860183	0.53338	0.533259	0.860082	0.860035	0.204141	0.204022	0.530856	0.53083	0.53069	0.206578	0.206474	0.533326	0.533313	0.5332	0.20396	0.636444	0.636436	0.963278	0.963159	0.636328	0.963174	0.963054	0.963147	0.963027	1.28985	0.30709	0.633941	0.633822	0.633925	0.633805	0.96063	0.633801	0.633681	0.96051	0.960473	0.309534	0.636394	0.636283	0.636384	0.636273	0.963106	0.636274	0.636162	0.962999	0.96297	0.307034	0.306923	0.633766	0.633747	0.63362	1.06827	1.06817	1.06814	1.39498	1.39486	0.738932	0.738918	1.06576	1.06564	0.738798	1.06564	1.06552	1.06561	1.06549	1.39232	0.741385	0.741376	1.06822	1.06811	0.741266	1.06811	1.068	1.06809	1.06798	1.39481	0.412028	0.738879	0.738765	0.738864	0.738749	1.06558	0.738743	0.738628	1.06546	1.06544	1.63786	1.636	7.51661	7.51639	7.51436	1.59077	1.63432	0.00582365	0.00606625	0.010746	0.0113	0.0225371	0.513993	0.0110693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0546	-1.61327	-0.876302	1.15854	0	0	-1.02375	0.00582365	0.00606625	0.010746	0.0113	0.0225371	0.513993	0.0110693	0.0910343	0.0909308	0.417783	0.41777	0.417657	0.0884169	0.0908374	0.04058131	0.01145473	0.01016372	0.05558123	0	0.317065	-1.92252	1.64852	0	0	1.52587	-1.55214	0.0555812	0.0405813	0.09616255	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	1
900	-170.3636	-149.9019	-20.46173	0.427743	0.409705	0.319714	0.303855	0.151108	0.0018633	0.222649	0.871731	0.790503	0.764237	0.779392	0.750334	0.65272	0.632889	0.599125	0.501255	0.482978	0.486159	0.451848	0.354617	0.336152	0.181288	0.788119	0.770081	0.68009	0.664231	0.511484	0.36224	1.21277	1.19979	1.10945	1.08329	1.05004	0.959822	0.931967	0.944181	0.915515	0.818439	0.902699	0.81331	0.785061	0.797744	0.768635	0.67165	0.645797	0.615222	0.518443	0.500164	1.18386	1.10456	1.07652	1.09407	1.06312	0.963199	0.947985	0.912274	0.812186	0.793036	0.801301	0.765411	0.666385	0.647083	0.491459	1.53775	1.38747	1.37227	1.27913	1.2522	1.24062	1.22552	1.13273	1.10547	1.07356	0.980939	0.95279	0.964037	0.935557	0.838671	1.51852	1.50662	1.41601	1.38668	1.35791	1.26749	1.23599	1.25175	1.21924	1.11892	1.21119	1.12196	1.09008	1.10634	1.07339	0.973321	0.954418	0.919659	0.819891	0.800429	3.85781	3.69513	2.8835	2.74047	1.36284	0.0168051	2.00808	0.223074	0.21018	0.0840426	0.0781004	0.0285259	0.000333815	0.087402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.471788	0.76019	-1.84226	-1.31321	-1.69022	0	-1.17157	-1.63285	0.223074	0.21018	0.0840426	0.0781004	0.0285259	0.000333815	0.087402	0.427743	0.409705	0.319714	0.303855	0.151108	0.0018633	0.222649	0.05986108	0.004196926	0.0989923	0.110877	0.25369	0	0	1.73041	-0.0824397	0.114111	0.331824	-1.23272	0.110877	0.0598611	0.1707381	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1
920	-164.6429	-148.8677	-15.77519	0.075602	0.072549	0.291195	0.276913	0.138799	0.00607907	0.0397369	0.359483	0.896933	0.588715	1.16184	0.629997	0.678104	1.54427	0.542391	0.560752	0.509615	1.68011	0.483909	0.479353	0.41375	0.242839	21.1084	21.1053	21.324	21.3097	21.1716	21.0389	0.824471	0.8856	1.13395	0.897988	0.825742	1.08597	0.789191	1.15461	0.766354	0.856726	0.76413	1.03639	0.710602	1.10999	0.685033	0.760655	1.12086	0.536455	0.615205	0.565918	11.0994	11.9166	11.3412	12.4019	11.4333	11.3222	13.1414	11.391	11.2248	11.1382	13.4369	11.3977	11.1919	11.0778	10.8754	1.18363	1.09246	1.08575	1.29614	1.08095	1.02196	1.01571	1.2256	0.993501	0.883181	1.12161	0.855124	1.13812	0.81929	0.924962	8.23344	8.36324	8.63555	8.18684	8.3727	8.66736	8.10597	8.79843	8.0746	8.04201	8.37204	8.69348	8.07849	8.83194	8.04213	7.98139	8.94628	7.88305	7.82893	7.74562	2.07215	1.98847	7.98126	7.58981	3.8043	0.166619	1.08913	0.00397482	0.00398134	0.00398715	0.00398732	0.00398887	0.0228077	0.00398725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91042	0	-1.95087	-0.891138	0	1.47567	-1.15891	-0.355884	0.00397482	0.00398134	0.00398715	0.00398732	0.00398887	0.0228077	0.00398725	0.075602	0.072549	0.291195	0.276913	0.138799	0.00607907	0.0397369	0.1289971	0.01784503	0.008094394	0.03648485	0	1.23548	-0.774804	0.619229	0	1.74294	1.96205	0	0.0364848	0.128997	0.1654819	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	0
940	-164.4531	-148.3502	-16.1029	0.121923	0.121788	0.269125	0.269118	0.269047	0.138822	0.121667	0.310017	0.532356	0.460721	0.591179	0.474614	0.57699	0.692119	0.486757	0.582843	0.572183	0.611097	0.373906	0.466604	0.45261	0.443093	21.0424	21.0423	21.1896	21.1896	21.1895	21.0593	0.638697	0.658655	0.805864	0.749499	0.679054	0.829114	0.758081	0.839963	0.753954	0.865465	0.565725	0.72226	0.643451	0.733375	0.639033	0.746506	0.755279	0.634234	0.744055	0.733298	10.897	11.1928	11.0511	11.3086	11.0787	11.1367	11.5058	11.1029	11.1484	11.1272	11.4709	11.0071	11.046	11.0182	10.9993	0.946912	0.961538	0.962091	1.09562	1.04278	0.849935	0.851493	0.984791	0.927132	0.851369	0.991379	0.926748	0.990458	0.918436	1.03255	7.81839	7.85804	8.0049	7.89318	7.89856	8.05104	7.91034	8.07213	7.9021	7.97809	7.80178	7.9672	7.81115	7.98876	7.80234	7.87032	8.03135	7.79283	7.86551	7.84407	1.61256	1.61079	3.55948	3.55938	3.55845	1.83608	1.60918	0.0337566	0.0337711	0.0337841	0.0337844	0.0337879	0.00828655	0.0337843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57176	0	-1.98349	-0.311401	0	0.387963	0	-0.991451	0.0337566	0.0337711	0.0337841	0.0337844	0.0337879	0.00828655	0.0337843	0.121923	0.121788	0.269125	0.269118	0.269047	0.138822	0.121667	0.08513908	0.01549871	0.04069688	0.07560809	1.96505	0	-1.35481	1.41837	0	-1.40564	0.793871	-0.661254	0.0756081	0.0851391	0.1607472	1	0	1	1	0	1	0	1	1	0	1	1	0	1	1	1
960	-168.7085	-153.1155	-15.59305	0.136947	0.136966	0.300454	0.300455	0.300465	0.300482	0.136983	0.294673	0.489088	0.459509	0.516025	0.464917	0.611764	0.566054	0.469833	0.613809	0.61019	0.591803	0.47705	0.618843	0.613827	0.610617	2.25608	2.2561	2.41959	2.41959	2.4196	2.41962	0.612536	0.619919	0.786021	0.763435	0.627573	0.79485	0.766347	0.802617	0.765426	0.916347	0.634504	0.803092	0.771716	0.811311	0.770549	0.919991	0.82539	0.769447	0.919265	0.915805	1.44276	1.66448	1.60883	1.71293	1.6192	1.75047	1.79792	1.62855	1.75447	1.74737	1.83938	1.64212	1.76426	1.75449	1.74818	0.921553	0.926244	0.926881	1.08916	1.06857	0.932467	0.933193	1.09539	1.07312	0.933633	1.09865	1.07309	1.10137	1.07087	1.22323	1.44711	1.46125	1.62942	1.58613	1.47572	1.64609	1.59181	1.65973	1.58997	1.72883	1.48863	1.66186	1.60225	1.67616	1.59996	1.73599	1.7001	1.59774	1.73456	1.72773	0.942333	0.942462	2.06742	2.06743	2.0675	2.06761	0.942579	0.0293845	0.0294408	0.0294909	0.0294924	0.0295058	0.0295283	0.0294918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89311	1.20589	-1.44172	0	0	1.7226	0	0.123244	0.0293845	0.0294408	0.0294909	0.0294924	0.0295058	0.0295283	0.0294918	0.136947	0.136966	0.300454	0.300455	0.300465	0.300482	0.136983	0.02933582	0.04877503	0.06740113	0.145328	0	1.13486	-0.791888	0	0	0	0.785441	0	0.145328	0.0293358	0.1746638	1	1	1	0	0	1	0	1	0	1	1	0	0	0	1	0
980	-164.7005	-149.5617	-15.13885	0.206408	0.195798	0.318588	0.298541	0.122274	0.00204976	0.0899652	0.408911	0.541325	0.52151	0.529535	0.50316	0.620689	0.368426	0.328426	0.445072	0.423865	0.255939	0.210441	0.326442	0.304802	0.127503	2.58365	2.57304	2.69583	2.67579	2.49952	2.37929	0.732196	0.714387	0.838268	0.820635	0.540468	0.664641	0.645212	0.647168	0.624992	0.743906	0.42233	0.546735	0.526531	0.529426	0.50622	0.624772	0.357633	0.32973	0.4483	0.427206	1.6491	1.79056	1.7621	1.78618	1.74538	1.85782	1.63785	1.5721	1.68284	1.66049	1.53152	1.45622	1.56576	1.54257	1.36426	1.0325	0.857539	0.837849	0.960763	0.943769	0.738977	0.719265	0.842205	0.82477	0.543332	0.667011	0.648515	0.648055	0.627966	0.747442	1.59579	1.58012	1.70504	1.68065	1.40841	1.53391	1.50605	1.51875	1.48566	1.60077	1.2922	1.41822	1.38887	1.40336	1.36831	1.48271	1.23546	1.19159	1.30604	1.28391	2.05457	1.94897	3.17121	2.97167	1.21711	0.0204032	0.895509	0.0239499	0.023902	0.02324	0.0231827	0.0224098	0.140616	0.0232062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8462	1.90943	-1.63657	-0.413744	-0.0569037	0	-1.498	0	0.0239499	0.023902	0.02324	0.0231827	0.0224098	0.140616	0.0232062	0.206408	0.195798	0.318588	0.298541	0.122274	0.00204976	0.0899652	0.008610548	0.008478497	0.02330369	0.1004626	1.38503	1.79444	-1.15969	1.75865	0	1.99012	1.22615	-0.0452575	0.100463	0.00861055	0.1090731	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1
