"Aa","Ca","Pa","Cc","Ad","El"
843493.601554465,1798805.64395177,3125063.99977457,1871746.1635276,1000224.70359236,1778168.43394609
1737860.15433707,369970.796704897,1355166.2094678,391049.284635245,1927471.49346235,1237474.16093953
3046429.63907764,1309094.3865432,625433.896239228,1212689.38596274,3121686.80583257,2207918.08064561
1907968.49355159,403403.610825234,1265216.49927821,364246.120531269,1851660.35714204,1323325.71017532
982982.7484131,1829706.51761378,3172568.82858232,1890846.89754077,834756.040094039,1906752.11544996
1890364.61442947,1379776.55191584,2186858.31484262,1442648.62221648,1827578.8514361,980406.365500423
