Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda[13]	lambda[14]	lambda[15]	lambda[16]	lambda[17]	lambda[18]	lambda[19]	lambda[20]	lambda[21]	lambda[22]	lambda[23]	lambda[24]	lambda[25]	lambda[26]	lambda[27]	lambda[28]	lambda[29]	lambda[30]	lambda[31]	lambda[32]	lambda[33]	lambda[34]	lambda[35]	lambda[36]	lambda[37]	lambda[38]	lambda[39]	lambda[40]	lambda[41]	lambda[42]	lambda[43]	lambda[44]	lambda[45]	lambda[46]	lambda[47]	lambda[48]	lambda[49]	lambda[50]	lambda[51]	lambda[52]	lambda[53]	lambda[54]	lambda[55]	lambda[56]	lambda[57]	lambda[58]	lambda[59]	lambda[60]	lambda[61]	lambda[62]	lambda[63]	m_w[1][1]	m_w[1][2]	m_w[1][3]	m_w[1][4]	m_w[1][5]	m_w[1][6]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu[11]	mu[12]	mu[13]	mu[14]	mu[15]	mu[16]	mu[17]	mu[18]	mu[19]	mu[20]	mu[21]	mu[22]	mu[23]	mu[24]	mu[25]	mu[26]	mu[27]	mu[28]	mu[29]	mu[30]	mu[31]	mu[32]	mu[33]	mu[34]	mu[35]	mu[36]	mu[37]	mu[38]	mu[39]	mu[40]	mu[41]	mu[42]	mu[43]	mu[44]	mu[45]	mu[46]	mu[47]	mu[48]	mu[49]	mu[50]	mu[51]	mu[52]	mu[53]	mu[54]	mu[55]	mu[56]	mu[57]	mu[58]	mu[59]	mu[60]	mu[61]	mu[62]	mu[63]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_e[1]	r_e[2]	r_e[3]	r_e[4]	r_e[5]	r_e[6]	rho_b	rho_d	rho_e	rho_w	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]
100	-1559.082	-1535.72	-23.36222	0.163619	0.167654	0.164215	0.167727	0.167408	0.155964	0.44304	0.504154	0.427934	0.447855	0.404869	0.425005	0.416394	0.4512	0.511841	0.450971	0.43387	0.418922	0.44989	0.421525	0.439034	0.677735	0.642415	0.678357	0.626969	0.653224	0.699809	0.685129	0.65525	0.647679	0.682835	0.647137	0.688597	0.645778	0.650882	0.620428	0.645535	0.642434	0.653519	0.694598	0.654995	0.87948	0.911018	0.872805	0.911069	0.884999	0.893543	0.860087	0.895002	0.852338	0.873631	0.914929	0.900083	0.876121	0.86528	0.899731	1.14611	1.12577	1.15786	1.11787	1.15894	1.13134	1.44036	0.51621	0.528939	0.518089	0.529169	0.528163	0.492057	0.0261819	0.0337862	0.0273109	0.0340204	0.0333185	0.0159842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.346638	-0.347169	-0.850987	0.802482	-1.39021	-0.0984785	-0.133697	0.807516	0.0261819	0.0337862	0.0273109	0.0340204	0.0333185	0.0159842	0.03058543	0.4332288	0.612131	0.1643779	1.47745	-0.221535	-0.624224	-1.67533	-1.60258	-1.38265	0.23552	-0.807951
110	-1560.707	-1535.719	-24.9873	0.166573	0.172027	0.167571	0.172239	0.171762	0.156698	0.366012	0.356496	0.368875	0.365663	0.378059	0.36957	0.369172	0.370751	0.361534	0.370999	0.350335	0.3581	0.349967	0.35804	0.355458	0.545315	0.5545	0.545461	0.558106	0.55285	0.542911	0.550197	0.552784	0.559522	0.550626	0.537181	0.528218	0.53835	0.536977	0.546934	0.538658	0.537356	0.542101	0.53329	0.542208	0.736529	0.732423	0.742201	0.732595	0.741535	0.718454	0.727504	0.718533	0.72969	0.725475	0.715884	0.723398	0.725408	0.732552	0.723681	0.92971	0.91625	0.912121	0.922127	0.912231	0.921264	1.12143	0.569323	0.587964	0.572732	0.588689	0.587057	0.53557	0.0405727	0.0595164	0.0432392	0.0601449	0.0582872	0.0193363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.153143	-1.38703	-1.08607	0.228339	-2.08857	-0.590335	-0.17425	-1.3145	0.0405727	0.0595164	0.0432392	0.0601449	0.0582872	0.0193363	0.007702376	0.4032211	0.857673	0.1677207	-0.394912	-0.0341199	-1.17434	-1.48704	-1.51545	-1.32473	-0.456334	-0.202093
120	-1562.82	-1538.907	-23.91251	0.145418	0.145802	0.145534	0.145842	0.145799	0.14478	0.303211	0.318401	0.30045	0.3042	0.296707	0.299974	0.298574	0.304457	0.319862	0.304433	0.3027	0.299571	0.306018	0.30004	0.303341	0.457119	0.450483	0.457298	0.448044	0.452457	0.46239	0.458234	0.452851	0.451111	0.457755	0.452482	0.461259	0.452117	0.453217	0.447553	0.452087	0.451602	0.453331	0.462098	0.453647	0.603862	0.609511	0.602501	0.60949	0.604527	0.607826	0.601459	0.608127	0.600128	0.603972	0.612105	0.60872	0.604461	0.602067	0.608652	0.760042	0.757922	0.763839	0.756409	0.764042	0.758589	0.919186	0.40035	0.401407	0.400672	0.401519	0.4014	0.398596	0.0208605	0.0249815	0.0214956	0.0251058	0.0247377	0.0147207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.628933	-0.106329	-1.18775	-0.232219	-0.982567	-0.364394	-0.0135644	-0.749569	0.0208605	0.0249815	0.0214956	0.0251058	0.0247377	0.0147207	0.003122854	0.2852162	0.9121593	0.1455287	-0.918389	0.331162	-1.18639	-1.48704	-2.19914	-1.4873	-0.273126	-0.707355
130	-1566.909	-1536.59	-30.31955	0.150057	0.152253	0.150579	0.152405	0.152188	0.146197	0.351022	0.48617	0.33407	0.357467	0.316737	0.33145	0.324334	0.358985	0.500578	0.358686	0.348286	0.329015	0.372154	0.331597	0.352259	0.537225	0.500115	0.538879	0.48732	0.511101	0.588163	0.54457	0.513352	0.503729	0.541176	0.511643	0.571726	0.508239	0.516172	0.484206	0.508016	0.505999	0.516652	0.577281	0.518678	0.680096	0.711192	0.672853	0.710595	0.683878	0.70477	0.668155	0.706631	0.660549	0.682882	0.734406	0.710153	0.685774	0.671561	0.70957	0.869181	0.860383	0.89494	0.85288	0.895889	0.864081	1.06973	0.920295	0.933768	0.923497	0.934699	0.933367	0.896627	0.0347113	0.0424892	0.0358789	0.0427132	0.0420166	0.0234534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01684	-1.13663	-1.27849	-0.0731541	-1.10322	0.722314	-0.0768757	-2.18868	0.0347113	0.0424892	0.0358789	0.0427132	0.0420166	0.0234534	0.01143531	0.5268745	1.04754	0.1505974	1.74633	0.42195	-1.25342	-1.8723	-2.33668	-0.866898	-1.29767	1.02932
140	-1565.816	-1534.726	-31.08987	0.165887	0.178875	0.167924	0.179212	0.178122	0.143292	0.410847	0.585895	0.389202	0.41982	0.37448	0.385726	0.373999	0.430978	0.614365	0.430694	0.37989	0.363664	0.413403	0.367242	0.394506	0.627152	0.585599	0.629538	0.569539	0.599691	0.695672	0.646423	0.602906	0.59981	0.64188	0.573777	0.646654	0.570447	0.580052	0.546634	0.570193	0.565451	0.589868	0.663366	0.5927	0.793415	0.834828	0.7916	0.834122	0.807847	0.799441	0.758544	0.80205	0.749503	0.777736	0.838974	0.816028	0.781781	0.772461	0.815276	1.0216	0.98297	1.0291	0.980809	1.03046	0.997275	1.23865	1.00977	1.08883	1.02217	1.09089	1.08425	0.872237	0.0400318	0.0670898	0.0435935	0.0680253	0.065217	0.0147297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01684	-0.260288	-1.21395	0.248014	-2.81585	0.322479	-0.411593	0.540343	0.0400318	0.0670898	0.0435935	0.0680253	0.065217	0.0147297	0.015518	0.4354688	0.7080295	0.1683826	1.92974	-2.22275	-0.805307	-1.65088	-2.58674	0.0979598	-0.293226	0.403026
150	-1564.415	-1538.527	-25.88766	0.134054	0.133368	0.133906	0.13333	0.133394	0.135325	0.413488	0.682652	0.370571	0.428019	0.315921	0.363287	0.346282	0.426272	0.70315	0.425228	0.423173	0.37021	0.474556	0.376404	0.426716	0.652522	0.551717	0.655121	0.516251	0.580931	0.74684	0.663557	0.586061	0.554695	0.655358	0.5986	0.740499	0.590307	0.609052	0.52119	0.589327	0.585257	0.604958	0.747409	0.609264	0.778886	0.860682	0.755472	0.859301	0.782363	0.856538	0.758641	0.860528	0.737775	0.796314	0.923579	0.863695	0.802967	0.761258	0.862002	1.03336	1.0232	1.11081	0.998213	1.11303	1.02664	1.33919	3.01883	3.00338	3.0155	3.00254	3.00397	3.04745	0.015492	0.0139499	0.0152322	0.0139139	0.0140322	0.0189938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79325	-0.728589	-0.782036	0.993118	0.572654	-0.88101	0.0274077	0.520235	0.015492	0.0139499	0.0152322	0.0139139	0.0140322	0.0189938	0.03656976	0.344326	0.5077238	0.1338941	0.382694	-0.507036	-0.439182	-1.65088	-3.17083	-0.469534	-0.409908	1.55767
160	-1567.957	-1539.226	-28.73092	0.15894	0.168202	0.160557	0.168531	0.167724	0.142647	0.423465	0.373126	0.445765	0.418786	0.514118	0.450959	0.462832	0.427637	0.380409	0.42824	0.395238	0.429152	0.382736	0.425524	0.402556	0.611744	0.665249	0.611251	0.699721	0.653044	0.589824	0.617184	0.650571	0.671389	0.61901	0.622616	0.571256	0.625096	0.618588	0.677995	0.625726	0.626187	0.627935	0.578408	0.62693	0.86294	0.825616	0.887252	0.825416	0.868882	0.813966	0.86789	0.812747	0.882311	0.851109	0.790204	0.819679	0.8485	0.874193	0.820213	1.0923	1.08709	1.04929	1.11443	1.04845	1.09294	1.35841	1.06701	1.12918	1.07786	1.13139	1.12598	0.957622	0.0316963	0.0392804	0.0328432	0.03951	0.0388228	0.0209279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.445463	0.512813	-1.05983	0.717236	-1.16957	-0.137406	-0.307132	-1.54505	0.0316963	0.0392804	0.0328432	0.03951	0.0388228	0.0209279	0.02646721	0.360593	1.419312	0.1608317	-1.48443	-1.73578	-1.08567	-0.735769	-2.72259	-0.9438	-1.22402	1.18998
170	-1563.226	-1540.603	-22.6237	0.166051	0.183421	0.168815	0.18392	0.182428	0.136978	0.421461	0.530539	0.403981	0.428984	0.392811	0.400898	0.388455	0.444131	0.555878	0.444141	0.37887	0.371306	0.405356	0.37467	0.397012	0.641929	0.609121	0.643621	0.594826	0.621526	0.683949	0.663701	0.624537	0.627159	0.660253	0.583616	0.635431	0.582542	0.589072	0.56471	0.58244	0.576304	0.603231	0.655059	0.605682	0.82421	0.86185	0.826834	0.861715	0.842475	0.813181	0.781854	0.815497	0.774616	0.798268	0.843603	0.833136	0.801921	0.799707	0.832706	1.06697	1.01539	1.05562	1.01721	1.05712	1.03362	1.28853	6.24375	6.8969	6.34768	6.91565	6.85958	5.15057	0.0648817	0.0690028	0.065529	0.0691075	0.0687646	0.0575621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.758223	0.783173	-0.808996	0.974391	-0.336347	0.526045	-0.54236	-0.111568	0.0648817	0.0690028	0.065529	0.0691075	0.0687646	0.0575621	0.01819417	0.2715053	1.45666	0.1693994	-0.0605084	0.157529	-0.78959	-0.648278	-2.22418	-0.797848	0.745934	1.14414
180	-1569.057	-1539.205	-29.852	0.139121	0.146327	0.140356	0.146566	0.145947	0.126284	0.503165	1.06238	0.428937	0.530147	0.350174	0.417131	0.387153	0.534894	1.11926	0.533236	0.497153	0.411902	0.597429	0.422805	0.511979	0.802506	0.638859	0.808823	0.581839	0.687293	1.01021	0.831516	0.696558	0.652126	0.816689	0.695699	0.952866	0.680539	0.714758	0.573358	0.679262	0.67131	0.714999	0.974425	0.723316	0.9123	1.04872	0.879325	1.0459	0.926332	1.0255	0.864606	1.03313	0.830565	0.928916	1.15123	1.04641	0.940999	0.87704	1.04364	1.22651	1.19304	1.34348	1.15862	1.34734	1.20679	1.59807	0.138367	0.145534	0.139595	0.145773	0.145157	0.1256	0.00824435	0.00674008	0.00796933	0.00670121	0.00681337	0.0121617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.973548	-1.4128	-0.868718	1.03057	1.0971	1.25372	-0.27428	-0.991472	0.00824435	0.00674008	0.00796933	0.00670121	0.00681337	0.0121617	0.05179306	0.2276245	1.249734	0.1405791	-0.612465	0.944368	-0.989778	-0.541249	-3.00619	-2.04171	-1.54272	-0.488848
190	-1559.425	-1537.295	-22.13027	0.160583	0.168867	0.161923	0.169095	0.168402	0.145683	0.420871	0.600297	0.394029	0.430891	0.366688	0.389513	0.376417	0.437667	0.623015	0.437211	0.402919	0.376641	0.438925	0.380896	0.413479	0.64903	0.59079	0.651141	0.569287	0.60908	0.714751	0.66469	0.612728	0.600976	0.659402	0.596822	0.68457	0.592544	0.604	0.555304	0.592099	0.587484	0.609239	0.6974	0.612337	0.810468	0.862984	0.802057	0.862226	0.820963	0.837056	0.780478	0.839932	0.768257	0.804466	0.881554	0.85001	0.809103	0.790397	0.849065	1.05334	1.02349	1.08024	1.01419	1.08188	1.03392	1.30477	0.47831	0.502984	0.482301	0.503665	0.5016	0.433929	0.0110022	0.0135325	0.0113732	0.0136002	0.0133752	0.0073547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.844384	-0.402649	-0.758591	1.10555	-1.13105	2.18016	-0.27428	0.0186135	0.0110022	0.0135325	0.0113732	0.0136002	0.0133752	0.0073547	0.0225813	0.2582234	0.1327962	0.1622081	0.471981	0.165874	-1.11576	-0.765836	-1.00041	-1.15337	-0.71358	0.0123521
200	-1557.536	-1536.315	-21.22115	0.159363	0.16115	0.159641	0.161189	0.161046	0.15593	0.443303	0.564126	0.418485	0.451455	0.382169	0.413838	0.402126	0.452315	0.57369	0.451814	0.442497	0.413642	0.469297	0.417467	0.446311	0.686212	0.626339	0.687306	0.603138	0.643957	0.727594	0.694011	0.647129	0.630195	0.689711	0.64783	0.722678	0.644265	0.653865	0.601881	0.643643	0.640239	0.653569	0.728052	0.655907	0.866792	0.917071	0.85346	0.916747	0.870995	0.904714	0.847507	0.906968	0.834824	0.869705	0.94088	0.91078	0.873636	0.851203	0.909891	1.13594	1.11953	1.17155	1.10464	1.17305	1.12376	1.44096	0.706539	0.714462	0.707773	0.714637	0.714002	0.691319	0.0214519	0.0229273	0.0216972	0.0229733	0.0228469	0.018874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.524622	0.221621	-1.15585	1.0227	-0.361853	-0.760726	-0.0610237	0.20117	0.0214519	0.0229273	0.0216972	0.0229733	0.0228469	0.018874	0.03266035	0.2226781	0.4066682	0.1597091	0.909865	-0.856123	-0.88687	-0.499654	-0.925312	-2.03898	0.206776	-0.528531
210	-1561.743	-1536.713	-25.03028	0.146663	0.162393	0.149222	0.162882	0.161515	0.120517	0.400507	0.509016	0.380617	0.408246	0.363081	0.377207	0.363581	0.422142	0.53292	0.422147	0.362416	0.350921	0.39038	0.35485	0.379496	0.613712	0.573478	0.615305	0.556334	0.587819	0.65449	0.634394	0.591005	0.590316	0.630922	0.554863	0.612387	0.553707	0.560769	0.529639	0.553792	0.547146	0.573448	0.631082	0.576173	0.782419	0.825227	0.782141	0.825247	0.799564	0.779177	0.740999	0.781774	0.732428	0.759519	0.811799	0.798145	0.763511	0.757703	0.797925	1.02285	0.973466	1.01842	0.972023	1.02025	0.990649	1.25264	1.23683	1.36949	1.25841	1.37361	1.36209	1.01634	0.0189368	0.0244107	0.0197404	0.0245726	0.0240703	0.0115741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64403	-1.20146	-1.27602	0.516687	-1.38546	0.88375	-0.554544	-0.917519	0.0189368	0.0244107	0.0197404	0.0245726	0.0240703	0.0115741	0.02372872	0.1393266	0.633821	0.1497299	0.449286	1.59504	-1.11218	-0.282522	-0.758507	-2.4986	0.458644	-0.257856
220	-1562.047	-1536.438	-25.60937	0.166368	0.144768	0.162705	0.144285	0.14591	0.218073	0.380391	0.559543	0.35392	0.387902	0.30882	0.349716	0.346293	0.367339	0.552772	0.366293	0.457916	0.408377	0.483332	0.411142	0.439799	0.593534	0.523036	0.594738	0.50139	0.539746	0.653026	0.57962	0.542003	0.504513	0.57463	0.62038	0.716491	0.611956	0.625555	0.558507	0.610987	0.614297	0.603675	0.700324	0.605586	0.728761	0.772575	0.700142	0.771225	0.710479	0.84297	0.773541	0.844685	0.759087	0.79496	0.881399	0.826731	0.798053	0.754786	0.825331	0.929579	0.996855	1.04453	0.967669	1.04517	0.978508	1.22666	2.93611	2.5549	2.87146	2.54637	2.57506	3.84862	0.0224838	0.0291971	0.0234724	0.0294008	0.0287809	0.0135544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.914256	-1.04498	-1.16019	0.931462	-1.42502	0.359387	0.759945	-1.49696	0.0224838	0.0291971	0.0234724	0.0294008	0.0287809	0.0135544	0.0167696	0.210064	0.3427895	0.1618733	0.484088	0.954268	-0.991173	-0.489624	-0.126446	-2.38605	1.60591	-0.758077
230	-1561.751	-1536.725	-25.02615	0.175165	0.178276	0.175651	0.178347	0.178096	0.16925	0.486689	0.794533	0.443316	0.502223	0.394662	0.436179	0.418726	0.503857	0.823481	0.502836	0.485884	0.435168	0.542157	0.441436	0.493221	0.759432	0.66191	0.762754	0.627772	0.690668	0.871575	0.77492	0.696036	0.668534	0.76626	0.698166	0.845987	0.689459	0.709122	0.624743	0.688523	0.684082	0.708277	0.857035	0.712913	0.920338	1.00128	0.900029	0.999658	0.927418	0.989055	0.893579	0.993313	0.87326	0.931419	1.06061	1.00005	0.938359	0.899746	0.998278	1.20408	1.18584	1.27423	1.16445	1.27641	1.19279	1.52537	6.32328	6.4356	6.34085	6.43816	6.4291	6.10978	0.0312748	0.0360557	0.0320518	0.0362152	0.0357885	0.023794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.914256	-0.66834	-0.753417	1.05655	-0.77339	-2.07732	-0.0963087	0.279835	0.0312748	0.0360557	0.0320518	0.0362152	0.0357885	0.023794	0.03226898	0.1724326	0.5155982	0.1757682	-0.277476	0.277332	-0.575219	-0.65106	-0.50066	-2.38933	2.00103	-0.119706
240	-1564.082	-1537.395	-26.68778	0.144832	0.159668	0.147013	0.159982	0.158754	0.119644	0.374995	0.457246	0.359791	0.381005	0.348627	0.357042	0.34617	0.394173	0.478051	0.394104	0.337993	0.33166	0.359783	0.334594	0.353563	0.571423	0.542617	0.5726	0.529527	0.553546	0.602988	0.589839	0.555973	0.558048	0.58703	0.520714	0.562974	0.519971	0.52523	0.503718	0.519912	0.514491	0.537494	0.579776	0.53951	0.735648	0.768656	0.73765	0.768589	0.751309	0.725691	0.698464	0.72761	0.69198	0.712655	0.750781	0.742756	0.71568	0.71378	0.74246	0.955181	0.909625	0.944329	0.910737	0.945641	0.925303	1.15902	3.82841	4.22057	3.88607	4.22888	4.19642	3.1626	0.0368951	0.0537128	0.0392456	0.0542494	0.0526138	0.0178216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.648378	-0.6287	-0.960387	1.31625	-2.04862	0.711383	-0.53435	2.41113	0.0368951	0.0537128	0.0392456	0.0542494	0.0526138	0.0178216	0.01827724	0.1724326	0.5476844	0.1475775	-1.0583	1.28879	-0.0902515	-0.596844	-0.870839	-1.50491	0.34498	1.2797
250	-1560.591	-1539.076	-21.51498	0.17992	0.161912	0.176852	0.161474	0.162863	0.220768	0.481792	0.548159	0.465096	0.485635	0.424657	0.461731	0.459366	0.468403	0.533541	0.467686	0.54312	0.508356	0.552386	0.509957	0.526908	0.74202	0.692591	0.742027	0.674497	0.703525	0.761179	0.727812	0.704918	0.676724	0.725307	0.766165	0.818923	0.76143	0.768894	0.720054	0.760474	0.763351	0.751214	0.803315	0.751816	0.958846	0.988061	0.935765	0.987671	0.943167	1.04003	0.992251	1.04068	0.981486	1.00564	1.05937	1.02512	1.00728	0.976272	1.02415	1.24492	1.29413	1.32366	1.26989	1.32401	1.27844	1.64059	0.556796	0.501069	0.547303	0.499713	0.504011	0.683209	0.0239606	0.0239987	0.0239507	0.0239906	0.0239911	0.0238557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236392	0.959414	-0.750866	1.30643	-0.010163	1.38534	0.575549	-0.498545	0.0239606	0.0239987	0.0239507	0.0239906	0.0239911	0.0238557	0.03881311	0.1836271	0.2657323	0.1761862	-0.46096	-0.994013	0.154467	-1.29819	-1.60178	-0.679598	0.0759841	-0.778578
260	-1561.882	-1536.702	-25.1804	0.145973	0.139102	0.144757	0.13889	0.139451	0.16013	0.425066	0.481934	0.410162	0.428989	0.379255	0.40715	0.401967	0.422236	0.4781	0.421761	0.448377	0.424859	0.459775	0.426817	0.442884	0.653106	0.613211	0.653342	0.597035	0.623371	0.671647	0.649528	0.624931	0.607965	0.647341	0.648685	0.692144	0.645893	0.651642	0.614031	0.645306	0.64527	0.644364	0.687277	0.645273	0.847373	0.875767	0.833004	0.875618	0.842342	0.890462	0.852207	0.891396	0.843421	0.864777	0.909218	0.886215	0.866658	0.846879	0.885583	1.11007	1.12202	1.15071	1.10647	1.15135	1.11701	1.44511	1.37631	1.31152	1.36484	1.30953	1.31481	1.50979	0.0115245	0.0188705	0.0125051	0.0191245	0.0183687	0.00443781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236392	0.273976	-0.843355	1.57913	-2.68856	-0.228059	0.262023	0.804086	0.0115245	0.0188705	0.0125051	0.0191245	0.0183687	0.00443781	0.03881311	0.1899404	0.1634606	0.1445336	-2.07415	-1.02063	-0.130901	-0.601992	-1.22173	-1.11143	0.0475995	0.310377
270	-1565.038	-1536.571	-28.46684	0.177984	0.170452	0.176664	0.170225	0.170839	0.193411	0.422083	0.504239	0.405193	0.426579	0.37572	0.402306	0.397108	0.419522	0.502805	0.418992	0.447395	0.421213	0.463126	0.423535	0.441937	0.648749	0.60458	0.649187	0.58902	0.616209	0.675014	0.64556	0.617805	0.598911	0.642842	0.644153	0.697601	0.640585	0.647633	0.607234	0.640227	0.639915	0.639681	0.693215	0.641038	0.829668	0.86127	0.814847	0.860856	0.82425	0.879424	0.836883	0.880703	0.82781	0.851267	0.902301	0.875218	0.853466	0.831162	0.874675	1.06521	1.08094	1.11362	1.06514	1.11443	1.07559	1.34779	0.0952655	0.0912342	0.094559	0.0911127	0.0914412	0.103523	0.0375122	0.0516698	0.039526	0.0520988	0.0507608	0.0201573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.541125	-2.32808	-0.807238	1.27468	-1.74742	1.35054	0.235109	0.601201	0.0375122	0.0516698	0.039526	0.0520988	0.0507608	0.0201573	0.01951168	0.2136763	0.1544712	0.1764159	0.69418	-2.63754	-0.909701	-0.433081	-1.24886	0.174329	-1.59053	-0.736659
280	-1561.82	-1540.889	-20.93142	0.205433	0.207736	0.205879	0.207837	0.207633	0.201174	0.459269	0.459947	0.458815	0.459497	0.459018	0.458846	0.4576	0.461704	0.462424	0.461802	0.452691	0.454048	0.45407	0.454403	0.455097	0.688965	0.688851	0.689094	0.688323	0.689271	0.689889	0.691414	0.689433	0.691215	0.691477	0.682999	0.683327	0.683448	0.683292	0.683715	0.683642	0.682679	0.685417	0.685767	0.685646	0.922193	0.923703	0.923369	0.923822	0.924596	0.916759	0.916723	0.91697	0.916796	0.917263	0.917769	0.919202	0.917497	0.919108	0.919368	1.16879	1.16166	1.16316	1.16273	1.16335	1.16409	1.42832	1.67919	1.69802	1.68284	1.69884	1.69717	1.64438	0.0497743	0.0498925	0.0497554	0.049874	0.0498729	0.049472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0427671	-1.62779	-0.97295	1.28835	-0.0146491	1.57645	-0.0600704	-0.663682	0.0497743	0.0498925	0.0497554	0.049874	0.0498729	0.049472	0.01294317	0.1912347	0.2941514	0.2059353	0.0852108	-0.191329	-1.10043	-0.0129969	-1.05179	-0.582515	0.0732397	0.393527
