Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation[12]	speciation[13]	speciation[14]	speciation[15]	speciation[16]	speciation[17]	speciation[18]	speciation[19]	speciation[20]	speciation[21]	speciation[22]	speciation[23]	speciation[24]	speciation[25]	speciation[26]	speciation[27]	speciation[28]	speciation[29]	speciation[30]	speciation[31]	speciation[32]	speciation[33]	speciation[34]	speciation[35]	speciation[36]	speciation[37]	speciation[38]	speciation[39]	speciation[40]	speciation[41]	speciation[42]	speciation[43]	speciation[44]	speciation[45]	speciation[46]	speciation[47]	speciation[48]	speciation[49]	speciation[50]	speciation[51]
100	-1459.86	-1577.37	117.507	0.250717	0.236671	0.203225	0.228843	0.224146	0.226782	0.241645	0.231826	0.233933	0.231712	0.241984	0.248578	0.216798	0.2268	0.216786	0.198438	0.21275	0.239575	0.241105	0.238734	0.233728	0.229933	0.265012	0.244108	0.223943	0.206732	0.205549	0.213959	0.188081	0.20825	0.214399	0.195032	0.195237	0.171895	0.184645	0.208315	0.19946	0.184742	0.191303	0.20572	0.199717	0.217259	0.235877	0.23932	0.242447	0.234009	0.228377	0.236444	0.231186	0.210589	0.235796
110	-1385.06	-1571.33	186.271	0.264007	0.298558	0.279322	0.293617	0.26073	0.265344	0.26131	0.286552	0.305218	0.307146	0.258305	0.230245	0.241058	0.243768	0.227286	0.233565	0.271043	0.246145	0.28917	0.27576	0.270109	0.28422	0.282172	0.265491	0.250107	0.211909	0.216252	0.220631	0.21844	0.226245	0.208061	0.228028	0.219816	0.211905	0.199477	0.180268	0.187794	0.205176	0.237785	0.269478	0.274669	0.27265	0.258783	0.280628	0.276069	0.258828	0.250308	0.232723	0.216907	0.222909	0.223201
120	-1323.73	-1572.55	248.814	0.264016	0.264578	0.271268	0.278656	0.276561	0.286182	0.287059	0.280495	0.272257	0.261512	0.27307	0.270524	0.267539	0.267569	0.269258	0.263907	0.266991	0.271452	0.273496	0.280047	0.276112	0.273936	0.272174	0.27885	0.256987	0.246945	0.258106	0.255805	0.256476	0.258824	0.252429	0.261661	0.259448	0.247869	0.245255	0.24363	0.252816	0.251312	0.264066	0.265971	0.278442	0.293113	0.293065	0.285229	0.278892	0.28528	0.293705	0.270608	0.258354	0.259882	0.260709
130	-1335.24	-1574.06	238.82	0.336555	0.329993	0.329266	0.344794	0.343684	0.348992	0.344868	0.347652	0.343745	0.334674	0.329	0.31986	0.329948	0.333087	0.334863	0.335669	0.338138	0.336292	0.343181	0.342354	0.328675	0.32428	0.325721	0.321943	0.318147	0.329239	0.32003	0.320875	0.320426	0.326042	0.317352	0.319409	0.32436	0.321931	0.311888	0.317692	0.316544	0.330318	0.340506	0.345811	0.351929	0.354027	0.35756	0.361036	0.357825	0.351312	0.339191	0.33417	0.332165	0.325119	0.317823
140	-1390.57	-1570.46	179.891	0.290905	0.28839	0.28067	0.284967	0.287677	0.295327	0.297791	0.302446	0.282418	0.265301	0.255646	0.24621	0.254631	0.241579	0.24308	0.250587	0.279729	0.264729	0.279186	0.26995	0.241703	0.237789	0.24092	0.249512	0.257629	0.234427	0.229336	0.224891	0.23937	0.203013	0.212528	0.223877	0.207516	0.234505	0.243532	0.247259	0.263473	0.284559	0.256414	0.273256	0.284261	0.311586	0.314023	0.314488	0.26982	0.238767	0.260185	0.231529	0.251562	0.243199	0.222643
150	-1380.18	-1571.94	191.767	0.250234	0.253694	0.248828	0.240163	0.241957	0.247	0.248619	0.231958	0.223456	0.236039	0.220513	0.212759	0.219824	0.210917	0.231016	0.234595	0.224651	0.234913	0.236324	0.230291	0.228173	0.202434	0.196076	0.216343	0.221856	0.214241	0.203744	0.19016	0.181018	0.183963	0.191058	0.198669	0.187998	0.206046	0.220065	0.214805	0.234073	0.225303	0.234218	0.248142	0.252657	0.248328	0.266751	0.259514	0.230069	0.23081	0.225961	0.210554	0.201223	0.212028	0.197808
160	-1330.75	-1572.47	241.715	0.264691	0.251	0.252236	0.253824	0.248468	0.243831	0.236457	0.235926	0.24299	0.239646	0.235436	0.227079	0.218856	0.218623	0.242212	0.236135	0.239056	0.2614	0.247709	0.246583	0.237723	0.229686	0.227748	0.232816	0.232923	0.231357	0.223214	0.222725	0.205433	0.206011	0.209166	0.219868	0.212932	0.225876	0.23562	0.233582	0.238191	0.24441	0.239547	0.261344	0.258109	0.256475	0.245875	0.264531	0.247069	0.232935	0.240034	0.235553	0.224469	0.229546	0.22272
170	-1390.9	-1576.08	185.183	0.239654	0.241836	0.248272	0.245934	0.238717	0.233026	0.223707	0.221352	0.224133	0.228882	0.214835	0.226813	0.227154	0.227181	0.22324	0.231071	0.231184	0.230084	0.237783	0.2364	0.246666	0.237067	0.213528	0.219631	0.219761	0.208385	0.208077	0.207516	0.187112	0.188682	0.190381	0.1981	0.195903	0.205791	0.223025	0.220557	0.226146	0.233736	0.235442	0.238677	0.241766	0.248612	0.247507	0.258656	0.236997	0.23236	0.228196	0.222943	0.215022	0.21569	0.22291
180	-1373.52	-1569.44	195.921	0.296331	0.31188	0.324384	0.31898	0.276062	0.285943	0.301675	0.286289	0.273796	0.253853	0.260119	0.276279	0.276807	0.279918	0.277866	0.29496	0.28307	0.306067	0.309576	0.294972	0.300342	0.29512	0.26805	0.258114	0.241342	0.242565	0.240248	0.251904	0.236429	0.232688	0.231154	0.232395	0.233919	0.240867	0.234403	0.26838	0.264337	0.267863	0.28972	0.305393	0.305811	0.298909	0.295918	0.29133	0.28291	0.284903	0.278424	0.270295	0.270504	0.258019	0.288108
190	-1328.13	-1571.48	243.348	0.314114	0.300354	0.302279	0.300069	0.299016	0.301284	0.310542	0.305666	0.294489	0.301436	0.277104	0.280084	0.289458	0.298196	0.300966	0.301234	0.308856	0.30415	0.310521	0.30716	0.304674	0.306712	0.298326	0.2892	0.277981	0.271305	0.280998	0.272698	0.268174	0.269068	0.262551	0.266204	0.268797	0.263832	0.260349	0.262161	0.269594	0.291291	0.292035	0.294535	0.29539	0.298309	0.302418	0.296476	0.288159	0.290268	0.290518	0.285678	0.279349	0.269731	0.277089
200	-1300.76	-1570.3	269.547	0.311806	0.309453	0.309943	0.309524	0.301316	0.291733	0.294787	0.301602	0.296913	0.291984	0.287724	0.28317	0.280492	0.278109	0.29276	0.290826	0.29297	0.296503	0.307229	0.29841	0.29738	0.287066	0.277283	0.282296	0.272131	0.253198	0.246362	0.249955	0.234416	0.231789	0.230442	0.232357	0.229553	0.232373	0.22714	0.229856	0.25371	0.261584	0.276552	0.276979	0.277278	0.277702	0.293617	0.284453	0.287589	0.268312	0.274095	0.265446	0.256284	0.241348	0.239231
210	-1382.09	-1572.63	190.54	0.249147	0.245407	0.247983	0.242281	0.246	0.246272	0.246083	0.244299	0.249912	0.244639	0.245081	0.246819	0.23772	0.234967	0.23972	0.242328	0.243513	0.24283	0.24441	0.246744	0.243008	0.24302	0.233608	0.232168	0.232812	0.236224	0.225454	0.219584	0.215303	0.211558	0.213992	0.212512	0.208423	0.205251	0.213643	0.208883	0.217026	0.225013	0.226937	0.227302	0.237249	0.238095	0.234214	0.233107	0.235252	0.229905	0.236169	0.23136	0.223033	0.22201	0.220709
220	-1338.06	-1570.64	232.582	0.251589	0.257538	0.254524	0.256336	0.257086	0.272339	0.268119	0.261986	0.272652	0.281076	0.272247	0.266924	0.265906	0.260619	0.263403	0.257875	0.256481	0.25562	0.272279	0.274214	0.270342	0.264892	0.248291	0.249483	0.243634	0.233106	0.222751	0.217635	0.21599	0.204575	0.194558	0.200039	0.186283	0.188918	0.196135	0.201417	0.217115	0.223821	0.233163	0.235973	0.24704	0.240688	0.234268	0.233262	0.240331	0.246248	0.248886	0.237425	0.234082	0.224225	0.217833
