Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation[12]	speciation[13]	speciation[14]	speciation[15]	speciation[16]	speciation[17]	speciation[18]	speciation[19]	speciation[20]	speciation[21]	speciation[22]	speciation[23]	speciation[24]	speciation[25]	speciation[26]	speciation[27]	speciation[28]	speciation[29]	speciation[30]	speciation[31]	speciation[32]	speciation[33]	speciation[34]	speciation[35]	speciation[36]	speciation[37]	speciation[38]	speciation[39]	speciation[40]	speciation[41]	speciation[42]	speciation[43]	speciation[44]	speciation[45]	speciation[46]	speciation[47]	speciation[48]	speciation[49]	speciation[50]	speciation[51]
0	-1940.35	-2220.41	280.058	1	1.00195	0.955805	0.984724	1.03047	1.06747	1.08387	1.09761	1.1178	1.11437	1.10833	1.11547	1.14228	1.15934	1.13122	1.1389	1.17744	1.16892	1.15181	1.17474	1.2149	1.21644	1.18905	1.18843	1.22531	1.21311	1.24125	1.24319	1.27275	1.28109	1.29923	1.27139	1.3012	1.32271	1.31671	1.31979	1.31175	1.31189	1.29377	1.26272	1.26958	1.31896	1.32702	1.29619	1.28967	1.33767	1.31988	1.32445	1.34912	1.35979	1.35809
10	-1275.72	-1574.74	299.019	0.356054	0.354778	0.361412	0.353411	0.361264	0.366801	0.370205	0.372469	0.375769	0.375211	0.374225	0.379143	0.37973	0.382464	0.377946	0.379777	0.385342	0.38399	0.381259	0.388302	0.389198	0.391467	0.387175	0.387079	0.392846	0.390948	0.39531	0.39561	0.400134	0.401401	0.404142	0.399928	0.406805	0.40766	0.406764	0.407224	0.406021	0.406043	0.403319	0.403733	0.410016	0.4071	0.408302	0.403683	0.400456	0.398971	0.405349	0.413093	0.411578	0.413151	0.400663
20	-1271.33	-1570.9	299.57	0.308605	0.3083	0.30922	0.31192	0.309844	0.311147	0.31194	0.312465	0.31203	0.313098	0.312871	0.313999	0.314133	0.314755	0.313833	0.314754	0.315406	0.315101	0.314481	0.316073	0.316274	0.316781	0.31582	0.316208	0.31597	0.316665	0.317636	0.317702	0.3187	0.319629	0.319577	0.318654	0.320156	0.320342	0.320812	0.320247	0.319747	0.320927	0.319397	0.319488	0.320851	0.318648	0.318845	0.31907	0.318771	0.318444	0.31984	0.320306	0.321188	0.321526	0.319312
30	-1286.85	-1571.76	284.911	0.260944	0.260666	0.261748	0.261294	0.262483	0.264017	0.264954	0.265574	0.26506	0.266321	0.266053	0.266387	0.267546	0.268283	0.267191	0.268282	0.269055	0.268693	0.267959	0.268274	0.270084	0.269114	0.269545	0.270006	0.269723	0.270549	0.271702	0.271781	0.272968	0.27436	0.274013	0.274899	0.274703	0.274924	0.275485	0.274812	0.274215	0.275623	0.273799	0.274683	0.275532	0.272907	0.273141	0.273408	0.273052	0.272663	0.274326	0.274882	0.275934	0.275043	0.27563
40	-1184.76	-1571.89	387.134	0.280256	0.280272	0.279752	0.280199	0.28103	0.281668	0.282056	0.282313	0.2821	0.282621	0.282723	0.282649	0.283126	0.283429	0.28298	0.283429	0.283746	0.283598	0.283296	0.283855	0.284168	0.28377	0.283947	0.284136	0.28402	0.284316	0.284829	0.284861	0.285344	0.285909	0.285768	0.286128	0.286048	0.286138	0.285895	0.286092	0.28585	0.28642	0.285682	0.28604	0.286384	0.285319	0.285414	0.285523	0.285378	0.28522	0.285895	0.286121	0.286546	0.286186	0.286289
50	-1212.29	-1570.43	358.139	0.280183	0.280194	0.279825	0.280142	0.280731	0.281183	0.281458	0.281639	0.281489	0.281858	0.28193	0.282002	0.282215	0.282429	0.282111	0.282428	0.282653	0.282548	0.282334	0.282729	0.28295	0.28267	0.282794	0.282928	0.282846	0.283055	0.283176	0.28344	0.28378	0.284179	0.28408	0.284333	0.284277	0.28434	0.284169	0.284308	0.284138	0.284539	0.284018	0.284271	0.284513	0.283763	0.28383	0.283907	0.283805	0.283693	0.284169	0.284328	0.284628	0.284374	0.284446
60	-1257.75	-1574.49	316.746	0.338851	0.338908	0.335313	0.33997	0.346092	0.348997	0.351279	0.353332	0.351807	0.355559	0.356296	0.360229	0.359224	0.361437	0.362678	0.361433	0.363766	0.364447	0.360462	0.364565	0.364188	0.364333	0.365248	0.366646	0.365788	0.36798	0.369256	0.372052	0.375693	0.37616	0.380866	0.381659	0.384208	0.381737	0.379877	0.380753	0.37954	0.373708	0.378253	0.380989	0.383627	0.38573	0.376226	0.377049	0.375952	0.374758	0.379883	0.381607	0.385915	0.382105	0.382484
70	-1345.59	-1572.67	227.078	0.310568	0.310652	0.305337	0.31223	0.32138	0.325758	0.329211	0.332331	0.330013	0.335728	0.336855	0.342894	0.341346	0.344757	0.34248	0.344751	0.348359	0.345278	0.344376	0.349598	0.349014	0.349238	0.350659	0.352834	0.3515	0.354915	0.356909	0.363652	0.367033	0.367772	0.375246	0.376658	0.38059	0.376637	0.373671	0.375066	0.36679	0.365891	0.37109	0.375443	0.379659	0.378174	0.367876	0.369179	0.367443	0.374527	0.373681	0.37643	0.383332	0.377224	0.376254
80	-1281.3	-1571.54	290.244	0.35699	0.355768	0.35432	0.356322	0.359497	0.360993	0.363398	0.365545	0.365132	0.364351	0.364726	0.364182	0.366212	0.367332	0.366585	0.36733	0.368506	0.367502	0.367395	0.368909	0.369481	0.368792	0.369252	0.369954	0.369523	0.368686	0.371261	0.373195	0.375056	0.374794	0.377304	0.377452	0.378657	0.378067	0.377721	0.376961	0.374387	0.374105	0.374949	0.376336	0.378373	0.375713	0.374727	0.375134	0.374592	0.37527	0.376533	0.378698	0.379493	0.378039	0.377627
90	-1297.47	-1570.23	272.756	0.307527	0.308399	0.311411	0.308482	0.310588	0.313509	0.315856	0.313549	0.316735	0.317101	0.317592	0.31688	0.319538	0.319612	0.320027	0.321004	0.322549	0.322224	0.3213	0.319484	0.322554	0.322924	0.323963	0.32616	0.323887	0.322785	0.326177	0.329585	0.331199	0.330852	0.333364	0.336043	0.336147	0.3352	0.33474	0.333729	0.330312	0.329938	0.331056	0.332514	0.335608	0.33478	0.330762	0.331302	0.332434	0.331483	0.332882	0.336041	0.337101	0.335164	0.334615
