Iteration	Posterior	Likelihood	Prior	birth_rate
1260	-1588.55	-1589.49	0.940378	0.1499438
1270	-1587.98	-1588.64	0.658674	0.1649358
1280	-1588.07	-1588.7	0.628954	0.1665205
1290	-1588.34	-1588.91	0.562083	0.1700903
1300	-1589.43	-1590.47	1.04472	0.1443872
1310	-1587.9	-1588.61	0.714745	0.1619485
1320	-1587.96	-1588.76	0.802042	0.1573024
1330	-1587.95	-1588.63	0.674558	0.1640892
1340	-1588.73	-1589.7	0.966319	0.1485633
1350	-1588.57	-1589.52	0.944476	0.1497257
1360	-1591.2	-1591.46	0.250947	0.1868053
1370	-1588.88	-1589.86	0.984879	0.1475753
1380	-1588.61	-1589.56	0.949204	0.1494742
1390	-1588.83	-1589.31	0.483278	0.1743059
1400	-1587.89	-1588.65	0.751273	0.1600039
1410	-1587.9	-1588.65	0.752988	0.1599126
1420	-1589.93	-1590.29	0.35869	0.180994
1430	-1587.9	-1588.67	0.76334	0.1593617
1440	-1588.26	-1589.15	0.889638	0.1526431
1450	-1590.31	-1590.64	0.32381	0.1828724
1460	-1588.2	-1588.79	0.594286	0.1683704
1470	-1588.71	-1589.21	0.499795	0.1734214
1480	-1587.9	-1588.66	0.759825	0.1595487
1490	-1591.23	-1591.48	0.249259	0.1868966
1500	-1587.92	-1588.61	0.694238	0.1630407
1510	-1588.21	-1589.09	0.879613	0.1531764
1520	-1588.36	-1588.92	0.559595	0.1702232
1530	-1588.27	-1589.16	0.892641	0.1524834
1540	-1587.93	-1588.72	0.788898	0.1580017
1550	-1588.48	-1589.02	0.537022	0.1714298
1560	-1587.89	-1588.63	0.737627	0.1607302
1570	-1587.91	-1588.69	0.774271	0.1587799
1580	-1588.68	-1589.63	0.958996	0.148953
1590	-1589.63	-1590.02	0.388469	0.1793925
1600	-1588.23	-1589.11	0.884257	0.1529293
1610	-1588	-1588.65	0.652064	0.1652881
1620	-1587.97	-1588.78	0.808676	0.1569495
1630	-1588.51	-1589.44	0.93417	0.1502741
1640	-1588	-1588.82	0.821094	0.1562889
1650	-1588.88	-1589.87	0.985457	0.1475446
1660	-1587.89	-1588.62	0.728668	0.1612072
1670	-1587.93	-1588.62	0.689506	0.1632928
1680	-1588.34	-1588.9	0.563513	0.1700139
1690	-1587.9	-1588.62	0.720689	0.161632
1700	-1588.2	-1589.08	0.877734	0.1532762
1710	-1588	-1588.82	0.820928	0.1562977
1720	-1588.76	-1589.73	0.97061	0.1483349
1730	-1588.47	-1589.01	0.538015	0.1713767
1740	-1588.52	-1589.05	0.531077	0.1717477
1750	-1590.28	-1590.6	0.327045	0.182698
1760	-1588.24	-1589.13	0.887116	0.1527773
1770	-1587.98	-1588.8	0.813925	0.1566703
1780	-1587.99	-1588.81	0.817641	0.1564726
