Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
70	0	-1569.83	-1572.26	2.42738	0.2687826	0.1819657	0.08681686	0.1819657
71	0	-1574.01	-1576	1.99022	0.2939847	0.2523996	0.04158513	0.2523996
72	0	-1570.65	-1573.14	2.48814	0.2680327	0.2001551	0.0678776	0.2001551
73	0	-1571.01	-1573.09	2.07803	0.2943868	0.1896353	0.1047516	0.1896353
74	0	-1569.66	-1571.86	2.2066	0.2964725	0.2117531	0.0847194	0.2117531
75	0	-1569.91	-1571.97	2.05924	0.3193663	0.2404217	0.07894461	0.2404217
76	0	-1569.89	-1572.34	2.45571	0.2692177	0.189208	0.08000975	0.189208
77	0	-1569.93	-1572.07	2.1421	0.2998471	0.2092258	0.09062137	0.2092258
78	0	-1570.95	-1573.05	2.0976	0.313547	0.2568366	0.05671041	0.2568366
79	0	-1570.03	-1572.51	2.48492	0.2612049	0.1726085	0.08859643	0.1726085
80	0	-1570.46	-1572.67	2.21311	0.3014424	0.2395968	0.06184553	0.2395968
81	0	-1570.75	-1572.62	1.87398	0.3489057	0.2768347	0.07207101	0.2768347
82	0	-1571.13	-1573.6	2.46813	0.2502023	0.1433142	0.1068881	0.1433142
83	0	-1573.03	-1575.61	2.57959	0.2305218	0.1103035	0.1202182	0.1103035
84	0	-1570.64	-1572.89	2.25677	0.2749337	0.1710907	0.1038431	0.1710907
85	0	-1569.9	-1571.97	2.06646	0.3200663	0.2440622	0.07600407	0.2440622
86	0	-1570.14	-1572.32	2.17673	0.2908985	0.1948056	0.09609288	0.1948056
87	0	-1570.52	-1572.48	1.96287	0.3371772	0.2714185	0.06575874	0.2714185
88	0	-1569.83	-1572.18	2.35148	0.274668	0.1837114	0.09095654	0.1837114
89	0	-1569.61	-1571.92	2.30878	0.2862588	0.2052853	0.08097347	0.2052853
90	0	-1570.24	-1572.49	2.24223	0.280944	0.1821739	0.09877013	0.1821739
91	0	-1569.65	-1572	2.35257	0.2799958	0.1972969	0.08269889	0.1972969
92	0	-1570.27	-1572.26	1.98932	0.3225248	0.2355399	0.0869849	0.2355399
93	0	-1573.2	-1576.15	2.94849	0.2118666	0.1187599	0.09310673	0.1187599
94	0	-1569.61	-1571.91	2.30556	0.2859168	0.2036653	0.08225148	0.2036653
95	0	-1570.25	-1572.22	1.96665	0.3331631	0.2561164	0.0770467	0.2561164
96	0	-1570.53	-1572.88	2.35115	0.2658593	0.1634798	0.1023795	0.1634798
97	0	-1569.97	-1572.01	2.03915	0.3208963	0.2401993	0.08069702	0.2401993
98	0	-1569.72	-1572.03	2.30585	0.281632	0.1929635	0.08866847	0.1929635
99	0	-1570.04	-1572.18	2.13556	0.2986498	0.2057195	0.09293033	0.2057195
100	0	-1569.93	-1571.98	2.05219	0.3198848	0.2402755	0.07960936	0.2402755
101	0	-1569.68	-1571.94	2.26001	0.2951908	0.2202967	0.07489406	0.2202967
102	0	-1571.04	-1573.45	2.40916	0.2759322	0.2144153	0.06151688	0.2144153
103	0	-1570.44	-1572.92	2.48488	0.2550656	0.1572894	0.09777622	0.1572894
104	0	-1571.06	-1572.88	1.81768	0.3561777	0.2820395	0.07413824	0.2820395
105	0	-1570.48	-1572.4	1.9219	0.3360972	0.2543839	0.08171324	0.2543839
106	0	-1569.65	-1572	2.3499	0.2810162	0.1995625	0.08145365	0.1995625
107	0	-1573.57	-1575.39	1.82243	0.310037	0.1917492	0.1182879	0.1917492
108	0	-1571.52	-1573.45	1.92644	0.333346	0.280366	0.05298001	0.280366
109	0	-1570.25	-1572.22	1.97289	0.3285686	0.2461723	0.08239627	0.2461723
110	0	-1570.23	-1572.21	1.98069	0.3331297	0.2598147	0.073315	0.2598147
111	0	-1571.37	-1573.24	1.86443	0.3281652	0.2304729	0.09769221	0.2304729
112	0	-1573.57	-1575.83	2.26022	0.2554186	0.1284459	0.1269727	0.1284459
113	0	-1570.45	-1572.37	1.92371	0.3389232	0.2614797	0.07744349	0.2614797
114	0	-1569.8	-1571.91	2.10531	0.3146396	0.2382027	0.0764369	0.2382027
115	0	-1570	-1572.41	2.40527	0.2669419	0.1737072	0.09323464	0.1737072
116	0	-1570.35	-1572.3	1.95144	0.3312938	0.2486528	0.08264106	0.2486528
117	0	-1570.09	-1572.44	2.35327	0.2705603	0.1744178	0.09614248	0.1744178
118	0	-1569.88	-1571.97	2.09363	0.310089	0.2244895	0.08559954	0.2244895
119	0	-1570.62	-1572.51	1.89105	0.3424889	0.2635131	0.07897585	0.2635131
120	0	-1570.87	-1572.92	2.05347	0.2997267	0.1974423	0.1022844	0.1974423
121	0	-1569.62	-1571.93	2.30486	0.2879766	0.2093732	0.0786034	0.2093732
122	0	-1572.45	-1575.31	2.8565	0.2187899	0.1221521	0.0966378	0.1221521
123	0	-1569.8	-1572.23	2.43035	0.2713803	0.1897204	0.08165984	0.1897204
124	0	-1571.58	-1574.05	2.47373	0.2465953	0.1355156	0.1110797	0.1355156
125	0	-1570.02	-1572.08	2.0564	0.3137651	0.2267927	0.08697244	0.2267927
126	0	-1573.14	-1574.72	1.57331	0.389117	0.3356169	0.05350015	0.3356169
127	0	-1572.54	-1574.26	1.7216	0.3547275	0.3065369	0.04819065	0.3065369
128	0	-1571.84	-1573.59	1.74897	0.366455	0.308057	0.05839803	0.308057
129	0	-1570.23	-1572.43	2.19322	0.3049195	0.2407616	0.06415797	0.2407616
130	0	-1570.53	-1572.5	1.96854	0.3208005	0.2290476	0.0917529	0.2290476
131	0	-1570.95	-1572.84	1.89414	0.3294403	0.2365684	0.09287189	0.2365684
132	0	-1569.66	-1571.88	2.22203	0.2938967	0.208237	0.08565966	0.208237
