Iteration	Posterior	Likelihood	Prior	birth_rate
1260	-1597.28	-1598.74	1.45395	0.1223286
1270	-1672.93	-1675.21	2.28745	0.06431661
1280	-1597.39	-1597.29	-0.107264	0.2063534
1290	-1618.54	-1617.7	-0.842744	0.2479018
1300	-1807.02	-1803.11	-3.90506	0.4498728
1310	-1593.12	-1593.24	0.120483	0.1938816
1320	-1598.56	-1600.05	1.49555	0.1200375
1330	-1633.81	-1635.89	2.0806	0.08444994
1340	-1597.58	-1599.04	1.46388	0.1217828
1350	-1617.66	-1619.56	1.89486	0.09687564
1360	-1606.52	-1608.22	1.6998	0.108533
1370	-1658.75	-1660.99	2.24147	0.07053106
1380	-1621.39	-1623.33	1.94577	0.09364905
1390	-1631.62	-1633.68	2.06017	0.08592581
1400	-1604.02	-1605.67	1.64383	0.1117376
1410	-1700.9	-1703.21	2.30778	0.05433804
1420	-1647.46	-1649.64	2.18327	0.07625895
1430	-1637.85	-1639.97	2.1153	0.08184784
1440	-1652.14	-1654.35	2.21	0.07378528
1450	-1625.77	-1627.77	1.99891	0.09015798
1460	-1660.01	-1662.25	2.24668	0.0699405
1470	-1672.73	-1675.02	2.287	0.0643948
1480	-1639.92	-1642.05	2.13151	0.08058348
1490	-1817.77	-1819.46	1.69556	0.02956327
1500	-1697.54	-1699.85	2.30964	0.05541084
1510	-1817.72	-1819.41	1.69603	0.02957056
1520	-1825.15	-1826.78	1.62651	0.02852917
1530	-1732.82	-1735.06	2.24	0.04548919
1540	-1645.03	-1647.2	2.16783	0.07760256
1550	-1588.61	-1589.56	0.950268	0.1494175
1560	-1627.8	-1626.72	-1.08597	0.2621376
1570	-1646.85	-1649.03	2.17952	0.07658982
1580	-1790.94	-1792.86	1.91859	0.03371437
1590	-1664.04	-1666.3	2.26185	0.06810042
1600	-1590.67	-1591.82	1.14526	0.1390195
1610	-1638.84	-1637.49	-1.34534	0.2776194
1620	-1601.75	-1601.46	-0.2945	0.2167347
1630	-1590.41	-1591.54	1.12673	0.1400105
1640	-1589.43	-1589.84	0.40948	0.1782637
1650	-1598.12	-1599.6	1.48164	0.1208051
1660	-1625.79	-1624.75	-1.03534	0.2591524
1670	-1590.45	-1591.58	1.12991	0.1398401
1680	-1587.94	-1588.74	0.795327	0.1576596
1690	-1704.17	-1706.47	2.30494	0.05332714
1700	-1665.55	-1667.82	2.26696	0.06742987
1710	-1700.69	-1703	2.30792	0.05440439
1720	-1626.14	-1628.14	2.00305	0.08987984
1730	-1589.54	-1590.6	1.05539	0.1438185
1740	-1588.31	-1589.21	0.900991	0.1520392
1750	-1617.99	-1619.89	1.89959	0.09658038
1760	-1633.07	-1635.14	2.07386	0.08494066
1770	-1674.45	-1676.74	2.29081	0.0637043
1780	-1702.49	-1704.8	2.30652	0.05384368
1790	-1668.8	-1671.08	2.27687	0.06602722
1800	-1632.45	-1634.52	2.06805	0.08536099
1810	-1627.28	-1629.29	2.01561	0.08902908
1820	-1613.67	-1615.51	1.83341	0.1006509
1830	-1626.76	-1625.7	-1.05989	0.2605982
1840	-1623.73	-1622.75	-0.982406	0.2560435
1850	-1673.89	-1671.86	-2.03718	0.3205492
1860	-1683.83	-1686.14	2.30548	0.06011666
1870	-1592.59	-1593.85	1.25979	0.1328745
1880	-1648.55	-1650.74	2.18984	0.07566981
1890	-1652.15	-1654.36	2.21005	0.07378073
1900	-1637.96	-1640.08	2.11619	0.08177916
1910	-1602.33	-1603.93	1.60227	0.1140887
1920	-1588.33	-1589.23	0.903645	0.151898
1930	-1590.9	-1592.06	1.16093	0.1381807
1940	-1596.38	-1597.81	1.42243	0.1240555
1950	-1591.89	-1593.11	1.22167	0.1349241
1960	-1638.94	-1637.59	-1.3475	0.2777496
1970	-1590	-1591.09	1.09474	0.1417194
1980	-1655.18	-1657.41	2.22534	0.0722561
1990	-1588	-1588.65	0.652046	0.1652891
2000	-1694.41	-1696.72	2.31038	0.05643506
2010	-1647.84	-1650.03	2.18558	0.07605263
2020	-1599.08	-1598.9	-0.183693	0.2105763
2030	-1595.69	-1595.67	-0.0238309	0.2017657
2040	-1602.66	-1602.33	-0.330118	0.2187237
2050	-1621.08	-1623.02	1.94176	0.09390682
2060	-1666.17	-1668.44	2.26895	0.06716011
2070	-1598.02	-1599.5	1.47849	0.1209787
2080	-1606.06	-1605.61	-0.455108	0.225741
2090	-1672.05	-1674.33	2.28538	0.0646749
2100	-1645.24	-1647.41	2.16923	0.07748272
2110	-1616.8	-1618.68	1.88218	0.0976646
2120	-1617.25	-1619.14	1.88885	0.09725012
2130	-1611.65	-1613.44	1.79897	0.1027201
2140	-1588.65	-1589.16	0.510031	0.1728736
2150	-1607.21	-1608.92	1.71431	0.1076946
2160	-1596.51	-1597.93	1.42686	0.1238132
2170	-1834.96	-1836.49	1.52984	0.02722068
2180	-1818.8	-1820.48	1.68613	0.02941648
2190	-1757.91	-1760.04	2.13005	0.03984976
2200	-1630.89	-1632.94	2.05304	0.08643242
2210	-1686.52	-1688.82	2.30784	0.05914908
2220	-1623.73	-1625.7	1.97495	0.09174986
2230	-1604.27	-1605.92	1.6496	0.1114094
2240	-1631.3	-1633.36	2.05706	0.08614728
2250	-1746.75	-1748.94	2.18467	0.04223863
2260	-1611.65	-1613.45	1.79909	0.1027133
2270	-1600.16	-1601.71	1.54363	0.1173717
2280	-1625.01	-1627	1.9901	0.09074728
2290	-1598.26	-1599.75	1.48619	0.1205542
2300	-1682.98	-1685.28	2.30456	0.06043076
2310	-1617.36	-1619.25	1.89052	0.09714634
2320	-1777.69	-1779.7	2.01208	0.03602386
2330	-1720.51	-1722.79	2.27635	0.0486467
2340	-1678.61	-1680.91	2.29858	0.06207323
2350	-1676.64	-1678.93	2.29515	0.06283765
2360	-1829.06	-1830.65	1.58866	0.0279991
2370	-1660.69	-1662.94	2.24942	0.06962265
2380	-1590.32	-1591.44	1.12008	0.1403658
2390	-1620.32	-1622.25	1.93175	0.0945479
2400	-1587.93	-1588.62	0.687231	0.163414
