Iteration	Posterior	Likelihood	Prior	birth_rate
0	-1765.605	-1767.692	2.087323	0.03830377
10	-1590.072	-1591.173	1.100788	0.1413963
20	-1588.009	-1588.833	0.824351	0.1561157
30	-1588.955	-1589.421	0.4665444	0.1752024
40	-1587.897	-1588.652	0.7552817	0.1597905
50	-1588.291	-1589.187	0.8965012	0.152278
60	-1588.303	-1588.873	0.5704208	0.1696448
70	-1587.948	-1588.746	0.7978879	0.1575234
80	-1587.991	-1588.808	0.8173949	0.1564857
90	-1589.29	-1590.32	1.030825	0.1451281
100	-1587.912	-1588.686	0.7739834	0.1587953
110	-1588.019	-1588.664	0.6449465	0.1656676
120	-1587.903	-1588.613	0.7106332	0.1621675
130	-1588.482	-1589.019	0.5367107	0.1714464
140	-1588.437	-1588.981	0.5447313	0.1710176
150	-1587.892	-1588.623	0.7303471	0.1611178
160	-1588.053	-1588.686	0.6334109	0.1662828
170	-1587.937	-1588.729	0.7917048	0.1578524
180	-1588.762	-1589.255	0.4928714	0.1737921
190	-1588.898	-1589.886	0.9876272	0.147429
200	-1587.939	-1588.62	0.6810616	0.1637427
210	-1587.96	-1588.764	0.8039571	0.1572005
220	-1589.639	-1590.703	1.064127	0.1433527
230	-1588.711	-1589.675	0.963804	0.1486972
240	-1588.573	-1589.095	0.5214922	0.1722604
250	-1587.952	-1588.752	0.7999362	0.1574144
260	-1590.041	-1591.139	1.098271	0.1415306
270	-1588.716	-1589.216	0.4995032	0.1734371
280	-1587.899	-1588.615	0.7158076	0.1618919
290	-1588.026	-1588.668	0.6427427	0.1657851
300	-1587.935	-1588.619	0.6837027	0.163602
310	-1588.507	-1589.442	0.9342645	0.1502691
320	-1590.063	-1590.409	0.3465118	0.1816495
330	-1587.938	-1588.73	0.7921343	0.1578295
340	-1587.913	-1588.687	0.7744128	0.1587724
350	-1588.132	-1588.993	0.8613692	0.1541467
360	-1588.185	-1589.059	0.8741088	0.1534691
370	-1587.909	-1588.68	0.7707095	0.1589695
380	-1587.963	-1588.632	0.6682408	0.1644259
390	-1588.177	-1588.776	0.5986303	0.1681385
400	-1588.016	-1588.662	0.6461497	0.1656035
410	-1587.926	-1588.711	0.7846203	0.1582293
420	-1588.038	-1588.873	0.8344176	0.1555802
430	-1587.986	-1588.644	0.6579597	0.1649738
440	-1588.011	-1588.836	0.8251412	0.1560736
450	-1589.516	-1590.569	1.052911	0.1439508
460	-1587.899	-1588.614	0.7153581	0.1619158
470	-1588.523	-1589.459	0.9366667	0.1501413
480	-1588.443	-1589.367	0.9239104	0.15082
490	-1587.898	-1588.615	0.7163258	0.1618643
500	-1588.806	-1589.292	0.4866337	0.1741262
510	-1587.95	-1588.625	0.6750188	0.1640647
520	-1588.044	-1588.88	0.8362134	0.1554847
530	-1588.332	-1589.236	0.904433	0.1518561
540	-1588.277	-1589.171	0.8938167	0.1524208
550	-1587.947	-1588.744	0.7971484	0.1575627
560	-1588.501	-1589.034	0.5334884	0.1716187
570	-1587.936	-1588.728	0.7912484	0.1578766
580	-1588.615	-1589.13	0.5148208	0.1726173
590	-1587.892	-1588.632	0.7404705	0.1605788
600	-1588.339	-1589.244	0.9056872	0.1517894
610	-1587.977	-1588.788	0.8114422	0.1568023
620	-1587.939	-1588.62	0.6812858	0.1637307
630	-1587.913	-1588.613	0.7000238	0.1627325
640	-1589.735	-1590.113	0.3780924	0.1799504
650	-1590.206	-1590.539	0.3334249	0.1823543
660	-1588.084	-1588.708	0.6237234	0.1667995
670	-1587.966	-1588.773	0.8066645	0.1570565
680	-1588.552	-1589.493	0.9411235	0.1499041
690	-1588.385	-1589.299	0.913954	0.1513496
700	-1589.48	-1589.885	0.4045747	0.1785272
710	-1587.908	-1588.613	0.7044162	0.1624986
720	-1587.974	-1588.784	0.8102635	0.156865
730	-1588.291	-1589.188	0.8966668	0.1522692
