Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-5502.254	-5079.936	-422.3187	2e-08	1e-08	1e-08	1e-08
1	-5482.09	-5065.293	-416.7972	2.130882e-08	1e-08	1.130882e-08	1e-08
2	-5449.797	-5035.667	-414.1298	2.422468e-08	1.291586e-08	1.130882e-08	1.291586e-08
3	-5449.797	-5035.667	-414.1298	2.422468e-08	1.291586e-08	1.130882e-08	1.291586e-08
4	-5449.797	-5035.667	-414.1298	2.422468e-08	1.291586e-08	1.130882e-08	1.291586e-08
5	-5376.305	-4981.832	-394.4726	3.058233e-08	1.291586e-08	1.766647e-08	1.291586e-08
6	-5376.305	-4981.832	-394.4726	3.058233e-08	1.291586e-08	1.766647e-08	1.291586e-08
7	-5376.305	-4981.832	-394.4726	3.058233e-08	1.291586e-08	1.766647e-08	1.291586e-08
8	-5318.553	-4937.491	-381.0615	3.705393e-08	1.291586e-08	2.413807e-08	1.291586e-08
9	-5318.553	-4937.491	-381.0615	3.705393e-08	1.291586e-08	2.413807e-08	1.291586e-08
10	-5229.926	-4867.128	-362.7974	5.024827e-08	1.291586e-08	3.733241e-08	1.291586e-08
11	-5197.756	-4839.1	-358.6552	5.673032e-08	1.939791e-08	3.733241e-08	1.939791e-08
12	-5193.955	-4835.723	-358.2325	5.756599e-08	2.023358e-08	3.733241e-08	2.023358e-08
13	-5112.132	-4770.475	-341.6572	7.635469e-08	2.023358e-08	5.612111e-08	2.023358e-08
14	-5112.132	-4770.475	-341.6572	7.635469e-08	2.023358e-08	5.612111e-08	2.023358e-08
15	-5112.132	-4770.475	-341.6572	7.635469e-08	2.023358e-08	5.612111e-08	2.023358e-08
16	-5112.132	-4770.475	-341.6572	7.635469e-08	2.023358e-08	5.612111e-08	2.023358e-08
17	-5112.132	-4770.475	-341.6572	7.635469e-08	2.023358e-08	5.612111e-08	2.023358e-08
18	-5082.902	-4744.862	-338.0397	8.530781e-08	2.91867e-08	5.612111e-08	2.91867e-08
19	-5063.982	-4727.888	-336.0944	9.181255e-08	3.569144e-08	5.612111e-08	3.569144e-08
20	-5049.577	-4716.623	-332.9544	9.640096e-08	3.569144e-08	6.070952e-08	3.569144e-08
21	-4976.388	-4658.219	-318.1696	1.241322e-07	3.569144e-08	8.844073e-08	3.569144e-08
22	-4976.388	-4658.219	-318.1696	1.241322e-07	3.569144e-08	8.844073e-08	3.569144e-08
23	-4976.845	-4658.618	-318.2273	1.23918e-07	3.547731e-08	8.844073e-08	3.547731e-08
24	-4976.845	-4658.618	-318.2273	1.23918e-07	3.547731e-08	8.844073e-08	3.547731e-08
25	-4882.717	-4581.353	-301.3644	1.731399e-07	3.547731e-08	1.376626e-07	3.547731e-08
26	-4882.717	-4581.353	-301.3644	1.731399e-07	3.547731e-08	1.376626e-07	3.547731e-08
27	-4808.397	-4519.174	-289.2227	2.266191e-07	3.547731e-08	1.911418e-07	3.547731e-08
28	-4808.397	-4519.174	-289.2227	2.266191e-07	3.547731e-08	1.911418e-07	3.547731e-08
29	-4789.028	-4503.343	-285.6856	2.426953e-07	5.155355e-08	1.911418e-07	5.155355e-08
30	-4789.028	-4503.343	-285.6856	2.426953e-07	5.155355e-08	1.911418e-07	5.155355e-08
31	-4680.906	-4412.348	-268.5578	3.598632e-07	5.155355e-08	3.083097e-07	5.155355e-08
32	-4581.497	-4327.373	-254.1242	5.198709e-07	5.155355e-08	4.683174e-07	5.155355e-08
33	-4566.799	-4316.354	-250.4454	5.452704e-07	7.695303e-08	4.683174e-07	7.695303e-08
34	-4566.799	-4316.354	-250.4454	5.452704e-07	7.695303e-08	4.683174e-07	7.695303e-08
35	-4566.799	-4316.354	-250.4454	5.452704e-07	7.695303e-08	4.683174e-07	7.695303e-08
36	-4566.799	-4316.354	-250.4454	5.452704e-07	7.695303e-08	4.683174e-07	7.695303e-08
37	-4495.838	-4255.469	-240.3685	7.097079e-07	7.695303e-08	6.327549e-07	7.695303e-08
