Iteration	Posterior	Likelihood	Prior	num_events
0	-1791.184	-1800.575	9.391507	2
1	-1562.573	-1568.288	5.714865	1
2	-1563.772	-1568.55	4.777176	1
3	-1562.586	-1565.622	3.036132	1
4	-1564.487	-1566.886	2.399705	2
5	-1565.477	-1565.838	0.361191	1
6	-1564.171	-1565.301	1.12942	1
7	-1568.036	-1568.77	0.7341236	1
8	-1568.415	-1566.164	-2.251011	2
9	-1566.05	-1567.249	1.19925	1
10	-1566.848	-1565.742	-1.105351	1
11	-1565.466	-1564.757	-0.7090204	1
12	-1566.343	-1567.123	0.7795022	1
13	-1566.196	-1566.251	0.05414662	1
14	-1568.637	-1566.929	-1.708045	1
15	-1574.16	-1572.271	-1.8896	1
16	-1568.345	-1566.209	-2.136825	1
17	-1564.56	-1565.021	0.4612477	2
18	-1564.417	-1565.754	1.337207	2
19	-1565.707	-1565.469	-0.237392	1
20	-1567.936	-1565.786	-2.150659	1
21	-1569.489	-1567.228	-2.260342	1
22	-1568.189	-1564.593	-3.596005	1
23	-1569.209	-1565.481	-3.727465	1
24	-1568.159	-1564.709	-3.450618	1
25	-1571.733	-1567.966	-3.767128	1
26	-1570.203	-1567.591	-2.611488	1
27	-1569.643	-1567.002	-2.64131	1
28	-1570.933	-1567.355	-3.57821	1
29	-1567.906	-1564.004	-3.902121	1
30	-1570.885	-1567.698	-3.186464	1
31	-1570.412	-1568.003	-2.409209	1
32	-1568.818	-1566.376	-2.442005	1
33	-1568.279	-1567.272	-1.006712	1
34	-1567.963	-1566.254	-1.709689	1
35	-1568.056	-1566.734	-1.321835	1
36	-1565.414	-1570.27	4.856051	2
37	-1563.836	-1565.443	1.607393	2
38	-1565.246	-1565.89	0.6439541	1
39	-1568.047	-1567.966	-0.08126793	1
40	-1567.025	-1566.326	-0.6992394	1
41	-1562.128	-1565.058	2.930117	2
42	-1571.391	-1568.036	-3.355647	2
43	-1569.406	-1566.329	-3.077092	1
44	-1569.827	-1565.6	-4.226738	1
45	-1567.917	-1564.416	-3.500959	1
46	-1572.575	-1569.553	-3.022042	1
47	-1567.281	-1564.079	-3.201507	1
48	-1565.853	-1565.49	-0.3634047	2
49	-1568.493	-1565.539	-2.954038	1
50	-1566.29	-1564.814	-1.476439	1
51	-1571.224	-1569.49	-1.73418	1
52	-1567.941	-1565.746	-2.195673	1
53	-1565.785	-1564.557	-1.228491	1
54	-1569.133	-1566.737	-2.395832	1
55	-1569.751	-1567.173	-2.577872	1
56	-1564.884	-1563.91	-0.9735159	1
57	-1567.704	-1566.081	-1.623127	1
58	-1565.841	-1564.419	-1.422928	1
59	-1566.634	-1564.562	-2.071539	1
60	-1567.444	-1565.919	-1.52437	1
61	-1567.835	-1566.604	-1.231678	1
62	-1568.149	-1564.962	-3.186924	1
63	-1570.685	-1570.747	0.06187865	1
64	-1565.358	-1565.912	0.5537699	1
65	-1563.214	-1565.091	1.877257	2
66	-1568.942	-1567.492	-1.450515	1
67	-1568.892	-1566.709	-2.183169	1
68	-1565.825	-1565.357	-0.4683063	2
69	-1570.603	-1566.31	-4.292957	1
70	-1569.122	-1564.417	-4.705529	1
71	-1568.758	-1565.139	-3.618516	1
72	-1571.308	-1567.895	-3.413588	1
73	-1570.631	-1567.224	-3.40774	1
74	-1570.599	-1566.833	-3.765595	1
75	-1571.707	-1567.486	-4.220844	1
76	-1574.037	-1569.801	-4.235586	1
77	-1570.097	-1565.803	-4.294002	1
78	-1569.663	-1565.981	-3.682485	1
79	-1568.065	-1566.215	-1.850276	1
80	-1567.789	-1565.292	-2.49671	1
81	-1568.027	-1565.161	-2.86505	1
82	-1567.388	-1567.085	-0.3024247	1
83	-1566.373	-1564.679	-1.693879	1
84	-1567.923	-1565.93	-1.993428	1
85	-1569.438	-1566.849	-2.588819	2
86	-1570.083	-1567.23	-2.853164	1
87	-1567.364	-1566.352	-1.012651	1
88	-1566.296	-1566.858	0.5625427	1
89	-1565.694	-1565.77	0.07586507	1
90	-1564.655	-1565.5	0.8446188	1
91	-1565.235	-1565.701	0.4657398	1
92	-1569.948	-1569.922	-0.02608102	1
93	-1564.836	-1566.716	1.88032	1
94	-1565.277	-1566.167	0.8897505	1
95	-1564.335	-1566.856	2.521361	1
96	-1564.055	-1565.704	1.648887	1
97	-1565.856	-1568.391	2.535722	1
98	-1570.088	-1570.349	0.2607566	1
99	-1562.72	-1564.996	2.276271	1
100	-1563.538	-1565.602	2.064816	1
101	-1564.539	-1565.377	0.8376821	1
102	-1570.634	-1570.574	-0.05944189	1
103	-1563.144	-1567.687	4.542154	2
104	-1566.911	-1568.716	1.805059	2
105	-1567.687	-1567.584	-0.1027331	1
106	-1568.215	-1569.222	1.007576	1
107	-1569.189	-1567.963	-1.226233	3
108	-1570.641	-1572.253	1.61192	2
109	-1569.23	-1569.883	0.6526443	1
110	-1572.374	-1571.252	-1.122036	2
111	-1567.309	-1568.422	1.113083	1
112	-1567.895	-1569.16	1.265649	1
113	-1566.044	-1566.69	0.6456367	1
114	-1569.802	-1570.647	0.8449382	1
115	-1567.383	-1569.036	1.65319	2
116	-1567.69	-1567.997	0.307214	1
117	-1565.685	-1567.721	2.036554	1
118	-1565.045	-1568.825	3.78031	1
119	-1565.506	-1567.552	2.046039	1
120	-1570.221	-1571.044	0.8231479	1
121	-1567.698	-1568.615	0.9172532	1
122	-1565.102	-1566.754	1.651092	1
123	-1559.646	-1567.646	7.999758	2
124	-1565.614	-1567.451	1.837188	1
125	-1569.832	-1568.837	-0.9948431	1
126	-1568.232	-1568.09	-0.1414683	1
127	-1566.851	-1567.54	0.6885051	1
128	-1567.46	-1568.112	0.6526554	1
129	-1568.407	-1571.919	3.512768	1
130	-1568.788	-1571.055	2.266578	3
131	-1568.543	-1572.57	4.026669	1
132	-1565.701	-1567.687	1.986141	1
133	-1566.649	-1568.48	1.831216	1
134	-1568.663	-1570.749	2.08628	1
135	-1570.838	-1572.717	1.878916	1
136	-1569.306	-1571.498	2.19211	1
137	-1571.102	-1571.364	0.262667	1
138	-1571.759	-1572.852	1.093576	1
139	-1572.356	-1571.396	-0.9600269	1
140	-1568.652	-1568.727	0.07504849	1
141	-1571.276	-1570.443	-0.8333873	1
142	-1568.279	-1567.799	-0.4797395	1
143	-1571.762	-1567.222	-4.539342	2
144	-1570.186	-1566.525	-3.660617	1
145	-1574.85	-1571.026	-3.823221	1
146	-1576.11	-1574.177	-1.933298	1
147	-1568.475	-1567.763	-0.7123082	1
148	-1568.792	-1567.416	-1.375657	2
149	-1568.325	-1566.247	-2.077642	1
