Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	extinction[27]	extinction[28]	extinction[29]	extinction[30]	extinction[31]	extinction[32]	extinction[33]	extinction[34]	extinction[35]	extinction[36]	extinction[37]	extinction[38]	extinction[39]	extinction[40]	extinction[41]	extinction[42]	extinction[43]	extinction[44]	extinction[45]	extinction[46]	extinction[47]	extinction[48]	extinction[49]	extinction[50]	extinction[51]
100	-1459.86	-1577.37	117.507	0.106633	0.110562	0.108567	0.107583	0.104113	0.106974	0.113137	0.104707	0.0933271	0.0953175	0.101957	0.102303	0.0979734	0.094511	0.0888323	0.0796483	0.075261	0.0750089	0.0834673	0.0767233	0.0766445	0.0727846	0.072409	0.0732164	0.0718912	0.0650074	0.0696555	0.0722277	0.0691636	0.0720205	0.0794603	0.0846191	0.0901543	0.0990687	0.10644	0.10465	0.102794	0.100197	0.107671	0.119992	0.114092	0.104226	0.105878	0.105321	0.101368	0.107021	0.0986694	0.0979333	0.0942182	0.0837303	0.080447
110	-1385.06	-1571.33	186.271	0.148314	0.149509	0.149973	0.148546	0.14813	0.152545	0.150325	0.147597	0.144593	0.144353	0.144364	0.142935	0.145295	0.144063	0.141967	0.138349	0.136507	0.138521	0.13989	0.137765	0.137097	0.135431	0.135266	0.132599	0.132662	0.131859	0.134031	0.133988	0.134814	0.138743	0.138272	0.140345	0.142464	0.145677	0.149622	0.147578	0.146258	0.145219	0.146534	0.152432	0.152515	0.149349	0.151115	0.147801	0.149029	0.148362	0.145538	0.145924	0.143957	0.139994	0.137229
120	-1323.73	-1572.55	248.814	0.163837	0.163232	0.163604	0.162458	0.164061	0.165664	0.162092	0.159591	0.159268	0.159073	0.159082	0.160059	0.159417	0.158838	0.155678	0.156043	0.155582	0.154321	0.155441	0.15454	0.153152	0.151841	0.150039	0.152963	0.149492	0.149847	0.151348	0.150689	0.151272	0.155115	0.154116	0.156065	0.160999	0.163285	0.164982	0.161176	0.160614	0.159775	0.160837	0.165102	0.16564	0.165505	0.165318	0.161859	0.162847	0.162311	0.160032	0.160345	0.157375	0.155526	0.158304
130	-1335.24	-1574.06	238.82	0.241174	0.239664	0.245492	0.238338	0.241734	0.235704	0.236829	0.230659	0.220242	0.229388	0.229409	0.231807	0.230231	0.233784	0.227079	0.222018	0.220907	0.217874	0.220567	0.218401	0.21508	0.211709	0.209212	0.203962	0.206427	0.207259	0.20829	0.209948	0.215329	0.218677	0.217385	0.220709	0.234123	0.239795	0.244042	0.23456	0.233174	0.234308	0.236652	0.244343	0.248393	0.245357	0.244887	0.246706	0.241202	0.237371	0.240542	0.23251	0.225245	0.220772	0.226221
140	-1390.57	-1570.46	179.891	0.207308	0.200719	0.201915	0.201291	0.20213	0.200948	0.196738	0.194556	0.193621	0.193683	0.193697	0.198509	0.197889	0.19489	0.192094	0.186407	0.183605	0.190241	0.18841	0.186095	0.184535	0.181438	0.179694	0.176036	0.180389	0.175094	0.179049	0.183206	0.183961	0.186286	0.184878	0.187695	0.191681	0.200655	0.2037	0.206952	0.196282	0.19608	0.198663	0.204681	0.206652	0.206046	0.204274	0.205935	0.201768	0.203324	0.201318	0.195827	0.193531	0.187738	0.183467
150	-1380.18	-1571.94	191.767	0.133052	0.131694	0.129859	0.129489	0.129987	0.130522	0.129138	0.127076	0.124937	0.124881	0.127142	0.12784	0.127472	0.125691	0.124029	0.120642	0.11897	0.121466	0.124162	0.120066	0.119525	0.117676	0.116633	0.114443	0.115804	0.113879	0.116247	0.118731	0.119182	0.12057	0.124819	0.121409	0.121506	0.127495	0.130916	0.132841	0.126518	0.128349	0.128827	0.131497	0.132664	0.135476	0.139063	0.135162	0.127977	0.130694	0.12698	0.126247	0.123273	0.122839	0.118887
160	-1330.75	-1572.47	241.715	0.158135	0.155021	0.153883	0.153653	0.153962	0.154295	0.153434	0.152816	0.15079	0.150755	0.152183	0.152621	0.15239	0.151268	0.150214	0.149392	0.1501	0.149833	0.150298	0.149577	0.147322	0.146121	0.147672	0.147639	0.145841	0.145504	0.144569	0.146808	0.145831	0.147998	0.150716	0.148538	0.149654	0.152405	0.15454	0.153126	0.152376	0.15294	0.154856	0.154619	0.15562	0.157313	0.15952	0.157153	0.152707	0.154402	0.152081	0.151619	0.149732	0.149455	0.151551
170	-1390.9	-1576.08	185.183	0.170157	0.173274	0.177104	0.173666	0.177475	0.179348	0.175013	0.172166	0.163083	0.161141	0.169313	0.171278	0.177131	0.173124	0.169206	0.159131	0.157066	0.159144	0.157445	0.157817	0.149944	0.143518	0.147326	0.150034	0.142405	0.141392	0.14323	0.148404	0.156226	0.151231	0.157827	0.164264	0.158147	0.159554	0.16711	0.171743	0.170163	0.175151	0.181487	0.175948	0.182137	0.183347	0.184898	0.197718	0.189479	0.176585	0.168829	0.166756	0.170215	0.181088	0.167333
180	-1373.52	-1569.44	195.921	0.199655	0.196246	0.195259	0.193947	0.202363	0.203572	0.204616	0.200314	0.197729	0.196448	0.19463	0.198452	0.20202	0.196073	0.196409	0.189238	0.186446	0.189137	0.187892	0.187624	0.182331	0.17899	0.177807	0.182399	0.176634	0.17586	0.177263	0.181922	0.186995	0.183293	0.19172	0.190732	0.185893	0.189437	0.190977	0.198337	0.197092	0.200627	0.202092	0.206483	0.20781	0.206353	0.207426	0.210694	0.208914	0.201636	0.196139	0.194466	0.197129	0.204785	0.195068
190	-1328.13	-1571.48	243.348	0.224696	0.222774	0.227311	0.222467	0.229468	0.22947	0.227155	0.226497	0.224133	0.226652	0.226754	0.224795	0.228055	0.222615	0.222923	0.221062	0.213741	0.21623	0.21508	0.217164	0.21015	0.206808	0.205703	0.207322	0.208371	0.203881	0.205194	0.209541	0.207071	0.215061	0.218532	0.217702	0.213451	0.218576	0.218614	0.223126	0.223549	0.226784	0.228121	0.232117	0.233321	0.237101	0.241509	0.235934	0.234323	0.227705	0.222676	0.22114	0.222158	0.216319	0.218191
