Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
410	-1540.85	-1568.74	27.8868	0.14937	0.159251	0.164194	0.164443	0.177492	0.168796	0.175704	0.185406	0.195883	0.194894	0.199166
420	-1548.34	-1567.16	18.825	0.130408	0.141248	0.151382	0.149438	0.14946	0.158737	0.174946	0.16384	0.154822	0.151675	0.155216
430	-1545.29	-1568.28	22.9898	0.12802	0.138896	0.148214	0.15671	0.161223	0.154178	0.140461	0.13608	0.143246	0.156072	0.154702
440	-1544.51	-1567.18	22.6755	0.143068	0.149726	0.171715	0.17337	0.163967	0.171102	0.172952	0.180524	0.188948	0.183528	0.187355
450	-1550.91	-1573.88	22.9698	0.117395	0.120282	0.117591	0.111404	0.127948	0.120766	0.117962	0.122129	0.129782	0.131361	0.141482
460	-1550.91	-1569.64	18.7303	0.197181	0.203723	0.215155	0.21793	0.214772	0.227151	0.195861	0.19469	0.198455	0.20955	0.19668
470	-1547	-1567.85	20.8451	0.18135	0.181735	0.188312	0.183685	0.185835	0.184577	0.181682	0.168369	0.156533	0.153194	0.146691
480	-1548.12	-1568.98	20.8643	0.130603	0.134091	0.138095	0.149618	0.137316	0.132842	0.130907	0.130646	0.127639	0.11815	0.117002
490	-1545.5	-1567.6	22.0986	0.113174	0.114895	0.116283	0.116596	0.129984	0.133421	0.134695	0.145387	0.140464	0.138334	0.148505
500	-1545.05	-1569.01	23.9611	0.169942	0.17014	0.180805	0.193007	0.196358	0.175146	0.174225	0.181356	0.204561	0.205891	0.19387
510	-1548.4	-1569.88	21.4748	0.185856	0.189922	0.195933	0.205733	0.229633	0.2269	0.226972	0.246524	0.223608	0.208781	0.185318
520	-1550.45	-1571.07	20.6189	0.224086	0.219162	0.21962	0.222672	0.245884	0.243367	0.235739	0.239223	0.261398	0.275857	0.312591
530	-1545.27	-1567.71	22.4439	0.158064	0.172894	0.199037	0.203936	0.20056	0.20682	0.202943	0.203014	0.219097	0.219239	0.209046
540	-1546.98	-1569.25	22.2708	0.212122	0.204242	0.21521	0.214312	0.212889	0.220184	0.216899	0.22813	0.222542	0.248465	0.252137
550	-1548.73	-1570.83	22.1033	0.245107	0.242406	0.223387	0.243366	0.269725	0.270349	0.261429	0.280801	0.287218	0.295319	0.282932
560	-1552.29	-1569.76	17.4722	0.118487	0.113374	0.11429	0.11693	0.143142	0.150228	0.15369	0.142152	0.157038	0.143509	0.145667
570	-1545.7	-1567.94	22.2431	0.133007	0.128726	0.14074	0.149576	0.148444	0.151147	0.164052	0.179977	0.175907	0.181966	0.180714
580	-1546.36	-1570.68	24.3218	0.230656	0.239497	0.267697	0.247011	0.25547	0.263072	0.277611	0.297683	0.297696	0.315971	0.325123
590	-1553.34	-1567.83	14.4907	0.215604	0.244586	0.239723	0.229248	0.25754	0.296162	0.298142	0.307615	0.325119	0.326123	0.336028
600	-1552.05	-1571.2	19.1457	0.217964	0.207716	0.219036	0.225398	0.220754	0.220744	0.23346	0.216938	0.227777	0.266771	0.263137
610	-1547.6	-1568.84	21.2388	0.211941	0.236303	0.239128	0.243267	0.237977	0.232773	0.253925	0.270767	0.26838	0.261531	0.2874
620	-1557.24	-1572.41	15.1684	0.156302	0.164277	0.151223	0.165047	0.163163	0.158787	0.173213	0.183288	0.19217	0.192057	0.212256
630	-1551.76	-1570.21	18.4528	0.19403	0.219548	0.244693	0.220729	0.221982	0.226894	0.229554	0.250844	0.277096	0.269926	0.26305
640	-1544.35	-1570.02	25.6668	0.234064	0.241564	0.256618	0.267072	0.269535	0.285976	0.320624	0.301473	0.307312	0.299463	0.305722
650	-1547.46	-1569.36	21.9038	0.15606	0.148811	0.165995	0.161333	0.178491	0.182612	0.195266	0.184096	0.172386	0.179744	0.172107
660	-1545.12	-1567.18	22.0655	0.153274	0.168107	0.168477	0.169563	0.178368	0.164839	0.167442	0.174071	0.17579	0.156678	0.1627
670	-1543.85	-1569.85	25.9934	0.23169	0.231693	0.22243	0.229246	0.22743	0.224818	0.233102	0.224182	0.236823	0.224149	0.20885
680	-1549.01	-1569.14	20.1372	0.123691	0.128262	0.130103	0.12299	0.139207	0.137381	0.142551	0.147509	0.123404	0.122139	0.128635
690	-1547.73	-1570.75	23.0266	0.0614403	0.0630096	0.0612109	0.0593104	0.0600997	0.063501	0.0585729	0.0603232	0.0587362	0.0569099	0.0532767
700	-1548.04	-1569.26	21.2184	0.140458	0.134088	0.137003	0.144725	0.158088	0.159191	0.148143	0.136786	0.142994	0.130267	0.127713
710	-1546.65	-1569.01	22.3684	0.138277	0.142929	0.156201	0.156331	0.164073	0.154505	0.16016	0.159301	0.174785	0.169941	0.160398
720	-1548.89	-1569.48	20.5871	0.129385	0.127207	0.133518	0.146381	0.145691	0.157629	0.158677	0.161099	0.162949	0.162846	0.182486
730	-1544.37	-1572.16	27.7865	0.209253	0.204816	0.205104	0.220916	0.215856	0.229994	0.227292	0.22964	0.210452	0.208629	0.215003
740	-1547.72	-1567.44	19.7257	0.12983	0.135582	0.155236	0.182445	0.187377	0.176345	0.181113	0.189574	0.197678	0.182818	0.190435
750	-1546.51	-1568.14	21.6296	0.149354	0.151064	0.160287	0.179681	0.19047	0.16751	0.164877	0.153823	0.169813	0.174825	0.165007
760	-1551.37	-1567.6	16.2349	0.138473	0.134502	0.137038	0.13655	0.13705	0.153045	0.141784	0.122671	0.10721	0.102125	0.105171
770	-1547.03	-1567	19.9779	0.129866	0.141803	0.148794	0.162786	0.163589	0.163325	0.147659	0.144023	0.137809	0.146398	0.137766
780	-1551.48	-1571.83	20.3558	0.213103	0.215377	0.225774	0.207969	0.225785	0.224371	0.223881	0.230723	0.239745	0.216105	0.199972
790	-1544.19	-1569	24.8078	0.187934	0.18507	0.184628	0.188621	0.18967	0.182527	0.167417	0.166695	0.164887	0.167592	0.162922
800	-1549.57	-1569.77	20.2044	0.144634	0.148206	0.152525	0.143986	0.143504	0.143056	0.153657	0.154961	0.170793	0.165271	0.18043
810	-1548.33	-1569.09	20.7581	0.124285	0.128205	0.132339	0.142044	0.156607	0.1772	0.186286	0.187177	0.187008	0.218384	0.215163
820	-1546.76	-1567.77	21.0161	0.147274	0.15865	0.160818	0.164614	0.181186	0.18562	0.188579	0.190522	0.190607	0.178846	0.210755
