Iteration	Posterior	Likelihood	Prior	birth_rate
0	-1594.42	-1595.77	1.34534	0.1282523
10	-1602.39	-1603.99	1.60373	0.1140065
20	-1613.5	-1615.33	1.83053	0.1008252
30	-1679.8	-1682.1	2.30042	0.06162032
40	-1696.6	-1698.91	2.30996	0.05571578
50	-1729.23	-1731.49	2.25184	0.04637947
60	-1808.37	-1810.15	1.77868	0.03094343
70	-1669.58	-1671.86	2.27902	0.06570034
80	-1679.52	-1681.82	2.30001	0.06172397
90	-1718.97	-1721.25	2.28002	0.0490621
100	-1721.33	-1723.61	2.27431	0.04842713
110	-1702.66	-1704.97	2.30637	0.05378931
120	-1709.2	-1711.5	2.29864	0.05182064
130	-1637.95	-1640.06	2.11606	0.08178936
140	-1626.22	-1628.23	2.00399	0.08981628
150	-1591.74	-1592.96	1.21323	0.1353773
160	-1596.57	-1598	1.42902	0.1236949
170	-1600.4	-1601.95	1.55027	0.1170021
180	-1600.37	-1601.92	1.54963	0.1170374
190	-1588.24	-1588.82	0.584164	0.1689109
200	-1603.9	-1605.54	1.64088	0.1119053
210	-1588.04	-1588.87	0.834637	0.1555686
220	-1643.43	-1641.98	-1.44583	0.2837044
230	-1588.54	-1589.07	0.52709	0.1719609
240	-1754.89	-1751.63	-3.26054	0.4028836
250	-1588.83	-1589.81	0.979786	0.1478464
260	-1604.27	-1605.92	1.64966	0.1114063
270	-1692.78	-1695.09	2.31038	0.05697822
280	-1615.28	-1617.14	1.8591	0.09908656
290	-1606.09	-1607.78	1.69061	0.109063
300	-1590.25	-1591.36	1.11458	0.1406594
310	-1681.15	-1683.45	2.30232	0.06110937
320	-1708.96	-1711.26	2.29899	0.05189029
330	-1765.55	-1767.64	2.08761	0.03831356
340	-1619.89	-1621.81	1.92593	0.0949188
350	-1795.05	-1796.94	1.88731	0.03303495
360	-1766.86	-1768.94	2.07998	0.03805924
370	-1665.05	-1667.31	2.26529	0.06765287
380	-1687.99	-1690.3	2.30881	0.05862736
390	-1614.85	-1616.7	1.85238	0.09949784
400	-1636.48	-1638.58	2.10396	0.0827129
