Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
0	-14645	-7936.42	-6708.56	0.00290681	0.00263317	0.101471	0.099436	0.101651	0.108626	0.106	0.10755	0.0995175	0.108504	0.100829
10	-1543.23	-1567.62	24.3869	0.14431	0.157393	0.166789	0.169818	0.185164	0.179941	0.160453	0.165459	0.16344	0.161877	0.155606
20	-1544.72	-1571.09	26.3672	0.14425	0.135477	0.142752	0.147729	0.14566	0.146504	0.147347	0.150007	0.139185	0.130486	0.139048
30	-1546.7	-1570.84	24.1359	0.107348	0.105667	0.113497	0.117398	0.123901	0.118721	0.109485	0.112444	0.111832	0.104964	0.107517
40	-1548.74	-1570.26	21.5139	0.211472	0.209353	0.227244	0.23389	0.222483	0.208541	0.202735	0.194695	0.193057	0.20926	0.22128
50	-1560.1	-1570.11	10.0051	0.235379	0.263886	0.272879	0.299624	0.276895	0.237523	0.22693	0.227351	0.209686	0.230077	0.24688
60	-1548.69	-1572.67	23.9783	0.293478	0.279568	0.305405	0.315126	0.349858	0.338695	0.350389	0.333882	0.325685	0.308224	0.335123
70	-1551.75	-1572.88	21.1342	0.250798	0.262547	0.258593	0.269067	0.25987	0.3012	0.309475	0.307757	0.326674	0.307595	0.311459
80	-1545.21	-1568.24	23.0247	0.17102	0.187109	0.211401	0.211258	0.240548	0.233888	0.238699	0.248992	0.247232	0.248107	0.247162
90	-1553.97	-1575.38	21.4086	0.30974	0.301237	0.337	0.323249	0.332748	0.344711	0.353986	0.353786	0.379908	0.348885	0.319235
100	-1548.97	-1569.09	20.112	0.23745	0.265995	0.281894	0.297818	0.307659	0.35056	0.360716	0.365359	0.345628	0.350209	0.341957
110	-1546.26	-1572.31	26.0472	0.311697	0.321339	0.341092	0.367099	0.380099	0.362642	0.400185	0.40539	0.419534	0.39202	0.404663
120	-1547.41	-1570.94	23.5333	0.260063	0.27333	0.283878	0.297067	0.321218	0.319294	0.346567	0.359265	0.377986	0.353329	0.326171
130	-1545.81	-1568.64	22.8337	0.218255	0.215551	0.24422	0.24142	0.254955	0.26854	0.266921	0.270659	0.270237	0.30652	0.315723
140	-1543.85	-1567.23	23.3777	0.15059	0.162075	0.176074	0.177478	0.1835	0.182206	0.191902	0.194154	0.207997	0.221113	0.227481
150	-1546.01	-1568.84	22.8342	0.143666	0.1549	0.15261	0.156659	0.145241	0.151166	0.16139	0.169199	0.189305	0.181036	0.168699
160	-1549.34	-1571.02	21.6747	0.130758	0.133993	0.136075	0.124815	0.11437	0.116621	0.11962	0.119441	0.133607	0.130048	0.12262
170	-1549.54	-1570.2	20.6679	0.111838	0.114114	0.110884	0.112166	0.1095	0.116617	0.113754	0.106958	0.119187	0.128278	0.126534
180	-1550.43	-1570.5	20.0687	0.128778	0.127588	0.132002	0.131893	0.128349	0.131454	0.122064	0.130941	0.138701	0.140567	0.151773
190	-1546.03	-1569.22	23.188	0.172288	0.168145	0.179909	0.164216	0.164536	0.163342	0.161481	0.170354	0.165712	0.158034	0.154423
200	-1544.37	-1569.01	24.6412	0.190938	0.204802	0.199441	0.210752	0.205143	0.205487	0.200715	0.190437	0.185334	0.180979	0.177551
210	-1547.1	-1569.37	22.2706	0.205767	0.227367	0.226208	0.214275	0.223191	0.22774	0.220498	0.204061	0.200211	0.190111	0.190201
220	-1558.44	-1572.3	13.8635	0.23797	0.224671	0.223947	0.212936	0.227675	0.218477	0.177565	0.200064	0.194618	0.185731	0.186441
230	-1550.91	-1568.66	17.7534	0.15987	0.166598	0.169209	0.191115	0.172524	0.177771	0.187464	0.222625	0.216366	0.196814	0.185067
240	-1548.67	-1568.89	20.2229	0.107061	0.109698	0.117089	0.129039	0.136435	0.148303	0.14698	0.167721	0.164969	0.169995	0.163338
250	-1547.31	-1569.66	22.3526	0.193633	0.220818	0.213965	0.222096	0.223824	0.230217	0.231961	0.232714	0.231851	0.216381	0.240617
260	-1555.86	-1573.09	17.2309	0.235019	0.233767	0.24445	0.241386	0.232359	0.241171	0.241048	0.240564	0.240039	0.238477	0.231411
270	-1547.68	-1568.33	20.6518	0.134051	0.149986	0.162125	0.171528	0.170161	0.17305	0.188114	0.189343	0.185566	0.190502	0.217908
280	-1549.05	-1571.69	22.6402	0.181177	0.173384	0.176578	0.18268	0.179764	0.161427	0.145789	0.150003	0.150269	0.143678	0.150369
290	-1554.6	-1566.94	12.345	0.101987	0.11177	0.112134	0.113149	0.126843	0.115747	0.113521	0.110982	0.0977383	0.0895786	0.0998137
300	-1551.69	-1572.43	20.7427	0.146728	0.142286	0.140296	0.146048	0.146404	0.150509	0.144643	0.138341	0.130348	0.12134	0.132858
310	-1552.86	-1569.49	16.6225	0.0890247	0.0950832	0.101386	0.102805	0.107614	0.0964323	0.096367	0.083331	0.0842816	0.0772834	0.0676857
320	-1549.02	-1572.65	23.6302	0.11068	0.105369	0.111213	0.119815	0.115761	0.11228	0.105897	0.0953809	0.0891335	0.0900274	0.0897029
330	-1549.24	-1568.15	18.9144	0.166439	0.180829	0.18475	0.181294	0.175367	0.155943	0.139549	0.147508	0.149252	0.146723	0.152255
340	-1545.91	-1567.46	21.544	0.145089	0.153391	0.149379	0.145468	0.138718	0.131816	0.132605	0.131954	0.129988	0.133833	0.133077
350	-1550.48	-1569.25	18.7725	0.198852	0.2105	0.205931	0.187022	0.177403	0.173241	0.191209	0.176546	0.177036	0.177178	0.185561
360	-1548.16	-1571.61	23.4454	0.159897	0.160039	0.159954	0.171148	0.165647	0.163748	0.157507	0.138216	0.13142	0.113148	0.111629
370	-1545.8	-1569.57	23.7697	0.231675	0.215669	0.214394	0.21039	0.209898	0.204013	0.19199	0.188045	0.195506	0.197414	0.196946
380	-1549.59	-1568.91	19.3205	0.177207	0.187039	0.180613	0.173164	0.181104	0.157639	0.165764	0.183188	0.191242	0.183594	0.179853
390	-1553.56	-1568.34	14.7846	0.130909	0.131706	0.125667	0.143247	0.142241	0.159257	0.153639	0.152728	0.154126	0.166394	0.177966
400	-1547.68	-1568.48	20.7997	0.123728	0.131089	0.129421	0.137407	0.137372	0.141478	0.133404	0.126975	0.132241	0.140775	0.159513
410	-1547.97	-1569.03	21.0659	0.130724	0.132587	0.134973	0.136616	0.146424	0.156158	0.156556	0.155408	0.134692	0.132404	0.135341
420	-1549.69	-1568.47	18.7761	0.150066	0.164344	0.160449	0.161554	0.146546	0.150728	0.157861	0.151936	0.146094	0.165586	0.167417
430	-1546.69	-1568.02	21.3282	0.161461	0.169735	0.168091	0.162197	0.161308	0.169015	0.161588	0.16612	0.151794	0.163098	0.170133
440	-1547.67	-1568.12	20.4464	0.119087	0.133234	0.14169	0.139232	0.151615	0.141097	0.133397	0.126844	0.138466	0.13974	0.136176
450	-1551.32	-1568.29	16.9631	0.168867	0.163293	0.181971	0.179095	0.184881	0.204881	0.176757	0.179042	0.172009	0.183695	0.201421
460	-1549.47	-1570.35	20.8771	0.188796	0.1933	0.20631	0.211102	0.21225	0.21215	0.247676	0.235348	0.217118	0.207056	0.205128
470	-1547.15	-1570.11	22.955	0.235014	0.254192	0.261302	0.25505	0.264513	0.277087	0.277812	0.289473	0.316865	0.30113	0.3125
480	-1544.86	-1572.46	27.5957	0.169357	0.171648	0.171657	0.174962	0.175236	0.18395	0.196018	0.199253	0.21204	0.192693	0.194596
490	-1547.54	-1569.88	22.3375	0.166528	0.175129	0.174346	0.190381	0.19014	0.214291	0.202707	0.208196	0.212925	0.225877	0.244354
500	-1545.47	-1568.51	23.039	0.164892	0.172685	0.184475	0.203391	0.209391	0.212662	0.205499	0.202727	0.201397	0.19624	0.183633
510	-1547.16	-1570.91	23.7475	0.204645	0.198861	0.216527	0.228933	0.213239	0.237675	0.23291	0.220246	0.229558	0.242139	0.229198
520	-1553.46	-1569.5	16.0395	0.202319	0.21038	0.195293	0.189123	0.203902	0.220265	0.213637	0.217358	0.219669	0.226378	0.232632
530	-1546.03	-1566.95	20.9173	0.15808	0.168384	0.179717	0.193948	0.185512	0.173467	0.164679	0.166454	0.167861	0.163457	0.167361
540	-1544.26	-1567.44	23.1854	0.154521	0.155154	0.155112	0.157594	0.169271	0.169	0.179603	0.173097	0.184878	0.16941	0.189169
550	-1552.74	-1572.48	19.7439	0.188487	0.197386	0.216235	0.234935	0.241696	0.260334	0.257231	0.244968	0.246764	0.256459	0.252556
560	-1545.13	-1568.02	22.8883	0.144833	0.152603	0.154096	0.156151	0.166736	0.190086	0.202107	0.212625	0.198985	0.208333	0.201863
570	-1552.07	-1573.43	21.3625	0.139868	0.142018	0.137169	0.144897	0.148785	0.15038	0.149582	0.153611	0.158683	0.1583	0.150649
580	-1542.35	-1567.89	25.5372	0.149505	0.158511	0.173835	0.172931	0.166299	0.160623	0.177016	0.179883	0.178334	0.184244	0.190604
590	-1547.02	-1568.05	21.0284	0.192955	0.216886	0.215636	0.210711	0.202711	0.212684	0.209796	0.223468	0.227345	0.236239	0.243725
600	-1545.5	-1569.56	24.0628	0.1304	0.13401	0.143337	0.136927	0.135423	0.132226	0.140075	0.144979	0.146639	0.155044	0.141497
610	-1552.33	-1571.38	19.053	0.0684431	0.0731199	0.0822697	0.0859383	0.0826871	0.0810615	0.0841915	0.0785237	0.0741963	0.0761325	0.083697
