Iteration	Posterior	Likelihood	Prior	birth_rate
0	-1587.92	-1588.61	0.695843	0.1629552
10	-1588.22	-1588.81	0.588901	0.1686579
20	-1588.07	-1588.91	0.844411	0.1550487
30	-1588.25	-1588.83	0.581603	0.1690476
40	-1590.28	-1591.4	1.11713	0.1405232
50	-1587.95	-1588.62	0.675643	0.1640314
60	-1595.27	-1596.65	1.38026	0.1263556
70	-1588.27	-1588.85	0.576534	0.1693183
80	-1596.45	-1597.87	1.42461	0.1239359
90	-1591.18	-1592.35	1.17886	0.1372208
100	-1587.96	-1588.76	0.802623	0.1572715
110	-1589.96	-1591.05	1.09145	0.1418949
120	-1591.81	-1593.03	1.2173	0.1351588
130	-1589.64	-1590.02	0.388254	0.1794041
140	-1588.26	-1589.15	0.890059	0.1526207
150	-1587.93	-1588.62	0.689098	0.1633145
160	-1587.9	-1588.62	0.719049	0.1617193
170	-1587.97	-1588.63	0.666134	0.1645381
180	-1588.29	-1588.86	0.573415	0.1694849
190	-1587.93	-1588.62	0.684973	0.1635343
200	-1587.9	-1588.65	0.753233	0.1598995
210	-1588.02	-1588.67	0.643921	0.1657223
220	-1589.74	-1590.81	1.07286	0.1428869
230	-1588.5	-1589.03	0.53424	0.1715786
240	-1590.19	-1590.53	0.334668	0.1822873
250	-1588.29	-1588.86	0.57284	0.1695156
260	-1590.71	-1591.86	1.14818	0.1388634
270	-1588.51	-1589.44	0.934494	0.1502569
280	-1592.58	-1593.84	1.25914	0.132909
290	-1587.9	-1588.61	0.71211	0.1620888
300	-1588.05	-1588.69	0.63317	0.1662956
310	-1589.82	-1590.9	1.07978	0.1425174
320	-1589.88	-1590.24	0.36417	0.1806992
330	-1589.31	-1589.73	0.423496	0.1775112
340	-1587.94	-1588.62	0.679106	0.1638469
350	-1588.25	-1588.83	0.58131	0.1690633
360	-1587.95	-1588.63	0.672749	0.1641856
370	-1588.89	-1589.88	0.986928	0.1474662
380	-1589.48	-1590.53	1.04914	0.1441517
390	-1588.02	-1588.85	0.827761	0.1559343
400	-1587.94	-1588.62	0.680548	0.1637701
410	-1587.89	-1588.62	0.724163	0.161447
420	-1591.07	-1591.33	0.26131	0.1862452
430	-1588.06	-1588.9	0.84088	0.1552365
440	-1590.54	-1590.85	0.303866	0.1839476
450	-1587.93	-1588.62	0.689029	0.1633182
460	-1588.46	-1589.39	0.926521	0.1506811
470	-1589.73	-1590.8	1.07205	0.1429299
480	-1587.98	-1588.64	0.662071	0.1647547
490	-1588.03	-1588.67	0.640464	0.1659066
500	-1588.52	-1589.46	0.936992	0.150124
510	-1587.91	-1588.61	0.699344	0.1627687
520	-1590.95	-1591.22	0.270657	0.1857401
530	-1592.55	-1593.81	1.25762	0.1329913
540	-1589.58	-1590.64	1.05864	0.1436456
550	-1588.51	-1589.04	0.531839	0.171707
560	-1588.09	-1588.71	0.622171	0.1668823
570	-1589.83	-1590.91	1.08104	0.1424505
580	-1591.28	-1591.53	0.245113	0.1871208
590	-1587.89	-1588.62	0.723496	0.1614825
600	-1595.58	-1595.56	-0.0177888	0.2014343
610	-1589.5	-1589.91	0.40194	0.1786687
620	-1591.92	-1593.15	1.22362	0.1348192
630	-1589.31	-1590.34	1.03288	0.1450183
640	-1588.02	-1588.67	0.643547	0.1657423
650	-1587.92	-1588.61	0.697556	0.162864
660	-1589.91	-1590.27	0.360849	0.1808778
670	-1587.9	-1588.66	0.762607	0.1594006
680	-1588.77	-1589.26	0.491475	0.1738669
690	-1587.89	-1588.62	0.72657	0.1613189
700	-1589.31	-1589.73	0.423914	0.1774888
710	-1589.43	-1590.47	1.04467	0.1443901
720	-1587.98	-1588.64	0.661844	0.1647668
730	-1587.91	-1588.61	0.706407	0.1623925
740	-1587.95	-1588.75	0.79863	0.1574839
750	-1587.97	-1588.63	0.667179	0.1644825
760	-1588.09	-1588.94	0.849132	0.1547976
770	-1587.95	-1588.63	0.672665	0.1641901
780	-1588.69	-1589.65	0.960502	0.1488729
790	-1588.15	-1589.01	0.864859	0.1539611
800	-1588.19	-1588.79	0.595456	0.1683079
810	-1589.46	-1590.51	1.04741	0.1442441
820	-1588.11	-1588.97	0.856906	0.1543841
830	-1588.12	-1588.74	0.612278	0.1674101
840	-1595	-1596.37	1.36945	0.1269433
850	-1590.31	-1591.43	1.11937	0.1404038
860	-1589.6	-1589.99	0.391835	0.1792116
870	-1588.19	-1588.78	0.596019	0.1682779
880	-1587.99	-1588.65	0.656833	0.1650339
890	-1589.62	-1590.01	0.389943	0.1793133
900	-1587.9	-1588.66	0.760523	0.1595116
910	-1588.18	-1589.06	0.874145	0.1534672
920	-1590.4	-1591.53	1.12596	0.1400515
930	-1587.97	-1588.78	0.809995	0.1568794
940	-1592.19	-1592.37	0.180262	0.1906335
950	-1589.27	-1589.7	0.428301	0.1772533
960	-1588.62	-1589.57	0.951337	0.1493606
970	-1588.66	-1589.17	0.507178	0.1730263
980	-1589.09	-1590.1	1.00972	0.1462525
990	-1589.23	-1590.26	1.02506	0.1454353
1000	-1587.94	-1588.73	0.792559	0.1578069
1010	-1589.31	-1590.34	1.03259	0.1450342
1020	-1592.17	-1593.41	1.23724	0.1340873
1030	-1587.9	-1588.61	0.71158	0.162117
1040	-1588.2	-1589.08	0.877157	0.1533069
1050	-1588.21	-1588.8	0.590125	0.1685926
1060	-1587.94	-1588.74	0.795066	0.1576736
1070	-1588.11	-1588.96	0.855302	0.1544694
1080	-1588.71	-1589.21	0.500439	0.1733869
1090	-1589.48	-1589.88	0.404819	0.1785141
1100	-1587.98	-1588.64	0.660099	0.1648598
1110	-1591.71	-1591.92	0.213824	0.1888142
1120	-1588.7	-1589.2	0.502546	0.1732742
1130	-1588.12	-1588.74	0.612142	0.1674174
1140	-1596.61	-1598.04	1.43049	0.1236144
1150	-1594.74	-1596.1	1.3589	0.1275165
1160	-1588.79	-1589.28	0.489046	0.1739969
1170	-1588.18	-1589.06	0.873982	0.1534758
1180	-1588.09	-1588.71	0.621643	0.1669105
1190	-1588.34	-1588.91	0.562016	0.1700939
1200	-1587.92	-1588.7	0.781999	0.1583688
1210	-1588.3	-1589.2	0.899126	0.1521384
1220	-1589.06	-1589.52	0.452766	0.175941
1230	-1587.9	-1588.66	0.760322	0.1595222
1240	-1591.49	-1591.72	0.229683	0.1879556
1250	-1596.44	-1597.87	1.4246	0.1239368
1260	-1587.96	-1588.77	0.805543	0.1571161
1270	-1588.41	-1589.32	0.917583	0.1511566
1280	-1587.95	-1588.76	0.801225	0.1573459
1290	-1590.58	-1591.72	1.13878	0.139366
1300	-1588.67	-1589.63	0.958405	0.1489845
1310	-1588.83	-1589.32	0.482962	0.1743228
1320	-1589	-1590	0.999692	0.1467866
1330	-1587.97	-1588.79	0.810639	0.1568451
1340	-1588.95	-1589.94	0.993595	0.1471112
1350	-1588.71	-1589.21	0.499765	0.173423
1360	-1589.96	-1590.32	0.356175	0.1811293
1370	-1587.89	-1588.63	0.734367	0.1609038
1380	-1588.57	-1589.51	0.943166	0.1497954
1390	-1587.89	-1588.62	0.731692	0.1610461
1400	-1587.92	-1588.69	0.777218	0.1586232
1410	-1588.1	-1588.72	0.617877	0.1671114
1420	-1588.43	-1589.35	0.921278	0.15096
1430	-1589.3	-1590.33	1.03189	0.1450712
1440	-1592.32	-1593.56	1.24536	0.1336507
1450	-1588.56	-1589.08	0.524021	0.1721251
1460	-1587.98	-1588.64	0.658472	0.1649465
1470	-1588.79	-1589.77	0.974748	0.1481146
1480	-1588.1	-1588.72	0.618743	0.1670652
1490	-1588.49	-1589.03	0.534523	0.1715634
1500	-1589.05	-1589.51	0.453901	0.1758801
1510	-1588.07	-1588.91	0.843022	0.1551225
1520	-1588.49	-1589.42	0.931936	0.150393
1530	-1588.05	-1588.68	0.635957	0.166147
1540	-1588.48	-1589.02	0.536278	0.1714696
1550	-1591.16	-1592.34	1.17808	0.1372625
1560	-1588.71	-1589.68	0.964132	0.1486797
1570	-1589.78	-1590.16	0.373348	0.1802055
1580	-1589.18	-1589.62	0.43812	0.1767265
1590	-1589.97	-1591.06	1.09227	0.141851
1600	-1588.44	-1589.36	0.923176	0.150859
1610	-1588.64	-1589.15	0.51063	0.1728416
1620	-1589.77	-1590.84	1.07545	0.1427489
1630	-1591.49	-1591.72	0.229888	0.1879445
1640	-1588.56	-1589.5	0.941852	0.1498654
1650	-1591.77	-1592.98	1.21478	0.135294
1660	-1587.97	-1588.64	0.665112	0.1645926
1670	-1592.4	-1593.65	1.2495	0.1334282
1680	-1587.9	-1588.66	0.7574	0.1596778
1690	-1588.34	-1589.24	0.905226	0.1518139
1700	-1594.48	-1595.83	1.34779	0.1281195
1710	-1588.9	-1589.88	0.987532	0.147434
1720	-1588.45	-1589.38	0.925784	0.1507203
1730	-1588.06	-1588.9	0.840225	0.1552713
1740	-1592.15	-1593.39	1.23642	0.1341318
1750	-1588.36	-1589.27	0.910336	0.1515421
1760	-1589.97	-1591.06	1.09265	0.1418306
1770	-1588.24	-1588.82	0.584799	0.1688769
1780	-1588.36	-1589.27	0.909819	0.1515696
1790	-1588.88	-1589.36	0.476582	0.1746646
1800	-1588.2	-1589.08	0.877603	0.1532832
1810	-1589.63	-1590.02	0.389167	0.179355
1820	-1588.62	-1589.57	0.950523	0.149404
1830	-1591.95	-1593.17	1.22509	0.1347403
1840	-1591.67	-1592.88	1.2093	0.1355881
1850	-1588.9	-1589.89	0.988143	0.1474015
1860	-1589.42	-1590.46	1.04377	0.144438
1870	-1589.28	-1589.7	0.427111	0.1773172
1880	-1589.19	-1589.63	0.437025	0.1767852
1890	-1588.62	-1589.14	0.513727	0.1726758
1900	-1588.33	-1589.24	0.904812	0.151836
1910	-1589.08	-1590.09	1.00835	0.1463255
1920	-1588.27	-1588.85	0.577681	0.1692571
1930	-1588	-1588.65	0.654251	0.1651715
1940	-1588.17	-1589.05	0.871726	0.1535958
1950	-1589.05	-1589.51	0.453994	0.1758751
1960	-1588.41	-1589.32	0.917788	0.1511457
