Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	extinction[27]	extinction[28]	extinction[29]	extinction[30]	extinction[31]	extinction[32]	extinction[33]	extinction[34]	extinction[35]	extinction[36]	extinction[37]	extinction[38]	extinction[39]	extinction[40]	extinction[41]	extinction[42]	extinction[43]	extinction[44]	extinction[45]	extinction[46]	extinction[47]	extinction[48]	extinction[49]	extinction[50]	extinction[51]
0	-1940.35	-2220.41	280.058	0.367879	0.369153	0.363258	0.365169	0.357702	0.356097	0.359767	0.360897	0.363731	0.362503	0.36605	0.361366	0.361571	0.372088	0.369719	0.361142	0.362498	0.365285	0.365227	0.360713	0.36401	0.364743	0.365741	0.368925	0.36301	0.359894	0.361872	0.366541	0.364998	0.365572	0.371324	0.378567	0.383706	0.385599	0.385098	0.385496	0.385297	0.383271	0.382841	0.38433	0.381816	0.380231	0.388943	0.389441	0.389972	0.384153	0.381161	0.380157	0.381635	0.382114	0.382061
10	-1275.72	-1574.74	299.019	0.299247	0.29444	0.294423	0.296416	0.288646	0.286983	0.290791	0.291965	0.294916	0.292503	0.297336	0.292453	0.299437	0.303656	0.30218	0.292219	0.292989	0.296536	0.296476	0.291773	0.295207	0.295971	0.298488	0.300341	0.294165	0.290923	0.292548	0.297849	0.296237	0.296836	0.302854	0.306216	0.315898	0.317904	0.318363	0.317794	0.317583	0.315438	0.314984	0.316559	0.3139	0.312225	0.321452	0.321982	0.322546	0.316372	0.313208	0.312148	0.313709	0.314214	0.314158
20	-1271.33	-1570.9	299.57	0.209305	0.22086	0.223717	0.233383	0.208381	0.211064	0.230544	0.218857	0.221836	0.216922	0.212914	0.220008	0.215622	0.204541	0.216378	0.214504	0.217906	0.21303	0.202019	0.21545	0.217123	0.210701	0.215288	0.219208	0.220298	0.224605	0.222067	0.227682	0.225676	0.239143	0.226573	0.246182	0.26101	0.27221	0.287682	0.288913	0.272151	0.266492	0.264253	0.280623	0.262964	0.246661	0.268271	0.278111	0.272583	0.284839	0.263441	0.261301	0.262528	0.273047	0.27571
30	-1286.85	-1571.76	284.911	0.153905	0.163703	0.171737	0.150284	0.153124	0.166183	0.160869	0.151639	0.167976	0.166466	0.15385	0.152888	0.155269	0.163612	0.156033	0.158303	0.151829	0.16233	0.168671	0.160033	0.152282	0.161007	0.172385	0.169183	0.172106	0.166895	0.16744	0.169524	0.169969	0.158379	0.168576	0.177834	0.179107	0.206022	0.202917	0.207172	0.206616	0.203116	0.204801	0.206016	0.20003	0.212216	0.197825	0.212812	0.204617	0.221962	0.218885	0.203229	0.19529	0.191657	0.194608
40	-1184.76	-1571.89	387.134	0.206122	0.213001	0.206376	0.211981	0.207443	0.214038	0.214716	0.212392	0.215715	0.214991	0.214859	0.210602	0.213616	0.2124	0.210927	0.210885	0.212967	0.212989	0.216046	0.209525	0.207986	0.209074	0.217026	0.21629	0.222127	0.215197	0.215458	0.214631	0.216663	0.213589	0.214115	0.220339	0.224906	0.22725	0.226659	0.225939	0.232983	0.231507	0.232008	0.23194	0.2301	0.227696	0.234041	0.235458	0.232142	0.239275	0.23215	0.231555	0.232541	0.225575	0.227852
50	-1212.29	-1570.43	358.139	0.191132	0.202216	0.191682	0.189942	0.194051	0.226693	0.218752	0.20521	0.203903	0.196332	0.202837	0.205944	0.208025	0.205228	0.201869	0.201772	0.20653	0.206579	0.21368	0.198701	0.195258	0.197688	0.20506	0.214252	0.219946	0.211694	0.216291	0.210377	0.215129	0.207963	0.21756	0.223887	0.235048	0.255222	0.239414	0.22739	0.235131	0.239248	0.241997	0.252358	0.247206	0.24202	0.258319	0.244144	0.240403	0.243122	0.253397	0.259908	0.245383	0.231777	0.218535
60	-1257.75	-1574.49	316.746	0.265906	0.262165	0.265924	0.265401	0.266826	0.265124	0.266048	0.2644	0.263809	0.266144	0.263325	0.264731	0.2604	0.261047	0.264598	0.262884	0.268926	0.268192	0.268026	0.270524	0.270464	0.273766	0.276082	0.270659	0.267381	0.267721	0.270823	0.266499	0.268809	0.265171	0.272994	0.269467	0.271747	0.270893	0.271109	0.273652	0.273569	0.276453	0.280916	0.284277	0.284539	0.286293	0.288344	0.280999	0.288498	0.287908	0.280897	0.283768	0.29199	0.289662	0.29198
70	-1345.59	-1572.67	227.078	0.259127	0.25263	0.255737	0.270874	0.270015	0.282732	0.263023	0.255517	0.250834	0.27452	0.267797	0.267626	0.260265	0.274098	0.299668	0.315385	0.311732	0.284755	0.283915	0.28913	0.309642	0.28575	0.287665	0.27913	0.299564	0.286232	0.293776	0.282238	0.276694	0.283688	0.281347	0.294113	0.304217	0.298722	0.319893	0.322151	0.312336	0.305431	0.327513	0.354464	0.357873	0.381143	0.402523	0.438128	0.426713	0.408918	0.405301	0.410818	0.418691	0.369298	0.371114
80	-1281.3	-1571.54	290.244	0.266709	0.261037	0.254995	0.257435	0.256948	0.279068	0.282217	0.29504	0.279291	0.275799	0.263884	0.260195	0.28051	0.274891	0.277639	0.310817	0.313112	0.303412	0.292325	0.289303	0.279888	0.286366	0.28687	0.297045	0.298484	0.315628	0.293938	0.281081	0.280407	0.286191	0.28519	0.294203	0.287552	0.297824	0.289426	0.288603	0.300637	0.299936	0.341595	0.353355	0.358619	0.360753	0.378064	0.402547	0.388566	0.376221	0.39955	0.389949	0.381465	0.357293	0.352573
90	-1297.47	-1570.23	272.756	0.208139	0.216481	0.211176	0.208215	0.21801	0.232354	0.234246	0.239565	0.243691	0.233277	0.230817	0.226578	0.251673	0.243227	0.239521	0.256528	0.262488	0.245121	0.244064	0.232829	0.22607	0.238796	0.237233	0.257135	0.240728	0.243136	0.237256	0.231436	0.238912	0.244261	0.237758	0.235092	0.239845	0.248931	0.259037	0.244253	0.251422	0.263842	0.287851	0.30069	0.303071	0.306406	0.317651	0.322736	0.334216	0.327013	0.339836	0.343388	0.328596	0.317732	0.326922
100	-1306.46	-1571.23	264.771	0.233299	0.238488	0.22966	0.223714	0.238796	0.243745	0.253403	0.263973	0.270396	0.26607	0.271702	0.28569	0.289639	0.269451	0.259798	0.270266	0.278117	0.272296	0.26088	0.242556	0.243126	0.252452	0.260499	0.2666	0.275754	0.271011	0.270034	0.251918	0.235555	0.240105	0.231194	0.257321	0.257796	0.266741	0.265278	0.270991	0.287838	0.301934	0.32396	0.341856	0.365855	0.387303	0.386777	0.402896	0.414336	0.402292	0.428718	0.429806	0.40493	0.400698	0.396115
110	-1359.03	-1570.95	211.924	0.194898	0.192289	0.179175	0.189594	0.207366	0.209623	0.22334	0.237973	0.251152	0.245718	0.247596	0.23816	0.229416	0.244783	0.232819	0.2458	0.240504	0.246435	0.242609	0.246639	0.222706	0.223775	0.220879	0.241232	0.252681	0.268633	0.260997	0.223175	0.229101	0.231615	0.233768	0.244836	0.242546	0.241407	0.248689	0.268071	0.268012	0.300971	0.315262	0.380829	0.372575	0.417192	0.418723	0.462926	0.430719	0.465629	0.473335	0.425759	0.439472	0.430431	0.392835
120	-1229.56	-1572.37	342.813	0.244292	0.245466	0.242776	0.245859	0.248697	0.250928	0.251925	0.253769	0.255908	0.258149	0.255529	0.253742	0.250972	0.252293	0.252723	0.252916	0.25332	0.252709	0.256528	0.257278	0.252651	0.253399	0.254208	0.256908	0.257654	0.25792	0.256714	0.257027	0.257544	0.253921	0.253061	0.253975	0.253143	0.258293	0.255841	0.25442	0.257314	0.26196	0.270182	0.273079	0.276517	0.274388	0.276353	0.281835	0.276562	0.280213	0.2772	0.279218	0.27925	0.278242	0.280715
