Iteration	Posterior	Likelihood	Prior	event_rate	extinction_mean	rate_sd	speciation_mean
73	-1564.83	-1567.44	2.60828	0.03582239	0.07539669	0.7957278	0.1172328
74	-1563.55	-1566.35	2.8038	0.02456221	0.06471009	0.7957278	0.1123356
75	-1563.42	-1566.2	2.78158	0.02188923	0.06095117	0.8439314	0.1123356
76	-1565.72	-1568.06	2.34037	0.03360159	0.09428348	0.8439314	0.1128963
77	-1565.68	-1568.28	2.59533	0.02400926	0.06467196	0.8439314	0.1275473
78	-1565.01	-1567.63	2.6236	0.02077683	0.06467196	0.8273286	0.1275473
79	-1564.03	-1566.66	2.63371	0.02771537	0.07142232	0.8273286	0.1143301
80	-1563.92	-1566.85	2.93552	0.02771537	0.05125566	0.8449355	0.1143301
81	-1564.91	-1568.11	3.19897	0.03846428	0.05125566	0.6901827	0.1143301
82	-1565.4	-1567.85	2.44785	0.03383893	0.07862462	0.880069	0.1143301
83	-1566.75	-1569.15	2.39752	0.03977697	0.07808776	0.9136611	0.1143301
84	-1563.57	-1566.58	3.00231	0.03012473	0.05198078	0.7974525	0.1143301
85	-1562.97	-1565.86	2.8945	0.01714357	0.0578979	0.7974525	0.1143301
86	-1564.63	-1567.23	2.60168	0.01617632	0.06759436	0.7974525	0.1312447
87	-1563.25	-1565.91	2.65777	0.01617632	0.0717856	0.7974525	0.1168414
88	-1563.61	-1566.42	2.809	0.008439574	0.06212351	0.7935359	0.1168414
89	-1563.22	-1566.03	2.81832	0.01150111	0.06281758	0.7979277	0.1136255
90	-1563.87	-1566.78	2.91309	0.008519586	0.06281758	0.735945	0.1148538
91	-1563.52	-1566.43	2.91309	0.01153336	0.06281758	0.735945	0.1148538
92	-1563.43	-1566.07	2.64006	0.01108373	0.07303446	0.8078029	0.1148538
93	-1564.54	-1567.22	2.68668	0.02674978	0.06191812	0.8774102	0.1148538
94	-1563.9	-1567.16	3.25518	0.037108	0.04149793	0.7785322	0.1148538
95	-1563.15	-1566.75	3.6027	0.02971548	0.02931568	0.7785322	0.1148538
96	-1564.25	-1567.76	3.50831	0.02971548	0.02931568	0.7785322	0.1262233
97	-1564.75	-1568.53	3.78742	0.01716112	0.03505091	0.476727	0.1334932
98	-1563.54	-1566.91	3.36567	0.02807201	0.04530751	0.5736984	0.1334932
99	-1563.1	-1567.42	4.32448	0.02670384	0.01828535	0.5877023	0.1238133
100	-1564.61	-1568.6	3.98963	0.04408166	0.02129655	0.5877023	0.1485874
101	-1563.38	-1567.24	3.86932	0.03231356	0.02401926	0.5877023	0.1485874
102	-1563.32	-1566.68	3.36375	0.03033068	0.04199759	0.5877023	0.1408915
103	-1563.27	-1566.87	3.59368	0.02314424	0.0368436	0.5877023	0.1276113
104	-1564.21	-1567.37	3.1614	0.02314424	0.04247624	0.5877023	0.170547
105	-1563.59	-1566.47	2.88147	0.01259057	0.05619751	0.5877023	0.170547
106	-1565.09	-1567.06	1.96862	0.01514395	0.1333102	0.6165069	0.170547
107	-1564.94	-1567.09	2.1492	0.01632042	0.1333102	0.4982604	0.1741191
108	-1565.35	-1568.48	3.13008	0.01632042	0.06825106	0.3153469	0.1741191
109	-1562.98	-1566.04	3.0649	0.01335964	0.05049719	0.5306052	0.1741191
110	-1562.99	-1566.02	3.03458	0.01277049	0.05193688	0.5319008	0.1741191
111	-1566.22	-1569.32	3.09223	0.01181911	0.02990852	0.8222194	0.1741191
112	-1566.54	-1569.06	2.52445	0.008397506	0.05190617	0.8222194	0.1770132
113	-1562.67	-1565.84	3.16703	0.01212636	0.04993526	0.536578	0.1573749
114	-1562.47	-1566.24	3.76741	0.01583398	0.02994633	0.5146481	0.1494413
115	-1562.8	-1566.29	3.49279	0.02073139	0.03941014	0.5146481	0.1494413
116	-1563.77	-1567.74	3.96643	0.03015337	0.02501039	0.4663531	0.1592091
117	-1563.95	-1567.45	3.49924	0.03015337	0.03297813	0.568078	0.1620127
118	-1562.93	-1567.09	4.16329	0.01913047	0.01697585	0.568078	0.1620127
119	-1562.63	-1567.64	5.00767	0.02703799	0.00930937	0.568078	0.1269848
120	-1565.5	-1569.8	4.29985	0.05551476	0.01394651	0.7464198	0.1269848
121	-1565.16	-1569.65	4.48296	0.05194847	0.01394651	0.8218858	0.09298948
122	-1566.47	-1570.91	4.44163	0.05194847	0.01541348	0.8218858	0.08768995
123	-1567.21	-1571.05	3.83864	0.04655904	0.02816932	0.8218858	0.08768995
124	-1564.86	-1568.1	3.23996	0.03673888	0.03685249	0.8790533	0.1106605
125	-1564.58	-1568.48	3.89393	0.02641461	0.02913328	0.6329732	0.1106605
126	-1565.37	-1568.21	2.84602	0.0488432	0.06497404	0.6329732	0.1414963
127	-1565.87	-1568.76	2.88522	0.05506558	0.06247648	0.6329732	0.1414963
128	-1565.77	-1569.12	3.34505	0.05506558	0.04518707	0.6329732	0.1235224
129	-1565.77	-1568.98	3.21088	0.05506558	0.04827591	0.5518996	0.1517885
130	-1564.88	-1568.56	3.67744	0.04565305	0.03430761	0.5518996	0.1339538
131	-1564.1	-1567.5	3.39738	0.04128682	0.03917118	0.6795799	0.1249125
132	-1566.29	-1569.45	3.15593	0.04171432	0.05956595	0.5752038	0.1249125
133	-1563.7	-1567.37	3.67193	0.02845221	0.03461541	0.5909404	0.1249125
134	-1563.71	-1567.76	4.04765	0.03917966	0.02249506	0.6234116	0.1249125
135	-1564.48	-1568.22	3.74302	0.04523368	0.03050614	0.6234116	0.1249125
136	-1565.96	-1569.8	3.84805	0.04483839	0.03050614	0.6234116	0.1124587
137	-1563.44	-1567.32	3.87955	0.02589334	0.02757221	0.6643061	0.1124587
138	-1562.96	-1566.68	3.71128	0.0286621	0.02799748	0.6643061	0.1310458
139	-1562.55	-1566.18	3.62755	0.01782172	0.03091063	0.6643061	0.1290614
140	-1562.55	-1566.23	3.67646	0.01782172	0.03091063	0.6643061	0.1229014
141	-1562.9	-1566.34	3.44388	0.0124769	0.03579285	0.714781	0.1229014
142	-1562.84	-1565.88	3.03779	0.01437896	0.05372307	0.714781	0.1229014
143	-1562.8	-1565.84	3.03779	0.01731174	0.05372307	0.714781	0.1229014
144	-1563.73	-1566.31	2.58562	0.0161929	0.08413049	0.714781	0.1233498
145	-1563.71	-1566.3	2.58562	0.01335144	0.08413049	0.714781	0.1233498
146	-1563.4	-1566.09	2.69041	0.01300976	0.07576036	0.714781	0.1233498
147	-1563.87	-1566.37	2.50472	0.01323238	0.07576036	0.8418593	0.1196269
148	-1564.13	-1566.36	2.23564	0.01247241	0.09915224	0.8418593	0.1196269
149	-1563.28	-1565.9	2.61405	0.01550019	0.07535903	0.7807614	0.1196269
150	-1563.5	-1566.4	2.8951	0.0204722	0.05490295	0.7807614	0.123967
151	-1562.98	-1565.95	2.9688	0.0204722	0.05490295	0.7374738	0.123967
152	-1563.35	-1566.38	3.03861	0.02749136	0.05120101	0.7374738	0.123967
153	-1563.37	-1566.33	2.95928	0.02721624	0.05542792	0.7374738	0.123967
154	-1565.11	-1568.06	2.95165	0.0417814	0.05204264	0.7789752	0.123967
155	-1565.44	-1568.38	2.9457	0.04158169	0.06308616	0.7120781	0.1152859
156	-1569.21	-1571.52	2.31078	0.05074651	0.08730134	0.7120781	0.1571919
157	-1569.02	-1570.61	1.59605	0.03449683	0.1733621	0.7289454	0.1571919
158	-1569.04	-1570.74	1.69605	0.03891173	0.156562	0.7300794	0.1571919
159	-1569.34	-1571.39	2.04117	0.03891173	0.156562	0.5249302	0.1578411
160	-1570.34	-1572.75	2.41066	0.04340404	0.1315941	0.4685727	0.1428477
161	-1564.86	-1567.7	2.83902	0.03422797	0.0761112	0.538572	0.1428477
162	-1562.39	-1566.05	3.65955	0.01685137	0.03161979	0.5725694	0.1428477
163	-1564.53	-1567.57	3.04101	0.0217371	0.0445968	0.7145373	0.1476373
164	-1565.46	-1569.08	3.61792	0.03593823	0.02504691	0.7145373	0.1476373
165	-1563.42	-1566.69	3.27722	0.0316994	0.04437664	0.6956259	0.1209879
166	-1564.05	-1567.12	3.07337	0.03716605	0.05253468	0.7162356	0.1209879
167	-1564.56	-1567.75	3.18661	0.03652477	0.05253468	0.6497171	0.1209879
168	-1567.77	-1571.09	3.32148	0.04963006	0.05083405	0.6497171	0.1092599
169	-1564.22	-1567.63	3.41909	0.04033639	0.03394296	0.8359668	0.1080865
170	-1563.39	-1566.36	2.97274	0.02482253	0.05421597	0.8359668	0.1057411
171	-1564.8	-1567.74	2.94067	0.03925213	0.05598252	0.8359668	0.1057411
172	-1564.68	-1567.82	3.13843	0.04228726	0.04593747	0.8359668	0.1057411
