Iteration	Posterior	Likelihood	Prior	birth_rate
0	-1587.89	-1588.64	0.748572	0.1601476
10	-1687.33	-1689.64	2.30841	0.05886034
20	-1644.86	-1647.03	2.1667	0.07769898
30	-1798.22	-1800.08	1.8625	0.0325231
40	-1699.25	-1701.56	2.30883	0.05485993
50	-1669.67	-1671.94	2.27926	0.06566414
60	-1622.03	-1623.99	1.95398	0.0931188
70	-1737.33	-1739.56	2.22368	0.04440131
80	-1733.83	-1736.07	2.23647	0.04524155
90	-1593.33	-1594.63	1.29642	0.1308994
100	-1741.03	-1743.24	2.20915	0.04353478
110	-1726.68	-1728.94	2.25966	0.04702862
120	-1597.8	-1599.27	1.47136	0.1213716
130	-1609.61	-1611.37	1.7619	0.1049163
140	-1598.1	-1599.58	1.48103	0.1208387
150	-1588.38	-1589.29	0.912604	0.1514215
160	-1588.29	-1588.87	0.572149	0.1695525
170	-1606.51	-1606.04	-0.470818	0.2266273
180	-1612.13	-1611.47	-0.654602	0.2370682
190	-1588.79	-1589.28	0.488771	0.1740117
200	-1641.37	-1643.52	2.14242	0.07971112
210	-1620.59	-1622.52	1.93528	0.09432227
220	-1873.68	-1874.77	1.09422	0.02268703
230	-1818.91	-1820.6	1.6851	0.0294006
240	-1754	-1756.15	2.1502	0.04066662
250	-1588.44	-1589.36	0.923587	0.1508372
260	-1589.83	-1590.2	0.368716	0.1804546
270	-1602.99	-1602.64	-0.342552	0.2194191
280	-1587.98	-1588.64	0.660524	0.1648372
290	-1618.9	-1618.05	-0.852795	0.2484849
300	-1633.12	-1635.19	2.07429	0.08490992
310	-1588.18	-1588.78	0.597521	0.1681978
320	-1587.89	-1588.63	0.73487	0.160877
330	-1624.43	-1626.41	1.98333	0.09119637
340	-1702.86	-1705.17	2.30619	0.05372744
350	-1694	-1696.31	2.31041	0.05657148
360	-1660.77	-1663.02	2.24973	0.0695862
370	-1591.94	-1593.16	1.22442	0.1347764
380	-1619.75	-1621.67	1.92405	0.09503846
390	-1705.13	-1707.44	2.30391	0.05303307
400	-1656.41	-1658.65	2.23114	0.07165195
410	-1595.33	-1596.72	1.38277	0.126219
420	-1621.02	-1622.96	1.94096	0.0939583
430	-1653.29	-1655.5	2.21596	0.07320223
440	-1631.41	-1633.47	2.05813	0.08607122
450	-1592.55	-1592.71	0.156529	0.1919218
460	-1590.39	-1591.52	1.1254	0.1400813
470	-1613.14	-1614.96	1.82456	0.1011855
480	-1587.89	-1588.64	0.745988	0.1602851
490	-1662.18	-1664.44	2.25516	0.0689368
500	-1594.9	-1596.27	1.36535	0.1271663
510	-1637.22	-1639.33	2.11013	0.08224401
520	-1714.27	-1716.56	2.29002	0.0503644
530	-1705.31	-1707.61	2.30372	0.05298042
540	-1646.42	-1648.59	2.17678	0.07683035
550	-1653.56	-1655.78	2.21736	0.07306388
560	-1863.93	-1865.14	1.21191	0.02374206
570	-1665.47	-1667.74	2.2667	0.06746491
580	-1607.21	-1608.92	1.71433	0.1076934
590	-1595.9	-1597.31	1.40462	0.125028
600	-1631.92	-1633.98	2.06299	0.08572393
610	-1697.16	-1699.47	2.30978	0.05553337
620	-1663.26	-1665.52	2.25912	0.06844797
630	-1740.08	-1742.29	2.21299	0.04375559
640	-1902.84	-1903.56	0.710937	0.01983221
650	-1815.04	-1816.76	1.72026	0.02995656
660	-1627.88	-1629.9	2.02213	0.08858381
670	-1660.03	-1662.28	2.24677	0.06992942
680	-1663.77	-1666.03	2.26091	0.06822054
690	-1689.19	-1691.5	2.30943	0.05820831
700	-1623.67	-1625.64	1.97424	0.09179632
710	-1591.64	-1592.85	1.20727	0.135697
720	-1669.43	-1671.71	2.27862	0.06576259
730	-1632.69	-1634.76	2.07028	0.08519994
740	-1671.07	-1673.35	2.28296	0.06507745
750	-1627.91	-1629.93	2.02247	0.08856058
760	-1613.96	-1615.8	1.83819	0.1003614
770	-1663.26	-1665.52	2.2591	0.0684503
780	-1610.31	-1612.09	1.77494	0.1041471
790	-1587.9	-1588.62	0.718957	0.1617242
800	-1647.2	-1649.38	2.18165	0.07640199
810	-1677.55	-1679.85	2.2968	0.06248042
820	-1593.05	-1594.33	1.28265	0.1316422
830	-1588.75	-1589.25	0.493904	0.1737368
840	-1590.57	-1591.71	1.13845	0.1393834
850	-1602.11	-1603.7	1.59647	0.1144152
860	-1605.52	-1605.08	-0.435888	0.2246581
870	-1587.91	-1588.69	0.773413	0.1588256
880	-1649.8	-1652	2.19712	0.07500355
890	-1692.62	-1694.93	2.31037	0.05703427
900	-1591.54	-1591.77	0.226001	0.1881549
910	-1616.08	-1617.95	1.8714	0.09833104
920	-1704.16	-1706.47	2.30495	0.05332938
930	-1601.06	-1602.62	1.56857	0.1159802
940	-1598.33	-1598.18	-0.150084	0.2087168
950	-1589.32	-1589.75	0.421835	0.1776004
960	-1639.75	-1641.88	2.13024	0.08068342
970	-1589.66	-1590.04	0.386044	0.1795229
980	-1646.7	-1648.88	2.17858	0.07667239
990	-1720.46	-1722.74	2.27647	0.04866043
1000	-1739.61	-1741.83	2.21485	0.04386473
1010	-1827.73	-1829.33	1.60168	0.02817872
1020	-1759.58	-1761.7	2.12114	0.03950828
1030	-1814.01	-1815.74	1.72949	0.03010711
1040	-1887.29	-1888.21	0.92111	0.02130119
1050	-1682.86	-1685.17	2.30443	0.06047257
1060	-1669.44	-1671.72	2.27866	0.06575691
1070	-1623.02	-1624.99	1.96635	0.09231371
1080	-1609.51	-1611.27	1.75994	0.1050318
1090	-1755.09	-1757.23	2.14471	0.04043757
1100	-1632.3	-1634.37	2.06669	0.0854586
1110	-1646.21	-1648.39	2.17547	0.07694439
1120	-1601.37	-1602.95	1.57713	0.1155012
1130	-1609.58	-1611.34	1.76133	0.1049499
1140	-1592.19	-1593.43	1.23863	0.1340125
1150	-1638.37	-1640.49	2.11946	0.0815269
1160	-1638.28	-1640.4	2.1187	0.08158538
1170	-1706.21	-1708.51	2.30266	0.0527083
1180	-1756.73	-1758.86	2.13627	0.04009516
1190	-1769.09	-1771.16	2.06662	0.03762804
1200	-1639.64	-1641.77	2.1294	0.08074965
1210	-1663.42	-1665.68	2.25968	0.06837687
1220	-1653.63	-1655.85	2.2177	0.07302999
1230	-1735.35	-1737.58	2.23103	0.04487392
1240	-1770.86	-1772.92	2.05581	0.03729089
1250	-1752.33	-1754.49	2.15848	0.04102222
1260	-1689.95	-1692.26	2.30974	0.05794502
1270	-1606.89	-1608.59	1.70762	0.1080816
1280	-1605.56	-1607.24	1.67911	0.1097232
1290	-1601.12	-1602.69	1.57044	0.1158757
1300	-1624.96	-1626.95	1.98951	0.09078638
1310	-1708.14	-1710.44	2.30016	0.05213315
1320	-1716.75	-1719.04	2.28497	0.04967073
1330	-1664.08	-1666.34	2.262	0.06808193
1340	-1606.37	-1608.07	1.69669	0.1087124
1350	-1653.34	-1655.55	2.21621	0.07317768
1360	-1705.13	-1707.43	2.30392	0.05303512
1370	-1616.07	-1617.94	1.87126	0.09833937
1380	-1604.69	-1606.34	1.65932	0.1108557
1390	-1590.11	-1591.22	1.10403	0.1412233
1400	-1609.85	-1609.27	-0.582682	0.2329661
1410	-1598.91	-1598.73	-0.176114	0.2101566
1420	-1589.17	-1589.61	0.439661	0.1766438
1430	-1683.99	-1686.3	2.30564	0.06005843
1440	-1627.39	-1629.41	2.01685	0.08894446
1450	-1590.36	-1590.68	0.319513	0.183104
1460	-1634.4	-1636.48	2.0859	0.08406072
1470	-1655.98	-1658.21	2.22912	0.07186392
1480	-1705.17	-1707.47	2.30387	0.05302318
1490	-1773.32	-1775.36	2.04042	0.03682836
1500	-1815.92	-1817.63	1.71234	0.02982895
1510	-1717.7	-1719.98	2.28291	0.04940928
1520	-1710.96	-1713.26	2.2959	0.05130779
1530	-1587.93	-1588.71	0.786228	0.1581437
1540	-1701.35	-1703.66	2.30745	0.05419835
1550	-1819.46	-1821.14	1.68004	0.02932274
1560	-1797.69	-1799.56	1.86664	0.03260693
1570	-1817.21	-1818.91	1.70066	0.0296433
1580	-1601.49	-1603.07	1.58041	0.1153173
1590	-1643.94	-1646.1	2.16054	0.07821967
1600	-1598.81	-1600.31	1.50339	0.1196044
1610	-1605.44	-1607.11	1.67629	0.1098849
1620	-1774.15	-1776.19	2.03513	0.03667362
1630	-1796.68	-1798.55	1.87463	0.03277051
1640	-1694.43	-1696.75	2.31038	0.05642632
1650	-1617.63	-1619.53	1.89441	0.09690409
1660	-1631.98	-1634.04	2.06357	0.08568283
1670	-1615.57	-1617.43	1.86356	0.09881281
1680	-1621.59	-1623.54	1.94838	0.09348066
1690	-1643.14	-1645.3	2.15506	0.07867682
1700	-1633.43	-1635.5	2.07713	0.08470316
1710	-1606.74	-1608.44	1.70449	0.1082624
1720	-1614.74	-1616.59	1.8506	0.09960659
1730	-1824.06	-1825.69	1.63696	0.02867995
1740	-1736.97	-1739.2	2.22504	0.04448637
1750	-1800.95	-1802.79	1.84061	0.03208932
1760	-1656.51	-1658.74	2.23159	0.07160419
1770	-1601.16	-1602.73	1.5715	0.1158161
1780	-1673.32	-1675.61	2.28835	0.06415687
1790	-1647.88	-1650.07	2.18584	0.07602936
1800	-1590.14	-1591.25	1.10632	0.1411007
1810	-1604.69	-1604.29	-0.406118	0.2229835
1820	-1645.69	-1647.86	2.17214	0.07723281
1830	-1694.22	-1696.54	2.3104	0.05649614
1840	-1722.64	-1724.91	2.27093	0.04807932
1850	-1625.13	-1627.13	1.99157	0.09064925
1860	-1628.2	-1630.22	2.02553	0.08835048
1870	-1625.93	-1627.93	2.00065	0.09004134
1880	-1599.96	-1601.49	1.53774	0.1176998
1890	-1836.07	-1837.59	1.51851	0.02707664
1900	-1734.55	-1736.78	2.23394	0.04506906
1910	-1636.13	-1638.23	2.10102	0.08293483
1920	-1658.54	-1660.78	2.24055	0.07063234
1930	-1706.36	-1708.66	2.30248	0.05266271
1940	-1592.44	-1593.69	1.2517	0.1333095
1950	-1616.93	-1618.81	1.88415	0.09754255
1960	-1605.9	-1607.59	1.68663	0.1092917
1970	-1613.64	-1615.47	1.83285	0.1006845
1980	-1605.66	-1607.34	1.68117	0.1096052
1990	-1671.62	-1673.9	2.28432	0.06485229
2000	-1646.23	-1648.4	2.17558	0.07693488
2010	-1592.88	-1594.15	1.2742	0.1320982
2020	-1675.91	-1678.21	2.29378	0.06312131
2030	-1733.06	-1735.3	2.23917	0.04543032
2040	-1660.52	-1662.77	2.24874	0.06970189
2050	-1603.38	-1605.01	1.62845	0.1126104
2060	-1618.69	-1620.6	1.90952	0.09595688
2070	-1589.39	-1589.81	0.414145	0.1780132
2080	-1603.97	-1603.59	-0.379458	0.2214867
2090	-1608.76	-1610.5	1.7455	0.1058784
2100	-1673.73	-1676.02	2.28927	0.0639903
2110	-1641.59	-1643.73	2.14397	0.07958544
2120	-1618.9	-1620.81	1.91244	0.09577257
2130	-1614.61	-1616.46	1.84854	0.0997318
2140	-1639.23	-1641.36	2.12626	0.08099677
2150	-1681.5	-1683.81	2.30278	0.060977
2160	-1619.32	-1621.24	1.91818	0.09541024
2170	-1610.45	-1612.23	1.77748	0.1039968
2180	-1589.81	-1590.89	1.07897	0.1425609
2190	-1601.23	-1602.81	1.57337	0.1157117
2200	-1589.46	-1590.5	1.04735	0.1442471
2210	-1647.24	-1649.42	2.18191	0.07637912
2220	-1606.42	-1608.11	1.69765	0.1086574
2230	-1630.46	-1632.5	2.04874	0.08673569
2240	-1605.66	-1607.34	1.68116	0.1096056
2250	-1611.15	-1612.94	1.79017	0.1032442
2260	-1648.78	-1650.98	2.19122	0.07554426
2270	-1663.01	-1665.27	2.25821	0.06856138
2280	-1590.89	-1592.05	1.16019	0.1382205
2290	-1673.85	-1676.14	2.28952	0.06394435
2300	-1884.24	-1885.2	0.960836	0.02160368
2310	-1686.79	-1689.1	2.30804	0.05905187
2320	-1647.83	-1650.02	2.18554	0.07605662
2330	-1694.31	-1696.62	2.31039	0.0564687
2340	-1632.58	-1634.65	2.06928	0.08527217
2350	-1723.14	-1725.41	2.26961	0.04794763
2360	-1663.45	-1665.71	2.25978	0.06836492
2370	-1626.44	-1628.44	2.00637	0.0896562
2380	-1624.5	-1626.49	1.98421	0.09113837
2390	-1643.62	-1645.78	2.15837	0.07840125
2400	-1668.47	-1670.74	2.27591	0.06617016
2410	-1619.54	-1621.46	1.92125	0.09521553
2420	-1666.1	-1668.37	2.26875	0.06718817
2430	-1799.94	-1801.79	1.84871	0.03224805
2440	-1615.84	-1617.7	1.86772	0.09855732
2450	-1642.73	-1644.88	2.15215	0.07891752
2460	-1601.42	-1601.14	-0.281452	0.2160072
2470	-1602.98	-1602.64	-0.342314	0.2194058
2480	-1608.17	-1609.9	1.73389	0.1065568
2490	-1589.12	-1589.56	0.446099	0.1762985
2500	-1591.71	-1592.92	1.21143	0.1354739
2510	-1609.51	-1611.27	1.76003	0.1050266
2520	-1595.98	-1597.38	1.40735	0.1248789
2530	-1622.63	-1624.59	1.96146	0.09263276
2540	-1595	-1595.01	0.0125556	0.1997719
2550	-1609.92	-1611.69	1.76775	0.1045718
2560	-1587.9	-1588.65	0.755489	0.1597795
2570	-1634.2	-1636.29	2.08418	0.08418696
2580	-1642.32	-1644.47	2.14928	0.07915314
2590	-1676.89	-1679.19	2.29562	0.06273848
2600	-1599.31	-1600.82	1.51857	0.118764
2610	-1645.44	-1647.61	2.17051	0.0773735
2620	-1614.59	-1616.44	1.84826	0.09974879
2630	-1809.41	-1811.18	1.7698	0.03078794
2640	-1714.31	-1716.6	2.28994	0.05035278
2650	-1715.31	-1717.6	2.28796	0.05007045
2660	-1731.39	-1733.64	2.24484	0.04584137
2670	-1608.08	-1609.81	1.73202	0.1066655
2680	-1588.29	-1589.18	0.895875	0.1523113
2690	-1679.69	-1681.99	2.30026	0.06165913
2700	-1594.87	-1596.23	1.36415	0.1272317
2710	-1591.31	-1591.55	0.242812	0.1872452
2720	-1624.06	-1626.03	1.97888	0.09149096
2730	-1688.66	-1690.97	2.30917	0.05839361
2740	-1778.22	-1780.23	2.00857	0.03592816
2750	-1602.43	-1604.03	1.60469	0.1139525
2760	-1645.05	-1647.22	2.16795	0.07759263
2770	-1591.67	-1592.88	1.2091	0.1355991
2780	-1676.4	-1678.7	2.29472	0.06292883
2790	-1663	-1665.26	2.25819	0.06856426
2800	-1669.51	-1671.79	2.27884	0.06572854
2810	-1588.23	-1588.82	0.585861	0.1688203
2820	-1603.66	-1605.3	1.63524	0.1122256
2830	-1776.83	-1778.85	2.01777	0.03618069
2840	-1808.2	-1809.98	1.78013	0.03096897
