Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
100	-1548.93	-1572.77	23.839	0.126445	0.133021	0.122865	0.122714	0.117381	0.109098	0.113627	0.119591	0.125616	0.12595	0.110252	-2.06795	-2.01725	-2.09667	-2.0979	-2.14233	-2.21551	-2.17484	-2.12368	-2.07452	-2.07187	-2.20499	-1.42768	-1.47106	-1.44938	-1.51501	-1.54947	-1.54361	-1.55358	-1.50099	-1.51263	-1.43108	-1.4507	0.239864	0.229683	0.234716	0.219807	0.21236	0.213609	0.21149	0.222909	0.220329	0.239051	0.234407
110	-1551.66	-1573.51	21.8456	0.110532	0.104028	0.103394	0.101631	0.0927047	0.0832533	0.0849207	0.0887066	0.100086	0.0946415	0.0945787	-2.20245	-2.2631	-2.26921	-2.28641	-2.37834	-2.48587	-2.46604	-2.42242	-2.30173	-2.35766	-2.35832	-1.42881	-1.55567	-1.593	-1.56591	-1.59753	-1.59469	-1.59505	-1.6154	-1.55307	-1.48752	-1.46611	0.239595	0.211048	0.203314	0.208898	0.202396	0.202972	0.202898	0.198811	0.211598	0.225931	0.230821
120	-1546.5	-1570.66	24.1659	0.141976	0.155906	0.161303	0.159748	0.151076	0.138756	0.153519	0.153945	0.145535	0.143417	0.140581	-1.95209	-1.8585	-1.82447	-1.83416	-1.88997	-1.97504	-1.87393	-1.87116	-1.92734	-1.942	-1.96197	-1.42863	-1.465	-1.46713	-1.58025	-1.61032	-1.62485	-1.62723	-1.60838	-1.53951	-1.56618	-1.59563	0.239637	0.231079	0.230586	0.205923	0.199824	0.196941	0.196474	0.200212	0.214487	0.208841	0.20278
130	-1546.47	-1568.35	21.8782	0.158321	0.166527	0.161966	0.15172	0.140285	0.145835	0.131787	0.13162	0.127485	0.135094	0.131167	-1.84313	-1.7926	-1.82037	-1.88572	-1.96408	-1.92528	-2.02657	-2.02784	-2.05976	-2.00179	-2.03129	-1.30184	-1.32659	-1.41175	-1.53029	-1.59146	-1.60263	-1.592	-1.63145	-1.5879	-1.52405	-1.4352	0.27203	0.265382	0.243715	0.216473	0.203627	0.201366	0.203518	0.195646	0.204354	0.217828	0.238068
140	-1545.34	-1569.73	24.3956	0.232982	0.248649	0.247371	0.252912	0.233954	0.231103	0.223118	0.229581	0.232736	0.245517	0.221333	-1.45679	-1.39171	-1.39687	-1.37471	-1.45263	-1.46489	-1.50005	-1.4715	-1.45785	-1.40439	-1.50809	-1.12025	-1.10012	-1.11803	-1.12248	-1.25284	-1.21057	-1.24681	-1.21106	-1.28641	-1.29393	-1.28889	0.326199	0.332832	0.326922	0.325473	0.285693	0.298027	0.28742	0.297881	0.27626	0.27419	0.275575
150	-1549.24	-1570.44	21.198	0.214049	0.216007	0.2361	0.206323	0.21601	0.215182	0.213568	0.220826	0.235625	0.221005	0.230749	-1.54155	-1.53245	-1.4435	-1.57831	-1.53243	-1.53627	-1.5438	-1.51038	-1.44551	-1.50957	-1.46643	-1.2175	-1.21398	-1.26516	-1.25521	-1.23148	-1.29156	-1.39659	-1.44552	-1.5353	-1.57363	-1.48834	0.295969	0.297013	0.282193	0.285015	0.291859	0.274842	0.24744	0.235624	0.215392	0.207292	0.225746
160	-1548.59	-1569.94	21.3488	0.119447	0.130119	0.127953	0.123804	0.127036	0.129803	0.136103	0.13564	0.138696	0.133933	0.146411	-2.12488	-2.03931	-2.05609	-2.08905	-2.06329	-2.04174	-1.99434	-1.99775	-1.97547	-2.01041	-1.92134	-1.45385	-1.41975	-1.52241	-1.52614	-1.48157	-1.58978	-1.68495	-1.71347	-1.7996	-1.83016	-1.93196	0.233669	0.241775	0.218185	0.217374	0.227281	0.203971	0.185454	0.18024	0.165366	0.160388	0.144864
170	-1545.76	-1567.35	21.5905	0.137566	0.157751	0.163964	0.163045	0.156604	0.154833	0.167947	0.181088	0.188388	0.189499	0.199298	-1.98365	-1.84674	-1.80811	-1.81373	-1.85403	-1.86541	-1.78411	-1.70877	-1.66925	-1.66337	-1.61295	-1.27246	-1.34535	-1.39682	-1.45155	-1.49806	-1.52855	-1.65016	-1.67951	-1.6715	-1.66832	-1.59192	0.280142	0.260449	0.247382	0.234208	0.223564	0.216851	0.192019	0.186465	0.187965	0.188563	0.203535
180	-1549.94	-1569.2	19.2561	0.180854	0.165904	0.179833	0.178375	0.172589	0.173356	0.18084	0.186591	0.209375	0.211412	0.199922	-1.71007	-1.79635	-1.71573	-1.72387	-1.75684	-1.75241	-1.71014	-1.67884	-1.56363	-1.55395	-1.60983	-1.18529	-1.2002	-1.25195	-1.35329	-1.38422	-1.55405	-1.57813	-1.60955	-1.62331	-1.55221	-1.62976	0.305656	0.301134	0.285946	0.258389	0.25052	0.21139	0.206361	0.199977	0.197246	0.211779	0.195976
190	-1544.48	-1569.88	25.4019	0.225559	0.228733	0.22666	0.219976	0.211471	0.218445	0.229726	0.236339	0.235883	0.240578	0.263976	-1.48917	-1.4752	-1.48431	-1.51424	-1.55367	-1.52122	-1.47087	-1.44249	-1.44442	-1.42471	-1.3319	-1.0945	-1.16086	-1.22458	-1.25667	-1.25692	-1.32835	-1.39789	-1.46325	-1.49941	-1.42907	-1.38823	0.334706	0.313217	0.293882	0.2846	0.28453	0.264914	0.247117	0.231482	0.223261	0.239531	0.249517
