Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
410	-1548.79	-1571.64	22.8483	0.255428	0.259237	0.25451	0.254525	0.257098	0.260241	0.289424	0.318303	0.317883	0.296689	0.308004
420	-1547.27	-1568.86	21.5882	0.289323	0.25895	0.269237	0.265854	0.285617	0.26108	0.273769	0.258883	0.245142	0.223521	0.22877
430	-1546.74	-1569.26	22.5182	0.30375	0.299525	0.302061	0.303732	0.278301	0.24189	0.238195	0.22679	0.215972	0.213552	0.23012
440	-1545.82	-1570.14	24.3235	0.246759	0.241307	0.255081	0.267999	0.253301	0.231375	0.226644	0.242061	0.244736	0.252339	0.276562
450	-1546.36	-1568.37	22.0064	0.316912	0.320596	0.311127	0.303415	0.32982	0.318277	0.314941	0.310647	0.307693	0.304751	0.287914
460	-1542.79	-1569.32	26.5341	0.313704	0.321138	0.3004	0.29312	0.303074	0.294423	0.311666	0.311323	0.285955	0.306324	0.303567
470	-1546.72	-1567.59	20.8771	0.289384	0.258529	0.256152	0.239904	0.234011	0.231792	0.218353	0.209363	0.215299	0.197942	0.219418
480	-1544.01	-1567.83	23.8215	0.257964	0.22132	0.212496	0.213838	0.203094	0.198773	0.18294	0.190211	0.184591	0.189664	0.190696
490	-1543.87	-1568.58	24.7034	0.273749	0.254526	0.236716	0.23468	0.230414	0.228719	0.223261	0.249164	0.234332	0.232795	0.214547
500	-1543.1	-1567.89	24.7969	0.257937	0.240106	0.23338	0.212097	0.211992	0.207111	0.200353	0.194519	0.194222	0.206239	0.190614
510	-1548.15	-1568.29	20.1408	0.252773	0.216232	0.202129	0.198927	0.187996	0.192546	0.201237	0.195174	0.18997	0.180523	0.194822
520	-1544.36	-1568.64	24.2767	0.28645	0.27918	0.275425	0.24128	0.221409	0.217846	0.214683	0.214134	0.213011	0.203294	0.196101
530	-1549.71	-1568.08	18.363	0.27826	0.291927	0.268205	0.251024	0.224932	0.222283	0.239616	0.219075	0.207041	0.228026	0.215814
540	-1549.27	-1569.04	19.7645	0.217632	0.218783	0.212323	0.178863	0.156876	0.151672	0.153356	0.138782	0.137521	0.138967	0.132303
550	-1549.08	-1570.41	21.3321	0.211486	0.206718	0.183761	0.16604	0.175821	0.172507	0.157878	0.1624	0.162653	0.158254	0.158623
560	-1544.93	-1567.35	22.4181	0.287404	0.305838	0.276575	0.254874	0.222547	0.20566	0.210139	0.210906	0.224877	0.227291	0.218831
570	-1553.12	-1570.6	17.475	0.351629	0.333149	0.288648	0.28421	0.285828	0.26939	0.233168	0.249013	0.256653	0.247523	0.275221
580	-1545.16	-1568.91	23.7504	0.293848	0.300799	0.267359	0.258059	0.248065	0.217618	0.226392	0.212164	0.212628	0.216974	0.207859
590	-1542.15	-1567.19	25.0358	0.298269	0.293793	0.26745	0.268518	0.250202	0.246202	0.240739	0.232869	0.226415	0.234833	0.25441
600	-1543.04	-1567.69	24.6523	0.284923	0.269303	0.24862	0.21699	0.218999	0.218059	0.201161	0.198892	0.212745	0.212856	0.204284
610	-1551.04	-1573.12	22.0771	0.253728	0.23857	0.244642	0.229145	0.234924	0.223935	0.223564	0.217846	0.231927	0.235125	0.25289
620	-1550.64	-1568.77	18.1333	0.248365	0.245983	0.218212	0.213437	0.214968	0.221169	0.216317	0.237083	0.237103	0.222498	0.248755
630	-1546.32	-1566.57	20.2488	0.275991	0.261599	0.23669	0.212086	0.196324	0.199732	0.205358	0.207045	0.190389	0.20484	0.20574
640	-1544.54	-1566.83	22.292	0.267928	0.255436	0.233435	0.212602	0.217449	0.197513	0.197497	0.200317	0.205806	0.198027	0.194425
650	-1546.79	-1571.84	25.0471	0.294465	0.271482	0.291009	0.288592	0.280112	0.284541	0.255292	0.271829	0.271377	0.241904	0.256355
660	-1548.89	-1571.6	22.7065	0.215031	0.188249	0.192826	0.183334	0.165621	0.159259	0.159401	0.169664	0.174274	0.174026	0.174912
670	-1552.94	-1569.55	16.6103	0.281932	0.279002	0.264165	0.272694	0.274207	0.239104	0.207203	0.209203	0.217556	0.205063	0.219096
680	-1540.26	-1568.52	28.2657	0.285983	0.288509	0.269434	0.266813	0.259145	0.252393	0.242831	0.230271	0.231594	0.232073	0.220991
690	-1544.67	-1568.52	23.8475	0.274854	0.281216	0.265581	0.258084	0.254887	0.217781	0.225964	0.23187	0.248193	0.247413	0.238507
700	-1548.07	-1572.93	24.8589	0.33856	0.365059	0.374765	0.366329	0.374337	0.36205	0.351821	0.336572	0.323577	0.318603	0.32275
710	-1552.29	-1569.91	17.6195	0.230369	0.231745	0.227477	0.231654	0.210962	0.213843	0.215761	0.225019	0.235833	0.234486	0.225268
720	-1548.71	-1567.17	18.4648	0.246966	0.230208	0.209667	0.199749	0.186056	0.181901	0.200113	0.206913	0.203331	0.20197	0.221378
730	-1548.99	-1569.11	20.1142	0.32002	0.31987	0.295065	0.281388	0.272534	0.321499	0.315793	0.313005	0.298017	0.301184	0.301566
740	-1546.08	-1570.62	24.5447	0.287436	0.260252	0.238656	0.234747	0.234929	0.238352	0.250016	0.247607	0.272161	0.28502	0.27061
750	-1549.1	-1569.29	20.1927	0.25074	0.232559	0.224637	0.202351	0.216399	0.231005	0.228666	0.251347	0.26148	0.245406	0.23907
760	-1546.04	-1569.98	23.9405	0.300292	0.328508	0.303505	0.298728	0.295384	0.274997	0.282935	0.292461	0.295824	0.299544	0.293808
770	-1548.05	-1568.57	20.516	0.306465	0.29147	0.295852	0.268626	0.25796	0.272557	0.258089	0.248126	0.241018	0.246971	0.286809
780	-1547.91	-1568.25	20.3412	0.25114	0.243584	0.215657	0.186283	0.179819	0.191709	0.193529	0.18415	0.171989	0.182397	0.187871
790	-1546.81	-1569.06	22.2532	0.260456	0.246202	0.255939	0.229202	0.21576	0.204978	0.22384	0.218301	0.229351	0.236892	0.235435
800	-1549.93	-1571.36	21.4289	0.364164	0.361232	0.31148	0.294795	0.302527	0.28032	0.30182	0.333365	0.349252	0.354027	0.37693
810	-1547.36	-1568.27	20.9026	0.260387	0.259877	0.239204	0.221727	0.224211	0.220743	0.190539	0.214562	0.216348	0.208122	0.208877
820	-1542.75	-1567.77	25.0226	0.30002	0.29897	0.269902	0.25204	0.231874	0.235341	0.237192	0.233325	0.237618	0.232901	0.236494
830	-1551.77	-1567.58	15.8174	0.283082	0.286425	0.244232	0.247194	0.239943	0.202793	0.205198	0.203405	0.222197	0.216201	0.241084
840	-1551.71	-1570.53	18.8236	0.302095	0.30027	0.269651	0.241808	0.209248	0.221673	0.212297	0.224774	0.21011	0.193637	0.192988
850	-1544.69	-1570.26	25.5689	0.296776	0.284477	0.284887	0.268171	0.284207	0.258398	0.271847	0.272977	0.244417	0.237083	0.233728
860	-1545.93	-1569.95	24.0223	0.309001	0.306375	0.29878	0.299634	0.285037	0.265427	0.251808	0.259158	0.269741	0.24468	0.270868
870	-1560.61	-1567.77	7.16535	0.235529	0.239374	0.20185	0.184173	0.173792	0.128771	0.127054	0.127637	0.123421	0.129895	0.12112
880	-1552.95	-1569.69	16.7368	0.290963	0.273416	0.256963	0.243501	0.261881	0.235068	0.214613	0.21021	0.187426	0.186606	0.188437
890	-1544.62	-1568.15	23.5268	0.285425	0.278617	0.252684	0.222678	0.213216	0.209105	0.220276	0.200314	0.193087	0.190637	0.175788
900	-1545.25	-1567.15	21.9072	0.28688	0.266202	0.244959	0.238805	0.226088	0.220878	0.205343	0.195356	0.193686	0.179933	0.185098
910	-1547.78	-1568.45	20.6681	0.249739	0.224984	0.210374	0.193547	0.185748	0.177748	0.170004	0.173979	0.168605	0.175458	0.176104
920	-1546.05	-1568.19	22.1415	0.284875	0.286615	0.254734	0.251808	0.23775	0.222075	0.230501	0.213651	0.22526	0.256689	0.254391
930	-1548.03	-1571.87	23.8349	0.246893	0.244645	0.261348	0.250137	0.242133	0.232466	0.229939	0.235972	0.2641	0.283706	0.268779
940	-1549.98	-1570.7	20.7225	0.307326	0.286997	0.285121	0.277553	0.289299	0.268062	0.304437	0.332231	0.362917	0.354857	0.343705
950	-1547.67	-1568.12	20.4498	0.321833	0.31232	0.313113	0.292665	0.286282	0.261146	0.253041	0.275942	0.276751	0.296128	0.320155
960	-1545.78	-1567.7	21.9193	0.248756	0.240418	0.221996	0.211048	0.204124	0.17972	0.195121	0.203557	0.203666	0.195929	0.197361
970	-1546.95	-1567.75	20.8084	0.242094	0.223062	0.216421	0.195143	0.172102	0.159808	0.159218	0.160784	0.160175	0.177012	0.194492
980	-1544.75	-1568.05	23.3047	0.276929	0.265768	0.243741	0.227694	0.199286	0.203315	0.200421	0.213429	0.213509	0.21031	0.208885
