Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
0	-2063.29	-2087.17	23.8848	0.117794	0.111131	0.117143	0.118099	0.125561	0.126099	0.138226	0.132488	0.139157	0.140959	0.136741	-2.13882	-2.19705	-2.14436	-2.13623	-2.07496	-2.07069	-1.97886	-2.02127	-1.97215	-1.95929	-1.98966	-3.99148	-3.9795	-4.03579	-3.95783	-3.92858	-4.00437	-3.95028	-3.91045	-3.88824	-4.00241	-4.0239	0.0184724	0.0186949	0.0176717	0.0191046	0.0196715	0.0182358	0.0192492	0.0200315	0.0204815	0.0182715	0.0178831
10	-1544.88	-1569.3	24.415	0.12579	0.131254	0.134711	0.144424	0.144307	0.135087	0.132338	0.136201	0.137512	0.138553	0.147662	-2.07314	-2.03062	-2.00463	-1.935	-1.93581	-2.00184	-2.0224	-1.99363	-1.98404	-1.97651	-1.91283	-1.37365	-1.41401	-1.49562	-1.50001	-1.51306	-1.58685	-1.48831	-1.49039	-1.46882	-1.57238	-1.52147	0.25318	0.243167	0.22411	0.223129	0.220235	0.204569	0.225754	0.225286	0.230197	0.20755	0.21839
20	-1547.6	-1569.8	22.2048	0.0785285	0.0791221	0.0844349	0.0896644	0.101106	0.100822	0.104615	0.104985	0.103907	0.0969918	0.0948438	-2.54429	-2.53676	-2.47177	-2.41168	-2.29158	-2.2944	-2.25747	-2.25394	-2.26426	-2.33313	-2.35552	-1.46961	-1.492	-1.55007	-1.69607	-1.74538	-1.78263	-1.76666	-1.70068	-1.71283	-1.70397	-1.78721	0.230016	0.224922	0.212233	0.183404	0.174578	0.168196	0.170903	0.18256	0.180355	0.181959	0.167427
30	-1551.31	-1569.24	17.9269	0.100152	0.0989463	0.106587	0.118757	0.122839	0.135274	0.133492	0.139453	0.138914	0.148775	0.131069	-2.30106	-2.31318	-2.2388	-2.13068	-2.09688	-2.00045	-2.01372	-1.97002	-1.9739	-1.90532	-2.03203	-1.44124	-1.45111	-1.48107	-1.52239	-1.68237	-1.66088	-1.64807	-1.56981	-1.66019	-1.70672	-1.64931	0.236633	0.234309	0.227395	0.218189	0.185933	0.189972	0.192421	0.208084	0.190103	0.181461	0.192182
40	-1555.32	-1572.21	16.8953	0.130384	0.137644	0.143036	0.144706	0.15026	0.154608	0.158512	0.160008	0.162064	0.155894	0.148911	-2.03727	-1.98309	-1.94466	-1.93305	-1.89539	-1.86686	-1.84193	-1.83253	-1.81977	-1.85858	-1.90441	-1.51784	-1.47461	-1.6048	-1.68749	-1.75427	-1.64187	-1.75205	-1.57038	-1.58788	-1.65881	-1.7032	0.219184	0.228868	0.20093	0.184984	0.173033	0.193617	0.173419	0.207967	0.204359	0.190366	0.1821
50	-1548.48	-1567.97	19.4907	0.171459	0.201616	0.212471	0.212511	0.230692	0.243049	0.231272	0.25796	0.255184	0.234561	0.247771	-1.76341	-1.60139	-1.54895	-1.54876	-1.46667	-1.41449	-1.46416	-1.35495	-1.36577	-1.45004	-1.39525	-1.30017	-1.2342	-1.34768	-1.39539	-1.34447	-1.38311	-1.36939	-1.33915	-1.35886	-1.36453	-1.38347	0.272486	0.291069	0.259843	0.247736	0.260678	0.250798	0.254263	0.262068	0.256955	0.255502	0.250708
60	-1546.85	-1569.57	22.7191	0.218688	0.211662	0.223401	0.231404	0.242426	0.243079	0.277344	0.276894	0.253587	0.273198	0.272683	-1.52011	-1.55277	-1.49879	-1.46359	-1.41706	-1.41437	-1.2825	-1.28412	-1.37205	-1.29756	-1.29944	-1.12851	-1.1005	-1.13764	-1.20467	-1.23242	-1.30834	-1.28128	-1.33055	-1.32097	-1.39031	-1.30694	0.323516	0.332704	0.320573	0.299791	0.291585	0.270269	0.277681	0.264331	0.266878	0.248997	0.270648
70	-1547.6	-1568.26	20.6607	0.205045	0.209191	0.238467	0.237097	0.218246	0.23494	0.227499	0.21845	0.202162	0.210616	0.213421	-1.58453	-1.56451	-1.43352	-1.43928	-1.52213	-1.44843	-1.48061	-1.5212	-1.59869	-1.55772	-1.54449	-1.15032	-1.08784	-1.20086	-1.28326	-1.2969	-1.34519	-1.39531	-1.33509	-1.30817	-1.25628	-1.32343	0.316536	0.336942	0.300936	0.277132	0.273377	0.260489	0.247757	0.263135	0.270315	0.284713	0.26622
80	-1555.81	-1570.69	14.8818	0.180843	0.197075	0.203271	0.211049	0.222616	0.243324	0.251068	0.237664	0.241664	0.195098	0.18559	-1.71012	-1.62417	-1.59321	-1.55566	-1.5023	-1.41336	-1.38203	-1.4369	-1.42021	-1.63425	-1.68422	-1.16156	-1.24558	-1.12078	-1.17545	-1.24012	-1.19218	-1.19475	-1.14635	-1.17178	-1.25069	-1.17369	0.312998	0.287773	0.326025	0.308679	0.289349	0.30356	0.30278	0.317795	0.309816	0.286308	0.309225
90	-1552.31	-1568.61	16.2969	0.207337	0.203566	0.231791	0.225818	0.261045	0.266327	0.250759	0.244567	0.23499	0.228875	0.213402	-1.57341	-1.59176	-1.46192	-1.48803	-1.34306	-1.32303	-1.38326	-1.40827	-1.44821	-1.47458	-1.54458	-1.11367	-1.13741	-1.19956	-1.21539	-1.2587	-1.35334	-1.33121	-1.30585	-1.32699	-1.39939	-1.20568	0.328353	0.320649	0.301327	0.296593	0.284022	0.258377	0.264157	0.270941	0.265274	0.246749	0.29949
100	-1545.11	-1568.5	23.3911	0.189421	0.188707	0.182466	0.186212	0.202271	0.205654	0.186671	0.185512	0.180524	0.178699	0.179456	-1.66378	-1.66756	-1.70119	-1.68087	-1.59815	-1.58156	-1.67841	-1.68464	-1.71189	-1.72205	-1.71783	-1.22209	-1.30038	-1.30768	-1.33529	-1.37321	-1.45521	-1.5311	-1.50532	-1.64332	-1.60741	-1.57898	0.294614	0.272428	0.270447	0.263083	0.253293	0.233351	0.216297	0.221945	0.193336	0.200407	0.206186
