Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
740	-1569.61	-1571.89	2.27953	0.2883497	0.2049005	0.08344921	0.2049005
750	-1571.22	-1573.65	2.43885	0.2520278	0.1436176	0.1084102	0.1436176
760	-1571.37	-1573.15	1.77591	0.3641375	0.2938398	0.07029766	0.2938398
770	-1570.45	-1572.83	2.38722	0.2632266	0.1624275	0.1007991	0.1624275
780	-1570.14	-1572.33	2.18846	0.2891999	0.1927521	0.09644776	0.1927521
790	-1572.58	-1575.21	2.63769	0.2484213	0.1868954	0.06152585	0.1868954
800	-1570.07	-1572.56	2.49379	0.2657219	0.1879924	0.0777295	0.1879924
810	-1569.91	-1572.07	2.15919	0.2974564	0.2064924	0.09096401	0.2064924
820	-1569.88	-1572.16	2.2775	0.2818293	0.1890412	0.09278809	0.1890412
830	-1570.41	-1572.74	2.33011	0.287057	0.2226834	0.06437354	0.2226834
840	-1572.2	-1574.27	2.06287	0.2856308	0.1701677	0.1154631	0.1701677
850	-1570.78	-1572.82	2.04265	0.3026125	0.2019194	0.100693	0.2019194
860	-1569.6	-1571.86	2.26873	0.2917426	0.2117688	0.07997377	0.2117688
870	-1570.88	-1573.23	2.35297	0.2827634	0.2217456	0.0610178	0.2217456
880	-1570.57	-1572.48	1.904	0.3438776	0.2702585	0.07361906	0.2702585
890	-1570.34	-1572.3	1.95951	0.3366543	0.2647084	0.07194592	0.2647084
900	-1573.1	-1574.71	1.61349	0.364783	0.2690168	0.09576625	0.2690168
910	-1571.98	-1574.73	2.74932	0.2257825	0.1234288	0.1023537	0.1234288
920	-1569.87	-1572.26	2.39062	0.2703955	0.1797045	0.09069099	0.1797045
930	-1569.84	-1572.02	2.17292	0.2966151	0.2066602	0.08995486	0.2066602
940	-1570.37	-1572.31	1.9387	0.3365878	0.2587838	0.07780398	0.2587838
950	-1571.36	-1573.97	2.61795	0.2375543	0.1338743	0.1036799	0.1338743
960	-1571.44	-1573.2	1.76	0.3626051	0.2851706	0.07743446	0.2851706
970	-1569.92	-1572.38	2.46532	0.2649807	0.1790049	0.08597586	0.1790049
980	-1570.63	-1572.96	2.32502	0.267536	0.1637503	0.1037857	0.1637503
990	-1570.54	-1572.47	1.92347	0.3324615	0.2467212	0.0857403	0.2467212
1000	-1570.59	-1572.96	2.37194	0.2632538	0.1604017	0.1028521	0.1604017
