Iteration	Posterior	Likelihood	Prior	num_events
0	-1957.953	-1961.156	3.202907	2
1	-1669.065	-1678.049	8.983791	8
2	-1596.486	-1612.336	15.84989	10
3	-1579.222	-1594.869	15.64788	6
4	-1575.009	-1587.668	12.65883	6
5	-1567.222	-1580.875	13.65312	6
6	-1559.306	-1574.381	15.07468	7
7	-1562.524	-1575.011	12.48675	6
8	-1562.421	-1575.506	13.08516	6
9	-1559.946	-1570.693	10.74722	7
10	-1562.187	-1566.325	4.137862	7
11	-1558.724	-1565.182	6.457901	6
12	-1558.764	-1568.272	9.508044	7
13	-1561.182	-1568.023	6.841056	6
14	-1555.959	-1565.393	9.433979	7
15	-1554.747	-1564.325	9.577872	7
16	-1555.505	-1565.781	10.27601	7
17	-1554.119	-1565.72	11.60085	7
18	-1553.676	-1565.272	11.59626	7
19	-1557.002	-1567.403	10.40022	7
20	-1559.348	-1566.594	7.246231	7
21	-1562.1	-1566.066	3.966896	6
22	-1566.528	-1566.018	-0.5101753	6
23	-1570.134	-1566.208	-3.92618	6
24	-1570.618	-1565.476	-5.141773	7
25	-1569.113	-1565.303	-3.809961	6
26	-1573.274	-1567.844	-5.430402	6
27	-1571.621	-1568.36	-3.261027	7
28	-1565.441	-1568.436	2.994314	5
29	-1561.499	-1568.561	7.062601	4
30	-1560.465	-1565.693	5.227136	4
31	-1562.333	-1564.843	2.510491	4
32	-1563.174	-1565.203	2.028463	4
33	-1562.494	-1566.732	4.237874	5
34	-1556.484	-1567.774	11.29007	3
35	-1559.247	-1571.354	12.10646	3
36	-1558.844	-1568.079	9.23425	3
37	-1558.429	-1570.216	11.78723	3
38	-1554.575	-1567.501	12.92613	3
39	-1557.329	-1569.788	12.4585	3
40	-1560.961	-1572.59	11.62925	3
41	-1561.211	-1572.686	11.47446	3
42	-1563.702	-1573.201	9.49871	3
43	-1562.964	-1572.071	9.107423	3
44	-1564.65	-1573.967	9.316697	3
45	-1567.789	-1574.025	6.235946	4
46	-1572.881	-1570.917	-1.96358	3
47	-1573.283	-1571.645	-1.638157	3
48	-1573.179	-1573.635	0.4566717	3
49	-1570.338	-1571.467	1.128873	3
50	-1568.116	-1570.002	1.886567	4
51	-1565.913	-1568.677	2.764054	4
52	-1564.109	-1568.388	4.278926	3
53	-1566.971	-1570.027	3.055815	3
54	-1566.987	-1570.498	3.510828	3
55	-1567.52	-1571.664	4.143809	3
56	-1566.673	-1571.69	5.017634	3
57	-1562.375	-1568.058	5.683242	3
58	-1564.521	-1569.893	5.372245	3
59	-1563.663	-1567.503	3.840115	3
60	-1564.534	-1568.548	4.013801	3
61	-1564.508	-1567.558	3.049848	3
62	-1565.69	-1568.607	2.916798	3
63	-1566.769	-1565.558	-1.21091	4
64	-1565.11	-1565.024	-0.08590687	3
65	-1557.72	-1565.898	8.177285	3
66	-1557.444	-1565.599	8.155703	3
67	-1557.895	-1565.181	7.285371	3
68	-1554.666	-1565.081	10.41525	3
69	-1552.348	-1563.413	11.06446	3
70	-1554.474	-1562.295	7.821071	3
71	-1553.713	-1562.669	8.956053	3
72	-1555.986	-1563.636	7.649773	3
73	-1556.522	-1562.7	6.178077	3
74	-1562.939	-1567.508	4.569334	3
75	-1560.781	-1565.294	4.512914	3
76	-1562.493	-1566.773	4.280733	3
77	-1563.48	-1566.55	3.070291	3
78	-1559.134	-1563.617	4.48298	3
79	-1561.542	-1564.242	2.700452	3
80	-1560.307	-1565.05	4.742424	3
81	-1562.148	-1564.651	2.503324	3
82	-1563.618	-1564.772	1.15351	4
83	-1561.44	-1563.699	2.258463	3
84	-1564.888	-1564.906	0.01783641	3
