Iteration	Posterior	Likelihood	Prior	num_events
0	-3315.222	-3310.995	-4.227144	2
1	-1629.111	-1618.959	-10.15141	3
2	-1582.265	-1573.402	-8.863892	4
3	-1581.629	-1570.204	-11.42482	3
4	-1580.275	-1567.716	-12.5586	3
5	-1577.123	-1565.876	-11.24671	3
6	-1577.745	-1572.116	-5.628429	2
7	-1579.515	-1575.19	-4.325413	2
8	-1579.998	-1576.156	-3.842398	2
9	-1577.851	-1574.025	-3.825902	2
10	-1574.026	-1569.97	-4.055755	2
11	-1576.926	-1571.233	-5.693148	2
12	-1579.027	-1571.606	-7.420713	2
13	-1580.579	-1571.359	-9.220199	2
14	-1583.099	-1569.966	-13.13291	4
15	-1581.473	-1568.233	-13.24039	3
16	-1581.597	-1569.74	-11.85711	3
17	-1585.576	-1572.709	-12.8666	3
18	-1586.665	-1573.509	-13.15641	3
19	-1585.904	-1572.643	-13.26154	3
20	-1582.152	-1570.623	-11.52937	3
21	-1584.016	-1570.338	-13.67736	3
22	-1584.958	-1570.389	-14.56869	3
23	-1584.843	-1571.315	-13.52812	3
24	-1585.294	-1570.887	-14.4069	3
25	-1582.054	-1570.267	-11.78709	3
26	-1582.286	-1569.626	-12.66001	3
27	-1579.522	-1568.49	-11.03146	3
28	-1578.816	-1567.778	-11.03808	3
29	-1578.447	-1568.106	-10.34111	3
30	-1576.5	-1566.881	-9.618864	3
31	-1573.758	-1565.281	-8.47759	3
32	-1576.141	-1566.538	-9.603468	3
33	-1575.131	-1566.052	-9.079706	3
34	-1580.824	-1570.965	-9.859177	2
35	-1572.171	-1569.211	-2.960318	2
36	-1570.806	-1568.704	-2.101652	2
37	-1572.601	-1569.741	-2.860756	2
38	-1570.699	-1570.23	-0.4695006	2
39	-1565.222	-1567.865	2.643455	3
40	-1569.964	-1569.338	-0.6254135	2
41	-1570.262	-1570.356	0.09383514	2
42	-1569.265	-1570.054	0.7887962	2
43	-1571.082	-1569.393	-1.689197	2
44	-1578.19	-1574.205	-3.984338	2
45	-1574.093	-1569.166	-4.927142	2
46	-1572.576	-1568.775	-3.801646	2
47	-1573.294	-1570.217	-3.077496	2
48	-1571.025	-1569.108	-1.917567	2
49	-1570.851	-1567.875	-2.975833	2
50	-1571.135	-1568.643	-2.492317	2
51	-1571.269	-1568.306	-2.963114	2
52	-1570.807	-1568.787	-2.01963	2
53	-1572.785	-1569.309	-3.475852	2
54	-1577.855	-1572.112	-5.743092	2
55	-1575.659	-1571.971	-3.687879	2
56	-1576.431	-1570.001	-6.43015	2
57	-1577.556	-1569.682	-7.873744	2
58	-1580.229	-1572.208	-8.020596	2
59	-1580.46	-1571.132	-9.328097	2
60	-1579.286	-1569.146	-10.13985	3
61	-1580.421	-1569.785	-10.63601	3
62	-1578.445	-1570.395	-8.050298	1
63	-1576.873	-1569.719	-7.153368	1
64	-1576.151	-1572.801	-3.350085	0
65	-1573.185	-1570.111	-3.073899	0
66	-1573.342	-1570.232	-3.109956	0
67	-1573.342	-1570.232	-3.109956	0
68	-1573.342	-1570.232	-3.109956	0
69	-1573.516	-1570.329	-3.187354	0
70	-1574.744	-1571.623	-3.120845	0
71	-1575.012	-1571.871	-3.140833	0
72	-1575.012	-1571.871	-3.140833	0
73	-1575.012	-1571.871	-3.140833	0
74	-1575.012	-1571.871	-3.140833	0
75	-1574.898	-1571.41	-3.488122	0
76	-1574.915	-1571.414	-3.500846	0
77	-1574.915	-1571.414	-3.500846	0
78	-1574.915	-1571.414	-3.500846	0
79	-1574.915	-1571.414	-3.500846	0
80	-1573.86	-1570.832	-3.027911	0
81	-1574.157	-1571.18	-2.977451	0
82	-1574.157	-1571.18	-2.977451	0
83	-1574.157	-1571.18	-2.977451	0
84	-1574.122	-1571.145	-2.977451	0
85	-1574.039	-1570.82	-3.218404	0
86	-1574.039	-1570.82	-3.218404	0
87	-1574.039	-1570.82	-3.218404	0
88	-1574.039	-1570.82	-3.218404	0
89	-1573.606	-1570.515	-3.091705	0
90	-1572.308	-1569.708	-2.600766	1
91	-1565.988	-1565.117	-0.8715453	1
92	-1569.437	-1568.827	-0.6098575	1
93	-1566.617	-1565.894	-0.7237392	1
94	-1568.535	-1569.087	0.5522119	1
95	-1567.042	-1567.425	0.3825731	1
96	-1566.666	-1568.835	2.169343	1
97	-1567.226	-1570.616	3.390211	1
98	-1565.935	-1568.601	2.666587	1
99	-1565.033	-1567.569	2.535386	1
100	-1566.658	-1569.276	2.6186	1
101	-1567.255	-1569.46	2.205106	1
102	-1568.145	-1569.55	1.405721	1
103	-1564.725	-1569.624	4.899387	1
104	-1564.438	-1567.728	3.290405	2
105	-1565.248	-1568.859	3.610736	2
106	-1566.272	-1569.668	3.39534	1
107	-1563.55	-1567.519	3.968097	1
108	-1565.265	-1569.697	4.431514	2
109	-1563.188	-1567.838	4.650217	1
110	-1565.955	-1570.409	4.454806	1
111	-1564.164	-1568.17	4.005911	1
112	-1563.327	-1568.234	4.907156	2
113	-1564.751	-1569.031	4.280095	1
114	-1565.958	-1568.766	2.80748	1
115	-1559.656	-1567.591	7.935586	2
116	-1565.699	-1569.072	3.373383	2
117	-1562.247	-1568.96	6.71285	1
118	-1561.605	-1568.29	6.684441	1
119	-1563.809	-1568.466	4.657148	2
120	-1561.65	-1568.021	6.371451	1
121	-1558.336	-1567.914	9.578502	1
122	-1558.602	-1567.054	8.452225	2
123	-1561.147	-1568.161	7.013741	1
124	-1562.625	-1569.694	7.068496	1
125	-1561.448	-1568.811	7.36213	1
126	-1562.258	-1569.799	7.540367	1
127	-1561.697	-1568.555	6.857606	1
128	-1563.251	-1567.886	4.634359	1
129	-1563.632	-1568.496	4.863588	1
130	-1566.44	-1568.356	1.915427	1
131	-1566.262	-1567.034	0.7713432	1
132	-1568.47	-1568.192	-0.2774726	1
133	-1567.617	-1567.26	-0.3572071	1
134	-1566.064	-1566.831	0.7667092	1
135	-1568.363	-1569.735	1.372592	1
136	-1565.966	-1567.162	1.196092	1
137	-1567.85	-1568.066	0.2158346	1
138	-1565.488	-1567.335	1.846278	1
139	-1566.615	-1569.797	3.181973	1
140	-1567.144	-1570.002	2.857779	1
141	-1564.723	-1568.286	3.563224	1
142	-1565.539	-1567.483	1.943987	1
143	-1565.747	-1567.962	2.215077	1
144	-1564.608	-1566.53	1.922076	1
145	-1566.116	-1568.61	2.494961	1
146	-1567.205	-1568.804	1.599398	1
147	-1566.211	-1569.033	2.822315	1
148	-1567.363	-1569.025	1.6618	1
