Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
0	-14645	-7936.42	-6708.56	5.64183	5.82597	0.0184616	0.0197943	0.0191689	0.0201368	0.0207711	0.0178712	0.0174577	0.0181227	0.0188258
10	-1543.23	-1567.62	24.3869	0.259068	0.254375	0.240953	0.221995	0.227285	0.214361	0.207197	0.207665	0.220346	0.224094	0.228761
20	-1544.72	-1571.09	26.3672	0.24075	0.240674	0.242364	0.230521	0.212585	0.219676	0.205098	0.198454	0.204863	0.212894	0.208851
30	-1546.7	-1570.84	24.1359	0.237677	0.221772	0.209971	0.202841	0.215553	0.21848	0.192317	0.19659	0.206984	0.212128	0.216924
40	-1548.74	-1570.26	21.5139	0.343524	0.316603	0.283105	0.286396	0.288089	0.259244	0.267099	0.244863	0.267915	0.270604	0.262107
50	-1560.1	-1570.11	10.0051	0.339631	0.357414	0.319859	0.339319	0.313259	0.289465	0.314829	0.338271	0.326515	0.365808	0.315701
60	-1548.69	-1572.67	23.9783	0.337863	0.347281	0.377333	0.368569	0.36358	0.345594	0.351459	0.365441	0.392171	0.380917	0.36546
70	-1551.75	-1572.88	21.1342	0.344581	0.354915	0.354798	0.346436	0.350675	0.377019	0.399244	0.395239	0.412687	0.346934	0.347577
80	-1545.21	-1568.24	23.0247	0.267198	0.286645	0.270215	0.266787	0.273678	0.277122	0.269198	0.297544	0.295658	0.303944	0.308243
90	-1553.97	-1575.38	21.4086	0.414022	0.370844	0.349812	0.350541	0.377252	0.377123	0.3663	0.367238	0.394501	0.42216	0.455254
100	-1548.97	-1569.09	20.112	0.325727	0.351775	0.354795	0.324117	0.361377	0.344192	0.366723	0.383729	0.384304	0.352909	0.359652
110	-1546.26	-1572.31	26.0472	0.381317	0.395625	0.382299	0.40765	0.414917	0.418136	0.408004	0.4227	0.437725	0.45786	0.474126
120	-1547.41	-1570.94	23.5333	0.364072	0.343333	0.334789	0.331818	0.312743	0.340084	0.375891	0.378027	0.385873	0.393909	0.408981
130	-1545.81	-1568.64	22.8337	0.308368	0.325493	0.303751	0.291608	0.269784	0.29229	0.29203	0.284999	0.288958	0.295289	0.277504
140	-1543.85	-1567.23	23.3777	0.291972	0.262131	0.248703	0.226115	0.223377	0.226527	0.216919	0.233644	0.24325	0.256463	0.26229
150	-1546.01	-1568.84	22.8342	0.272173	0.258982	0.23947	0.236238	0.222481	0.222662	0.233263	0.244218	0.264178	0.277607	0.281442
160	-1549.34	-1571.02	21.6747	0.23623	0.219513	0.203495	0.19649	0.188671	0.180265	0.176552	0.199411	0.211349	0.225569	0.219236
170	-1549.54	-1570.2	20.6679	0.251005	0.234511	0.218669	0.202351	0.192769	0.189588	0.193233	0.210691	0.247743	0.246454	0.24088
180	-1550.43	-1570.5	20.0687	0.255877	0.243151	0.22482	0.20078	0.189156	0.216388	0.233202	0.249396	0.250031	0.252546	0.22992
190	-1546.03	-1569.22	23.188	0.283023	0.272096	0.244348	0.236593	0.216881	0.23703	0.243882	0.23958	0.248898	0.276056	0.276985
200	-1544.37	-1569.01	24.6412	0.301597	0.276364	0.259637	0.267749	0.242681	0.245769	0.264977	0.268856	0.280528	0.296104	0.274518
210	-1547.1	-1569.37	22.2706	0.324139	0.292256	0.28936	0.260654	0.276119	0.259936	0.261871	0.253775	0.276162	0.299723	0.307667
220	-1558.44	-1572.3	13.8635	0.305867	0.322859	0.300017	0.270801	0.275686	0.290631	0.311533	0.271573	0.286845	0.291586	0.269308
230	-1550.91	-1568.66	17.7534	0.260094	0.265063	0.269358	0.246623	0.226815	0.214287	0.225932	0.226473	0.22029	0.234777	0.231429
240	-1548.67	-1568.89	20.2229	0.2379	0.235559	0.21131	0.198218	0.203257	0.223639	0.223315	0.204972	0.193494	0.202222	0.197742
250	-1547.31	-1569.66	22.3526	0.32995	0.289389	0.280743	0.281339	0.284877	0.275853	0.284942	0.282708	0.296861	0.296788	0.326939
260	-1555.86	-1573.09	17.2309	0.367972	0.288721	0.287107	0.289281	0.286279	0.280254	0.26689	0.261184	0.236598	0.216856	0.189301
270	-1547.68	-1568.33	20.6518	0.253774	0.246522	0.248106	0.264945	0.230469	0.233206	0.227255	0.244785	0.242145	0.248363	0.253691
280	-1549.05	-1571.69	22.6402	0.281284	0.296133	0.293947	0.262138	0.2421	0.2594	0.263084	0.250403	0.241611	0.225996	0.233236
290	-1554.6	-1566.94	12.345	0.255144	0.224381	0.195376	0.186409	0.196033	0.174344	0.159709	0.172056	0.165347	0.16593	0.174646
300	-1551.69	-1572.43	20.7427	0.253441	0.22034	0.227231	0.224522	0.25048	0.248103	0.222644	0.20624	0.207149	0.213413	0.228548
310	-1552.86	-1569.49	16.6225	0.225011	0.196812	0.181399	0.183484	0.170725	0.179672	0.171039	0.163708	0.164554	0.158168	0.162606
320	-1549.02	-1572.65	23.6302	0.230106	0.229092	0.233089	0.222082	0.219878	0.2145	0.194727	0.175163	0.172359	0.169194	0.179321
330	-1549.24	-1568.15	18.9144	0.282783	0.254397	0.236057	0.238303	0.210202	0.198116	0.192708	0.179014	0.169099	0.15552	0.157452
340	-1545.91	-1567.46	21.544	0.269927	0.268086	0.231342	0.210188	0.207535	0.183542	0.187055	0.206046	0.195102	0.209027	0.206248
350	-1550.48	-1569.25	18.7725	0.299594	0.292715	0.260884	0.269019	0.262868	0.246455	0.233982	0.227364	0.204615	0.236525	0.251647
360	-1548.16	-1571.61	23.4454	0.255873	0.259427	0.252537	0.245635	0.24601	0.239137	0.25106	0.235368	0.244638	0.250285	0.243598
370	-1545.8	-1569.57	23.7697	0.318039	0.30381	0.307332	0.274903	0.252133	0.227119	0.222793	0.21789	0.224279	0.237709	0.261115
380	-1549.59	-1568.91	19.3205	0.275904	0.28507	0.258419	0.235915	0.229524	0.235525	0.239871	0.20631	0.205386	0.210262	0.200966
390	-1553.56	-1568.34	14.7846	0.249078	0.247387	0.238812	0.219138	0.211072	0.201027	0.174844	0.18347	0.184824	0.198817	0.24123
400	-1547.68	-1568.48	20.7997	0.259192	0.232623	0.222449	0.211989	0.189947	0.204663	0.215672	0.219109	0.224192	0.213712	0.199068
410	-1547.97	-1569.03	21.0659	0.261672	0.252803	0.249924	0.229519	0.224709	0.223713	0.204637	0.215972	0.200795	0.198149	0.229351
