Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
160	-3288.3340777451880967	-3305.4249768015683912	17.090899056380536081	1.1632572456270697803	0.516533	0.0582803	0.0321662	0.114279	0.0105935	0.00660624	0.0669617	0.157888	0.0107097	0.0633323	0.0202858	0.0850908	0.017982	0.0144358	0.396592	0.00737071	0.0116628	0.563496	0.00644271	0.5736619208071388476	0.288677	0.292104	0.144059	0.275159	0.168331	0.520867	1.02254	2.28826	1.1607082481078139224
170	-3287.9833844788790884	-3305.9336629033123245	17.950278424433438573	0.88507616817345158289	0.415696	0.0452636	0.0421509	0.0889613	0.00700671	0.0319237	0.0669617	0.197718	0.0107097	0.0414629	0.0144184	0.0698129	0.0162653	0.0149893	0.459683	0.0105202	0.0139972	0.496831	0.00397989	0.49251368452053978508	0.291728	0.308878	0.143085	0.256309	0.113492	0.439258	0.978002	2.46925	1.0483517061200156029
180	-3291.2891276549198665	-3307.7477438661662745	16.45861621124634766	1.2608949545204222176	0.415696	0.0398586	0.0532941	0.0988222	0.0135305	0.0153594	0.0629938	0.260337	0.0165993	0.0461112	0.0182559	0.1484	0.0383348	0.0121087	0.371342	0.00849842	0.0300099	0.575126	0.00291497	0.54277834436204797086	0.299868	0.316246	0.126435	0.257451	0.185915	0.543229	1.03264	2.23822	1.2275940192261713957
190	-3289.0091343169988249	-3304.1262830948771807	15.117148777878361088	3.4454882675325002594	0.518132	0.0610807	0.0523337	0.130183	0.0135305	0.0105411	0.0662222	0.241054	0.0169291	0.0522416	0.0182559	0.0613959	0.0072849	0.00788218	0.503821	0.00424125	0.0168784	0.463196	0.00398154	0.59961958758643574274	0.31445	0.308748	0.134774	0.242027	0.421037	0.753549	1.08398	1.74144	1.2491851599507977078
200	-3284.9322265305918336	-3301.5089072566947834	16.576680726103059982	1.7066118647188752711	0.457324	0.0464427	0.0481697	0.0975634	0.0139733	0.0101268	0.077508	0.256401	0.0263798	0.0208461	0.0191343	0.119118	0.0197249	0.00930667	0.491346	0.0112018	0.0168219	0.465046	0.00627817	0.57883780512654459116	0.292352	0.299479	0.14436	0.263809	0.255549	0.619687	1.06056	2.06421	1.2127116570193468004
210	-3290.976634883062161	-3304.7242537478455233	13.747618864783595072	0.86708037506763224744	0.536737	0.0736207	0.0851575	0.0794913	0.0137209	0.00378098	0.0683984	0.411761	0.00627216	0.0408376	0.0271394	0.103962	0.0148785	0.0105516	0.443505	0.00549137	0.0117975	0.505839	0.0228149	0.50572900125432662666	0.293998	0.304196	0.133984	0.267821	0.109732	0.432802	0.973939	2.48353	1.4657573006511521729
220	-3289.8721110093506468	-3306.5284205610869321	16.65630955173583061	0.82517295801134804556	0.421931	0.0670981	0.0591533	0.119377	0.0144946	0.00851007	0.0642834	0.213515	0.0289377	0.0151375	0.0132883	0.129245	0.012516	0.0216779	0.551578	0.00585334	0.00361026	0.407264	0.0100161	0.49784984293113204723	0.261252	0.313227	0.148234	0.277287	0.100903	0.417075	0.963693	2.51833	1.1674871723791893086
230	-3282.9954688796701703	-3297.6399725856031182	14.644503705932569559	0.65171337595577238933	0.57493	0.0592934	0.0713939	0.079248	0.0153002	0.0182531	0.0582486	0.299391	0.000852562	0.0474332	0.0203919	0.0484906	0.0304206	0.018525	0.517937	0.00642479	0.0065396	0.446438	0.00413631	0.42778122339683816167	0.285783	0.302054	0.132799	0.279364	0.0639197	0.339828	0.905571	2.69068	1.3236471177762176854
240	-3289.6441509335086266	-3304.7349615836847079	15.090810650176011976	0.53115822409207091859	0.446086	0.0966907	0.0519759	0.0719228	0.0257047	0.000705871	0.0699939	0.278743	0.00530296	0.0474332	0.0279981	0.0739584	0.0304206	0.0160422	0.389509	0.00749265	0.00293639	0.571363	0.0126569	0.39005316159507169571	0.297157	0.314075	0.134127	0.25464	0.0392981	0.271771	0.84168	2.84725	1.226936813056665132
250	-3283.5045178475143075	-3301.1446744154864064	17.640156567972315571	2.6415952409749459129	0.442761	0.0566859	0.0574741	0.0741845	0.0228259	0.00342866	0.0461944	0.157146	0.000273848	0.0436917	0.0327125	0.103376	0.014351	0.0124135	0.480753	0.0115893	0.00187013	0.485642	0.00773208	0.57172679436308315726	0.312607	0.270927	0.144254	0.272212	0.359483	0.709532	1.08007	1.85092	1.055105376680746776
260	-3285.276129747286177	-3303.6295915037467239	18.353461756460841769	2.127698220266954543	0.373028	0.0551024	0.0519774	0.0966362	0.0177251	0.00670521	0.0552626	0.136085	0.00210255	0.056476	0.018592	0.129943	0.0164365	0.026537	0.465687	0.0105227	7.6702e-05	0.494423	0.0027537	0.53601224613863984736	0.312378	0.270729	0.144882	0.272012	0.308056	0.66794	1.07288	1.95112	1.0160721018646214908
270	-3289.8694325965175267	-3308.8465093485669968	18.977076752049502062	1.6870383508590480748	0.303554	0.0455705	0.0679448	0.102394	0.0119855	0.0165526	0.0879632	0.181847	0.00253349	0.0445308	0.0304382	0.063876	0.0140855	0.0237013	0.474582	0.00749633	0.000121871	0.485616	0.00848294	0.51530817799717942851	0.275486	0.299848	0.16817	0.256497	0.252824	0.616992	1.05975	2.07044	0.97327596767260904365
280	-3284.5170339587748458	-3302.0463801270493605	17.529346168274166473	1.2820101066482931795	0.396654	0.0568163	0.049414	0.0999184	0.0172188	0.00624952	0.0738807	0.255876	0.00692116	0.0468144	0.0304382	0.0621683	0.0186704	0.0102989	0.590355	0.00748661	0.00165495	0.386581	0.00362353	0.52509016405204522737	0.289218	0.307515	0.126075	0.277192	0.189601	0.547734	1.03457	2.2281	1.1210407325117042188
290	-3286.2848496116807837	-3300.860888827252893	14.576039215572148322	3.4165786044082944173	0.577133	0.0534725	0.0625334	0.0971173	0.0220247	0.00443167	0.0541227	0.170467	0.0118379	0.0285533	0.0312256	0.181784	0.010753	0.013093	0.534571	0.0069138	0.0101162	0.420021	0.0152855	0.62168012289341867405	0.282882	0.325222	0.137795	0.254101	0.419125	0.752263	1.08392	1.74469	1.3054566744666318279
300	-3289.8500234363245909	-3306.8901456957437404	17.040122259418833295	2.191183945805954103	0.421707	0.0475242	0.0740319	0.0826409	0.00764042	0.0209066	0.0670765	0.186325	0.0305635	0.0127873	0.0120994	0.172883	0.00762699	0.00765309	0.531864	0.0141351	0.0103748	0.430041	0.0059313	0.60181554498780631679	0.311095	0.300864	0.138944	0.249097	0.315076	0.673917	1.07411	1.9369	1.1438132656800381604
310	-3283.5406363273023089	-3301.0074764558271454	17.466840128524577125	1.5258156945809522309	0.434321	0.0388794	0.0519077	0.0828796	0.0195811	0.00732648	0.0627376	0.175946	0.0346204	0.0289955	0.0332016	0.131935	0.0255972	0.00928631	0.558482	0.00642273	0.0124897	0.40446	0.0088594	0.56062072424342823673	0.305083	0.30203	0.133261	0.259626	0.229283	0.592798	1.0519	2.12602	1.1279282756087309902
320	-3283.7910665611880177	-3301.1370971432779697	17.346030582089881023	3.868104746619865697	0.366652	0.0555111	0.0430787	0.0797266	0.0119765	0.010529	0.0619758	0.159151	0.0132773	0.0321542	0.0332016	0.111748	0.0155664	0.0100008	0.553666	0.00772092	0.0123479	0.397651	0.0186134	0.58955405519601389308	0.309407	0.27887	0.139431	0.272291	0.446967	0.770521	1.0844	1.69811	0.99454882612411810161
330	-3285.6578157737144466	-3303.8549023753121219	18.197086601597554534	1.1907352887424154098	0.406087	0.0685088	0.0543722	0.0783006	0.0155278	0.00901537	0.0671236	0.111934	0.00379676	0.0323565	0.0316923	0.157577	0.0150508	0.0148487	0.516665	0.0093496	0.00458231	0.436955	0.0175994	0.48174683228226605758	0.310229	0.293078	0.136869	0.259823	0.17337	0.527429	1.0256	2.2736	1.0513426576302933313
340	-3284.1887991327539567	-3300.0092877070874238	15.820488574333403164	0.67426084720863532773	0.453245	0.0506738	0.0824053	0.0956698	0.0236922	0.00800485	0.0516862	0.245263	0.0158447	0.0420755	0.0136182	0.116881	0.0144739	0.0155559	0.508856	0.00443126	0.000628247	0.453175	0.0173528	0.4535134570248527397	0.27336	0.327407	0.12812	0.271113	0.0687011	0.351128	0.914944	2.66523	1.2135327787033818314
350	-3283.6155264445324065	-3300.6880415804334916	17.072515135900957262	0.80383344136331624785	0.382467	0.072253	0.0719521	0.0597409	0.0204284	0.00932275	0.0546222	0.221169	0.00635077	0.0367019	0.0273171	0.138722	0.0206169	0.0116345	0.498502	0.00179848	0.00573665	0.456704	0.0256245	0.4899741845083906977	0.285487	0.303477	0.136168	0.274869	0.0963742	0.408673	0.958011	2.53694	1.121664640994493034
360	-3288.2810609048910919	-3305.4934506588274417	17.212389753936172099	0.89922290355257494809	0.43222	0.039584	0.0925227	0.0789431	0.0161015	0.00738997	0.0838973	0.196352	0.00203228	0.0330089	0.021493	0.113556	0.00716518	0.00860303	0.511702	0.00424432	0.014515	0.438533	0.0224026	0.55008957180980089241	0.290976	0.321797	0.138786	0.248441	0.116434	0.444215	0.981065	2.45829	1.1242649643165050222
370	-3287.4387317611594881	-3307.1162527126293753	19.677520951469908539	2.613499132053443752	0.203743	0.0537459	0.0550693	0.0973507	0.0178264	0.00708148	0.0445876	0.145355	0.00272613	0.0424218	0.0207243	0.129902	0.0327503	0.017484	0.477181	0.0048713	0.00532829	0.465479	0.029656	0.53999409893068672783	0.289896	0.299946	0.142767	0.26739	0.35696	0.707602	1.07981	1.85563	0.85328392857562651574
380	-3293.2963303081614868	-3314.6799000407304447	21.383569732568670219	1.4736782547908164887	0.211752	0.0706915	0.0516259	0.0764881	0.0132714	0.00376468	0.0706423	0.119867	0.00266941	0.0307662	0.0191076	0.0614851	0.00469829	0.0249037	0.464149	0.000830717	0.0129319	0.470574	0.02661	0.50688447522762070108	0.275844	0.326135	0.142186	0.255835	0.221228	0.584116	1.04884	2.14582	0.73683009408232058579
390	-3280.9541503091600134	-3298.5431792321546709	17.589028922994504711	2.7242198197664357906	0.442272	0.0491731	0.0599026	0.0883357	0.0231174	0.00706161	0.0638823	0.162316	0.0117357	0.0200194	0.0150606	0.0865358	0.0251051	0.0189978	0.554811	0.000520687	0.0087614	0.399104	0.017806	0.59822367661264963523	0.290577	0.302706	0.126587	0.28013	0.366734	0.715017	1.08077	1.83748	1.0545172084644252042
400	-3289.5364136505559145	-3309.4052621449395701	19.868848494383541947	0.98151177508301390429	0.272914	0.0470463	0.0712005	0.0544447	0.0214741	0.0053863	0.0504426	0.1706	0.0196373	0.0386952	0.0117016	0.0886886	0.016807	0.0289025	0.457322	0.00044864	0.0175315	0.491319	0.0044765	0.51869367011158395986	0.300677	0.314602	0.118324	0.266397	0.13325	0.471123	0.996868	2.39876	0.86903762848195609259
410	-3285.54044376201864	-3303.8501740093033732	18.309730247284534244	2.0480755864216613205	0.410361	0.0539168	0.0573515	0.0713212	0.016761	0.00538005	0.0383898	0.178982	0.00436414	0.0353004	0.0114518	0.122457	0.0186961	0.0250808	0.54752	0.000539716	0.015552	0.407042	0.004266	0.52436967947814450142	0.304075	0.286769	0.144536	0.264619	0.298947	0.66003	1.07115	1.96988	1.0247326234709321913
420	-3282.3413207645535294	-3301.7582367814602549	19.416916016906561993	1.812236515979224194	0.33417	0.0539168	0.0521618	0.065101	0.0161535	0.00541417	0.0439715	0.170593	0.00259202	0.0503527	0.0113705	0.104821	0.0143031	0.0093101	0.47349	0.0103432	0.00942337	0.493763	0.00367063	0.57562204653776072316	0.298515	0.280561	0.161845	0.259079	0.269782	0.633437	1.06449	2.03229	0.92492131467212368445
430	-3291.4981501257789205	-3308.3602274643335477	16.862077338554581019	1.2779005633312372492	0.483051	0.0469572	0.0607814	0.16306	0.0308433	0.00124811	0.049536	0.142455	0.00600545	0.0410769	0.0323553	0.0933916	0.036912	0.0120208	0.464433	0.0116296	0.00236727	0.506309	0.00323976	0.52872243364761950524	0.284725	0.305921	0.136428	0.272926	0.188887	0.546866	1.0342	2.23005	1.1876733740777045689
440	-3291.1863510365383263	-3307.5171210792700549	16.330770042731760583	0.49506127378517117421	0.310994	0.06371	0.0929511	0.106212	0.0121224	0.0134798	0.0695427	0.192447	0.00467947	0.0487845	0.0306744	0.11617	0.0204518	0.0119621	0.393589	0.00731646	0.0159528	0.566822	0.00435761	0.35987062455150625739	0.269745	0.291764	0.159465	0.279026	0.0324761	0.24868	0.816641	2.9022	1.08221788652388895
450	-3289.7842378005216233	-3302.2046216273556638	12.420383826834072494	0.40194583513438442157	0.516736	0.0725541	0.11017	0.106427	0.0200936	0.0140798	0.0713009	0.218439	0.00276726	0.0539078	0.00381206	0.198944	0.0142566	0.0123165	0.435714	0.011097	0.00834458	0.530053	0.00247498	0.37317350031375473574	0.287335	0.306457	0.150502	0.255706	0.0169961	0.183208	0.733378	3.06642	1.4034871794601351258
460	-3282.5330213803840707	-3298.2045885919592365	15.671567211574920719	0.37517254287719831174	0.419635	0.0677585	0.0423173	0.0710281	0.0232416	0.00967418	0.0747453	0.20992	0.00426171	0.0408939	0.00914029	0.0573188	0.0225833	0.0177774	0.474394	0.00633015	0.00960389	0.491196	0.000698692	0.29357261334989814827	0.268114	0.308735	0.148012	0.27514	0.0133016	0.162981	0.702953	3.12076	1.0525178278124553977
470	-3280.0200106507695637	-3297.4094060261095365	17.389395375340001237	0.4093204612645622853	0.305745	0.0595223	0.0335989	0.0765958	0.0239174	0.00943865	0.0607126	0.162131	0.0185923	0.0364443	0.0147965	0.0909896	0.0206908	0.017153	0.530378	0.00434852	0.00842185	0.43318	0.006519	0.28497048649168171819	0.292389	0.289002	0.131927	0.286682	0.0180817	0.188684	0.741173	3.05206	0.91317487391043661304
480	-3281.8333655164519769	-3299.5770920190138895	17.743726502561781189	1.0790282291411046334	0.386232	0.0682615	0.044	0.0672482	0.0227405	0.0119806	0.0837348	0.235154	0.00184648	0.0267681	0.0233213	0.0980175	0.0210131	0.0130006	0.445753	0.0068408	0.0108763	0.519708	0.00382147	0.52022539904448639181	0.303184	0.291304	0.143139	0.262373	0.152447	0.499282	1.01195	2.33632	1.0903181150547576195
490	-3282.2780363309257154	-3300.0320165292964703	17.7539801983704848	0.85848380474242336202	0.40061	0.0533251	0.0574362	0.104285	0.0172761	0.00431629	0.059903	0.245575	0.0112178	0.0235828	0.0188715	0.0556755	0.0116148	0.0190177	0.488364	0.013294	0.00607625	0.468255	0.00499247	0.4937362580230530984	0.276208	0.294758	0.158767	0.270268	0.107929	0.429656	0.97193	2.49049	1.0636897099472062411
500	-3282.6871094970028935	-3301.0294632357663431	18.342353738763229387	1.956212819450866558	0.322104	0.0721035	0.0432356	0.0986013	0.0197283	0.00874714	0.0491805	0.237139	0.0141388	0.0229381	0.0246154	0.0968311	0.0167067	0.0153282	0.478565	0.00764899	0.010126	0.479475	0.0088574	0.55933230961285629323	0.2822	0.310405	0.150475	0.25692	0.287991	0.650275	1.06885	1.99288	1.0260700491801715284
510	-3283.0538744913515075	-3301.7062620444689856	18.652387553117307561	1.1115688550928641831	0.395412	0.0551189	0.0531684	0.0712999	0.0163378	0.00861731	0.0755877	0.118195	0.00935648	0.047682	0.0142515	0.114459	0.0221812	0.0180456	0.570737	0.00436249	0.00590634	0.400214	0.000735188	0.5646824494508972947	0.284645	0.325499	0.127014	0.262842	0.158662	0.507897	1.01628	2.31716	1.0016666199908574875
520	-3281.3359298255059002	-3299.2253780817381994	17.889448256232228118	0.78540862316962190004	0.451936	0.0574918	0.0506307	0.0655653	0.0249034	0.00178684	0.0501078	0.170977	0.00113409	0.0444609	0.0142515	0.0806602	0.0221812	0.0242269	0.507231	0.00478467	0.00326878	0.456472	0.00401673	0.43501478476396632233	0.272073	0.308129	0.131333	0.288464	0.0924502	0.401192	0.952828	2.55353	1.0360866060589342119
530	-3284.58559886579269	-3301.5937248744180579	17.008126008625520598	1.4435465158985048006	0.419199	0.0524382	0.0618657	0.0680154	0.014203	0.0201226	0.0792053	0.237665	0.0108213	0.053884	0.0154174	0.119311	0.022403	0.0168726	0.584339	0.00663235	0.00170054	0.386679	0.00377664	0.60025338119670756942	0.277816	0.308842	0.136226	0.277116	0.216468	0.578882	1.04693	2.15772	1.1745500693614419063
540	-3291.045469885327293	-3304.9299041586468775	13.884434273319406827	1.6810374452332448314	0.723813	0.0394078	0.0464085	0.0959124	0.0234917	0.00229345	0.0427118	0.165019	0.0322686	0.0254283	0.0105715	0.250827	0.0245663	0.0150618	0.542022	0.00475319	0.00411919	0.428273	0.00577136	0.58105111335807435591	0.292196	0.302578	0.134368	0.270858	0.251984	0.616156	1.05949	2.07237	1.4827189724457054965
550	-3286.8249288657298166	-3302.4013408312252977	15.576411965495339018	1.43875986582697446	0.507576	0.0443813	0.0413368	0.0958939	0.0195212	0.0125318	0.0426814	0.31612	0.0247293	0.0348164	0.0259221	0.126277	0.0259505	0.0122009	0.445653	0.00519023	0.00197545	0.529661	0.0053192	0.57745907604238166932	0.270959	0.314706	0.132366	0.28197	0.215705	0.578035	1.04661	2.15965	1.3177381648950554638
560	-3283.6269374693451937	-3299.5138749356251537	15.886937466279661635	2.3387705671006870922	0.545329	0.047697	0.0716743	0.0790785	0.0170624	0.0112604	0.0957601	0.156869	0.00272427	0.0506969	0.0207143	0.137764	0.0136432	0.0092984	0.528769	0.00274949	0.00370477	0.438667	0.0168114	0.60201828891585207337	0.296213	0.298872	0.139466	0.265449	0.330618	0.686797	1.07654	1.90604	1.2502730308217293587
570	-3282.4957381882431946	-3300.3945576836131295	17.898819495370037913	2.1567464211068299029	0.427107	0.0455041	0.0459662	0.0697111	0.0165961	0.0115046	0.0550583	0.225877	0.00105022	0.0319148	0.0396463	0.0753237	0.0146508	0.0191084	0.506274	0.00703194	0.00227132	0.44919	0.0161246	0.59466214247914150892	0.2809	0.317157	0.128542	0.273401	0.311294	0.67071	1.07346	1.94454	1.059910439582566033
580	-3290.6993193951366266	-3306.4145924936565279	15.715273098519560335	1.0052540228322661697	0.543751	0.0583194	0.0715053	0.0723169	0.0121476	0.0159035	0.0619141	0.0906078	5.82826e-05	0.0709621	0.0177963	0.241289	0.0302818	0.0130331	0.493427	0.0120581	0.00925096	0.460174	0.0120569	0.50409608450051646145	0.273545	0.32446	0.135664	0.26633	0.138001	0.478325	1.00087	2.38281	1.2868529883882229292
590	-3285.762231767359026	-3303.0765790699351783	17.314347302575878729	0.73280418726128127016	0.368858	0.0595487	0.0655899	0.0859669	0.0285555	0.00317539	0.0992699	0.155603	0.00101007	0.0449849	0.0278093	0.127562	0.0131187	0.0176596	0.600054	0.00264404	0.00110997	0.370244	0.00828883	0.43053024154408664481	0.281157	0.327768	0.121153	0.269922	0.0812045	0.378605	0.936443	2.60375	1.0810530743032560341
600	-3292.9017066281307962	-3309.2980427402603709	16.396336112129489493	0.68256194509368672829	0.360251	0.0686913	0.0550532	0.0741847	0.0259973	0.0062811	0.0947123	0.243391	0.00568743	0.0338284	0.0411093	0.144484	0.00488771	0.0229409	0.610871	0.00294796	0.00103409	0.348511	0.0136949	0.45380307284881810093	0.25588	0.319441	0.126808	0.297871	0.070468	0.355185	0.918231	2.65612	1.1585585190890705931
610	-3288.1802436623520407	-3306.4376404217782692	18.257396759426057997	0.81408319662492412139	0.422452	0.0366161	0.0426518	0.062506	0.0158448	0.00660127	0.0422689	0.219846	0.00644823	0.0389429	0.0148976	0.0623185	0.03384	0.0303925	0.544629	0.0064261	0.00130215	0.40259	0.0146608	0.49428735499689124833	0.280701	0.288011	0.142094	0.289194	0.0985518	0.412743	0.960782	2.52792	1.0052333498688654778
620	-3283.7899130321970915	-3301.9327954650088941	18.142882432811731519	1.1649332344295999508	0.376648	0.0378795	0.0621674	0.108405	0.0269813	0.0082363	0.0511133	0.208509	0.0134415	0.0307371	0.0271967	0.0905458	0.0137311	0.0212719	0.558498	0.00697214	0.0122673	0.396361	0.00462957	0.51577387024962206841	0.290695	0.317565	0.126475	0.265265	0.168641	0.521274	1.02273	2.28735	1.0555917597392707741
630	-3285.3259250007899936	-3301.8768267458208356	16.550901745030749623	0.92486023805363337669	0.390291	0.0547718	0.0495292	0.0898929	0.0334963	0.00664803	0.0667421	0.254024	0.022035	0.0307371	0.0148133	0.167329	0.0136918	0.0156566	0.534756	0.00312295	0.00458545	0.429203	0.0126758	0.51056248145475557898	0.277366	0.316547	0.11817	0.287916	0.121728	0.45294	0.986341	2.43899	1.1940007676431674266
