Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-3286.6644511737254106	-3303.9940359876645743	17.329584813939142407	0.76750754220510986059	0.329598	0.0758359	0.0731163	0.101671	0.021588	0.00593644	0.0436611	0.161184	0.0206777	0.179462	0.00973995	0.0229414	0.0426436	0.010902	0.488782	0.0113843	0.0136501	0.467426	0.00785535	0.48574984030405893298	0.298781	0.305619	0.129935	0.265665	0.0886284	0.393716	0.947528	2.57013	1.0880558665057891155
10	-3286.4089842317707735	-3302.9872806397393106	16.578296407968604598	0.52698559972476377578	0.394055	0.0832585	0.0668486	0.0729208	0.0100668	0.0074833	0.0555639	0.195091	5.09334e-06	0.113079	0.0346396	0.0106065	0.0323189	0.0151701	0.530301	0.00917367	0.0104776	0.430558	0.0043203	0.41857043146085026741	0.319569	0.307036	0.112625	0.26077	0.0384919	0.269168	0.838952	2.85339	1.07593740215693634
20	-3281.6310335778180161	-3300.3211370110534517	18.690103433235531583	0.8718526242576409846	0.345981	0.0419654	0.0464117	0.065612	0.0194785	0.0103133	0.0673275	0.13546	0.00314657	0.157975	0.0157993	0.0265617	0.0362525	0.0210816	0.476056	0.00278394	0.00695448	0.478242	0.0148825	0.46526650320133089433	0.28624	0.281635	0.143876	0.288249	0.110731	0.434531	0.975035	2.4797	0.97228509035885657408
30	-3279.9350949743934507	-3295.5246896673079391	15.589594692914445773	0.59048686033888220237	0.448791	0.0510923	0.0738493	0.0916303	0.0257454	0.00534975	0.0703347	0.202449	0.00258162	0.146372	0.0308958	0.0199292	0.036513	0.0120807	0.503348	0.00507885	0.0112554	0.456589	0.0116484	0.43227206875657420149	0.296631	0.305977	0.135369	0.262022	0.0511521	0.306943	0.876387	2.76552	1.2055324336805610663
40	-3286.7460014534790389	-3303.6506073631335312	16.904605909654328855	2.2105549816629221915	0.413663	0.0615052	0.0679773	0.130378	0.0148186	0.00666735	0.0576843	0.141295	0.0032109	0.177014	0.0115588	0.0372777	0.0331916	0.0146902	0.481772	0.00157028	0.0100743	0.464592	0.027301	0.5752484636075959612	0.274218	0.315712	0.134765	0.275305	0.317177	0.675686	1.07446	1.93267	1.1562406353408136717
50	-3280.4720086394258942	-3299.4244035476936006	18.952394908267482521	1.5647985955040812911	0.359038	0.046536	0.0566963	0.0722578	0.0162447	0.00680424	0.0716	0.101957	0.00452979	0.179778	0.0128101	0.0231932	0.0272912	0.0178657	0.502651	0.00455412	0.00289107	0.469383	0.00265529	0.58405346597136020836	0.281329	0.314571	0.140269	0.26383	0.235161	0.598998	1.05401	2.11183	0.97873639946908830289
60	-3289.3867446509202637	-3305.6912333388349907	16.304488687914481915	3.9618931755422011065	0.432199	0.030859	0.0599649	0.0934929	0.0211719	0.000741469	0.0606695	0.18159	0.0135031	0.112028	0.0161348	0.03545	0.0338399	0.0179052	0.463208	0.00539323	0.00634164	0.501899	0.00525274	0.63521888540823900904	0.279286	0.309913	0.143548	0.267253	0.452257	0.773881	1.08441	1.68946	1.0916442195963840245
70	-3282.9215452662515418	-3300.5147810702405877	17.593235803988953592	0.87113060401125286258	0.378926	0.064013	0.042887	0.0837908	0.013862	0.0101439	0.0567241	0.226011	0.0190724	0.123063	0.0275451	0.0179459	0.0178707	0.0175158	0.500878	0.000377004	0.00869499	0.453793	0.0187413	0.46570014656702224398	0.27443	0.297473	0.138777	0.28932	0.11058	0.43427	0.974871	2.48028	1.0818552432834032118
80	-3291.7477334529125983	-3308.5750655536867271	16.827332100773826795	0.96532935674647568636	0.346422	0.0863607	0.0561391	0.0555079	0.0209397	0.00959717	0.0912665	0.310346	0.0412842	0.107129	0.0276898	0.00780589	0.0108951	0.0193742	0.5243	0.000134691	0.0114433	0.443206	0.0015418	0.54468586512888872431	0.272733	0.303936	0.132467	0.290864	0.129985	0.466077	0.994009	2.40993	1.1713821058775761852
90	-3284.6969136026391425	-3300.2788324533794366	15.581918850740436255	1.0879676596570049263	0.588039	0.0585714	0.0632711	0.106162	0.0107426	0.01697	0.038434	0.273399	0.0150141	0.0703941	0.0257601	0.0101046	0.0302777	0.013646	0.44976	0.000510643	0.00515548	0.511721	0.0192072	0.56232676028237504884	0.302767	0.299537	0.13055	0.267145	0.154164	0.501685	1.01317	2.33098	1.3071395116987944984
