G,N,K,O,M,H,Z
0001,0500,1000,1230,1500,nan,3000
0500,0001,0534,0654,0744,nan,0644
1000,0534,0001,0145,0239,nan,0306
1230,0654,0145,0001,0059,nan,0286
1500,0744,0239,0059,0001,nan,0347
nan,nan,nan,nan,nan,nan,nan
3000,0644,0306,0286,0347,nan,0001
