Iteration	Posterior	Likelihood	Prior	age_affinis	age_centrantoides	age_flynni	age_ingroup	age_littoralis	age_littoralis_flynni	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	kappa[1]	kappa[2]	kappa[3]	kappa[4]	kappa[5]	kappa[6]	kappa[7]	kappa[8]	kappa[9]	kappa[10]	ln_mean	m_w[1][1][1]	m_w[1][1][2]	m_w[1][1][3]	m_w[1][1][4]	m_w[1][1][5]	m_w[1][1][6]	m_w[1][1][7]	m_w[2][1][1]	m_w[2][1][2]	m_w[2][1][3]	m_w[2][1][4]	m_w[2][1][5]	m_w[2][1][6]	m_w[2][1][7]	m_w[3][1][1]	m_w[3][1][2]	m_w[3][1][3]	m_w[3][1][4]	m_w[3][1][5]	m_w[3][1][6]	m_w[3][1][7]	m_w[4][1][1]	m_w[4][1][2]	m_w[4][1][3]	m_w[4][1][4]	m_w[4][1][5]	m_w[4][1][6]	m_w[4][1][7]	m_w[5][1][1]	m_w[5][1][2]	m_w[5][1][3]	m_w[5][1][4]	m_w[5][1][5]	m_w[5][1][6]	m_w[5][1][7]	m_w[6][1][1]	m_w[6][1][2]	m_w[6][1][3]	m_w[6][1][4]	m_w[6][1][5]	m_w[6][1][6]	m_w[6][1][7]	m_w[7][1][1]	m_w[7][1][2]	m_w[7][1][3]	m_w[7][1][4]	m_w[7][1][5]	m_w[7][1][6]	m_w[7][1][7]	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_branch[41]	mu_mol_branch[42]	mu_mol_branch[43]	mu_mol_branch[44]	mu_mol_branch[45]	mu_mol_branch[46]	mu_mol_branch[47]	mu_mol_branch[48]	mu_mol_branch[49]	mu_mol_branch[50]	mu_mol_locus_rel[1]	mu_mol_locus_rel[2]	mu_mol_locus_rel[3]	mu_mol_locus_rel[4]	mu_mol_locus_rel[5]	mu_mol_locus_rel[6]	mu_mol_locus_rel[7]	mu_mol_locus_rel[8]	mu_mol_locus_rel[9]	mu_mol_locus_rel[10]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	rho_b	rho_d	rho_e	rho_w	root_age	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	use_phi_b[1]	use_phi_b[2]	use_phi_d[1]	use_phi_d[2]	use_phi_e[1]	use_phi_e[2]	use_phi_w[1]	use_phi_w[2]	use_sigma_b[1]	use_sigma_b[2]	use_sigma_d[1]	use_sigma_d[2]	use_sigma_e[1]	use_sigma_e[2]	use_sigma_w[1]	use_sigma_w[2]
293	-38481.03	-38444.65	-36.37881	2.311111	1.510519	0.7501668	3.840431	0.6688153	0.8072694	0.100013	0.506625	0.163188	0.333952	0.306736	0.280011	0.940555	0.101303	1.91734	0.246342	3.59273	3.41061	2.66684	2.70536	1.91707	2.02894	2.18238	1.87365	1.78922	2.90937	-4.086622	4.20649	4.18837	4.17235	4.17188	4.1676	4.16043	4.17207	4.20649	4.18837	4.17114	4.166	4.15888	0	4.17207	4.20649	4.18837	4.17114	4.17114	0	0	4.17207	4.19256	4.17868	4.16651	0	0	0	4.17207	4.18593	4.17207	0	0	0	0	4.17207	4.17207	4.17451	0	0	0	0	4.17207	4.17451	0	0	0	0	0	4.17207	0.01995851	0.025967	0.0136701	0.0107109	0.0138261	0.00980322	0.081887	0.00918927	0.0207432	0.0120114	0.0162878	0.010857	0.015925	0.0160221	0.0111023	0.0351772	0.0262271	0.00757132	0.0257804	0.0225853	0.0180193	0.0330749	0.0154224	0.057821	0.0105923	0.0329349	0.0286815	0.0227838	0.017161	0.0412223	0.0172047	0.0131122	0.0332369	0.0182256	0.0102818	0.0428514	0.0160327	0.00653013	0.00666946	0.031005	0.0103696	0.0101082	0.00914633	0.00902145	0.0371771	0.00853583	0.0117805	0.00915808	0.00520777	0.0254726	0.00956212	1	0.213606	0.475453	0.247866	0.176978	0.139904	0.143885	0.992432	0.260801	0.255557	0	0	-3.70117	0	-0.261327	3.8013	0	-3.26753	0.1401336	0.05049076	0.00168599	0.1380401	4.483275	3.45507	0.298902	0	0	-1.14485	0	0	0	0.13804	0.140134	0.2781737	0	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0
294	-38489.85	-38445.78	-44.07248	2.257055	1.505221	0.7121579	3.750606	0.733056	0.8569681	0.096753	0.381745	0.142039	0.378314	0.319712	0.369793	1.43895	0.101303	1.66485	0.145649	3.59273	3.41061	2.58902	2.3483	2.02457	2.02894	2.18238	1.87365	2.16031	3.19164	-4.134426	4.59665	4.57564	4.55705	4.55651	4.55155	1.80681	4.55673	4.59665	4.57564	4.55565	1.80938	1.8061	0	4.55673	4.59665	4.57564	1.81175	1.81175	0	0	4.55673	4.58049	4.56439	1.80961	0	0	0	4.55673	4.5728	1.81218	0	0	0	0	4.55673	4.55673	1.8133	0	0	0	0	4.55673	1.8133	0	0	0	0	0	4.55673	0.01902686	0.0246125	0.0144298	0.0113061	0.0146958	0.00883949	0.0738368	0.01063	0.0203357	0.0114115	0.0171929	0.0114603	0.0120201	0.0169124	0.0132657	0.0374335	0.0276846	0.0123122	0.041923	0.0191379	0.0152689	0.039167	0.019234	0.0610342	0.0056734	0.0286654	0.0302754	0.018879	0.0181147	0.0435131	0.0134854	0.0224402	0.0269719	0.014876	0.014637	0.0167398	0.0177413	0.00902024	0.00903445	0.046543	0.0191157	0.0106699	0.00965461	0.00952279	0.0392432	0.0104737	0.00823204	0.0105434	0.0062976	0.0225543	0.0100935	1	0.205467	0.475453	0.247866	0.18071	0.139904	0.143885	0.992432	0.277376	0.255557	3.12193	0	-3.70117	0	-2.82021	0	0	-3.46927	0.05758134	0.03047362	0.001751019	0.1378808	4.214676	1.09127	2.57952	0	0	-2.18056	-3.25144	0	-0.922075	0.137881	0.0575813	0.1954622	1	0	1	0	1	0	0	1	1	1	0	0	1	1	0	1
295	-38495.34	-38446.14	-49.20037	1.817721	1.135093	0.6454304	3.020553	0.5729824	0.6901598	0.096753	0.361665	0.167846	0.394549	0.124395	0.338727	0.947208	0.0971538	1.10612	0.244104	3.06256	3.15182	2.88607	2.5252	2.75486	2.1132	2.91889	1.94329	1.4437	2.68809	-4.000134	11.4857	10.5882	4.47165	4.06943	1.11576	0.00318838	3.41786	11.4857	10.5882	3.45837	0.512716	0.00027051	0	3.41786	11.4857	10.5882	3.45837	3.45837	0	0	3.41786	11.0354	9.47312	0.670857	0	0	0	3.41786	10.164	4.22987	0	0	0	0	3.41786	4.22987	6.32859	0	0	0	0	3.41786	6.32859	0	0	0	0	0	3.41786	0.02176153	0.026973	0.0165037	0.0122663	0.0236347	0.00898543	0.0750559	0.0121578	0.0232585	0.0129777	0.0245088	0.0170074	0.0139652	0.0196492	0.0152017	0.0428805	0.029473	0.0145681	0.0479484	0.0253793	0.0174635	0.0447964	0.0207688	0.0698065	0.00666939	0.0327854	0.0373943	0.0249659	0.0207183	0.0497671	0.0197056	0.0373561	0.0324059	0.017562	0.00809852	0.0295452	0.0148954	0.00663291	0.0168321	0.0682351	0.0210297	0.0453719	0.00763671	0.00998183	0.0377155	0.0196599	0.00996824	0.0120588	0.0101632	0.0199171	0.0117296	1	0.205467	0.475453	0.247866	0.187623	0.155412	0.15821	0.992432	0.232953	0.255557	2.58009	0	-3.94994	0	0	-3.33895	-1.82481	-3.73354	0.04896655	0.0353929	0.0006854626	0.1378808	3.341063	0.656202	0	0	0	-0.307597	-3.54305	0.213154	0	0.137881	0.0489665	0.1868474	1	0	1	0	0	1	1	1	1	0	0	0	1	1	1	0
296	-38493.68	-38445.02	-48.65903	1.78503	1.179824	0.6432352	3.356995	0.5915797	0.7406013	0.0681586	0.265483	0.167846	0.360292	0.102282	0.232552	0.784741	0.110216	0.746552	0.168513	3.06256	3.28991	2.79381	2.46608	3.14769	1.41692	2.17004	2.17684	1.7684	3.05745	-3.953794	11.728	10.7193	3.23468	2.91205	0.688135	0.00167461	3.04032	11.728	10.7193	2.42897	0.482946	0.000106984	0	3.04032	11.728	10.7193	4.05651	4.05651	0	0	3.04032	11.2233	7.46861	0.651737	0	0	0	3.04032	10.2426	5.0775	0	0	0	0	3.04032	3.04032	7.95632	0	0	0	0	3.04032	7.95632	0	0	0	0	0	3.04032	0.02279368	0.0218048	0.0104467	0.00982067	0.0185085	0.00825024	0.0689148	0.0116968	0.0223767	0.0125256	0.0295045	0.0163626	0.019719	0.023146	0.0143991	0.0412548	0.0255288	0.00582499	0.0141668	0.0289202	0.0168014	0.043098	0.0199814	0.0671599	0.00641653	0.0300349	0.0410203	0.0228094	0.0296387	0.0447027	0.017963	0.0359398	0.0278054	0.030678	0.00415493	0.0204194	0.0146076	0.00619069	0.0110856	0.0656481	0.0370956	0.0408743	0.0104886	0.010185	0.0324519	0.0185019	0.00955717	0.0120744	0.00977792	0.015478	0.0122578	1	0.225577	0.475453	0.262684	0.210136	0.147508	0.15821	1.11319	0.232953	0.249078	1.08387	0.140781	-3.94994	0	-2.77223	0	-2.03471	-3.57185	0.07382886	0.0383844	0.0002762369	0.1640322	3.451222	1.00397	0	0	0	0	0	0	0.512857	0.164032	0.0738289	0.237861	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1
297	-38508.16	-38454.42	-53.74158	1.430489	1.124902	0.6069432	3.200726	0.5640415	0.6218504	0.0842313	0.322402	0.221722	0.405489	0.102282	0.277295	0.519416	0.118238	1.03817	0.2001	4.28907	3.7521	3.19298	2.46608	3.14769	0.98856	2.75734	2.17684	1.27011	3.05745	-3.798573	3.88578	3.872	3.88723	3.8894	3.92126	4.50789	3.88851	3.88578	3.872	3.89322	4.35456	4.58551	0	3.88851	3.88578	3.872	4.30131	4.30131	0	0	3.88851	3.87457	3.87228	4.34681	0	0	0	3.88851	3.87095	4.29611	0	0	0	0	3.88851	3.88851	4.2863	0	0	0	0	3.88851	4.2863	0	0	0	0	0	3.88851	0.02662112	0.0183404	0.00878694	0.0103001	0.0194121	0.0124779	0.0722794	0.0122679	0.0234691	0.0193976	0.0273615	0.018555	0.0206817	0.0173867	0.0154268	0.0494864	0.0245896	0.00578476	0.0148584	0.0264553	0.0188331	0.0452022	0.0209569	0.0704389	0.00672981	0.0305772	0.0521544	0.0237919	0.0498759	0.0396959	0.0205407	0.0310358	0.024163	0.0279748	0.0105449	0.0155571	0.0166802	0.00677127	0.0108826	0.0688532	0.0389068	0.0473955	0.011017	0.0174456	0.0340305	0.01227	0.0360547	0.0126639	0.0102553	0.0641587	0.0128563	1	0.225577	0.475453	0.272374	0.164273	0.147508	0.152973	1.2548	0.232953	0.249078	2.01687	0	-3.51709	0	0	3.48078	0.0128904	-3.10001	0.1060417	0.05671891	0.0002292291	0.1140247	3.28429	1.47264	0	0	0	-0.821394	0	0	0.0996851	0.114025	0.106042	0.2200664	1	0	1	0	0	1	1	1	1	0	0	0	1	0	0	1
298	-38491.76	-38454.48	-37.28139	2.032356	1.908082	0.6909988	4.384057	0.7606732	0.8386349	0.110532	0.322402	0.205165	0.477588	0.208243	0.127348	0.25975	0.0992489	1.03817	0.212224	4.35729	3.9957	2.21671	2.11578	3.14769	1.36425	2.71243	2.17684	2.22332	3.05745	-4.113613	4.51668	4.49627	4.47822	4.47769	4.47287	4.46479	4.4779	4.51668	4.49627	4.47686	4.47107	4.46305	0	4.4779	4.51668	4.49627	4.47686	4.47686	0	0	4.4779	4.50099	4.48535	4.47164	0	0	0	4.4779	4.49352	4.4779	0	0	0	0	4.4779	4.4779	4.48065	0	0	0	0	4.4779	4.48065	0	0	0	0	0	4.4779	0.01942702	0.016929	0.00634763	0.0086638	0.012521	0.00815275	0.0522142	0.0124322	0.018469	0.0135363	0.0181273	0.0108295	0.0152145	0.0126808	0.0118442	0.0499867	0.0195075	0.0101648	0.025462	0.0158838	0.0133472	0.0326538	0.0151392	0.0806203	0.00770255	0.0323191	0.0357632	0.0148281	0.0224452	0.0299714	0.00902268	0.0137908	0.0347068	0.0106103	0.00663655	0.0112033	0.0147203	0.00490932	0.0078615	0.019713	0.028106	0.0342382	0.00817009	0.0126026	0.0293256	0.00654872	0.0260457	0.00914834	0.00740837	0.0426816	0.00928729	1	0.225577	0.475453	0.272374	0.164273	0.163383	0.177052	1.2548	0.226159	0.26275	0	0	-3.69989	0	-0.813009	0	0	-3.42936	0.1313595	0.04017071	0.000667318	0.09497426	4.648821	3.03536	0	0	0	-1.08342	-2.09891	0	0	0.0949743	0.13136	0.2263338	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	0
299	-38501.35	-38453.8	-47.54534	1.334585	1.252978	0.4443226	2.878874	0.5094451	0.5507054	0.0784328	0.491524	0.147669	0.326095	0.143511	0.130999	0.484719	0.0992489	0.909576	0.195412	2.83398	2.69985	2.21671	2.47581	3.14769	0.900374	2.71243	1.6783	2.22332	2.43748	-3.703285	4.59746	4.57644	6.74095	6.74014	6.73281	6.7205	4.55753	4.59746	4.57644	6.73888	6.73005	6.71785	0	4.55753	4.59746	4.57644	6.73888	6.73888	0	0	4.55753	4.5813	6.7518	6.73093	0	0	0	4.55753	4.57361	6.74047	0	0	0	0	4.55753	6.74047	6.74465	0	0	0	0	4.55753	6.74465	0	0	0	0	0	4.55753	0.02928256	0.0194828	0.00911746	0.0124013	0.0179846	0.014758	0.0685201	0.017857	0.0265281	0.0189856	0.0325162	0.0174567	0.0218535	0.0182141	0.0178247	0.0717987	0.0278842	0.0168182	0.0365724	0.0311746	0.0165538	0.0469024	0.0217452	0.115799	0.0124622	0.0464217	0.0513687	0.0212985	0.0322392	0.0430496	0.0129598	0.0241468	0.0388401	0.0152401	0.0220181	0.00803069	0.0165495	0.00740573	0.0112919	0.0304016	0.0154986	0.0464139	0.0100233	0.0265201	0.0417233	0.00955922	0.013454	0.0138411	0.010641	0.0918394	0.0133547	1	0.225577	0.448868	0.267067	0.168977	0.135859	0.170607	1.2548	0.318156	0.243444	3.77573	0	-3.55891	-1.63577	1.49252	-1.84688	0	-3.46968	0.02962085	0.02507579	0.001023616	0.08181039	3.146931	2.97274	0	0	0	-1.09868	1.18506	0.391349	0	0.0818104	0.0296209	0.1114312	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	0
300	-38491.51	-38445.8	-45.70893	1.391381	1.242938	0.4485941	3.051493	0.5519326	0.5837261	0.0761421	0.352206	0.117748	0.326095	0.194608	0.0828598	0.4807	0.0992489	1.18308	0.168252	4.02765	2.69985	2.21212	2.61629	2.42442	1.41745	2.26651	1.6783	1.96365	3.15512	-3.879353	3.50703	3.49383	5.56913	5.56858	5.5636	7.85782	3.48195	3.50703	3.49383	5.56772	7.86701	7.85528	0	3.48195	3.50703	3.49383	7.8755	7.8755	0	0	3.48195	3.49688	5.57651	7.86785	0	0	0	3.48195	3.49205	7.87702	0	0	0	0	3.48195	5.5688	7.88104	0	0	0	0	3.48195	7.88104	0	0	0	0	0	3.48195	0.02455523	0.0207954	0.0130066	0.0116892	0.0189283	0.00970526	0.0644582	0.0196774	0.0250048	0.0178954	0.0249472	0.0164543	0.0205986	0.017008	0.0168012	0.065065	0.0261717	0.0109809	0.0224633	0.0195627	0.0137068	0.05227	0.0204966	0.111194	0.0119666	0.039023	0.0492273	0.0145264	0.0352469	0.0400099	0.0141627	0.0269274	0.0289871	0.0231213	0.0207538	0.00475481	0.0151978	0.00694457	0.0127865	0.0273167	0.01939	0.0373266	0.0118556	0.0190519	0.0391747	0.00809308	0.0211802	0.0130463	0.01003	0.0865659	0.0130281	1	0.225577	0.46235	0.267067	0.168977	0.159815	0.170607	1.2548	0.318156	0.243444	2.74464	0	-3.15333	-2.16714	0	0	0	-2.8539	0.02962085	0.01878628	0.001831684	0.1052453	3.280289	0	2.42322	0	0	-0.709414	0	0.469588	0.34677	0.105245	0.0296209	0.1348662	1	0	1	1	0	0	0	1	0	1	0	0	1	0	1	1
301	-38486.86	-38443.75	-43.11099	1.347964	1.204154	0.4640668	2.85893	0.5370586	0.5655114	0.0834416	0.320997	0.139856	0.306559	0.131631	0.121274	0.327798	0.100298	1.82064	0.283668	4.09483	2.87957	2.64423	2.73617	2.42442	1.26524	2.26651	1.6783	1.96365	3.15512	-3.92174	3.83807	3.82259	3.8089	3.80849	3.80484	0.182365	3.80866	3.83807	3.82259	3.80786	0.182593	0.182301	0	3.80866	3.83807	3.82259	0.182804	0.182804	0	0	3.80866	3.82617	3.8143	0.182614	0	0	0	3.80866	3.8205	0.182842	0	0	0	0	3.80866	3.80866	0.182942	0	0	0	0	3.80866	0.182942	0	0	0	0	0	3.80866	0.02353615	0.0269525	0.0168576	0.012733	0.021062	0.0110943	0.0675116	0.020924	0.0261893	0.0186611	0.017715	0.0142327	0.0215744	0.0178137	0.01726	0.0681471	0.0220871	0.00740953	0.0231322	0.0237394	0.0143561	0.054746	0.0214675	0.125381	0.0193327	0.0408715	0.0520553	0.0160336	0.0315163	0.0446049	0.0148335	0.0282029	0.0286261	0.0349098	0.0217369	0.00498004	0.0193547	0.00699899	0.0133922	0.0243394	0.0348982	0.0190688	0.0181221	0.0216016	0.02799	0.0439133	0.00853528	0.0150278	0.0126921	0.019631	0.0119105	1	0.225577	0.450991	0.267067	0.168977	0.159815	0.170607	1.2548	0.315388	0.269549	2.7529	0	-3.52288	-1.42564	1.31254	-3.54863	0	-3.05906	0.02382469	0.01836228	0.00343273	0.1347592	3.17793	3.03318	0	0	0	0	-3.61062	0	-3.03641	0.134759	0.0238247	0.1585839	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	1
302	-38481.73	-38441.28	-40.45003	1.368846	1.222808	0.4915916	2.838385	0.534925	0.5846375	0.0856862	0.184378	0.147663	0.484001	0.168675	0.230445	0.411723	0.100298	0.823469	0.183061	3.86905	2.87957	2.64423	2.91789	2.42442	1.09333	2.26651	1.87969	1.96443	3.12347	-4.01508	3.77676	3.76172	3.7484	3.74801	3.74446	3.73849	3.74817	3.77676	3.76172	3.7474	3.74312	3.73721	0	3.74817	3.77676	3.76172	3.7474	3.7474	0	0	3.74817	3.76519	3.75366	3.74355	0	0	0	3.74817	3.75969	3.74817	0	0	0	0	3.74817	3.74817	3.75019	0	0	0	0	3.74817	3.75019	0	0	0	0	0	3.74817	0.0214387	0.0322201	0.0176761	0.0115983	0.019185	0.0105525	0.0614952	0.0197727	0.0188969	0.0167183	0.0135291	0.0108696	0.0196517	0.0162262	0.0157218	0.062074	0.0240753	0.00641274	0.0224563	0.0217924	0.0140017	0.0498672	0.0152984	0.114207	0.0176099	0.0368081	0.043804	0.0100974	0.0406997	0.0406299	0.0135116	0.0328043	0.0312715	0.022001	0.0204691	0.00654978	0.0236768	0.00660433	0.0108398	0.0225446	0.0246981	0.0205465	0.0117329	0.0175766	0.0290861	0.0271719	0.01114	0.0128903	0.0109054	0.00956962	0.0108491	1	0.225577	0.520741	0.267067	0.183327	0.159815	0.170607	1.2548	0.312784	0.269549	1.99121	0	-3.75441	-2.13877	1.83993	-0.3248	0	-3.02244	0.01639533	0.01489464	0.002914987	0.1351219	3.227162	2.91864	0	0	-0.375979	0	-3.67612	0	0	0.135122	0.0163953	0.1515172	1	0	1	1	1	1	0	1	1	0	0	1	0	1	0	0
303	-38479.29	-38435.4	-43.89154	1.357325	1.192246	0.4625042	2.767444	0.5314526	0.5700254	0.0963121	0.387841	0.181522	0.447774	0.267585	0.177913	0.429255	0.100298	0.601587	0.223415	3.86905	3.15172	2.64423	2.91789	2.42162	1.48803	1.99135	1.87969	1.47669	3.43232	-3.949058	3.46101	3.46053	3.63259	3.64884	3.88144	0.440892	3.64216	3.46101	3.46053	3.67714	0.345032	0.496764	0	3.64216	3.46101	3.46053	0.314887	0.314887	0	0	3.64216	3.45686	3.50771	0.340601	0	0	0	3.64216	3.46548	0.311891	0	0	0	0	3.64216	3.64216	0.306024	0	0	0	0	3.64216	0.306024	0	0	0	0	0	3.64216	0.0229019	0.0432215	0.0237116	0.0180244	0.0196768	0.010823	0.0819524	0.0232776	0.0222467	0.0172627	0.0179841	0.0111483	0.0182061	0.0326616	0.0176208	0.0504724	0.0246925	0.00567802	0.0184784	0.0223511	0.0143607	0.0336241	0.0103153	0.117135	0.0180613	0.0312686	0.0409987	0.00710295	0.0441404	0.0457549	0.0325354	0.0336452	0.0320731	0.0257045	0.0209938	0.00696916	0.0248223	0.00888069	0.00764097	0.0169708	0.0227545	0.0225107	0.0146213	0.0163492	0.0298317	0.0189975	0.0297226	0.0186977	0.0144728	0.0194612	0.0103948	1	0.225577	0.511491	0.284404	0.182639	0.225495	0.170607	1.41422	0.312784	0.269549	3.23174	0	-2.57604	-1.7101	0	0	0.0885173	-2.91208	0.02402862	0.01852521	0.00613892	0.2014302	3.126573	2.41762	0	0	0	0	0	0	-2.45768	0.20143	0.0240286	0.2254588	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1
304	-38487.91	-38430.56	-57.34531	1.360005	1.199734	0.4493719	2.603784	0.5027094	0.5366734	0.0963121	0.353878	0.17398	0.488587	0.155909	0.0914997	1.08175	0.0947324	0.650998	0.183114	4.93821	3.72421	2.62885	2.48721	3.71741	1.48803	2.65216	1.889	1.33307	3.3024	-3.879622	2.75958	2.72854	2.41525	2.38983	2.06739	0.145212	2.40023	2.75958	2.72854	2.34662	0.256168	0.110244	0	2.40023	2.75958	2.72854	0.317189	0.317189	0	0	2.40023	2.74258	2.62837	0.263987	0	0	0	2.40023	2.7153	0.324435	0	0	0	0	2.40023	2.40023	0.339458	0	0	0	0	2.40023	0.339458	0	0	0	0	0	2.40023	0.02454862	0.0905575	0.0455494	0.0193204	0.024081	0.0116012	0.0878451	0.01827	0.0320106	0.0185039	0.019229	0.0139782	0.0195151	0.026736	0.0188468	0.0541016	0.0264679	0.00618152	0.0198071	0.0239592	0.0153933	0.0360418	0.011057	0.123891	0.0191344	0.0338328	0.0426147	0.00782377	0.0423215	0.0536767	0.0264668	0.0255086	0.0395309	0.0303844	0.0218913	0.00747879	0.0409459	0.0136936	0.0152568	0.0181911	0.0243906	0.0241292	0.0156726	0.0323369	0.0260707	0.03111	0.0134729	0.0226304	0.0135773	0.0116519	0.0111422	1	0.225577	0.481242	0.275925	0.182639	0.191237	0.171883	1.06921	0.269428	0.269549	2.09469	0	-3.85889	-2.20948	0	0	-0.203648	-2.10578	0.03128351	0.0131857	0.006087925	0.179738	3.037798	0	0	-1.45002	0	0	2.78123	0	-2.00123	0.179738	0.0312835	0.2110215	1	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1
305	-38476.44	-38435.7	-40.73687	1.624882	1.451355	0.5761746	3.151326	0.5898625	0.6436701	0.0702789	0.4511	0.125851	0.309168	0.152791	0.118015	0.506617	0.0947324	0.621053	0.211273	2.81196	2.96685	2.62885	2.5913	3.78099	1.72375	1.61884	1.889	1.75433	3.1179	-3.877631	2.13829	2.13341	2.12909	2.12896	2.12781	2.12587	2.12901	2.13829	2.13341	2.12876	2.12737	2.12545	0	2.12901	2.13829	2.13341	2.12876	2.12876	0	0	2.12901	2.13454	2.1308	2.12751	0	0	0	2.12901	2.13275	2.12901	0	0	0	0	2.12901	2.12901	2.12967	0	0	0	0	2.12901	2.12967	0	0	0	0	0	2.12901	0.02459756	0.0755042	0.0379777	0.0166466	0.0170199	0.0129552	0.0732426	0.0117984	0.0266895	0.0185448	0.0160326	0.0104698	0.0144054	0.0222917	0.0157139	0.0495635	0.0220682	0.00606561	0.0165146	0.022337	0.0134236	0.0300506	0.00921904	0.103297	0.0227427	0.0282088	0.035668	0.00593888	0.035683	0.0449859	0.0212689	0.0176644	0.0338933	0.0247294	0.0191856	0.00790555	0.0341395	0.0114173	0.0127207	0.0156255	0.0203362	0.0237689	0.0110184	0.0214931	0.021737	0.0289593	0.0122555	0.0190661	0.0102515	0.0102296	0.00923113	1	0.225577	0.481242	0.27537	0.182639	0.191237	0.171883	1.06921	0.269708	0.230047	2.4362	0	-3.85889	-2.02373	0	0.158485	0	-1.72859	0.04959053	0.01344676	0.007237439	0.18026	3.689966	1.80993	0	0	0	0	0	0	0	0.18026	0.0495905	0.2298505	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0
306	-38497.48	-38444.55	-52.93124	1.686827	1.421293	0.5708298	3.225756	0.6123498	0.6312399	0.0541876	0.464515	0.158754	0.561934	0.168579	0.10792	0.73153	0.112726	0.701489	0.211273	3.5483	2.74282	2.44457	2.5913	3.78099	1.5571	1.91215	2.24062	1.53291	3.1179	-3.93232	4.2004	4.18233	4.16635	4.16588	4.16161	0.143203	4.16607	4.2004	4.18233	4.16514	0.143395	0.14315	0	4.16607	4.2004	4.18233	0.143572	0.143572	0	0	4.16607	4.18651	4.17266	0.143412	0	0	0	4.16607	4.17989	0.143604	0	0	0	0	4.16607	4.16607	0.143687	0	0	0	0	4.16607	0.143687	0	0	0	0	0	4.16607	0.02328844	0.0862867	0.0243496	0.0160353	0.0177488	0.00870031	0.0739504	0.0156016	0.0353643	0.0155425	0.0154438	0.0100853	0.0138764	0.018924	0.0126229	0.0500276	0.0212578	0.00519755	0.0163864	0.0181146	0.01045	0.0308269	0.00921468	0.0995037	0.0209522	0.0271729	0.0343581	0.00426676	0.0343726	0.0446209	0.0127079	0.0351889	0.0269668	0.0230621	0.019592	0.0103729	0.0476769	0.00703232	0.0142126	0.0140342	0.0505351	0.0327244	0.00803887	0.044218	0.0194723	0.0259209	0.0113808	0.0190562	0.00772739	0.00985397	0.00889214	1	0.231571	0.481242	0.287136	0.17768	0.191237	0.17519	1.05646	0.284718	0.250729	3.23754	0	-3.85889	-1.57009	-0.387541	0	0	-3.26424	0.04959053	0.01199997	0.0165098	0.18026	3.435924	0.282221	-0.895422	0	0	0	2.05311	0	-3.36767	0.18026	0.0495905	0.2298505	1	0	1	1	1	0	0	1	1	1	0	0	0	1	0	1
