time_index,feature_index,feature_relationship,feature_type,feature_path
1,1,within,categorical,../data/features/area_classification.csv
1,2,within,categorical,../data/features/alt_classification.csv
1,1,within,quantitative,../data/features/areas.csv
1,2,within,quantitative,../data/features/alt_mean.csv
1,1,between,categorical,../data/features/adjacency.csv
1,2,between,categorical,../data/features/alt_sameness.csv
1,1,between,quantitative,../data/features/dist_mean.csv
1,2,between,quantitative,../data/features/alt_mean_diff.csv
