Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
0	-19776.12	-19781.25	5.128414	0.0545845	0.106844	0.0603677	0.0139238	0.066828	0.02676	0.451141	0.000375045	0.203733	0.106852	0.220645	0.0395642	0.104475	0.0124861	0.0528054	0.00764758	0.167238	0.159226	0.0550568	0.106575	0.10524	0.028878	0.140224	0.224297	0.0189677	0.217885	0.0226996	0.00864568	0.0161402	0.0932622	0.0276038	0.0351259	0.0918335	0.056455	0.339403	0.0551984	0.0791537	0.15839	0.00516007	0.0256268	0.0521412	0.0264294	0.130177	3.976067
10	-19914.79	-19925.7	10.90663	0.0153189	0.035395	0.0603677	0.175452	0.0409201	0.16978	0.0938507	0.115649	0.0342851	0.210085	0.078158	0.0135836	0.0686023	0.115537	0.0184671	0.00851193	0.0957194	0.00155025	0.113699	0.154667	0.097903	0.0509304	0.0313514	0.0996033	0.0293676	0.282742	0.110033	0.17127	0.0165423	0.0700776	0.0590625	0.0150196	0.139579	0.0607765	0.0423773	0.146534	0.136533	0.0547006	0.00898036	0.0933248	0.0465623	0.0122918	0.00308389	3.398245
20	-20130.34	-20138.82	8.485599	0.165349	0.0599069	0.0603677	0.00244628	0.129889	0.132371	0.199192	0.0597935	0.011669	0.0822897	0.0625451	0.0562442	0.0704568	0.0226602	0.0696356	0.0198581	0.0753689	0.0429551	0.0987452	0.300548	0.115872	0.0143121	0.159432	0.0431933	0.164634	0.141651	0.0484819	0.0182288	0.0212733	0.133475	0.00194676	0.0194302	0.0729319	0.265076	0.0435785	0.105284	0.0832787	0.0310763	0.0643661	0.0935279	0.0690962	0.010915	0.196996	3.640348
30	-20934.16	-20930.46	-3.70092	0.107908	0.0494413	0.118263	0.0199514	0.332641	0.0838503	0.038497	0.00408243	0.0261448	0.00424256	0.144083	0.116295	0.10876	0.0635878	0.055081	0.0424019	0.0628488	0.438394	0.0102232	0.00185303	0.00952234	0.027519	0.158211	0.374645	0.0433153	0.0186859	0.092364	0.0891061	0.0267186	0.226396	0.116552	0.0179785	0.0606146	0.476127	0.388335	0.0632712	0.134914	0.0382491	0.00276743	0.104195	0.103688	0.0241244	0.433152	4.859
40	-19243.98	-19249.33	5.353884	0.101012	0.104815	0.0359675	0.0849316	0.251777	0.0838503	0.0255008	0.339972	0.16361	0.00357538	0.075864	0.0828982	0.128801	0.10463	0.00367494	0.0173558	0.13983	0.0613297	0.0959513	0.0790038	0.283046	0.0789927	0.0690141	0.0671066	0.0378244	0.189811	0.278169	0.0740025	0.0706131	0.058825	0.0730852	0.00999987	0.0661395	0.178907	0.0391703	0.0785659	0.0523307	0.132696	0.0254731	0.00582052	0.0122764	0.066255	0.0210449	3.95352
50	-19667.93	-19669.95	2.028393	0.00604731	0.515877	0.077226	0.0107169	0.103219	0.0479483	0.0325144	0.134988	0.0202927	0.037104	0.075864	0.200144	0.18704	0.0316996	0.100026	0.0279037	0.204216	0.015211	0.0604002	0.0585696	0.354483	0.192004	0.178623	0.0671066	0.086444	0.0280986	0.087424	0.0545818	0.00576613	0.00799072	0.0128381	0.0499512	0.0661395	0.0693091	0.113534	0.0785659	0.00303937	0.423718	0.0952591	0.205926	0.0552375	0.073602	0.0294182	4.286069
60	-19113.35	-19120.04	6.685671	0.048796	0.0953523	0.105074	0.114742	0.0982358	0.0170924	0.0508222	0.211548	0.0524926	0.173773	0.137586	0.00022465	0.085555	0.0786523	0.0853812	0.0574482	0.138487	0.0587399	0.0276943	0.0856799	0.1792	0.0459601	0.263367	0.039598	0.0376497	0.0173806	0.141378	0.0474855	0.111634	0.0277022	0.0953944	0.102954	0.116956	0.0693091	0.0685863	0.375669	0.0509235	0.00634214	0.0128227	0.0760481	0.0442998	0.0989749	0.0673306	3.820341
70	-19419.71	-19423.75	4.04106	0.0323917	0.0368518	0.0971925	0.0293584	0.0994654	0.169394	0.0311251	0.00877855	0.244474	0.0250986	0.208621	0.103755	0.168611	0.136882	0.0541311	0.13214	0.144122	0.0699433	0.0134288	0.175041	0.35283	0.124922	0.0246654	0.0832562	0.208913	0.0282603	0.114672	0.0474855	0.055481	0.220245	0.070156	0.0997958	0.021017	0.0249645	0.00533777	0.0776856	0.0748566	0.0659274	0.00251037	0.0932236	0.202288	0.077002	0.028503	4.084802
80	-20231.16	-20239.28	8.114024	0.0642164	0.02198	0.15393	0.162602	0.0966018	0.0734518	0.0819483	0.168957	0.0448343	0.0047165	0.0140772	0.0468997	0.168611	0.00893921	0.250833	0.00924184	0.144122	0.0262339	0.00790692	0.00783973	0.0116026	0.275687	0.0535486	0.127747	0.0918137	0.00720497	0.123585	0.112932	0.0487013	0.0554513	0.0756884	0.0706193	0.100845	0.145406	0.166159	0.171385	0.0916462	0.0702502	0.129001	0.00407547	0.0166552	0.150299	0.0192592	3.677505
90	-20204.89	-20216.9	12.0017	0.153071	0.0754041	0.0652778	0.0178428	0.0266868	0.0370127	0.0148283	0.0813449	0.0155999	0.109081	0.0151624	0.180835	0.00566858	0.172049	0.0178228	0.00385008	0.0029433	0.0119397	0.00234633	0.114027	0.0252513	0.0901223	0.121279	0.0203623	0.0421781	0.0547796	0.123585	0.187812	0.01683	0.218829	0.0309816	0.196117	0.130812	0.150719	0.0964363	0.0693836	0.178139	0.0958923	0.167563	0.00161127	0.0677352	0.0713334	0.00819317	3.288738
