Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
0	-19547.24	-19559.02	11.78214	0.0694389	0.131363	0.00419568	0.0360651	0.00479407	0.124412	0.15406	0.0886298	0.140623	0.036893	0.00775975	0.0306772	0.0373015	0.103941	0.0402915	0.0263702	0.102175	0.0822222	0.0761088	0.0372516	0.147535	0.20312	0.00427851	0.00515916	0.0702809	0.0494132	0.0318351	0.135298	0.0234978	0.0343178	0.0306989	0.145393	0.0963749	0.0475852	0.0199659	0.13385	0.0772663	0.0462827	0.068125	0.0493696	0.318864	0.22795	0.00965745	3.310694
10	-19845.14	-19844.22	-0.9213512	0.0309122	0.0699872	0.0247001	0.111437	0.086325	0.113319	0.0754524	0.119882	0.327089	0.247237	0.0247767	0.0233124	0.0541388	0.0277209	0.107846	0.0190661	0.0807366	0.169283	0.0175249	0.210734	0.0891787	0.218681	0.0743663	0.000295823	0.0916375	0.377383	0.0171897	0.135298	0.0120072	0.163568	0.0614934	0.0658751	0.0237906	0.12911	0.0798499	0.0771698	0.168755	0.0457074	0.00738008	0.425281	0.0134637	0.0571798	0.304901	4.581043
20	-19438.89	-19445.9	7.009911	0.0332214	0.126312	0.0899732	0.00400464	0.184793	0.0692919	0.206819	0.222772	0.0736692	0.483415	0.0271307	0.0533184	0.0470922	0.0215754	0.0104149	0.0145635	0.159279	0.0504627	0.0685008	0.0812233	0.174735	0.14347	0.0745306	0.0180528	0.204775	0.0200766	0.114917	0.146599	0.0207465	0.0242783	0.0614934	0.119497	0.0719605	0.0103818	0.0421014	0.092925	0.135047	0.0616378	0.0314696	0.0122567	0.0149952	0.0170555	0.147081	3.787917
30	-19459.49	-19455.57	-3.919769	0.605735	0.0654168	0.0162848	0.167742	0.207479	0.121745	0.111189	0.0427558	0.328121	0.666231	0.00982635	0.0385374	0.122287	0.155683	0.059472	0.0662124	0.0078508	0.0161886	0.16289	0.0473561	0.091904	0.045519	0.24695	0.059064	0.222088	0.00339528	0.0506996	0.0490424	0.181678	0.0836718	0.226033	0.0375829	0.0781265	0.0847329	0.00691922	0.0345691	0.00712326	0.091493	0.123364	0.0280542	0.0639232	0.0297695	0.0161789	4.880885
40	-19350.66	-19354.05	3.391538	0.135473	0.0958435	0.103218	0.289605	0.0286737	0.038598	0.0843002	0.209027	0.0271459	0.00207376	0.0691419	0.193868	0.163275	0.0321786	0.102894	0.0844103	0.155076	0.0557422	0.0335247	0.172178	0.0802692	0.199197	0.145566	0.0585991	0.0933906	0.0209531	0.0563259	0.0490424	0.0374615	0.298994	0.0490313	0.215999	0.0751294	0.277394	0.0642368	0.0190377	0.00108473	0.0803455	0.161462	0.00452709	0.0115087	0.055569	0.0183846	4.149754
50	-19148.8	-19143.86	-4.933337	0.20046	0.0303077	0.186022	0.277288	0.0906455	0.108117	0.084721	0.025302	0.0890054	0.0725	0.241838	0.0978769	0.0664991	0.0947968	0.160319	0.247036	0.211855	0.0168994	0.0142717	0.581513	0.0704351	0.0323693	0.0767717	0.0541225	0.121441	0.00137238	0.0765423	0.197763	0.0841666	0.056634	0.577546	0.166403	0.00924946	0.12101	0.0831003	0.112993	0.0642529	0.000928308	0.0231604	0.104141	0.0292712	0.0128203	0.00847317	4.982242
60	-19601.76	-19600.52	-1.234557	0.13956	0.0743548	0.0348879	0.0346883	0.11402	0.0621461	0.00380027	0.026077	0.272713	0.116966	0.0639575	0.0801747	0.0387859	0.13488	0.0640663	0.259578	0.131476	0.0614572	0.102442	0.0439958	0.184833	0.538474	0.250657	0.110044	0.20788	0.00130208	0.000278752	0.0834787	0.0738017	0.0780981	0.23405	0.0196085	0.00331618	0.0509222	0.061426	0.192534	0.0550062	0.0264184	0.040989	0.0684911	0.0748352	0.311506	0.084386	4.612364
70	-18861.02	-18862.32	1.301496	0.133852	0.159389	0.0443062	0.174219	0.139866	0.103472	0.0606896	0.0165094	0.300312	0.135435	0.11649	0.0503804	0.122719	0.146112	0.0593022	0.158128	0.112453	0.118981	0.1728	0.0242734	0.0402382	0.128193	0.0696627	0.00796416	0.171475	0.0993937	0.177407	0.0136984	0.015509	0.0481162	0.230554	0.0515186	0.00103504	0.0182655	0.00236607	0.0100493	0.0866202	0.150683	0.121255	0.163427	0.274137	0.11401	0.0134905	4.358758
80	-18450.51	-18451.72	1.215133	0.0624749	0.159389	0.0868917	0.124537	0.20688	0.0895418	0.0369149	0.0323217	0.0995492	0.100704	0.101014	0.223257	0.182781	0.0841225	0.116851	0.165672	0.129829	0.0491322	0.126859	0.167854	0.0283159	0.081829	0.0724793	0.0652606	0.214619	0.0862187	0.13322	0.0422162	0.140008	0.120914	0.0279305	0.251756	0.098691	0.148307	0.0549492	0.0146364	0.0430728	0.0645866	0.0133738	0.0291353	0.00237447	0.279445	0.00747852	4.367395
90	-18428.36	-18435.99	7.634918	0.0672219	0.00555105	0.188669	0.060178	0.20688	0.244007	0.0189941	0.101701	0.0109718	0.111744	0.128811	0.0378542	0.272266	0.0322696	0.116851	0.164275	0.0772344	0.110165	0.0989433	0.0275531	0.00825214	0.0431873	0.0674553	0.00959757	0.0041002	0.0398825	0.0102115	0.0615144	0.164524	0.184643	0.15689	0.000922197	0.00307395	0.157605	0.0807569	0.0536945	0.0193095	0.0724267	0.116653	0.280347	0.0827259	0.00145569	0.0240482	3.725416
100	-18194.5	-18194.39	-0.1089523	0.275654	0.130684	0.272562	0.0958295	0.165511	0.0815821	0.204455	0.0289858	0.11479	0.0932105	0.0407267	0.0612533	0.0858663	0.212032	0.246318	0.0163767	0.0963339	0.118985	0.151069	0.0184615	0.058957	0.191199	0.172596	0.0150438	0.0419947	0.171719	0.0983832	0.000665859	0.109333	0.137282	0.154011	0.0968848	0.0627776	0.0954863	0.0231576	0.163694	0.01315	0.100567	0.015921	0.0438408	0.141843	0.00785627	0.0727533	4.499803
