Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
0	-15809.39	-15821.54	12.14339	0.128136	0.131814	0.0913483	0.104993	0.13065	0.0817069	0.145284	0.0631497	0.0869346	0.156239	0.0891656	0.0863987	0.0913273	0.083931	0.101768	0.13641	0.121205	0.1227	0.142741	0.0688951	0.105672	0.0861094	0.170093	0.0372377	0.03125	0.0448874	0.0171366	0.0369779	0.0262781	0.0312247	0.0609038	0.0372622	0.0297879	0.0440679	0.054952	0.0220031	0.0781389	0.0429769	0.0216042	0.0245746	0.0297476	0.0608863	0.0160013	3.274569
10	-15811.67	-15824.17	12.49516	0.122059	0.0933137	0.100566	0.0760715	0.107699	0.0913999	0.131298	0.0971462	0.0921538	0.159575	0.0900772	0.068001	0.101297	0.107368	0.110105	0.133479	0.118203	0.116004	0.120739	0.0842889	0.0905122	0.101274	0.175598	0.0266563	0.0269846	0.0341827	0.0341352	0.0523901	0.0212692	0.0255079	0.0292113	0.0558871	0.0163732	0.0353399	0.0568828	0.0213962	0.091734	0.0505453	0.0103244	0.0178452	0.041114	0.0780974	0.025287	3.239392
20	-15798.22	-15811.49	13.27367	0.128278	0.0964771	0.0912732	0.100407	0.103311	0.0820851	0.119578	0.0829085	0.0894271	0.160712	0.0827557	0.0777358	0.119523	0.0909153	0.107474	0.126688	0.14003	0.104283	0.127297	0.0765944	0.0793657	0.0980103	0.169532	0.0239374	0.0176359	0.0333546	0.0182854	0.0455502	0.0360487	0.0387638	0.0305818	0.0286567	0.0215572	0.0392814	0.0621769	0.0202178	0.074908	0.0437481	0.0271519	0.0220085	0.0417357	0.0588442	0.0224357	3.161541
30	-15818.71	-15830.83	12.11648	0.161256	0.0991575	0.108191	0.0928823	0.0902429	0.0861202	0.106494	0.0929926	0.0939953	0.192431	0.0808059	0.0813438	0.119606	0.111714	0.0898519	0.140915	0.107662	0.129415	0.112798	0.0876103	0.0821723	0.0959215	0.169532	0.0354803	0.0412527	0.0272458	0.0212059	0.0493957	0.0185711	0.0309858	0.0489274	0.0400197	0.0453075	0.031609	0.0614797	0.0188426	0.0609184	0.0381739	0.0128414	0.0252587	0.0229645	0.0739414	0.0397277	3.27726
40	-15810.59	-15823.5	12.90805	0.129843	0.143089	0.0955483	0.0950758	0.0986854	0.0796794	0.146175	0.0743919	0.0939953	0.16681	0.0824548	0.0805435	0.112329	0.0796434	0.116251	0.110139	0.114764	0.117913	0.129356	0.0878008	0.0741973	0.0823996	0.182496	0.0222302	0.0179212	0.05061	0.0104563	0.0434215	0.0348499	0.0322376	0.0261204	0.0426953	0.0205546	0.0319842	0.0538175	0.01996	0.0627478	0.0388802	0.0249639	0.0290009	0.0473835	0.063049	0.0316391	3.198103
50	-15815.57	-15829.09	13.52134	0.122947	0.102446	0.110351	0.0960188	0.140047	0.0859464	0.121301	0.0768348	0.121241	0.146564	0.0781746	0.0804716	0.0922917	0.104983	0.124185	0.112774	0.130158	0.080597	0.107294	0.0647386	0.0769852	0.097317	0.176409	0.00935906	0.0233544	0.0267754	0.0237584	0.0412752	0.0253176	0.0283164	0.0552205	0.0405905	0.0164479	0.0376495	0.0723794	0.0288944	0.0873707	0.034305	0.0197472	0.0386488	0.0185504	0.0323335	0.026404	3.136774
60	-15804.29	-15817.47	13.18067	0.126997	0.096759	0.0896215	0.110532	0.112486	0.0999304	0.118163	0.083937	0.0967123	0.158454	0.0729245	0.0865604	0.0855208	0.0940015	0.103559	0.109656	0.12691	0.133698	0.112389	0.076427	0.0885331	0.0817103	0.136996	0.0216705	0.0385973	0.0340406	0.0206193	0.0461892	0.0361249	0.0357716	0.053437	0.0317662	0.0355154	0.0271693	0.0641447	0.0234141	0.0769373	0.0321628	0.0300655	0.0249829	0.0445108	0.0612813	0.0299604	3.170841
70	-15817.27	-15829.89	12.61337	0.103201	0.104895	0.112338	0.100045	0.0966537	0.10228	0.137785	0.0780642	0.114497	0.16411	0.0985089	0.088937	0.0867545	0.0900153	0.121593	0.130248	0.143112	0.106765	0.119487	0.0688619	0.0978547	0.083901	0.141274	0.0340602	0.025918	0.0580814	0.0131862	0.0608853	0.0333876	0.0327077	0.0423218	0.0669966	0.0241754	0.0272384	0.0504067	0.0396057	0.0492682	0.0502486	0.0195798	0.0179682	0.0237475	0.0486975	0.0179085	3.227571
80	-15817.97	-15831	13.03316	0.142493	0.100242	0.117328	0.108127	0.101111	0.094082	0.14171	0.0715637	0.0924042	0.178081	0.0776025	0.0614251	0.0810196	0.0952724	0.11064	0.111757	0.1072	0.11368	0.156474	0.0741346	0.0729712	0.0888321	0.159751	0.0253678	0.0235777	0.0384922	0.0143315	0.0464773	0.0262674	0.0297708	0.0577457	0.0477967	0.0193964	0.0311675	0.0563448	0.0330837	0.0806844	0.0484597	0.0153288	0.0205646	0.056033	0.0340153	0.0227832	3.185592
90	-15812.85	-15825.92	13.07212	0.123018	0.0860429	0.103161	0.104236	0.152675	0.0711446	0.109053	0.0853958	0.0966404	0.175685	0.0815504	0.0802069	0.107575	0.0979359	0.117736	0.101833	0.119543	0.104675	0.0846764	0.0865844	0.0867114	0.0813076	0.185671	0.0225272	0.0235739	0.0457463	0.0301859	0.0446043	0.0244429	0.0506199	0.047893	0.0649787	0.0200671	0.033274	0.0635204	0.0252586	0.0800466	0.0348284	0.0196219	0.0207008	0.0188522	0.0520684	0.0158268	3.181696
