Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
110	-16700.17	-16703.87	3.700118	0.0594562	0.155194	0.100353	0.0802226	0.0671617	0.0911047	0.0352951	0.15157	0.123861	0.081357	0.190589	0.182885	0.0623853	0.0835167	0.097646	0.205484	0.272847	0.0646402	0.095208	0.155861	0.101723	0.198302	0.188094	0.0530178	0.0482453	0.0748192	0.0280335	0.00971578	0.0188866	0.110556	0.139415	0.0961487	0.0383252	0.0460425	0.00648437	0.0163812	0.0421113	0.0895304	0.0310398	0.052021	0.16594	0.121694	0.0857301	4.118896
120	-16483.7	-16488.36	4.657653	0.0758877	0.0759051	0.0848542	0.0802226	0.146998	0.0340618	0.121661	0.0417885	0.150339	0.236076	0.092766	0.136326	0.136835	0.116285	0.141048	0.0944547	0.1823	0.189604	0.220152	0.140722	0.00758411	0.117821	0.22865	0.0144723	0.0268111	0.0923407	0.0224087	0.0397724	0.0621927	0.189506	0.166245	0.0361866	0.0133237	0.0397589	0.0327696	0.0648172	0.0634594	0.0362425	0.0367258	0.0260807	0.0317168	0.0134918	0.162477	4.023143
130	-16526.74	-16535.52	8.782234	0.227873	0.0846372	0.171596	0.0810097	0.146701	0.0702403	0.0341364	0.129028	0.0865121	0.0770672	0.0164132	0.171408	0.118106	0.0460816	0.0160754	0.178959	0.156333	0.0705746	0.139049	0.0651539	0.20023	0.117821	0.138599	0.0363047	0.0173084	0.00239097	0.0110384	0.076784	0.0501157	0.0286664	0.0855942	0.00891684	0.118505	0.0592539	0.0146126	0.0283686	0.0619604	0.085404	0.02692	0.116879	0.0874171	0.0119267	0.138713	3.610685
140	-16796.48	-16798.52	2.03284	0.134504	0.201331	0.0880103	0.103049	0.0469507	0.124873	0.066167	0.0602556	0.101848	0.275877	0.158315	0.0671626	0.124357	0.0816203	0.0160754	0.14896	0.239586	0.306164	0.139049	0.00943875	0.163388	0.0726482	0.32687	0.080459	0.181781	0.0258346	0.00598468	0.0193863	0.0537602	0.205821	0.00904021	0.129141	0.0588929	0.0694358	0.0209214	0.000100875	0.0358839	0.016371	0.0210446	0.120608	0.0563423	0.0605184	0.0577978	4.285624
150	-16610.47	-16619.75	9.282168	0.130231	0.178211	0.0391642	0.0123108	0.0991649	0.0657594	0.208603	0.115541	0.0975964	0.157621	0.0614183	0.107966	0.0325588	0.0831068	0.0791059	0.0523354	0.0681934	0.212545	0.116761	0.0291812	0.174449	0.0676165	0.246021	0.0462126	0.122659	0.0157002	0.00930214	0.112485	0.0486335	0.0457152	0.0215465	0.0480596	0.105142	0.018388	0.0120238	0.0336352	0.0182431	0.0369097	0.12141	0.0861507	0.114731	0.0564364	0.0518462	3.560691
160	-16590.91	-16599.31	8.39723	0.236027	0.0845117	0.0914196	0.141399	0.113448	0.0681255	0.061006	0.0596698	0.0312032	0.0986745	0.0796876	0.10507	0.0567771	0.100811	0.0572366	0.0442474	0.14657	0.0716564	0.124187	0.119375	0.129545	0.0331137	0.0846985	0.129237	0.0473607	0.0440285	0.0753175	0.0536171	0.119378	0.0716682	0.0250416	0.177615	0.0277516	0.134753	0.0741407	0.0228246	0.152561	0.0674588	0.018416	0.0813377	0.0706598	0.0657127	0.0518462	3.649185
170	-16773.33	-16781.66	8.32587	0.158725	0.0820417	0.00992009	0.0762686	0.0621034	0.0617095	0.0947616	0.0870905	0.175157	0.13517	0.0658843	0.1405	0.101966	0.0968918	0.0198164	0.170801	0.0742581	0.0539589	0.158544	0.0756899	0.0661166	0.0632818	0.0933174	0.179502	0.0369162	0.065039	0.130099	0.0328425	0.0448196	0.0159412	0.0155418	0.227864	0.00655786	0.0504119	0.106412	0.0893817	0.0307733	0.0346233	0.00025045	0.272174	0.0406813	0.0988047	0.0537121	3.656321
180	-16722.41	-16726.94	4.530671	0.0741382	0.0215394	0.0731444	0.165337	0.148407	0.0522915	0.195697	0.139075	0.0892127	0.141448	0.0589585	0.172689	0.0516058	0.0793283	0.0485844	0.265941	0.310015	0.186705	0.15598	0.0793644	0.0861977	0.130829	0.130856	0.0390249	0.0331614	0.0231126	0.115647	0.0881185	0.0346257	0.0202269	0.117444	0.0530768	0.0321641	0.0186711	0.0269538	0.17718	0.0186449	0.0472975	0.0150155	0.192398	0.0779727	0.00685114	0.040911	4.035841
190	-16645.74	-16661.6	15.85428	0.0519788	0.0337219	0.0919942	0.0383918	0.19957	0.122221	0.135353	0.0671492	0.111876	0.0718247	0.130043	0.0656946	0.0974084	0.094633	0.183506	0.0547191	0.185262	0.0732665	0.0961093	0.0367272	0.0329749	0.0632998	0.159357	0.000924954	0.0220174	0.0601362	0.0264611	0.0804354	0.0070744	0.0209452	0.104165	0.0194056	0.0218072	0.0575567	0.065287	0.0234261	0.0186449	0.059018	0.0250335	0.0509065	0.0055021	0.0142582	0.023392	2.90348
200	-16567.83	-16577.56	9.735665	0.119066	0.0880248	0.160207	0.0511912	0.0773808	0.035991	0.142887	0.0864891	0.163186	0.152106	0.0778756	0.0584941	0.0964105	0.0699953	0.046478	0.330146	0.252891	0.066924	0.128954	0.0949263	0.09676	0.0198594	0.19936	0.0212585	0.0282357	0.0129624	0.0322765	0.0319027	0.0534875	0.0118394	0.0340463	0.0300115	0.00282085	0.0145069	0.0457032	0.0836918	0.0677455	0.174362	0.07688	0.0582746	0.039978	0.0236561	0.0560984	3.515341
210	-16773.32	-16782.58	9.258668	0.101412	0.106066	0.0779058	0.178726	0.274139	0.0874439	0.109963	0.283102	0.0260502	0.0785379	0.142335	0.0663436	0.0291972	0.101868	0.0959697	0.126185	0.0420882	0.0268074	0.0576177	0.109019	0.0802431	0.1827	0.242159	0.0231132	0.0374489	0.0483823	0.0235208	0.0326657	0.0704401	0.0545026	0.035218	0.0460181	0.0483196	0.056997	0.0532656	0.0249542	0.0945035	0.0745421	0.0247186	0.0244118	0.0834162	0.0303984	0.0503265	3.563041
220	-16571.54	-16584.67	13.13262	0.107033	0.0396987	0.0507528	0.0631525	0.0691933	0.0396722	0.0771614	0.0647308	0.0999975	0.0885831	0.0895895	0.0889034	0.119189	0.0509511	0.159389	0.161521	0.0995907	0.0426052	0.19831	0.166113	0.0653932	0.0714711	0.242159	0.0234051	0.0260634	0.0308993	0.0270218	0.0559323	0.0265623	0.0794401	0.0655046	0.152012	0.0437808	0.0247694	0.000629796	0.0396762	0.0416757	0.017036	0.0432784	0.154125	0.0522979	0.00138506	0.0149893	3.175646
230	-16627.69	-16636.19	8.496587	0.197508	0.109717	0.0805061	0.0502562	0.0530985	0.105908	0.156679	0.0526085	0.0940493	0.228952	0.0205247	0.109151	0.16444	0.151684	0.108757	0.243154	0.0761255	0.0736992	0.0805178	0.199109	0.0500438	0.0358174	0.107409	0.0518351	0.0478302	0.0402969	0.107903	0.034128	0.00192595	0.0959987	0.0749704	0.0164538	0.104932	0.0286908	0.0417151	0.0337871	0.0519371	0.00254042	0.100163	0.11848	0.0492241	0.0289655	0.0577556	3.639249
240	-16431.78	-16438.56	6.776887	0.0925676	0.155735	0.0727574	0.0148236	0.101398	0.122769	0.148904	0.0442311	0.223231	0.202249	0.114532	0.0554827	0.140023	0.124139	0.195811	0.0920862	0.212881	0.183756	0.150762	0.0358075	0.0315805	0.0659399	0.220585	0.0422056	0.0573085	0.0656638	0.0939894	0.118212	0.0566372	0.0959987	0.00414947	0.0391455	0.0262487	0.0112119	0.0310104	0.0742293	0.0430043	0.00907086	0.00535264	0.0618482	0.0708863	0.0500548	0.0529416	3.811219
250	-16538.72	-16547.76	9.04357	0.174874	0.144254	0.158299	0.0785661	0.0495379	0.0592414	0.100853	0.0921551	0.0893391	0.231742	0.144618	0.0656061	0.177416	0.0769088	0.0222707	0.204318	0.0202947	0.101201	0.0646399	0.11098	0.0592173	0.126071	0.236332	0.116449	0.104574	0.0201535	0.0942034	0.042087	0.0365839	0.0217672	0.0111235	0.0542499	0.0687811	0.0179505	0.139163	0.080705	0.0607516	0.0184509	0.0269825	0.0388473	0.0063185	0.00837566	0.0282993	3.584551
260	-16485.5	-16495.72	10.22393	0.16491	0.0229707	0.060163	0.113517	0.168419	0.0396166	0.0904828	0.0634279	0.0670783	0.200632	0.184473	0.0570175	0.0765322	0.212908	0.033284	0.145305	0.0356779	0.124674	0.0748721	0.113338	0.0485055	0.0716435	0.214458	0.0527581	0.0213366	0.0465576	0.0110022	0.0856457	0.055354	0.0149896	0.00938327	0.0701845	0.0255663	0.0552444	0.12462	0.0562406	0.036909	0.166303	0.00674093	0.0264766	0.116351	0.050525	0.0504192	3.466515
