Iteration	Posterior	Likelihood	Prior	mu	beta[1]	beta[2]	switch_rate_0_to_1	switch_rate_1_to_0	switch_rate_1_to_2	switch_rate_2_to_1	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]	switch_rates_pos[3]	switch_rates_pos[4]
1400	-1090.319	-1085.464	-4.855465	0.8488802	0.461007	0.461007	0.008669717	0.4539068	0.3781595	0.1592639	0.00866972	0	0.453907	0.37816	0	0.159264	0.00866972	0.453907	0.37816	0.159264
1450	-942.0965	-935.2303	-6.86619	1.087521	0.085325	0.085325	0.007902388	0.5131064	0.3498342	0.1291569	0.00790239	0	0.513106	0.349834	0	0.129157	0.00790239	0.513106	0.349834	0.129157
1500	-966.6263	-961.5518	-5.074493	0.8924812	0.244026	0.244026	0.006345205	0.4981144	0.3490877	0.1464527	0.00634521	0	0.498114	0.349088	0	0.146453	0.00634521	0.498114	0.349088	0.146453
1550	-979.6496	-972.969	-6.680622	0.9498328	1.27664	1.27664	0.009427096	0.5525795	0.2399212	0.1980722	0.0094271	0	0.552579	0.239921	0	0.198072	0.0094271	0.552579	0.239921	0.198072
1600	-1157.812	-1152.011	-5.801158	0.8911211	0.984292	0.984292	0.01293821	0.4944955	0.2942313	0.1983349	0.0129382	0	0.494496	0.294231	0	0.198335	0.0129382	0.494496	0.294231	0.198335
1650	-981.1386	-975.9822	-5.156491	0.9047245	0.203591	0.203591	0.01087298	0.5858212	0.285095	0.1182108	0.010873	0	0.585821	0.285095	0	0.118211	0.010873	0.585821	0.285095	0.118211
1700	-1049.314	-1043.258	-6.055906	1.00125	0.137752	0.137752	0.01193076	0.5284967	0.2991684	0.1604041	0.0119308	0	0.528497	0.299168	0	0.160404	0.0119308	0.528497	0.299168	0.160404
1750	-1107.684	-1102.388	-5.29584	0.9069924	0.320261	0.320261	0.01285257	0.531504	0.2961895	0.1594539	0.0128526	0	0.531504	0.29619	0	0.159454	0.0128526	0.531504	0.29619	0.159454
1800	-1075.006	-1069.488	-5.518633	0.924435	0.368628	0.368628	0.01269906	0.6294685	0.1857915	0.1720409	0.0126991	0	0.629468	0.185792	0	0.172041	0.0126991	0.629468	0.185792	0.172041
1850	-1074.528	-1069.81	-4.7176	0.8734888	0.0770562	0.0770562	0.01095011	0.4479834	0.3557197	0.1853468	0.0109501	0	0.447983	0.35572	0	0.185347	0.0109501	0.447983	0.35572	0.185347
1900	-1096.596	-1089.958	-6.638393	1.051277	0.219968	0.219968	0.01058337	0.4941272	0.3330884	0.162201	0.0105834	0	0.494127	0.333088	0	0.162201	0.0105834	0.494127	0.333088	0.162201
1950	-1030.179	-1024.001	-6.178267	1.003131	0.241302	0.241302	0.007730001	0.4131204	0.4117452	0.1674044	0.00773	0	0.41312	0.411745	0	0.167404	0.00773	0.41312	0.411745	0.167404
2000	-1060.122	-1053.429	-6.693106	1.035303	0.434422	0.434422	0.009155875	0.5348485	0.292651	0.1633446	0.00915588	0	0.534849	0.292651	0	0.163345	0.00915588	0.534849	0.292651	0.163345
2050	-1006.791	-1001.513	-5.278169	0.8442964	0.929549	0.929549	0.009907014	0.6022328	0.2547144	0.1331458	0.00990701	0	0.602233	0.254714	0	0.133146	0.00990701	0.602233	0.254714	0.133146
2100	-882.0298	-875.1956	-6.834217	0.947156	1.457	1.457	0.007381295	0.523979	0.3339458	0.1346939	0.0073813	0	0.523979	0.333946	0	0.134694	0.0073813	0.523979	0.333946	0.134694
2150	-934.4712	-928.5605	-5.910646	0.9603997	0.400993	0.400993	0.01068308	0.5844808	0.2748762	0.1299599	0.0106831	0	0.584481	0.274876	0	0.12996	0.0106831	0.584481	0.274876	0.12996
2200	-785.2289	-781.1793	-4.049579	0.7682589	0.461335	0.461335	0.009477802	0.5635584	0.3179981	0.1089657	0.0094778	0	0.563558	0.317998	0	0.108966	0.0094778	0.563558	0.317998	0.108966
2250	-979.7754	-973.7683	-6.007159	0.9638211	0.463292	0.463292	0.01089124	0.6755407	0.20968	0.103888	0.0108912	0	0.675541	0.20968	0	0.103888	0.0108912	0.675541	0.20968	0.103888
2300	-1203.338	-1197.634	-5.703997	0.964911	0.149232	0.149232	0.01853514	0.6497326	0.2247658	0.1069665	0.0185351	0	0.649733	0.224766	0	0.106966	0.0185351	0.649733	0.224766	0.106966
2350	-1156.889	-1150.219	-6.669524	1.048928	0.274586	0.274586	0.01632616	0.5939118	0.2673889	0.1223731	0.0163262	0	0.593912	0.267389	0	0.122373	0.0163262	0.593912	0.267389	0.122373
2400	-1079.211	-1074.63	-4.581199	0.6917909	1.75763	1.75763	0.01462173	0.7171096	0.1584931	0.1097755	0.0146217	0	0.71711	0.158493	0	0.109776	0.0146217	0.71711	0.158493	0.109776
2450	-963.4344	-961.1563	-2.278058	0.589545	0.476952	0.476952	0.01690934	0.5681212	0.2383836	0.1765859	0.0169093	0	0.568121	0.238384	0	0.176586	0.0169093	0.568121	0.238384	0.176586
2500	-970.9612	-968.9735	-1.987745	0.5229887	0.852203	0.852203	0.01981586	0.5576175	0.222591	0.1999757	0.0198159	0	0.557618	0.222591	0	0.199976	0.0198159	0.557618	0.222591	0.199976
2550	-1073.006	-1070.019	-2.986697	0.690008	0.180961	0.180961	0.01112573	0.5616367	0.2477621	0.1794755	0.0111257	0	0.561637	0.247762	0	0.179476	0.0111257	0.561637	0.247762	0.179476
2600	-1038.107	-1034.019	-4.088424	0.7153792	1.02898	1.02898	0.008500513	0.4907634	0.3257484	0.1749877	0.00850051	0	0.490763	0.325748	0	0.174988	0.00850051	0.490763	0.325748	0.174988
2650	-1245.732	-1239.773	-5.95889	0.9487717	0.565518	0.565518	0.01109273	0.5282652	0.2857301	0.174912	0.0110927	0	0.528265	0.28573	0	0.174912	0.0110927	0.528265	0.28573	0.174912
2700	-1074.254	-1067.479	-6.775278	1.070434	0.165285	0.165285	0.01018539	0.5895859	0.2882914	0.1119373	0.0101854	0	0.589586	0.288291	0	0.111937	0.0101854	0.589586	0.288291	0.111937
