Iteration	Posterior	Likelihood	Prior	mu	beta[1]	beta[2]	switch_rate_0_to_1	switch_rate_1_to_0	switch_rate_1_to_2	switch_rate_2_to_1	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]	switch_rates_pos[3]	switch_rates_pos[4]
1400	-1195.075	-1186.273	-8.802401	1.215605	0.740695	0.740695	0.01642885	0.7772748	0.1285557	0.07774064	0.0164289	0	0.777275	0.128556	0	0.0777406	0.0164289	0.777275	0.128556	0.0777406
1450	-1311.756	-1303.24	-8.515883	1.15139	1.09633	1.09633	0.0205166	0.7712029	0.09452003	0.1137605	0.0205166	0	0.771203	0.09452	0	0.11376	0.0205166	0.771203	0.09452	0.11376
1500	-1307.407	-1303.213	-4.194409	0.7530741	0.758012	0.758012	0.02456965	0.6713772	0.1463112	0.157742	0.0245697	0	0.671377	0.146311	0	0.157742	0.0245697	0.671377	0.146311	0.157742
1550	-1081.098	-1076.252	-4.846592	0.8207286	0.73365	0.73365	0.01831107	0.6152041	0.2247503	0.1417345	0.0183111	0	0.615204	0.22475	0	0.141734	0.0183111	0.615204	0.22475	0.141734
1600	-1142.811	-1138.012	-4.799515	0.8143651	0.750208	0.750208	0.01840898	0.7037743	0.1567975	0.1210192	0.018409	0	0.703774	0.156797	0	0.121019	0.018409	0.703774	0.156797	0.121019
1650	-1148.745	-1143.284	-5.460655	0.7747511	1.80749	1.80749	0.01286726	0.7780805	0.06908883	0.1399634	0.0128673	0	0.77808	0.0690888	0	0.139963	0.0128673	0.77808	0.0690888	0.139963
1700	-1395.681	-1388.494	-7.186997	1.003888	1.24246	1.24246	0.02208084	0.7576204	0.1052131	0.1150856	0.0220808	0	0.75762	0.105213	0	0.115086	0.0220808	0.75762	0.105213	0.115086
1750	-1024.008	-1019.185	-4.823211	0.7629628	1.28793	1.28793	0.01418111	0.7247507	0.1257839	0.1352843	0.0141811	0	0.724751	0.125784	0	0.135284	0.0141811	0.724751	0.125784	0.135284
1800	-1042.5	-1037.359	-5.141295	0.8016926	1.21871	1.21871	0.01895688	0.8316649	0.05450616	0.09487203	0.0189569	0	0.831665	0.0545062	0	0.094872	0.0189569	0.831665	0.0545062	0.094872
1850	-1282.855	-1273.861	-8.994115	1.213434	0.954125	0.954125	0.02164032	0.7730687	0.1075417	0.09774925	0.0216403	0	0.773069	0.107542	0	0.0977492	0.0216403	0.773069	0.107542	0.0977492
1900	-1342.522	-1336.799	-5.723124	0.8989081	0.828387	0.828387	0.02222211	0.7431877	0.09180828	0.1427819	0.0222221	0	0.743188	0.0918083	0	0.142782	0.0222221	0.743188	0.0918083	0.142782
1950	-1277.02	-1270.31	-6.710385	0.9645635	1.15909	1.15909	0.02394626	0.7237687	0.1172896	0.1349955	0.0239463	0	0.723769	0.11729	0	0.134995	0.0239463	0.723769	0.11729	0.134995
2000	-1137.229	-1129.971	-7.257784	1.017326	1.17887	1.17887	0.01406887	0.7360514	0.1312236	0.1186562	0.0140689	0	0.736051	0.131224	0	0.118656	0.0140689	0.736051	0.131224	0.118656
2050	-1174.984	-1170.456	-4.527785	0.734668	1.27545	1.27545	0.02006266	0.7245454	0.1006925	0.1546994	0.0200627	0	0.724545	0.100693	0	0.154699	0.0200627	0.724545	0.100693	0.154699
2100	-1002.208	-996.8521	-5.356357	0.8363658	1.08704	1.08704	0.01161541	0.5859626	0.2272808	0.1751412	0.0116154	0	0.585963	0.227281	0	0.175141	0.0116154	0.585963	0.227281	0.175141
2150	-940.411	-936.0412	-4.369747	0.7204602	1.25949	1.25949	0.01171684	0.5314142	0.2519221	0.2049469	0.0117168	0	0.531414	0.251922	0	0.204947	0.0117168	0.531414	0.251922	0.204947
2200	-1002.013	-996.0201	-5.992716	0.8898761	1.1883	1.1883	0.0109647	0.6270647	0.1678894	0.1940813	0.0109647	0	0.627065	0.167889	0	0.194081	0.0109647	0.627065	0.167889	0.194081
2250	-987.5861	-983.574	-4.012132	0.6921557	1.18492	1.18492	0.01260063	0.543879	0.2361002	0.2074202	0.0126006	0	0.543879	0.2361	0	0.20742	0.0126006	0.543879	0.2361	0.20742
2300	-952.2917	-947.764	-4.527658	0.7433413	1.18859	1.18859	0.01194686	0.6385062	0.1927343	0.1568127	0.0119469	0	0.638506	0.192734	0	0.156813	0.0119469	0.638506	0.192734	0.156813
2350	-1058.599	-1052.548	-6.051859	0.8718524	1.42768	1.42768	0.01218138	0.7399882	0.09323443	0.154596	0.0121814	0	0.739988	0.0932344	0	0.154596	0.0121814	0.739988	0.0932344	0.154596
2400	-1011.878	-1006.465	-5.412818	0.8470066	1.0371	1.0371	0.009153662	0.6387817	0.2072595	0.1448051	0.00915366	0	0.638782	0.20726	0	0.144805	0.00915366	0.638782	0.20726	0.144805
2450	-1167.463	-1163.908	-3.555304	0.6402149	1.2475	1.2475	0.01798284	0.6071977	0.168828	0.2059915	0.0179828	0	0.607198	0.168828	0	0.205991	0.0179828	0.607198	0.168828	0.205991
2500	-1075.647	-1069.973	-5.674122	0.8963412	0.805054	0.805054	0.0137925	0.6040466	0.1772174	0.2049435	0.0137925	0	0.604047	0.177217	0	0.204944	0.0137925	0.604047	0.177217	0.204944
2550	-1132.955	-1125.579	-7.376772	0.9768022	1.70309	1.70309	0.01377317	0.7534319	0.08219016	0.1506048	0.0137732	0	0.753432	0.0821902	0	0.150605	0.0137732	0.753432	0.0821902	0.150605
2600	-1130.251	-1123.782	-6.46898	0.9077811	1.48551	1.48551	0.01226594	0.6719605	0.1124683	0.2033053	0.0122659	0	0.67196	0.112468	0	0.203305	0.0122659	0.67196	0.112468	0.203305
2650	-1058.05	-1051.951	-6.099059	0.8816229	1.37717	1.37717	0.01386006	0.7683263	0.07854915	0.1392645	0.0138601	0	0.768326	0.0785491	0	0.139264	0.0138601	0.768326	0.0785491	0.139264
2700	-1133.021	-1125.666	-7.354863	0.9958157	1.49105	1.49105	0.01255193	0.7265976	0.119822	0.1410285	0.0125519	0	0.726598	0.119822	0	0.141028	0.0125519	0.726598	0.119822	0.141028
2750	-1253.381	-1247.133	-6.248145	0.8758349	1.58414	1.58414	0.01567941	0.7757437	0.08541864	0.1231582	0.0156794	0	0.775744	0.0854186	0	0.123158	0.0156794	0.775744	0.0854186	0.123158
2800	-844.4069	-838.6612	-5.745733	0.8665649	1.17443	1.17443	0.01174529	0.6737531	0.1927356	0.121766	0.0117453	0	0.673753	0.192736	0	0.121766	0.0117453	0.673753	0.192736	0.121766
2850	-1006.387	-1001.166	-5.221338	0.7966332	1.34935	1.34935	0.01397817	0.6394628	0.2032805	0.1432785	0.0139782	0	0.639463	0.203281	0	0.143279	0.0139782	0.639463	0.203281	0.143279
2900	-939.0986	-931.2986	-7.800003	1.033099	1.56335	1.56335	0.01096054	0.8062583	0.08626358	0.09651761	0.0109605	0	0.806258	0.0862636	0	0.0965176	0.0109605	0.806258	0.0862636	0.0965176
2950	-1062.858	-1056.406	-6.452	0.8954417	1.59193	1.59193	0.01368698	0.77222	0.09534271	0.1187503	0.013687	0	0.77222	0.0953427	0	0.11875	0.013687	0.77222	0.0953427	0.11875
3000	-1320.134	-1313.502	-6.63241	0.9910082	0.816673	0.816673	0.01851577	0.6923991	0.1619729	0.1271122	0.0185158	0	0.692399	0.161973	0	0.127112	0.0185158	0.692399	0.161973	0.127112
3050	-991.987	-987.908	-4.079044	0.6983226	1.19016	1.19016	0.01865093	0.730841	0.1124903	0.1380177	0.0186509	0	0.730841	0.11249	0	0.138018	0.0186509	0.730841	0.11249	0.138018
3100	-980.0222	-975.6662	-4.355972	0.6970034	1.48028	1.48028	0.01714257	0.7389795	0.1055497	0.1383282	0.0171426	0	0.73898	0.10555	0	0.138328	0.0171426	0.73898	0.10555	0.138328
3150	-973.0735	-970.5052	-2.568346	0.4985032	1.67766	1.67766	0.01652759	0.6453363	0.1146603	0.2234758	0.0165276	0	0.645336	0.11466	0	0.223476	0.0165276	0.645336	0.11466	0.223476
3200	-860.4045	-856.9266	-3.477889	0.6546134	1.0261	1.0261	0.01472976	0.632338	0.2076708	0.1452615	0.0147298	0	0.632338	0.207671	0	0.145261	0.0147298	0.632338	0.207671	0.145261
3250	-1036.799	-1032.619	-4.180178	0.718082	1.0937	1.0937	0.01477648	0.6964446	0.1455441	0.1432349	0.0147765	0	0.696445	0.145544	0	0.143235	0.0147765	0.696445	0.145544	0.143235
