Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
380	-51.2874	-47.5929	-3.69454	0.00452931	0.995471	0.02128746	3.29822	1.65252	0.609146	0	0.8913899	1.259313	0.9954707	0.004529311	18.16825
390	-49.5128	-45.9424	-3.57039	0.192863	0.807137	0.01521632	3.50782	1.34924	0.684644	0	0.740393	0.7362248	0.8071374	0.1928626	5.447846
400	-50.8277	-47.0117	-3.81597	0.384262	0.615738	0.02848387	2.87937	1.33314	0.69222	0	0.9833719	1.343154	0.6157379	0.3842621	22.03706
410	-51.0414	-47.3626	-3.67873	0.352328	0.647672	0.02362683	2.42883	1.41698	0.65429	0	0.5382925	0.8905893	0.6476717	0.3523283	7.773011
420	-50.6484	-47.0864	-3.56197	0.163279	0.836721	0.03258523	3.19153	1.31964	0.602289	0	0.6626796	1.573053	0.8367206	0.1632794	37.4156
430	-50.2457	-46.3855	-3.8602	0.805948	0.194052	0.01928768	3.58401	1.38102	0.469463	0	0.466324	0.9931881	0.1940517	0.8059483	9.844373
440	-50.2918	-46.7131	-3.57863	0.16563	0.83437	0.01968609	2.82422	1.38842	0.344889	0	0.6229507	0.9466957	0.8343699	0.1656301	8.844957
450	-49.6704	-46.0898	-3.5806	0.804215	0.195785	0.02799886	2.4572	1.49763	0.436377	0	0.7619879	1.339941	0.1957854	0.8042146	21.87464
460	-50.753	-46.7935	-3.9595	0.39884	0.60116	0.0225137	2.20097	1.56864	0.458084	0	1.074999	1.260122	0.6011601	0.3988399	18.20212
470	-51.4841	-47.1675	-4.31657	0.401928	0.598072	0.02961445	2.21572	1.53804	0.385728	0	1.27167	1.372439	0.5980721	0.4019279	23.57432
480	-55.532	-48.156	-7.37595	0.268694	0.731306	0.02172928	2.60428	1.33812	0.554256	0	2.73579	0.8689234	0.7313057	0.2686943	7.394748
490	-52.6446	-49.0291	-3.61546	0.000313119	0.999687	0.01700654	2.63624	1.34307	0.468751	0	0.8126608	0.5887933	0.9996869	0.0003131186	3.879656
500	-53.7118	-50.0714	-3.64041	0.212113	0.787887	0.009536828	2.75467	1.44783	0.388316	0	0.8406111	0.2480128	0.7878871	0.2121129	1.770161
510	-50.1913	-46.6191	-3.5722	0.811376	0.188624	0.01825048	2.58788	1.33205	0.450308	0	0.7447402	0.8331226	0.1886244	0.8113756	6.809616
520	-49.6104	-45.8068	-3.80362	0.180716	0.819284	0.0181161	3.58376	1.57567	0.505927	0	0.9748263	0.8506522	0.8192839	0.1807161	7.090098
530	-50.6003	-46.6641	-3.93616	0.77645	0.22355	0.01391362	3.46011	1.63054	0.518185	0	1.06086	0.7710564	0.2235503	0.7764497	5.902777
540	-50.7446	-46.3488	-4.39585	0.266756	0.733244	0.01559261	3.22186	1.74783	0.447471	0	1.312244	0.6517864	0.7332443	0.2667557	4.485247
550	-49.5105	-45.729	-3.78153	0.285075	0.714925	0.01687504	3.6226	1.60347	0.674894	0	0.9591912	0.8871773	0.714925	0.285075	7.712182
560	-50.007	-46.166	-3.84101	0.824032	0.175968	0.01906153	2.92725	1.32865	0.610457	0	0.4722263	1.007963	0.1759678	0.8240322	10.18504
570	-49.7878	-46.1991	-3.58869	0.789705	0.210295	0.02280492	3.06585	1.57076	0.369343	0	0.7758486	1.055231	0.2102953	0.7897047	11.35616
580	-49.0361	-45.4766	-3.5595	0.716012	0.283988	0.02383993	2.8569	1.68004	0.545855	0	0.6806954	1.161214	0.2839879	0.7160121	14.49485
590	-50.5061	-46.8899	-3.61616	0.566962	0.433038	0.03294948	2.87846	1.56166	0.420765	0	0.8135073	1.580005	0.4330378	0.5669622	38.01938
600	-52.372	-48.812	-3.55998	0.184285	0.815715	0.0408873	2.83221	1.47581	0.496117	0	0.6999467	1.897181	0.8157145	0.1842855	78.91885
610	-50.1604	-46.378	-3.78245	0.679876	0.320124	0.03215049	2.89826	1.70857	0.447879	0	0.4921257	1.425832	0.3201238	0.6798762	26.65828
620	-49.6084	-45.7584	-3.85001	0.537928	0.462072	0.0212574	2.76419	1.69454	0.684755	0	1.006265	0.9290996	0.4620723	0.5379277	8.493753
630	-49.2979	-45.6385	-3.65941	0.727232	0.272768	0.02285017	2.8093	1.57975	0.557146	0	0.5495152	1.068205	0.2727678	0.7272322	11.7005
640	-50.3967	-45.7987	-4.59806	0.716924	0.283076	0.0299901	3.68021	1.33251	0.658564	0	0.3343129	1.47836	0.2830761	0.7169239	30.0857
650	-49.4032	-45.7864	-3.61683	0.78672	0.21328	0.02522027	2.23084	1.34522	0.550741	0	0.5800814	1.235152	0.21328	0.78672	17.18509
660	-50.0255	-46.3868	-3.63867	0.111053	0.888947	0.02634933	2.22022	1.33958	0.625559	0	0.8387827	1.228251	0.8889475	0.1110525	16.91418
670	-50.4077	-46.8261	-3.58162	0.518377	0.481623	0.03192934	2.31209	1.36332	0.524141	0	0.7638453	1.517214	0.4816228	0.5183772	32.90133
680	-51.4711	-46.2878	-5.18333	0.925402	0.0745976	0.01755113	3.09393	1.50123	0.639256	0	1.692346	0.8802983	0.07459755	0.9254024	7.590988
690	-53.2634	-48.3121	-4.9513	0.580241	0.419759	0.03155625	2.57284	1.69325	0.617188	0	1.582906	1.373918	0.419759	0.580241	23.65474
700	-49.7083	-46.0987	-3.60962	0.717168	0.282832	0.02828479	3.37701	1.6405	0.516906	0	0.8054181	1.377552	0.2828324	0.7171676	23.85349
710	-50.0342	-46.0771	-3.95704	0.257672	0.742328	0.02861268	2.99097	1.58165	0.553624	0	0.4400156	1.263284	0.7423282	0.2576718	18.33511
720	-51.9407	-48.3716	-3.56909	0.266798	0.733202	0.0322869	2.68343	1.35196	0.654796	0	0.7370623	1.307415	0.7332019	0.2667981	20.29621
730	-52.2118	-47.0787	-5.13308	0.567578	0.432422	0.03126325	2.47248	1.39041	0.543236	0	0.2830692	1.338697	0.4324218	0.5675782	21.81208
740	-49.9183	-46.2993	-3.61896	0.931573	0.068427	0.03002256	2.96546	1.43282	0.423706	0	0.5782818	1.381063	0.06842696	0.931573	24.0471
750	-51.537	-46.2539	-5.2831	0.885208	0.114792	0.02671218	3.22082	1.42264	0.47665	0	0.2716112	1.478509	0.1147916	0.8852084	30.09603
760	-49.5162	-45.903	-3.61314	0.429138	0.570862	0.02986652	2.71319	1.65863	0.431781	0	0.5832934	1.425236	0.5708617	0.4291383	26.62169
770	-50.6142	-45.8699	-4.74432	0.728115	0.271885	0.03190675	2.26601	1.40829	0.437188	0	0.3183054	1.590791	0.2718852	0.7281148	38.9754
780	-49.9291	-46.3658	-3.56322	0.535576	0.464424	0.0309939	2.38394	1.53317	0.460263	0	0.7183524	1.526973	0.4644242	0.5355758	33.64908
790	-49.6209	-46.0184	-3.60252	0.868978	0.131022	0.0292533	2.30141	1.44498	0.383931	0	0.5933418	1.477184	0.1310221	0.8689779	30.00432
800	-53.3598	-47.9596	-5.40022	0.145094	0.854906	0.02838605	2.38619	1.35152	0.451251	0	1.79392	1.280442	0.8549063	0.1450937	19.07401
810	-50.0694	-46.1464	-3.92306	0.35481	0.64519	0.02355176	2.80033	1.32597	0.632038	0	1.052815	1.169501	0.64519	0.35481	14.77411
820	-49.8857	-45.7243	-4.16141	0.587882	0.412118	0.02235309	2.89132	1.34822	0.603571	0	0.3970549	1.074293	0.4121177	0.5878823	11.86569
830	-49.7239	-46.1262	-3.59765	0.614285	0.385715	0.01642993	3.22653	1.75565	0.45198	0	0.7893455	0.8204673	0.3857148	0.6142852	6.614048
840	-49.1943	-45.3855	-3.80881	0.177631	0.822369	0.02396023	3.01599	1.79081	0.572196	0	0.4827765	1.227635	0.8223685	0.1776315	16.89022
850	-52.0991	-48.1278	-3.97125	0.517205	0.482795	0.007981552	2.77392	1.74923	0.514906	0	1.082032	0.3297404	0.4827953	0.5172047	2.136685
860	-52.662	-48.538	-4.12399	0.451935	0.548065	0.007017607	2.84431	1.77654	0.498001	0	1.169243	0.2148908	0.5480653	0.4519347	1.640177
870	-50.0064	-46.2928	-3.71361	0.337885	0.662115	0.03354046	3.67257	1.71289	0.472785	0	0.5206098	1.570277	0.6621153	0.3378847	37.17719
880	-49.8499	-46.2905	-3.55931	0.6156	0.3844	0.02818679	3.44811	1.55266	0.47209	0	0.6882198	1.462536	0.3843995	0.6156005	29.00923
