Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	m_b_simplex[1]	m_d_simplex[1]	m_d_simplex[2]	m_e[1]	m_e[2]	m_e_simplex[1]	m_e_simplex[2]	m_w[1]	m_w[2]	m_w_simplex[1]	m_w_simplex[2]	mu[1]	mu[2]	mu[3]	r_e[1]	r_e[2]	r_w[1]	r_w[2]	rho_b	rho_d	rho_e	rho_w
430	-1375.309	-1374.992	-0.3163616	0.206674	0.149314	0.453722	1	0.222949	0.777051	1.01532	0.984682	0.507659	0.492341	1.16113	0.838872	0.580564	0.419436	0.00414107	0.00401611	0	0.00414107	0.00401611	0.203973	0.147363	0.0977341	0.03888089	0.004078588	0.1756681
440	-1374.298	-1373.944	-0.3537481	0.202152	0.12344	0.464728	1	0.253943	0.746057	1.218	0.782001	0.608999	0.391001	1.24175	0.758248	0.620876	0.379124	0.00553201	0.00355176	0	0.00553201	0.00355176	0.196156	0.119778	0.139136	0.05210319	0.004541884	0.157967
450	-1374.547	-1374.24	-0.3073515	0.198613	0.129776	0.420777	1	0.214815	0.785185	1.04167	0.958334	0.520833	0.479167	1.20962	0.79038	0.60481	0.39519	0.0136038	0.0125155	0	0.0136038	0.0125155	0.194201	0.126893	0.09238707	0.0413578	0.01305963	0.160547
460	-1374.351	-1374.01	-0.3412533	0.186163	0.126671	0.442484	1	0.254546	0.745454	0.952838	1.04716	0.476419	0.523581	1.19017	0.809829	0.595085	0.404915	0.0101018	0.0111018	0	0.0101018	0.0111018	0.182766	0.12436	0.1296494	0.0474391	0.01060184	0.1535629
470	-1372.304	-1372.051	-0.2527464	0.188659	0.120036	0.371331	1	0.382464	0.617536	0.0382221	1.96178	0.0191111	0.980889	1.2223	0.7777	0.61115	0.38885	6.30474e-05	0.00323595	0	6.30474e-05	0.00323595	0.183938	0.117033	0.0626363	0.03797519	0.001649499	0.1504854
480	-1373.82	-1373.555	-0.2644642	0.184294	0.108729	0.355659	1	0.20965	0.79035	0.327214	1.67279	0.163607	0.836393	1.25788	0.742117	0.628941	0.371059	0.000118219	0.000604357	0	0.000118219	0.000604357	0.17806	0.105051	0.0626363	0.05991088	0.0003612875	0.1415557
490	-1375.741	-1375.449	-0.2928631	0.209281	0.0938692	0.419531	1	0.470637	0.529363	1.83396	0.166038	0.916981	0.0830188	1.38071	0.619292	0.690354	0.309646	0.0013547	0.000122648	0	0.0013547	0.000122648	0.193521	0.0868004	0.1163814	0.03558242	0.0007386748	0.1401606
500	-1374.031	-1373.756	-0.2745132	0.19928	0.151425	0.402001	1	0.290355	0.709645	1.55857	0.441427	0.779286	0.220714	1.13645	0.863548	0.568226	0.431774	0.000773198	0.000218989	0	0.000773198	0.000218989	0.197416	0.150009	0.05129642	0.04900831	0.0004960934	0.1737124
510	-1375.903	-1375.616	-0.2870225	0.204423	0.172668	0.428388	1	0.340558	0.659442	0.379667	1.62033	0.189833	0.810167	1.08421	0.915788	0.542106	0.457894	0.000768621	0.0032803	0	0.000768621	0.0032803	0.203697	0.172055	0.05129642	0.04582567	0.002024462	0.1878759
520	-1374.472	-1374.232	-0.2397862	0.190161	0.0863595	0.339177	1	0.405833	0.594167	1.16251	0.83749	0.581255	0.418745	1.37538	0.624615	0.687692	0.312308	0.00446458	0.00321635	0	0.00446458	0.00321635	0.176254	0.0800439	0.06265672	0.04513983	0.003840463	0.1281492
530	-1374.429	-1374.147	-0.2817752	0.218025	0.133434	0.414116	1	0.223484	0.776516	0.813275	1.18672	0.406638	0.593362	1.24068	0.759317	0.620342	0.379658	0.00671162	0.00979354	0	0.00671162	0.00979354	0.211616	0.129512	0.06265672	0.04030207	0.00825258	0.1705639
540	-1378.207	-1377.838	-0.3681711	0.167132	0.126993	0.467426	1	0.385188	0.614812	1.90979	0.0902125	0.954894	0.0451062	1.13647	0.863532	0.568234	0.431766	0.0144171	0.00068102	0	0.0144171	0.00068102	0.165569	0.125805	0.1733003	0.04163483	0.007549069	0.1456869
550	-1378.158	-1377.727	-0.431303	0.195306	0.123658	0.532461	1	0.390783	0.609217	1.42589	0.574112	0.712944	0.287056	1.22463	0.775371	0.612314	0.387686	0.0213063	0.00857865	0	0.0213063	0.00857865	0.190315	0.120498	0.2134969	0.0474573	0.01494247	0.1554063
