Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	m_b_simplex[1]	m_d_simplex[1]	m_d_simplex[2]	m_e[1]	m_e[2]	m_e_simplex[1]	m_e_simplex[2]	m_w[1]	m_w[2]	m_w_simplex[1]	m_w_simplex[2]	mu[1]	mu[2]	mu[3]	r_e[1]	r_e[2]	r_w[1]	r_w[2]	rho_b	rho_d	rho_e	rho_w
730	-1374.745	-1374.384	-0.3612855	0.187011	0.119583	0.460483	1	0.202526	0.797474	1.90274	0.0972584	0.951371	0.0486292	1.21993	0.780074	0.609963	0.390037	0.00434312	0.000221998	0	0.00434312	0.000221998	0.182432	0.116655	0.1538899	0.05556968	0.00228256	0.1495434
740	-1374.084	-1373.746	-0.337737	0.189105	0.11744	0.434462	1	0.293337	0.706663	0.939066	1.06093	0.469533	0.530467	1.23378	0.766217	0.616892	0.383108	0.00481925	0.00544468	0	0.00481925	0.00544468	0.183865	0.114186	0.1279163	0.05566334	0.005131966	0.1490254
750	-1374.21	-1373.898	-0.3120622	0.205944	0.120946	0.436967	1	0.243952	0.756048	1.05775	0.942254	0.528873	0.471127	1.26002	0.739981	0.63001	0.36999	0.00439454	0.00391471	0	0.00439454	0.00391471	0.19886	0.116786	0.1100768	0.0400074	0.004154629	0.1578233
760	-1373.044	-1372.772	-0.2728862	0.178578	0.11661	0.373332	1	0.341967	0.658033	1.28338	0.71662	0.64169	0.35831	1.20993	0.790071	0.604964	0.395036	0.00765051	0.00427193	0	0.00765051	0.00427193	0.174599	0.114011	0.07814396	0.04447588	0.005961217	0.1443052
770	-1373.588	-1373.356	-0.2316931	0.203178	0.108527	0.323585	1	0.290246	0.709754	1.57898	0.421016	0.789492	0.210508	1.30366	0.696343	0.651828	0.348172	0.021206	0.0056543	0	0.021206	0.0056543	0.193584	0.103402	0.01188051	0.05788921	0.01343015	0.1484932
780	-1374.686	-1374.381	-0.3046753	0.182775	0.137853	0.413949	1	0.2989	0.7011	0.369059	1.63094	0.18453	0.81547	1.14011	0.859893	0.570054	0.429946	0.00567233	0.0250671	0	0.00567233	0.0250671	0.180972	0.136493	0.09332155	0.03725172	0.01536969	0.1587324
790	-1373.693	-1373.488	-0.2042648	0.177545	0.128319	0.315286	1	0.399516	0.600484	0.641887	1.35811	0.320944	0.679056	1.16094	0.839061	0.580469	0.419531	0.00471864	0.00998377	0	0.00471864	0.00998377	0.17523	0.126647	0.009421556	0.03655338	0.007351207	0.1509386
800	-1372.648	-1372.371	-0.2772259	0.203483	0.128892	0.390049	1	0.245922	0.754078	1.08085	0.919148	0.540426	0.459574	1.22442	0.775581	0.61221	0.38779	0.00773455	0.00657741	0	0.00773455	0.00657741	0.198293	0.125604	0.05767368	0.05044762	0.007155982	0.1619486
810	-1373.246	-1372.966	-0.2796597	0.182708	0.145663	0.386045	1	0.386461	0.613539	0.502081	1.49792	0.25104	0.74896	1.11282	0.887185	0.556408	0.443592	0.00711082	0.0212146	0	0.00711082	0.0212146	0.181542	0.144733	0.05767368	0.04468594	0.01416271	0.1631373
820	-1376.134	-1375.807	-0.3267819	0.205918	0.150289	0.425161	1	0.178441	0.821559	0.471608	1.52839	0.235804	0.764196	1.15617	0.843829	0.578086	0.421914	0.00535761	0.017363	0	0.00535761	0.017363	0.203392	0.148445	0.06895328	0.07055004	0.0113603	0.1759183
830	-1373.281	-1373.027	-0.2545574	0.190961	0.126222	0.342882	1	0.244565	0.755435	1.5533	0.446701	0.776649	0.223351	1.20411	0.795893	0.602054	0.397946	0.0307698	0.00884886	0	0.0307698	0.00884886	0.186941	0.123565	0.02569924	0.05379582	0.01980934	0.155253
840	-1374.903	-1374.61	-0.2936552	0.19336	0.15946	0.397566	1	0.26053	0.73947	1.28407	0.715927	0.642036	0.357964	1.09608	0.903916	0.548042	0.451958	0.0144542	0.00805887	0	0.0144542	0.00805887	0.192466	0.158722	0.04474517	0.06205946	0.01125655	0.175594
850	-1372.837	-1372.577	-0.2595952	0.19856	0.133456	0.372501	1	0.340532	0.659468	0.924962	1.07504	0.462481	0.537519	1.19609	0.803914	0.598043	0.401957	0.0154457	0.0179517	0	0.0154457	0.0179517	0.194705	0.130865	0.04048486	0.03962627	0.01669871	0.1627854
860	-1374.877	-1374.599	-0.2780495	0.217041	0.154127	0.423166	1	0.41264	0.58736	0.473588	1.52641	0.236794	0.763206	1.1695	0.830497	0.584751	0.415249	0.00318462	0.0102643	0	0.00318462	0.0102643	0.2139	0.151897	0.05199732	0.03642904	0.006724448	0.1828987
870	-1375.977	-1375.723	-0.2541323	0.160711	0.122741	0.335734	1	0.497699	0.502301	0.0882664	1.91173	0.0441332	0.955867	1.13396	0.866044	0.566978	0.433022	0.00106411	0.0230473	0	0.00106411	0.0230473	0.159263	0.121635	0.05228109	0.04934642	0.01205571	0.140449
880	-1375.264	-1374.998	-0.2665749	0.192681	0.127442	0.380759	1	0.560489	0.439511	0.19875	1.80125	0.0993749	0.900625	1.2038	0.796205	0.601898	0.398102	0.000890342	0.00806908	0	0.000890342	0.00806908	0.188637	0.124767	0.06063599	0.04475703	0.004479714	0.1567022
890	-1375.106	-1374.847	-0.2594572	0.222306	0.113058	0.396	1	0.300885	0.699115	0.476642	1.52336	0.238321	0.761679	1.32576	0.674239	0.662881	0.337119	0.00326385	0.0104313	0	0.00326385	0.0104313	0.21018	0.106891	0.06063599	0.03343835	0.006847594	0.1585353
900	-1375.326	-1375.091	-0.2345052	0.198666	0.147702	0.372695	1	0.468418	0.531582	1.4029	0.597097	0.701451	0.298549	1.14714	0.852861	0.573569	0.426431	0.0132039	0.0056198	0	0.0132039	0.0056198	0.196503	0.146094	0.02632733	0.02746721	0.009411868	0.1712988
910	-1373.508	-1373.275	-0.2329783	0.197336	0.0986445	0.33816	1	0.241308	0.758692	1.39725	0.602753	0.698624	0.301376	1.33344	0.666562	0.666719	0.333281	0.0122601	0.00528884	0	0.0122601	0.00528884	0.186042	0.0929993	0.0421798	0.04250314	0.008774483	0.1395209
920	-1373.429	-1373.166	-0.2630566	0.182978	0.1173	0.342993	1	0.327184	0.672816	0.468761	1.53124	0.234381	0.765619	1.21872	0.781275	0.609362	0.390638	0.00851997	0.027831	0	0.00851997	0.027831	0.178547	0.11446	0.04271525	0.05566229	0.01817549	0.1465035
930	-1374.866	-1374.568	-0.2986112	0.201051	0.141203	0.38497	1	0.269603	0.730397	0.433277	1.56672	0.216639	0.783361	1.17486	0.825137	0.587432	0.412568	0.00742655	0.0268543	0	0.00742655	0.0268543	0.197954	0.139028	0.04271525	0.0702649	0.01714041	0.1684907
940	-1378.345	-1378.013	-0.33102	0.24518	0.15099	0.472021	1	0.194344	0.805656	1.10954	0.890457	0.554771	0.445229	1.23775	0.762249	0.618876	0.381124	0.0176034	0.0141275	0	0.0176034	0.0141275	0.23815	0.146661	0.07585107	0.04689826	0.01586548	0.1924052
950	-1374.366	-1374.115	-0.2503355	0.225933	0.116879	0.368751	1	0.224883	0.775117	1.74468	0.25532	0.87234	0.12766	1.31812	0.681883	0.659058	0.340942	0.0331697	0.00485413	0	0.0331697	0.00485413	0.214196	0.110807	0.02593973	0.0428825	0.01901193	0.1625014
960	-1372.303	-1372.063	-0.2402427	0.186465	0.125252	0.340252	1	0.312448	0.687552	0.985518	1.01448	0.492759	0.507241	1.19638	0.803624	0.598188	0.401812	0.0117585	0.0121041	0	0.0117585	0.0121041	0.182835	0.122813	0.02853513	0.04695246	0.01193128	0.1528238
970	-1377.434	-1377.131	-0.3034122	0.207911	0.127574	0.367745	1	0.454323	0.545677	0.557991	1.44201	0.278996	0.721004	1.23946	0.760537	0.619732	0.380268	0.0303526	0.0784397	0	0.0303526	0.0784397	0.201862	0.123863	0.03225991	0.05389396	0.05439612	0.1628622
980	-1373.788	-1373.532	-0.2559152	0.201024	0.141916	0.35182	1	0.289984	0.710016	1.37089	0.629111	0.685445	0.314555	1.17236	0.827645	0.586178	0.413822	0.0370961	0.0170237	0	0.0370961	0.0170237	0.198016	0.139793	0.008880229	0.05107096	0.02705992	0.168904
990	-1375.574	-1375.273	-0.3007746	0.213082	0.0964873	0.395982	1	0.228037	0.771963	1.33737	0.662626	0.668687	0.331313	1.37663	0.623365	0.688317	0.311683	0.0259825	0.0128735	0	0.0259825	0.0128735	0.197391	0.0893821	0.08641289	0.05154725	0.01942798	0.1433865
1000	-1373.554	-1373.301	-0.2521927	0.194018	0.140232	0.365232	1	0.316102	0.683898	0.364494	1.63551	0.182247	0.817753	1.16092	0.839084	0.580458	0.419542	0.0073066	0.0327851	0	0.0073066	0.0327851	0.19149	0.138405	0.03098087	0.03621853	0.02004585	0.1649474
