R,K,O,M,H,Z
0001,0534,0654,nan,nan,6245
0534,0001,0145,nan,nan,6245
0654,0145,0001,nan,nan,6245
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
6245,6245,6245,nan,nan,0001
