Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]
0	-2871.7	-2449.35	-422.346	5914.03	11264.6	45451.7	79552.8	inf
1	-2688.63	-2261.36	-427.27	11244.4	26640.5	44081.3	88448.6	inf
2	-2518.6	-2082.46	-436.143	11082.5	34217.6	53829.8	129661	inf
3	-2446.92	-2023.65	-423.263	11330.9	20927.3	34339.1	84580.1	inf
4	-2387.29	-1961.21	-426.082	13301.8	24567.4	55490.9	97100.1	inf
5	-2364.14	-1943.14	-420.997	11676.7	15945.9	59936.6	92202.8	inf
6	-2338.69	-1915.55	-423.147	11173.7	17146.5	49666.2	89214.8	inf
7	-2227.33	-1806.64	-420.683	9409.78	17146.5	34736.9	54995.6	inf
8	-2193.01	-1773.75	-419.257	10733.4	15141.1	38370.6	54995.6	inf
9	-2159.66	-1732.05	-427.607	11921.3	20460.5	47848.5	136739	inf
10	-2129.3	-1709.15	-420.15	5604.36	9405.55	34426.9	94408.8	inf
11	-2009.36	-1589.84	-419.516	3329.33	8142.58	58253.3	97129.7	inf
12	-1959.2	-1539.84	-419.358	3420.06	7885.41	25394.1	85814.9	inf
13	-1958.85	-1538.63	-420.22	4451.13	8663.99	39350.1	108084	inf
14	-1943.59	-1525	-418.589	3158.05	8778.96	28793.1	99759.6	inf
15	-1924.23	-1504.82	-419.413	3514	7462.07	36442	95127.7	inf
16	-1916.84	-1501.6	-415.238	3109.55	5969.28	32247.6	54548.4	inf
17	-1884.21	-1471.26	-412.953	2858.11	4812	20972.2	42473.2	inf
18	-1851.61	-1436.65	-414.961	4336.4	7891.5	30739	47297.5	inf
19	-1859.52	-1440.2	-419.321	3777.15	10496.8	30105.1	66918.3	inf
20	-1855.53	-1438.01	-417.524	8831.39	10821.4	30105.1	62912	inf
21	-1848.85	-1433	-415.852	7665.01	11195.7	35405	46897.7	inf
22	-1850.13	-1431.88	-418.251	7169.49	17469.8	34280.1	43865.9	inf
23	-1843.79	-1427.1	-416.695	6730.55	12621.6	29010.3	54295.1	inf
24	-1848.7	-1428.51	-420.194	8323.61	15710.6	39203	71557.2	inf
25	-1853.37	-1430.77	-422.608	15702.7	22174.8	41721.6	75834.3	inf
26	-1844.09	-1422.98	-421.113	15741	19467.1	39278.8	71394.2	inf
