Iteration	Replicate_ID	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size	root_height
1472	0	-1726.05	-1405.85	-320.205	0.0236103	0.560096	0.0756891	0.123848	0.0970529	0.119704	0.07377486	0.309838	0.266807	0.145724	0.27763	121363.1	150191.2
1473	1	-1732.48	-1408.27	-324.21	0.0179321	0.655136	0.00973614	0.0207252	0.249897	0.0465738	0.4245189	0.312138	0.273926	0.137464	0.276473	136131.8	158457.6
1474	0	-1731.36	-1404.23	-327.128	0.0244334	0.579621	0.0783276	0.128166	0.100436	0.0890162	0.04436049	0.311844	0.265162	0.143565	0.279428	167994.5	207899.1
1475	1	-1726.45	-1406.03	-320.422	0.0179321	0.655136	0.00973614	0.0207252	0.249897	0.0465738	0.4245189	0.330015	0.266807	0.133891	0.269288	125134.5	134620.7
1476	0	-1726.19	-1404.87	-321.316	0.0244334	0.579621	0.0783276	0.128166	0.100436	0.0890162	0.04436049	0.303476	0.276315	0.130589	0.28962	125960.7	216035.6
1477	1	-1723.67	-1403.3	-320.376	0.0204121	0.607442	0.0110826	0.0235915	0.284457	0.0530148	0.01849828	0.331433	0.267954	0.134467	0.266146	113802.6	134939.8
1478	0	-1730.01	-1402.64	-327.377	0.0305406	0.724499	0.011065	0.0476049	0.0750243	0.111266	0.04436049	0.326437	0.242516	0.133957	0.29709	131858.3	184885.9
1479	1	-1721.82	-1401.71	-320.108	0.0204121	0.607442	0.0110826	0.0235915	0.284457	0.0530148	0.01849828	0.329661	0.266521	0.139095	0.264723	124795.3	230674.3
1480	0	-1731.41	-1406.1	-325.313	0.118825	0.43764	0.00933788	0.0401743	0.298004	0.0960197	0.121822	0.315477	0.241882	0.155526	0.287115	156882.6	167117.3
1481	1	-1718.25	-1403.8	-314.452	0.0210407	0.626149	0.0114239	0.024318	0.293217	0.0238516	0.01849828	0.302788	0.278454	0.145323	0.273434	76734.01	199110.8
1482	0	-1731.05	-1405.33	-325.718	0.0662237	0.451912	0.0335058	0.0414845	0.307722	0.0991512	0.121822	0.315477	0.241882	0.155526	0.287115	144462.4	168548.2
1483	1	-1728.71	-1405.64	-323.071	0.0256344	0.762853	0.013918	0.0296272	0.147109	0.0208579	0.005889622	0.302788	0.278454	0.145323	0.273434	96327.19	155239.9
1484	0	-1731.03	-1404.96	-326.063	0.0643992	0.439462	0.0325828	0.0678914	0.299245	0.0964196	0.02427551	0.315477	0.241882	0.155526	0.287115	172374.8	191640.5
1485	1	-1734.06	-1415.85	-318.207	0.0256344	0.762853	0.013918	0.0296272	0.147109	0.0208579	0.005889622	0.29803	0.229691	0.143039	0.329239	96327.19	159709.4
1486	0	-1733.06	-1401.82	-331.248	0.0192606	0.8569	0.00507815	0.0173936	0.0766656	0.0247024	0.02427551	0.315477	0.241882	0.155526	0.287115	187158	191640.5
1487	1	-1726.34	-1413.68	-312.664	0.012877	0.775242	0.0141441	0.0301083	0.149498	0.0181306	0.005889622	0.29803	0.229691	0.143039	0.329239	63658.5	105545.1
1488	0	-1724.58	-1401.31	-323.272	0.0335598	0.750002	0.00884823	0.0309649	0.133583	0.0430418	0.01511756	0.315477	0.241882	0.155526	0.287115	142871	145414.6
1489	1	-1718.31	-1406.7	-311.61	0.00461772	0.790522	0.00322537	0.0307018	0.152445	0.018488	0.005889622	0.298286	0.229607	0.142987	0.329119	57058.04	156587.8
1490	0	-1725.23	-1402.04	-323.189	0.0304513	0.680532	0.00802865	0.0280967	0.213837	0.0390549	0.01511756	0.315477	0.241882	0.155526	0.287115	111752.4	170429.9
1491	1	-1717.09	-1400.26	-316.831	0.00348213	0.791424	0.00322905	0.0307368	0.152619	0.0185091	0.005889622	0.328859	0.243558	0.129501	0.298082	57058.04	133027.8
1492	0	-1718.22	-1400.09	-318.137	0.0132761	0.742316	0.00658905	0.0230588	0.175494	0.0392664	0.01511756	0.328412	0.242953	0.155845	0.27279	111752.4	103891.7
1493	1	-1715.36	-1400.8	-314.563	0.00336757	0.765386	0.00312282	0.060571	0.147598	0.0199552	0.005889622	0.328859	0.243558	0.129501	0.298082	57111.62	124479
1494	0	-1731.28	-1400.56	-330.718	0.0133668	0.747387	0.00483619	0.00400213	0.176693	0.0537146	0.01919151	0.33141	0.245171	0.157268	0.266151	111752.4	242627.4
1495	1	-1716.36	-1402.18	-314.188	0.00336757	0.765386	0.00312282	0.060571	0.147598	0.0199552	0.005250234	0.328859	0.243558	0.129501	0.298082	118784.3	164001.1
1496	0	-1704.12	-1398.75	-305.362	0.0133727	0.747719	0.00698658	0.00400391	0.176771	0.0511467	0.03200291	0.33141	0.245171	0.157268	0.266151	65251.31	115670.2
1497	1	-1715.29	-1400.85	-314.433	0.00336757	0.765386	0.00312282	0.060571	0.147598	0.0199552	0.005250234	0.316742	0.27143	0.124729	0.287099	74936.24	194496.7
1498	0	-1702.76	-1403.01	-299.747	0.0129813	0.725832	0.00678208	0.00388671	0.226834	0.0236839	0.03200291	0.337039	0.243107	0.155943	0.26391	40925.34	83365.6
1499	1	-1711.07	-1398.43	-312.637	0.00337362	0.76676	0.00133224	0.0606798	0.147863	0.019991	0.005250234	0.316452	0.272096	0.124615	0.286837	76798.24	176227.5
1500	0	-1706.79	-1407.29	-299.504	0.0129813	0.725832	0.00678208	0.00388671	0.226834	0.0236839	0.03200291	0.337039	0.243107	0.155943	0.26391	42240.03	130928
1501	1	-1713.25	-1396.28	-316.967	0.00340504	0.773902	0.00134465	0.0596478	0.14924	0.0124601	0.005250234	0.320512	0.259792	0.140341	0.279355	60011.42	163808.5
1502	0	-1722.84	-1403.48	-319.366	0.0129813	0.725832	0.00678208	0.00388671	0.226834	0.0236839	0.1255175	0.337039	0.243107	0.155943	0.26391	90403.01	167556.3
1503	1	-1718.34	-1399.96	-318.381	0.00916338	0.692219	0.0018031	0.079984	0.200122	0.0167083	0.005250234	0.333954	0.254653	0.137565	0.273829	109650.3	127024.6
1504	0	-1723.32	-1404.49	-318.827	0.012938	0.723413	0.00675947	0.00720708	0.226078	0.0236049	0.1255175	0.334675	0.241402	0.161864	0.262059	94023.25	217864.2
1505	1	-1719.02	-1399.23	-319.789	0.0113484	0.690693	0.00179912	0.0798077	0.199681	0.0166714	0.005250234	0.337848	0.245961	0.139169	0.277022	109650.3	142453.4
1506	0	-1718.78	-1400.63	-318.141	0.012699	0.710047	0.00663458	0.0254968	0.221954	0.0231688	0.1255175	0.334675	0.241402	0.161864	0.262059	53226.59	190966.9
1507	1	-1718.47	-1402.7	-315.768	0.0150031	0.78178	0.00188409	0.0449254	0.136811	0.019596	0.005250234	0.337848	0.245961	0.139169	0.277022	91607.81	126082
1508	0	-1712.73	-1401.17	-311.562	0.00327491	0.708463	0.0182456	0.0254399	0.221459	0.0231171	0.1149409	0.330045	0.251898	0.159625	0.258433	49040.27	136145.2
1509	1	-1716.62	-1404.42	-312.201	0.0116758	0.743784	0.00179252	0.0906572	0.130162	0.0219282	0.005250234	0.348587	0.25378	0.143593	0.254041	91607.81	197471.9
1510	0	-1718.99	-1401.72	-317.273	0.00319266	0.690668	0.0182718	0.0214395	0.243891	0.0225365	0.09586831	0.315586	0.257334	0.16307	0.26401	47452.83	134384.5
1511	1	-1720.71	-1404.76	-315.951	0.0290982	0.489992	0.00446727	0.225934	0.217218	0.0332908	0.005250234	0.345731	0.259893	0.142416	0.251959	91472.43	197471.9
1512	0	-1708.4	-1401.57	-306.837	0.00321857	0.696274	0.0184201	0.0134971	0.245871	0.0227194	0.09586831	0.325735	0.247687	0.162878	0.2637	47452.83	204829.9
1513	1	-1716.07	-1403.38	-312.688	0.0141099	0.738915	0.0021662	0.109556	0.10533	0.0299225	0.005250234	0.315996	0.271705	0.148889	0.26341	85061.58	80546.53
1514	0	-1714.74	-1404.37	-310.37	0.00544865	0.446943	0.0218523	0.071065	0.41623	0.0384613	0.09586831	0.325757	0.256842	0.143955	0.273446	44350.62	175392.9
1515	1	-1721.5	-1402.51	-318.995	0.0115284	0.603727	0.00176988	0.145914	0.212613	0.024448	0.005250234	0.310137	0.274032	0.150164	0.265667	111829.1	215730.2
1516	0	-1711.34	-1403.05	-308.291	0.0039719	0.596838	0.0159297	0.0518042	0.303419	0.0280371	0.0580245	0.325757	0.256842	0.143955	0.273446	54622.37	175392.9
1517	1	-1712.68	-1398.56	-314.127	0.0115284	0.603727	0.00176988	0.145914	0.212613	0.024448	0.005250234	0.310137	0.274032	0.150164	0.265667	86890.5	183936.7
1518	0	-1715.87	-1403.12	-312.749	0.00410216	0.616411	0.0164521	0.0126444	0.321433	0.0289565	0.0580245	0.331686	0.261496	0.146564	0.260255	54622.37	154939.6
1519	1	-1710.36	-1398.59	-311.772	0.00726509	0.606331	0.00177751	0.146543	0.21353	0.0245534	0.005250234	0.313825	0.27729	0.147479	0.261406	82159.66	200807.1
1520	0	-1708.43	-1403.53	-304.908	0.00480063	0.721367	0.0192533	0.0147974	0.230238	0.00954357	0.06779304	0.331998	0.261742	0.126099	0.280161	53535.67	109009.2
1521	1	-1713.94	-1400.2	-313.74	0.00782663	0.653196	0.00384393	0.0786479	0.230034	0.0264513	0.005250234	0.313825	0.27729	0.147479	0.261406	82159.66	163231.2
1522	0	-1709.27	-1403.79	-305.475	0.0032122	0.720769	0.0192374	0.00339518	0.230047	0.0233389	0.06501686	0.331998	0.261742	0.126099	0.280161	40909.29	107344.8
1523	1	-1715.52	-1403.61	-311.906	0.007888	0.658318	0.00386815	0.0792646	0.224003	0.0266587	0.005250234	0.303397	0.281504	0.14972	0.265378	80938.94	138635.5
1524	0	-1716.97	-1401.96	-315.009	0.00338461	0.707214	0.0154457	0.00696953	0.242395	0.0245916	0.3178051	0.329811	0.260019	0.125268	0.284902	70870.3	143361
1525	1	-1720.97	-1405.62	-315.348	0.00786389	0.658334	0.00386825	0.0792665	0.224008	0.0266593	0.005250234	0.295331	0.300607	0.145739	0.258323	81382.58	123127.9
1526	0	-1720.53	-1403.1	-317.423	0.0021447	0.763132	0.0249827	0.0075206	0.175684	0.026536	0.3178051	0.33662	0.238885	0.127854	0.29664	65872.53	143361
1527	1	-1714.9	-1404.43	-310.478	0.00786389	0.658334	0.00386825	0.0792665	0.224008	0.0266593	0.005250234	0.295331	0.300607	0.145739	0.258323	60157.26	141808.9
1528	0	-1722.29	-1405.07	-317.223	0.0021935	0.780495	0.0255512	0.00769171	0.156928	0.0271398	0.3178051	0.357917	0.253999	0.135943	0.25214	95794.02	159461.1
1529	1	-1710.8	-1402.37	-308.435	0.00804014	0.673089	0.00424607	0.0583399	0.229028	0.0272568	0.005250234	0.306781	0.278364	0.134956	0.279899	60157.26	141808.9
1530	0	-1722.63	-1405.38	-317.244	0.00202283	0.719765	0.023563	0.00709322	0.222528	0.025028	0.5900236	0.341606	0.242424	0.129748	0.286222	95794.02	237556.1
1531	1	-1705.45	-1401.41	-304.047	0.0144689	0.825493	0.00247241	0.0339703	0.115591	0.00800393	0.005250234	0.306781	0.278364	0.134956	0.279899	55680.63	111866.9
1532	0	-1722.18	-1407.11	-315.07	0.00187719	0.667945	0.0474626	0.0258738	0.206507	0.0503345	0.5156276	0.341606	0.242424	0.129748	0.286222	82813.26	237556.1
1533	1	-1716.71	-1400.97	-315.732	0.0144689	0.825493	0.00247241	0.0339703	0.115591	0.00800393	0.005250234	0.306781	0.278364	0.134956	0.279899	57307.95	126522.1
1534	0	-1725.39	-1411.83	-313.56	0.00178172	0.633974	0.100173	0.0202927	0.196004	0.0477745	0.5156276	0.353867	0.251124	0.134405	0.260604	82813.26	237556.1
1535	1	-1717.21	-1402.37	-314.841	0.0146224	0.69591	0.00249864	0.0343307	0.234814	0.0178242	0.005250234	0.294567	0.269748	0.154097	0.281588	85087.4	185495.6
1536	0	-1718.55	-1406	-312.553	0.00119179	0.752039	0.0670058	0.0167006	0.131107	0.0319563	0.2230682	0.333209	0.2465	0.13193	0.288361	59950.74	161014.4
1537	1	-1710.76	-1399.67	-311.094	0.0131309	0.726926	0.00224379	0.0308291	0.210864	0.0160062	0.005250234	0.294567	0.269748	0.154097	0.281588	68773.56	183839.5
1538	0	-1719.06	-1406.37	-312.689	0.0011596	0.731729	0.0651962	0.0162496	0.154572	0.0310932	0.3129602	0.344684	0.25579	0.136902	0.262623	59950.74	126051.9
1539	1	-1717.07	-1399.98	-317.093	0.0131309	0.726926	0.00224379	0.0308291	0.210864	0.0160062	0.005250234	0.294567	0.269748	0.154097	0.281588	68773.56	147588.3
1540	0	-1718.69	-1401.42	-317.275	0.00397406	0.715362	0.0637379	0.0354138	0.151115	0.0303977	0.3129602	0.322481	0.264044	0.14132	0.272154	59950.74	150677
1541	1	-1711.58	-1404.33	-307.255	0.00175399	0.757443	0.00233799	0.0321233	0.189663	0.0166782	0.005250234	0.294568	0.269749	0.154093	0.281589	68773.56	85204.65
1542	0	-1726.33	-1402.31	-324.024	0.00406352	0.731465	0.0426613	0.036211	0.154517	0.031082	0.4120466	0.331823	0.271694	0.145414	0.251069	90088.23	161127.2
1543	1	-1716.76	-1405.37	-311.398	0.00185025	0.799011	0.00246629	0.0338862	0.145192	0.0175935	0.005250234	0.302039	0.276591	0.132639	0.288731	96246.02	81402.62
1544	0	-1733.06	-1410.21	-322.847	0.00350086	0.79182	0.0367542	0.00802497	0.133121	0.0267783	0.08030998	0.317884	0.26028	0.181492	0.240344	90088.23	154575.9
1545	1	-1718.88	-1402.54	-316.335	0.00179797	0.776434	0.00239661	0.0329287	0.169346	0.0170964	0.005250234	0.302039	0.276591	0.132639	0.288731	87861.96	110623.9
1546	0	-1738.96	-1415.48	-323.486	0.00902703	0.359375	0.101931	0.0222559	0.369189	0.138222	0.08030998	0.316714	0.259322	0.180824	0.24314	140766.6	155458.1
1547	1	-1725.5	-1403.33	-322.171	0.00167884	0.72499	0.00312604	0.0115692	0.242672	0.0159636	0.005250234	0.294294	0.269499	0.15488	0.281327	68068.22	133888.3
1548	0	-1739.81	-1410.18	-329.63	0.00902703	0.359375	0.101931	0.0222559	0.369189	0.138222	0.08030998	0.32375	0.265083	0.162626	0.248541	118339.7	221518.7
1549	1	-1718.23	-1403.37	-314.867	0.00147773	0.721068	0.00310913	0.0171079	0.241359	0.0158772	0.005250234	0.294294	0.269499	0.15488	0.281327	91487.01	100221.4
1550	0	-1721.92	-1403.75	-318.166	0.00452935	0.666647	0.0630606	0.011167	0.185242	0.0693536	0.08030998	0.308516	0.25261	0.154973	0.283901	81290.1	163956.4
1551	1	-1732.64	-1404.25	-328.393	0.000696552	0.724417	0.00312357	0.0171874	0.24248	0.0120958	0.005250234	0.294294	0.269499	0.15488	0.281327	143714	210704.5
1552	0	-1721.74	-1402.31	-319.43	0.0119161	0.660572	0.062809	0.0111224	0.184503	0.0690769	0.08030998	0.330801	0.24574	0.14953	0.273929	81290.1	164441.3
1553	1	-1738.16	-1404.99	-333.169	0.000661791	0.688265	0.00411886	0.015555	0.270401	0.0209984	0.005250234	0.328812	0.229044	0.156988	0.285157	178916.9	232555.7
1554	0	-1722.82	-1401.84	-320.977	0.0404322	0.591521	0.0562434	0.00995976	0.239988	0.0618561	0.08030998	0.330801	0.24574	0.14953	0.273929	153641	175862.3
1555	1	-1711.7	-1400.42	-311.28	0.00388631	0.670966	0.0259085	0.0151641	0.263604	0.0204706	0.005250234	0.311785	0.258021	0.159804	0.27039	86614.77	106922.5
1556	0	-1730.63	-1402.78	-327.852	0.042708	0.624816	0.0594092	0.0232671	0.202148	0.0476522	0.08030998	0.330801	0.24574	0.14953	0.273929	153641	216239.2
1557	1	-1712.32	-1405.59	-306.732	0.00388631	0.670966	0.0259085	0.0151641	0.263604	0.0204706	0.009155494	0.307329	0.258777	0.159484	0.27441	59479.87	76684.61
1558	0	-1733.02	-1404.29	-328.731	0.0415001	0.607144	0.057729	0.0390945	0.19643	0.0581016	0.08030998	0.330801	0.24574	0.14953	0.273929	153641	253806.6
1559	1	-1712.14	-1403.02	-309.127	0.00474798	0.819732	0.0316529	0.0185262	0.100332	0.0250094	0.009155494	0.333882	0.250228	0.150547	0.265344	59479.87	96506.67
1560	0	-1724.45	-1403.83	-320.616	0.0418144	0.611742	0.0581661	0.0393906	0.197918	0.0509685	0.08030998	0.335272	0.249062	0.151551	0.264114	133723.5	141301.6
1561	1	-1737.59	-1406.96	-330.633	0.0327947	0.695106	0.0268406	0.0157096	0.208342	0.0212071	0.009155494	0.333882	0.250228	0.150547	0.265344	114966.8	211221.9
1562	0	-1732.97	-1401.89	-331.088	0.0245482	0.772064	0.0341479	0.0231252	0.116193	0.0299224	0.2170777	0.338682	0.247785	0.150774	0.26276	140173.1	220615
1563	1	-1732.94	-1406.58	-326.361	0.0329237	0.697841	0.0230113	0.0157714	0.209162	0.0212906	0.009155494	0.333882	0.250228	0.150547	0.265344	172242.2	229700.3
1564	0	-1733.98	-1407.06	-326.92	0.0281305	0.552608	0.0775627	0.00981607	0.263917	0.0679649	0.3933279	0.348937	0.255288	0.125058	0.270716	140173.1	180222.8
1565	1	-1725.99	-1402.98	-323.016	0.0330523	0.700565	0.0231011	0.015833	0.209979	0.0174695	0.009155494	0.33431	0.249266	0.15074	0.265684	89044.22	219630.5
1566	0	-1738.42	-1413.02	-325.406	0.0281305	0.552608	0.0775627	0.00981607	0.263917	0.0679649	0.5069794	0.358275	0.23536	0.128405	0.277961	139144.2	207434.3
1567	1	-1730.39	-1407.08	-323.308	0.033131	0.702235	0.0231561	0.0158707	0.208096	0.0175111	0.009155494	0.346754	0.280951	0.134766	0.237529	129494.8	189722.2
1568	0	-1729.42	-1405.1	-324.316	0.0303002	0.595231	0.0151202	0.00186879	0.284273	0.073207	0.5069794	0.30395	0.255284	0.139274	0.301491	156134.4	137260.4
1569	1	-1732.13	-1408.55	-323.583	0.0335502	0.71112	0.0234491	0.0165088	0.210729	0.00464251	0.009155494	0.346754	0.280951	0.134766	0.237529	109375.8	263535.7
1570	0	-1732.77	-1411.45	-321.313	0.0321598	0.631762	0.0160482	0.00198349	0.240347	0.0776999	0.4382676	0.299049	0.271035	0.133287	0.296629	157293.9	126479.6
1571	1	-1729.22	-1407.15	-322.072	0.0654164	0.687673	0.022676	0.0159645	0.203781	0.00448943	0.009155494	0.337591	0.273527	0.157629	0.231252	130319.5	263535.7
1572	0	-1735.9	-1410.79	-325.113	0.0321598	0.631762	0.0160482	0.00198349	0.240347	0.0776999	0.4382676	0.30576	0.254675	0.136279	0.303286	157293.9	207634.6
1573	1	-1716.47	-1400.67	-315.797	0.0554044	0.694094	0.0228877	0.0161136	0.205684	0.00581661	0.009155494	0.318681	0.258206	0.1488	0.274313	130319.5	210486.7
1574	0	-1735.68	-1412.92	-322.761	0.0320518	0.629641	0.0159944	0.000674587	0.23954	0.0820983	0.4382676	0.30576	0.254675	0.136279	0.303286	157293.9	252390.4
1575	1	-1728.75	-1404.13	-324.617	0.0542809	0.680019	0.0224236	0.0157868	0.201513	0.0259775	0.009155494	0.317273	0.25874	0.149107	0.27488	130319.5	287217.1
1576	0	-1724.73	-1403.49	-321.243	0.0309067	0.630386	0.0160133	0.000675385	0.239823	0.0821954	0.4121695	0.297807	0.24805	0.158746	0.295397	140398.4	164386.3
1577	1	-1729.91	-1402.49	-327.415	0.11062	0.639508	0.0210877	0.0148464	0.189508	0.02443	0.009155494	0.317273	0.25874	0.149107	0.27488	130319.5	156663.3
1578	0	-1736.56	-1408.59	-327.964	0.0304155	0.620367	0.0157588	0.00143917	0.236012	0.0960074	0.4121695	0.291573	0.263791	0.155423	0.289214	140398.4	215510
1579	1	-1729.22	-1398.87	-330.347	0.014756	0.671356	0.0221379	0.0155857	0.198946	0.0772181	0.009155494	0.317273	0.25874	0.149107	0.27488	244900.1	140082.4
1580	0	-1730.16	-1406.72	-323.442	0.0300358	0.612622	0.0198183	0.00965026	0.233065	0.0948087	0.4121695	0.2951	0.266982	0.145204	0.292713	140398.4	143356.5
1581	1	-1716.33	-1399.01	-317.314	0.00642189	0.675328	0.0252676	0.0156779	0.19963	0.0776749	0.009155494	0.309199	0.257554	0.148424	0.284822	117642.6	152058.4
1582	0	-1732.18	-1406.26	-325.916	0.027488	0.642218	0.0181372	0.0120942	0.213295	0.0867667	0.3738536	0.301383	0.272667	0.143985	0.281964	141905.8	288804.8
1583	1	-1724.83	-1402.54	-322.289	0.0066315	0.566432	0.0068245	0.0131499	0.341813	0.0651499	0.009155494	0.309199	0.257554	0.148424	0.284822	84338.63	263079.3
1584	0	-1724.38	-1402	-322.376	0.0269811	0.630376	0.0195482	0.0118712	0.226057	0.0851667	0.3738536	0.311411	0.268753	0.141919	0.277917	103256.2	210020.8
1585	1	-1713.68	-1403.16	-310.521	0.00526337	0.606782	0.00541656	0.010437	0.271294	0.100807	0.009155494	0.309199	0.257554	0.148424	0.284822	81769.13	85217.25
1586	0	-1721.65	-1403.27	-318.381	0.0269811	0.630376	0.0195482	0.0118712	0.226057	0.0851667	0.3769243	0.315031	0.271878	0.143569	0.269522	103256.2	238989
1587	1	-1722.06	-1405.51	-316.56	0.00563636	0.606339	0.00720507	0.00898994	0.271096	0.100733	0.009155494	0.29689	0.287111	0.142516	0.273484	81769.13	104663
1588	0	-1724.45	-1402.72	-321.729	0.0410005	0.603552	0.0159186	0.012475	0.237555	0.0894987	0.3769243	0.315031	0.271878	0.143569	0.269522	129564.9	229351
1589	1	-1718.78	-1404.04	-314.742	0.00563528	0.777371	0.00720369	0.00898821	0.100089	0.100714	0.03854167	0.301081	0.2854	0.141666	0.271854	63957.81	101870.1
1590	0	-1721.16	-1399.65	-321.505	0.0410005	0.603552	0.0159186	0.012475	0.237555	0.0894987	0.06393227	0.329057	0.242875	0.146547	0.281521	115442.8	267012.6
1591	1	-1711.12	-1404.38	-306.736	0.00590967	0.815222	0.00755445	0.00942587	0.104962	0.0569257	0.09189601	0.301081	0.2854	0.141666	0.271854	63957.81	136558.2
1592	0	-1722.98	-1400.42	-322.561	0.0404065	0.713872	0.0188283	0.0147552	0.106281	0.105858	0.06393227	0.30869	0.250248	0.150995	0.290067	150386.9	202314.2
1593	1	-1708.17	-1402.93	-305.242	0.00590967	0.815222	0.00755445	0.00942587	0.104962	0.0569257	0.09189601	0.320752	0.277367	0.137679	0.264202	63957.81	107071.4
1594	0	-1720.88	-1401.25	-319.629	0.0409074	0.722721	0.00666599	0.0149381	0.107598	0.10717	0.06393227	0.30869	0.250248	0.150995	0.290067	108191.7	202314.2
1595	1	-1717.31	-1403.74	-313.568	0.00614389	0.847533	0.00735893	0.00979945	0.0699829	0.0591819	0.09189601	0.321683	0.273069	0.140279	0.264969	76110.81	165108.7
1596	0	-1710.99	-1401.47	-309.519	0.0257272	0.643977	0.0059397	0.0133105	0.215553	0.0954931	0.06393227	0.322524	0.24524	0.147974	0.284262	70498.15	131828.8
1597	1	-1736.11	-1407.83	-328.278	0.0127209	0.684317	0.0152367	0.0202898	0.144899	0.122536	0.09189601	0.339981	0.265035	0.140395	0.254589	161994.5	279277.4
1598	0	-1731.63	-1409.16	-322.469	0.0494293	0.585053	0.00539622	0.0906117	0.19583	0.0736801	0.06393227	0.318833	0.242514	0.151355	0.287298	114478.7	291349.3
1599	1	-1737.35	-1410.94	-326.403	0.0213988	0.69335	0.0144628	0.0348315	0.111804	0.124154	0.1508537	0.311661	0.269189	0.142595	0.276555	166823.4	301957.5
1600	0	-1721.73	-1401.86	-319.879	0.0394562	0.61995	0.00571809	0.0492909	0.20751	0.0780749	0.06725654	0.318833	0.242514	0.151355	0.287298	114478.7	204921.9
1601	1	-1723.91	-1408.36	-315.548	0.0143192	0.624097	0.00967792	0.0233078	0.245519	0.0830784	0.1508537	0.307943	0.277908	0.140894	0.273256	96514.17	83263.41
1602	0	-1732.73	-1402.33	-330.405	0.0268037	0.731912	0.00845176	0.0222616	0.130793	0.0797784	0.03379227	0.31351	0.26792	0.135893	0.282677	140271.4	214165.1
1603	1	-1731.15	-1409.52	-321.636	0.0120328	0.524446	0.00813263	0.0140168	0.206317	0.235055	0.1508537	0.302601	0.273087	0.155796	0.268516	102963.6	96461.72
1604	0	-1723.94	-1402.6	-321.342	0.0270051	0.737412	0.00851527	0.0224289	0.131776	0.0728631	0.03379227	0.35587	0.251944	0.126364	0.265822	144928.4	151687.7
1605	1	-1726.54	-1405.99	-320.545	0.0107504	0.571152	0.00726585	0.0125229	0.188307	0.210002	0.04154756	0.316169	0.240494	0.162781	0.280556	102963.6	240754.4
1606	0	-1723.14	-1406.88	-316.261	0.042127	0.588696	0.0132835	0.0366635	0.205566	0.113664	0.07626461	0.364558	0.248546	0.124659	0.262237	108175.2	121977.4
1607	1	-1725.08	-1402.24	-322.84	0.00725744	0.569701	0.00724739	0.0184971	0.187829	0.209469	0.04154756	0.331483	0.252142	0.132079	0.284297	125097.5	209687.6
1608	0	-1727.65	-1407.47	-320.183	0.0460216	0.58715	0.0118698	0.0365672	0.205026	0.113365	0.07626461	0.364558	0.248546	0.124659	0.262237	107024.6	178710.9
1609	1	-1719.61	-1400.47	-319.149	0.00813913	0.638912	0.00812785	0.0207442	0.210647	0.113429	0.04154756	0.331483	0.252142	0.132079	0.284297	103812.9	146798.1
1610	0	-1726.96	-1409.86	-317.094	0.0460216	0.58715	0.0118698	0.0365672	0.205026	0.113365	0.1980187	0.366009	0.249536	0.123706	0.260749	88987.67	122587
1611	1	-1735.3	-1405.98	-329.322	0.0131935	0.482876	0.0131753	0.0490384	0.34146	0.100256	0.04154756	0.329002	0.250254	0.138576	0.282169	187500.3	201584.9
1612	0	-1726.67	-1407.67	-319.004	0.0444429	0.588122	0.0118894	0.0366277	0.205365	0.113553	0.1980187	0.347059	0.257628	0.126109	0.269205	77940.36	123336.8
1613	1	-1737.67	-1404.91	-332.755	0.013802	0.505144	0.00571374	0.0132538	0.357206	0.10488	0.04154756	0.329002	0.250254	0.138576	0.282169	212868.9	192457.6
1614	0	-1727.14	-1407.62	-319.514	0.0212825	0.565636	0.0114348	0.094921	0.197514	0.109212	0.05954673	0.346547	0.257248	0.125923	0.270282	75667.69	123336.8
1615	1	-1739.44	-1404.73	-334.711	0.013802	0.505144	0.00571374	0.0132538	0.357206	0.10488	0.04154756	0.312735	0.253711	0.165336	0.268218	212868.9	192457.6
1616	0	-1719.13	-1404.39	-314.743	0.0214323	0.569618	0.0115153	0.0885498	0.198904	0.10998	0.04016259	0.340328	0.252631	0.135795	0.271246	75667.69	150241.3
1617	1	-1738.16	-1407.23	-330.927	0.0133627	0.489069	0.00553191	0.012832	0.377663	0.101542	0.02028354	0.312735	0.253711	0.165336	0.268218	212868.9	192457.6
1618	0	-1726.13	-1401.48	-324.642	0.0217012	0.576765	0.0116598	0.0896608	0.2014	0.0988137	0.04016259	0.33382	0.266923	0.133198	0.266059	119454	159663
1619	1	-1737.48	-1405.65	-331.828	0.00711818	0.52122	0.00589558	0.0601063	0.40249	0.00316968	0.04985621	0.313733	0.25452	0.162673	0.269074	212868.9	286292.6
1620	0	-1726.04	-1403.1	-322.948	0.0217012	0.576765	0.0116598	0.0896608	0.2014	0.0988137	0.02635103	0.33382	0.266923	0.133198	0.266059	119454	195589.4
1621	1	-1733.07	-1401.58	-331.495	0.00548596	0.631006	0.0045437	0.0463237	0.310198	0.00244286	0.04985621	0.313733	0.25452	0.162673	0.269074	193634	180390.2
1622	0	-1726.55	-1403.21	-323.342	0.0235986	0.627193	0.0126793	0.0975001	0.219009	0.0200203	0.02635103	0.323384	0.267429	0.136511	0.272676	119454	185797.9
1623	1	-1730.24	-1404.72	-325.516	0.00511437	0.647603	0.00466321	0.0217553	0.318357	0.00250711	0.04985621	0.319666	0.259333	0.165749	0.255252	176333.8	188771.1
