Iteration	Replicate_ID	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size	root_height
34	0	-1822.32	-1503.14	-319.182	0.0904251	0.32528	0.185682	0.0366372	0.231583	0.130392	0.9782573	0.325073	0.32459	0.207799	0.142538	104950.2	139096.9
35	1	-1773.84	-1444.94	-328.897	0.0330403	0.786223	0.00691287	0.00238204	0.153245	0.0181967	0.930372	0.308495	0.27835	0.126747	0.286408	120208	255168.3
36	0	-1805.11	-1488.32	-316.787	0.0657488	0.339713	0.193921	0.0376827	0.241858	0.121076	0.8935046	0.325073	0.32459	0.207799	0.142538	100131	117156.1
37	1	-1782.11	-1444.83	-337.277	0.0399487	0.742222	0.00835827	0.00218264	0.185287	0.0220015	0.930372	0.308495	0.27835	0.126747	0.286408	165421.4	226590.8
38	0	-1818.77	-1489.61	-329.164	0.0691771	0.357427	0.170189	0.0436947	0.232123	0.127389	0.8935046	0.325073	0.32459	0.207799	0.142538	147155.3	119334.9
39	1	-1769.12	-1447.13	-321.992	0.0300881	0.724148	0.00815474	0.00246725	0.213977	0.0211647	0.930372	0.303848	0.28022	0.127598	0.288333	115792.3	128080.1
40	0	-1812.82	-1487.51	-325.307	0.0640564	0.405034	0.109147	0.0495145	0.26304	0.109207	0.8935046	0.325073	0.32459	0.207799	0.142538	144058.1	108611.5
41	1	-1770.43	-1437.17	-333.253	0.0302935	0.729092	0.0090271	0.0024841	0.215438	0.0136656	0.930372	0.313459	0.289084	0.131634	0.265824	172784.3	197658.8
42	0	-1804.28	-1493.84	-310.434	0.0693559	0.438543	0.058084	0.0536109	0.262164	0.118242	0.8935046	0.322285	0.325931	0.208658	0.143127	97390.35	72565.53
43	1	-1770.92	-1437.02	-333.9	0.0363435	0.771722	0.00720076	0.00198152	0.171851	0.0109008	0.930372	0.301921	0.278443	0.163597	0.256039	163873.7	271985.4
44	0	-1801.17	-1481.95	-319.216	0.0805025	0.503218	0.067419	0.0315933	0.180021	0.137246	0.8935046	0.357532	0.361577	0.12211	0.158781	94701.56	168146.1
45	1	-1763.66	-1433.24	-330.426	0.0691875	0.557981	0.0137081	0.00377224	0.327155	0.0281961	0.930372	0.318197	0.239546	0.172416	0.269841	136462.8	151185.2
46	0	-1789.79	-1464.25	-325.543	0.102234	0.514739	0.0599472	0.0323166	0.194767	0.0959964	0.8935046	0.393641	0.2971	0.134442	0.174817	94457.04	134889.5
47	1	-1766.54	-1428.72	-337.82	0.0669879	0.5593	0.0137405	0.00378115	0.327928	0.0282627	0.8610501	0.330833	0.249059	0.139551	0.280557	136462.8	329953.7
48	0	-1761.33	-1435.03	-326.303	0.102935	0.518273	0.0467512	0.0325384	0.202847	0.0966554	0.7761273	0.362896	0.273895	0.123941	0.239268	100460.3	262035.1
49	1	-1755.99	-1423.03	-332.959	0.0658832	0.550076	0.0197656	0.0037188	0.32252	0.0380365	0.8610501	0.330833	0.249059	0.139551	0.280557	141677.9	163676.3
50	0	-1758.66	-1432.09	-326.572	0.10034	0.505207	0.0345409	0.0317181	0.197732	0.130462	0.7761273	0.357727	0.280168	0.122176	0.239929	94626.38	187552.6
51	1	-1739.9	-1421.51	-318.392	0.0764999	0.540994	0.0194392	0.00579568	0.317194	0.0400769	0.8610501	0.330833	0.249059	0.139551	0.280557	111871	206216.3
52	0	-1745.75	-1426.75	-319.004	0.0946636	0.488784	0.0325868	0.0299237	0.230961	0.123081	0.5740845	0.357727	0.280168	0.122176	0.239929	94626.38	166086.4
53	1	-1743.73	-1425.29	-318.442	0.0860592	0.42568	0.0152957	0.00456032	0.431783	0.0366216	0.8610501	0.330833	0.249059	0.139551	0.280557	111859.6	144419.9
54	0	-1742.35	-1429.15	-313.199	0.092686	0.478573	0.0631322	0.0189629	0.226136	0.12051	0.5740845	0.332145	0.260133	0.113439	0.294283	110562.3	151334
55	1	-1750.23	-1429.47	-320.763	0.121377	0.510196	0.0156498	0.00630692	0.32114	0.0253308	0.8610501	0.330833	0.249059	0.139551	0.280557	143319.8	168520.1
56	0	-1742	-1423.13	-318.872	0.0901983	0.505772	0.0667202	0.0200406	0.189911	0.127359	0.5740845	0.313076	0.245198	0.164338	0.277387	116083.2	139439.2
57	1	-1750.42	-1421.73	-328.692	0.12179	0.511932	0.0123007	0.00632838	0.322233	0.0254169	0.1256057	0.331521	0.249576	0.137762	0.281141	140340.7	243346.5
58	0	-1742.17	-1420.37	-321.803	0.140928	0.48402	0.0638508	0.0191787	0.181743	0.110279	0.5740845	0.31641	0.24781	0.166088	0.269692	111924.7	192610.7
59	1	-1745.48	-1418.84	-326.634	0.138214	0.364654	0.0176551	0.0071818	0.416087	0.0562076	0.1256057	0.331521	0.249576	0.137762	0.281141	138836.6	212756.4
60	0	-1744.61	-1416.33	-328.285	0.177113	0.49289	0.0561804	0.0168748	0.15991	0.0970313	0.0714921	0.321484	0.251784	0.168751	0.257981	107886.3	243761.4
61	1	-1740.26	-1415.93	-324.33	0.114509	0.468611	0.0163201	0.00926649	0.344726	0.0465676	0.1256057	0.331521	0.249576	0.137762	0.281141	134168.8	166051.3
62	0	-1746.8	-1416.51	-330.291	0.16066	0.525591	0.0558129	0.0167644	0.158864	0.0823076	0.0714921	0.321484	0.251784	0.168751	0.257981	167076.7	173502.6
63	1	-1743.94	-1414.41	-329.536	0.0779484	0.483374	0.0168342	0.00955842	0.355586	0.0566986	0.1256057	0.326439	0.26108	0.13565	0.276831	126081.5	229392.5
64	0	-1746.82	-1418.15	-328.665	0.100477	0.693214	0.0349057	0.0205728	0.0993546	0.0514756	0.0714921	0.321484	0.251784	0.168751	0.257981	170662.7	185324.8
65	1	-1740.23	-1410.42	-329.811	0.0768998	0.476872	0.0300596	0.00942985	0.350803	0.0559359	0.1256057	0.323564	0.258782	0.159777	0.257877	127498.8	240389.8
66	0	-1733.83	-1407.73	-326.1	0.017914	0.761242	0.0331143	0.0225917	0.115352	0.0497857	0.0714921	0.312594	0.272475	0.164085	0.250846	107718.8	133899.4
67	1	-1736.57	-1413.71	-322.865	0.084235	0.426973	0.0329268	0.0103293	0.384264	0.0612713	0.1329141	0.318393	0.254646	0.167151	0.25981	127498.8	123721.4
68	0	-1726.27	-1407.16	-319.101	0.0130684	0.621236	0.0404946	0.0158473	0.268724	0.0406293	0.0714921	0.312594	0.272475	0.164085	0.250846	107718.8	118804.4
69	1	-1736.66	-1410.82	-325.845	0.0720113	0.505438	0.0281487	0.0179473	0.328502	0.0479529	0.1329141	0.318393	0.254646	0.167151	0.25981	138215.8	157979.9
70	0	-1725.37	-1407	-318.377	0.0130559	0.620643	0.0404559	0.0167871	0.268467	0.0405905	0.0714921	0.304766	0.265652	0.159976	0.269607	88825.56	146182.9
71	1	-1747.62	-1415.42	-332.197	0.072372	0.50797	0.0232805	0.0180372	0.330147	0.0481931	0.1329141	0.316428	0.253074	0.166119	0.264379	166178	99946.7
72	0	-1729.94	-1411.58	-318.367	0.0130077	0.618349	0.0440027	0.016725	0.267475	0.0404404	0.04045721	0.304766	0.265652	0.159976	0.269607	88122.79	161973.5
73	1	-1745.35	-1414.01	-331.336	0.0553981	0.437364	0.0178204	0.00963876	0.454602	0.0251769	0.1329141	0.325157	0.260055	0.143115	0.271672	161389.4	88806.59
74	0	-1733.77	-1407.38	-326.383	0.0141597	0.617627	0.0439513	0.0167055	0.267163	0.0403932	0.04045721	0.304766	0.265652	0.159976	0.269607	108814.2	209172.3
75	1	-1750.35	-1410.9	-339.454	0.0553981	0.437364	0.0178204	0.00963876	0.454602	0.0251769	0.1329141	0.332372	0.257275	0.141585	0.268768	184512.9	160092.5
76	0	-1721.8	-1406.1	-315.699	0.0140804	0.614165	0.0422606	0.0236616	0.265665	0.0401668	0.04045721	0.321257	0.25935	0.156181	0.263212	109690.5	243833.4
77	1	-1749.1	-1409.94	-339.156	0.0480516	0.595701	0.0154572	0.00836055	0.310592	0.0218381	0.1329141	0.332372	0.257275	0.141585	0.268768	184468.1	216215.9
78	0	-1741.1	-1407.18	-333.923	0.0115781	0.671714	0.044968	0.0202578	0.218453	0.0330287	0.04045721	0.321257	0.25935	0.156181	0.263212	157886.9	265326.2
79	1	-1732.38	-1403.51	-328.871	0.0320809	0.654303	0.0124615	0.00762844	0.250399	0.0431273	0.1329141	0.32717	0.253248	0.139369	0.280213	173748.2	146189.2
80	0	-1729.41	-1404.74	-324.668	0.0116492	0.675839	0.0391031	0.0203823	0.219795	0.0332315	0.04045721	0.321257	0.25935	0.156181	0.263212	142322.8	209981.7
81	1	-1727.5	-1402.55	-324.951	0.0320809	0.654303	0.0124615	0.00762844	0.250399	0.0431273	0.1329141	0.32717	0.253248	0.139369	0.280213	169056.2	110530.6
82	0	-1730.78	-1403.67	-327.111	0.0122112	0.708445	0.0409896	0.0239677	0.179552	0.0348347	0.05611276	0.318555	0.257169	0.154867	0.269408	144648	163282.4
83	1	-1740.72	-1405.39	-335.338	0.030189	0.64717	0.0241155	0.00754528	0.247669	0.0433111	0.1329141	0.330094	0.255512	0.140615	0.273779	159768.2	229436.1
84	0	-1725.13	-1404.57	-320.56	0.00963681	0.559087	0.0443571	0.0189147	0.3216	0.046404	0.05611276	0.318555	0.257169	0.154867	0.269408	111636.2	111824.5
85	1	-1743.75	-1408.46	-335.297	0.0296214	0.635002	0.0195784	0.00740341	0.243012	0.0653834	0.1329141	0.330094	0.255512	0.140615	0.273779	156280.3	231122.4
86	0	-1733.34	-1405.59	-327.748	0.00963681	0.559087	0.0443571	0.0189147	0.3216	0.046404	0.05611276	0.318555	0.257169	0.154867	0.269408	111973.2	147152.2
87	1	-1737.36	-1408.58	-328.789	0.0401552	0.605039	0.0186546	0.00705408	0.274774	0.054323	0.1329141	0.330094	0.255512	0.140615	0.273779	161047.8	235021.5
88	0	-1720.01	-1404.37	-315.647	0.010529	0.610846	0.0484636	0.0206658	0.258796	0.0507	0.04804745	0.318555	0.257169	0.154867	0.269408	109485	100217.4
89	1	-1734.5	-1407.69	-326.811	0.0310754	0.656725	0.0162351	0.0061392	0.239137	0.0506878	0.1329141	0.330094	0.255512	0.140615	0.273779	154743.7	214608.1
90	0	-1726.77	-1406.09	-320.68	0.010631	0.616765	0.0489332	0.0208661	0.251613	0.0511913	0.04804745	0.318555	0.257169	0.154867	0.269408	90826.56	135077.2
91	1	-1724.77	-1403.7	-321.068	0.032186	0.660683	0.0104051	0.00767524	0.240578	0.0484718	0.1329141	0.327937	0.260377	0.139696	0.27199	127927.1	193534.6
92	0	-1731.86	-1411.12	-320.736	0.00896576	0.520155	0.0412684	0.0175976	0.367078	0.0449353	0.04804745	0.309061	0.260752	0.157025	0.273161	86521.46	139917.5
93	1	-1710.12	-1400.53	-309.584	0.0170894	0.755714	0.00769024	0.00587442	0.177807	0.0358247	0.1989722	0.327937	0.260377	0.139696	0.27199	82224.67	167206.5
94	0	-1726.45	-1412.57	-313.876	0.0102218	0.593025	0.0470498	0.0141368	0.270341	0.0652254	0.04804745	0.309061	0.260752	0.157025	0.273161	70440.36	128517.7
