Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size	root_height
0	-3253.3	-2884.57	-368.728	0.0395358	0.0198637	0.0901076	0.039438	0.776654	0.0344011	0.2406852	0.588981	0.177798	0.224239	0.00898242	527108.2	1069375
1	-3040.21	-2689.38	-350.83	0.0401071	0.0201507	0.0914097	0.0400079	0.787877	0.0204473	0.2406852	0.588981	0.177798	0.224239	0.00898242	507225.7	559455.6
2	-2811.36	-2459.06	-352.306	0.0426243	0.0214154	0.0273352	0.0425189	0.837326	0.0287806	0.8453084	0.550631	0.229651	0.209638	0.0100804	492056.3	458965.1
3	-2648.38	-2296.69	-351.691	0.0390888	0.0234183	0.0298918	0.0464954	0.829633	0.0314723	0.8453084	0.441365	0.285491	0.260612	0.0125315	488733.9	292815.8
4	-2467.46	-2108.68	-358.777	0.0674498	0.0404095	0.0515799	0.0961636	0.69009	0.0543073	0.9782573	0.403014	0.32378	0.251691	0.021515	506596.7	334454.9
5	-2396.9	-2040.65	-356.245	0.116027	0.0695126	0.0734687	0.162396	0.532737	0.0458589	0.9782573	0.486694	0.391008	0.0963153	0.0259823	499448.6	232541.5
6	-2168.05	-1821.32	-346.731	0.116787	0.0699678	0.0739499	0.15691	0.536226	0.0461593	0.9782573	0.541991	0.266251	0.134887	0.0568705	424677.8	197019.1
7	-2127.51	-1783.31	-344.208	0.115155	0.0829669	0.0729163	0.154717	0.528731	0.0455141	0.9782573	0.53777	0.264178	0.133836	0.0642159	440337.4	241509.5
8	-2112.95	-1762.81	-350.141	0.115155	0.0829669	0.0729163	0.154717	0.528731	0.0455141	0.9782573	0.528566	0.259656	0.148662	0.0631168	447463	204853.4
9	-2071.07	-1728.43	-342.64	0.107027	0.083729	0.0735861	0.156138	0.533588	0.0459322	0.9782573	0.549899	0.229775	0.154662	0.0656642	450051.2	134014.1
10	-2040.41	-1693.44	-346.975	0.0647473	0.0930374	0.0817668	0.173496	0.535914	0.0510386	0.9782573	0.525729	0.256274	0.14476	0.073237	453091.2	189087.7
11	-2027.35	-1683.85	-343.501	0.0686494	0.0986445	0.0866947	0.123685	0.568212	0.0541145	0.9782573	0.525729	0.256274	0.14476	0.073237	416590.8	155540.5
12	-1982.34	-1644.01	-338.332	0.0701856	0.100852	0.0886346	0.104076	0.580926	0.0553254	0.9782573	0.516915	0.234353	0.165169	0.0835626	403904.1	101701.6
13	-1906.39	-1575.8	-330.588	0.0675599	0.0970788	0.105879	0.108801	0.551868	0.0688137	0.9782573	0.385925	0.297899	0.209956	0.106221	259331.5	76486.97
14	-1904.19	-1571.55	-332.632	0.0734711	0.105573	0.115143	0.0159749	0.600155	0.0896835	0.9782573	0.393497	0.303744	0.194454	0.108305	245349.4	103573.8
15	-1871.49	-1553.12	-318.374	0.0822997	0.140759	0.168997	0.0200766	0.468294	0.119574	0.9782573	0.393497	0.303744	0.194454	0.108305	137601.2	73224.88
16	-1854.43	-1544.69	-309.739	0.0712926	0.256456	0.146395	0.0173915	0.405662	0.102803	0.9782573	0.393497	0.303744	0.194454	0.108305	87364.42	82512.54
17	-1822.32	-1503.14	-319.182	0.0904251	0.32528	0.185682	0.0366372	0.231583	0.130392	0.9782573	0.325073	0.32459	0.207799	0.142538	104950.2	139096.9
18	-1805.11	-1488.32	-316.787	0.0657488	0.339713	0.193921	0.0376827	0.241858	0.121076	0.8935046	0.325073	0.32459	0.207799	0.142538	100131	117156.1
19	-1818.77	-1489.61	-329.164	0.0691771	0.357427	0.170189	0.0436947	0.232123	0.127389	0.8935046	0.325073	0.32459	0.207799	0.142538	147155.3	119334.9
20	-1812.82	-1487.51	-325.307	0.0640564	0.405034	0.109147	0.0495145	0.26304	0.109207	0.8935046	0.325073	0.32459	0.207799	0.142538	144058.1	108611.5
21	-1804.28	-1493.84	-310.434	0.0693559	0.438543	0.058084	0.0536109	0.262164	0.118242	0.8935046	0.322285	0.325931	0.208658	0.143127	97390.35	72565.53
22	-1801.17	-1481.95	-319.216	0.0805025	0.503218	0.067419	0.0315933	0.180021	0.137246	0.8935046	0.357532	0.361577	0.12211	0.158781	94701.56	168146.1
23	-1789.79	-1464.25	-325.543	0.102234	0.514739	0.0599472	0.0323166	0.194767	0.0959964	0.8935046	0.393641	0.2971	0.134442	0.174817	94457.04	134889.5
24	-1761.33	-1435.03	-326.303	0.102935	0.518273	0.0467512	0.0325384	0.202847	0.0966554	0.7761273	0.362896	0.273895	0.123941	0.239268	100460.3	262035.1
