Iteration	Replicate_ID	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]	root_height
24	0	-1963.25	-1536.03	-427.22	0.0125012	0.391718	0.0418312	0.0774384	0.261275	0.215237	12058	28034.8	44443.9	84860.5	inf	0.9558467	0.151232	0.319484	0.193761	0.335523	677780	546709	164373	679138	900376	169585	294887.9
25	1	-1959.2	-1539.84	-419.358	0.01849	0.762148	0.00307924	0.0123447	0.198919	0.00501894	3420.06	7885.41	25394.1	85814.9	inf	0.8816877	0.147923	0.342408	0.157626	0.352043	619934	238632	707101	404031	821248	632790	231979.5
26	0	-1861.13	-1444.2	-416.931	0.020287	0.381341	0.0590963	0.0753871	0.254353	0.209535	11110.4	15938.7	24996.7	52971.4	inf	0.9558467	0.295177	0.265302	0.1609	0.278621	636080	554121	159039	666035	786165	172779	224756.3
27	1	-1958.85	-1538.63	-420.22	0.0184743	0.761502	0.00392355	0.0123342	0.198751	0.00501469	4451.13	8663.99	39350.1	108084	inf	0.8816877	0.147923	0.342408	0.157626	0.352043	619934	233465	734715	410300	823980	640230	360648.7
28	0	-1861.73	-1441.39	-420.34	0.0207468	0.389984	0.0604357	0.0544313	0.260118	0.214284	14301.8	20007.9	30263.1	69461.9	inf	0.9558467	0.312395	0.254772	0.15371	0.279123	641467	565530	154046	697084	793055	156048	226198.5
29	1	-1943.59	-1525	-418.589	0.018481	0.76178	0.00385697	0.0123387	0.198823	0.00472025	3158.05	8778.96	28793.1	99759.6	inf	0.8816877	0.148973	0.344839	0.158745	0.347443	612524	233465	720752	410300	836501	631106	263892.1
30	0	-1855.31	-1438.88	-416.43	0.015898	0.532553	0.0463111	0.04171	0.199325	0.164203	9616.68	16466	22104.2	50609	inf	0.9558467	0.312395	0.254772	0.15371	0.279123	600046	542219	156542	697084	788509	156109	255704.7
31	1	-1924.23	-1504.82	-419.413	0.0138311	0.802466	0.00406297	0.0129977	0.16167	0.00497235	3514	7462.07	36442	95127.7	inf	0.8816877	0.168447	0.259198	0.179496	0.39286	594138	241301	718650	395060	829685	656382	394240.5
32	0	-1853.87	-1438.65	-415.216	0.015898	0.532553	0.0463111	0.04171	0.199325	0.164203	7484.1	16520.7	20931.9	52899.9	inf	0.9558467	0.312395	0.254772	0.15371	0.279123	629477	521849	154085	625774	813704	156096	210373.2
33	1	-1916.84	-1501.6	-415.238	0.0253869	0.679479	0.00658895	0.0210785	0.262181	0.00528602	3109.55	5969.28	32247.6	54548.4	inf	0.8816877	0.168447	0.259198	0.179496	0.39286	605064	250742	718650	384317	825457	669102	348864.8
